页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021330057986705,绿色青浦,2024-04-09 19:24:00,【第二届长三角水论坛暨水利先进技术（产品）展示会在青举行】为贯彻落实长三角“一体化”“高质量”发展要求，进一步深化四省一市的交流与合作，更好地发挥学会学术引领和技术赋能作用，突出长三角区域多学科、多领域、多要素的融合发展，充分展示最新研究成果，昨天（4月8日）上午，第二届长三角水论坛暨水利先进技术(产品)展示会在青浦区举行。第二届长三角水论坛暨水利先进技术（产品）展示会在青举行,0,0,0,,上海,上海,中国
2,5021279325522511,编辑孙老师,2024-04-09 16:02:25,《信息系统工程》可查稿  省级，月刊，第一批学术期刊  知网，万方，维普三网收录  收稿方向：数字地方，技术应用，经验交流，信息化建设，学术研究，教育论坛等计算机相关 ,0,0,0,河南,郑州,河南,中国
2,5020924350301091,新农人袁帅,2024-04-08 16:31:52,发布了头条文章：《农文旅产业振兴研究院袁帅受邀出席第三届中外会奖合作交流大会》 #村ba# #乡村振兴# #和美乡村# #农文体商旅# #会议会展# 出圈三年依旧火爆的“村BA”，为MICE目的地活动高质量发展又带来了哪些启示？2024年4月12日在第三届中外会奖合作交流大会“会奖目的地流量密码交流论坛”上我们一起交流探讨！ 农文旅产业振兴研究院袁帅受邀出席第三届中外会奖合作交流大会,4,1,5,北京,北京,北京,中国
2,5020279692856244,职称论文专利课题标书,2024-04-06 21:50:14,《现代交际》 主办单位：吉林省社会科学院 出版周期：半月 ISSN：1009-5349 CN：22-1010/C 主要栏目： 思想政治、公共行政、管理论坛、传媒论坛、学术交流、文化纵横、 艺术天地、商业研究、产业经济、人力资源、社会与法、理论探索、 计算机论坛、外语天地、基础教育、职教探索、高教研究等。 ,0,0,0,河北,张家口,河北,中国
2,5020276402952788,期刊论文代发指导,2024-04-06 21:37:09,《时代金融》 曾用刊名：云南金融 主办单位：云南时代金融杂志社 出版周期：月刊 ISSN：1672-8661 CN：53-1195/F 主要栏目： 交流平台 工作研究 理论与实践 金融界 特别策划 企业论坛 财会园地 专题调研 金融论坛 银行分析等。 ,0,0,0,河北,张家口,河北,中国
2,5018821277259560,中国日报网,2024-04-02 21:15:00,#中非互联网发展与合作论坛#【迪亚洛：利用好中非文化交流活动，增进相互了解】2024中非互联网发展与合作论坛“拓展中非网络媒体合作”分论坛2日在福建厦门举行。浙江师范大学非洲研究院非洲法语国家研究中心主任约罗·迪亚洛在论坛举行的圆桌讨论中表示，中非举办的文化聚焦活动已经成为双方文化交流中非常重要的项目。聚焦中国文化、聚焦非洲文化这样的项目，凸显了中非文化交流以及中非文明的重要性。近年来，我们看到了在中国很多省市举办的非洲文化活动。在这些活动中我们看到了许多交流碰撞的火花，相信我们可以更好地利用这样的平台，更好地沟通交流，增进了解。同时，双方也要推动青年之间的交流，让中非友好事业不缺接班人。（记者 高琳琳） 中国日报网的微博视频,0,0,6,,北京,北京,中国
2,5018738845289277,新一尔,2024-04-02 15:47:27,征稿启事】山西师范大学书法学院学术周 暨第二届研究生学术论坛（第一期）征稿启事发布时间：2024-03-27为了提升书法专业学生的创新实践能力和学术研究水平，打造书法学科的学术交流、科研成果的展示平台，山西师范大学书法学院拟定于2024年4月底举办书法学术周暨第二届研究生学术论坛活动。诚邀书法专业青年才俊齐聚山西师范大学书法学院，一起交流心得、切磋技艺、开拓创新，共襄学术盛宴。一、论坛主题凡有关书法理论、史论、美学、技法、考据、教育、评论等各个方面论文均可。提倡通过不同学科、方法论的交叉融合使用，对传统书法做出有新意的跨学科综合研究；鼓励作者对当代书法的时代境遇、创作现状、审美取向、历史趋势等方面问题进行有深度的学理分析，为当代书法创作的继承与发展提供学术引导。二、征稿对象本届论坛主要面向山西师范大学书法学院在读的本科生、硕士研究生。三、投稿要求,0,0,0,山西,忻州,山西,中国
2,5018644680278231,期刊论文发表编辑部,2024-04-02 09:33:15,《南北桥》万方收录 国内刊号：22-1221/F 国际刊号：1672－0407 主管单位：长春出版社 主办单位：长春出版社 出版周期：半月刊 主要栏目       学术争鸣、学科交流、创新教育、素质教育、课堂实践、课程研究、科教论坛、教学探究、综合教育、教学反思、教育管理、教育新知、幼儿教育、行业调研。 ,0,0,0,河北,张家口,河北,中国
2,5018274213398618,你好长沙,2024-04-01 09:01:10,【大爱帮扶之战#胖东来启动帮扶步步高超市#】有最新消息称：3月28日晚间，在2024中国超市周的首场分论坛结束之后，于东来率胖东来高管团队及联商东来商业研究院种子班老总会见了步步高董事长王填一行，双方就步步高调改一事进行了深入交流。3月31日，于东来率团队亲赴长沙，并做出重大决定：启动帮扶步步高。#胖东来帮扶步步高#,11,51,116,湖南,长沙,湖南,中国
2,5018296567202926,山水怀柔,2024-04-01 10:30:00,#网观怀柔# 【雁栖镇实施科研生态共建计划， “学地融合”助推中欧学术领导力联盟落户科学之家】近日，由中欧学术领导力联盟主办、中国科学院大学创新方法研究中心、雁栖镇政府联合承办的中欧高级别人文交流对话机制第六次会议配套论坛——中欧高等教育创新政策与合作论坛在中国科学院大学召开，来自布鲁塞尔自由大学、新里斯本大学、根特大学、中东科技大学、斯德哥尔摩大学、国家教育行政学院、同济大学、浙江大学、北京师范大学、北京航空航天大学等10余所中外高校的50余名专家学者参加了论坛。会议决定，中欧学术领导力联盟（LEAD）落户雁栖镇科学之家，并举行授牌仪式。雁栖镇将持续以开放的姿态、务实的举措服务学术联盟在京开展工作，打造更多具有雁栖特色的科研空间和更加完备的服务平台，助力学术成果在雁栖诞生、孵化、见效。（via.诗画雁栖微信公众号）#展翅腾飞看怀柔#,1,7,14,,,北京,中国
