页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023361191645053,俄罗斯卫星通讯社,2024-04-15 09:55:00,【美常驻联合国副代表：美国将研究在联合国采取措施以追究伊朗的责任】#美国称要追究伊朗对伊拉克导弹袭击的责任# 美国常驻联合国副代表罗伯特•伍德在#联合国安理会# 会议上表示，美国将在未来几天内研究在联合国采取更多措施，以追究伊朗袭击以色列的责任。据他介绍，联合国安理会必须明确谴责伊朗的行为。伍德补充指出：“如果伊朗或其代理人采取针对美国的措施或进一步针对以色列的措施，伊朗将被追究责任。”,4,19,26,,北京,北京,中国
2,5023134304177367,华西心外钢铁侠XZH,2024-04-14 18:53:26,相识于10年前的一次临床研究，10年以来大家都在各自努力，本次受邀参加鼓楼学术会议，收获满满，希望好兄弟@公孙乌龙 未来更上一层楼。 ,0,12,50,四川,成都,四川,中国
2,5023401049067516,大冶市检察院微博,2024-04-15 12:33:23,#抓落实 提质效 开新局丨驰而不息抓落实（二）# 全市检察长会议和黄石检察机关“学思想、提质效、开新局”实务研讨班落幕后，全市检察机关结合工作实际，认真研究贯彻落实措施。近日，黄石市检察机关召开入驻基层综治中心推进会暨控告申诉检察工作会议。 ,0,0,0,,黄石,湖北,中国
2,5023398696588054,法医周亦武,2024-04-15 12:24:02,#打卡上海##打卡复旦大学# 4月12号-14号，在上海复旦大学邯郸校区（老复旦大学），又一家未来中国法医学重要力量，复旦大学法庭科学研究院，挂牌成立！法医学专业专家云集，听了很多高质量学术报告，包括🐷小屁他大爷@法医刘良 的报告，会议中也高兴见到#初入职场的我们法医季# 实习生@屈轶龄今天睡好了吗 和@蔡长生的飞行日记     行走在宁静复旦老校区，颇有时光倒流的感觉，古色古香，与武汉大学依山而建的老建筑风格迥异。但站在复旦校园一座高层标志建筑⋯风华楼⋯前，却是另外一种感觉，不明白高高的台阶与高耸的巨大罗马柱的含义！   @法医屈屈 @湖北崇新司法鉴定中心,2,31,227,湖北,武汉,湖北,中国
2,5023395488470214,武川网信,2024-04-15 12:11:17,市委党的建设工作领导小组召开会议 研究部署党纪学习教育工作 包钢主持会议市委党的建设工作领导小组召开会议 研究部署党纪学习教育工作 包钢主持会议 ,0,0,0,,呼和浩特,内蒙古,中国
2,5023392560316915,黔东南政务微博,2024-04-15 11:59:39,【州管干部任前公示】       经州委常委会会议研究决定，对下列同志进行任前公示(排名不分先后)。　　刘光富，男，侗族，1981年5月生，大学(理学学士)，中共党员，现任台江县委常委、组织部部长、县委党校校长、老干部局局长、县委教育和科技工委书记(兼)、三级调研员，拟任州直单位正职。　　龙运钦，男，侗族，1983年3月生，大学(法学学士)，中共党员，现任州政府发展研究中心党组成员、州政府发展研究中心(州政府研究室)副主任，拟任州直单位正职。　　公示时间：2024年4月15日至2024年4月19日止。如对公示对象有问题反映的，请通过电话、信件、短信、网络等方式，在公示期间向州委组织部干部监督举报中心反映。　　举报电话：0855-12380　　举报网站：网页链接　　举报短信：18984512380　　通讯地址：贵州省黔东南州凯里市营盘东路51号(邮编556000)                             中共黔东南州委组织部                                       2024年4月14日,0,0,0,,黔东南苗族侗族自治州,贵州,中国
2,5023390904356671,中国紫阳门户网站,2024-04-15 11:53:04,【王燊主持召开县政府2024年第4次常务会议】4月14日，县长王燊主持召开县政府2024年第4次常务会议，传达学习习近平总书记近期重要讲话重要指示精神、中央和省市相关会议精神，研究部署经济稳增长、安全生产、秦岭生态环保、耕地保护、信访等工作。县委常委、县纪委书记、县监委主任李长国，县人大常委会副主任詹世勇，县政协党组成员田元彬应邀出席会议。会议传达学习习近平总书记在全国“两会”、在湖南考察、在主持召开新时代推动中部地区崛起座谈会、主持召开中共中央政治局会议、参加首都义务植树活动时的重要讲话和全国“两会”精神、《中共中央 国务院关于全面推进美丽中国建设的意见》。会议强调，各镇各部门要学思践悟、融会贯通，把学习贯彻习近平总书记近期重要讲话和全国两会精神，同学习贯彻党的二十大精神和习近平总书记历次来陕考察重要讲话重要指示精神结合起来，全面掀起学习宣传贯彻热潮，以实干实绩坚定拥护“两个确立”、坚决做到“两个维护”。要因地制宜、细化举措，认真落实全国两会部署和省市工作要求，以紫阳高新区建设为抓手，因地制宜发展新质生产力，全面深化改革开放，坚决守牢安全底线，持续提升政府履职水平，不折不扣把党中央决策部署落到实处。要狠抓关键、走深走实，认真分析研判经济运行形势，千方百计扩大有效投资，全力以赴稳定工业增长，多措并举激发消费活力。要抢抓时令，扎实抓好春耕生产、植绿护绿等工作，切实推动全国“两会”精神在紫阳落地落实落细。会议听取了全县城镇燃气安全专项整治工作情况汇报，强调全县上下要认真学习贯彻习近平总书记重要指示批示精神，深刻汲取事故教训，以时时放心不下、事事紧盯不放、人人责任不松的责任感紧迫感，加强日常检查，加大执法力度，狠抓重点整治，压紧压实责任，牢牢守住城镇燃气安全底线，确保人民群众生命财产安全和社会大局稳定。会议重温了习近平总书记关于秦岭生态环境保护重要指示批示，传达学习了省秦岭生态环境保护会议精神，强调各镇各部门要始终胸怀“国之大者”，扛牢责任、强化措施，常态长效抓好秦岭生态环境保护工作。涉关镇和部门要高度重视，进一步形成合力，加强排查整改力度，高标准完成问题整改。要严格落实行业监管和属地管理责任，明责于心、履责于行，全力守护秦岭生态安全。会议传达学习了全省高质量项目建设暨稳增长工作调度会、全市深化“三个年”活动推进会暨2024年一季度重点项目观摩总结会精神，听取全县经济稳增长情况汇报。要求各镇各部门迅速复盘一季度经济运行情况，找出差距、对标补短，不断寻求新的增长点，持续巩固经济向好态势。要加快项目建设，统筹抓好前期谋划、要素保障和建设进度，推动项目建设提质增效。要坚定信心，持续抓好经济运行调度、项目纳统、“五上”企业培育、工业经济、招商引资、“两个收入”、“五经普”等工作，持续壮大产业、稳定就业，全面拉动消费，确保圆满完成年度发展目标。会议组织学习了《国家自然灾害救助应急预案》，通报全县近期安全生产工作情况。强调要坚决贯彻“党政同责、一岗双责”、“三管三必须”和属地管理责任要求，树牢“隐患即是事故”理念，把安全生产监管关口前移，不断完善安全监管机制，提升安全管理水平。工作责任要再压实、工作部署要再超前、工作措施要再强化，全面排查整治校园安全、养老机构、电动自行车等重点领域风险隐患，切实保障人民群众生命财产安全。会议学习了《陕西省行政执法监督条例》，审议并原则通过了《紫阳县下放部门行政执法权至乡镇事项目录（送审稿）》。会议还研究了其他事项。县政府常务会议组成人员参加会议，相关单位负责同志列席会议。县人大代表沙辉、钱环，县政协委员艾佩、曾凡琼应邀列席会议。,0,0,0,,安康,陕西,中国
2,5023389928658016,海南国资,2024-04-15 11:49:12,【#海南储备召开2024年第一季度经营分析暨年度融资工作会议#】4月12日下午，海南储备召开2024年第一季度经营分析会暨年度融资工作会议，总结第一季度财务运行、投资与项目建设、经营管理等情况，分析存在问题及产生原因，研究部署下一阶段重点工作。（海南储备经营财务部） ,0,0,0,,,广东,中国
2,5023381098074149,庚白星君,2024-04-15 11:14:06,宏观新闻1、国务院总理李强4月12日主持召开国务院常务会议，研究新时代推动中部地区加快崛起有关工作，研究健全解决企业账款拖欠问题长效机制的举措，听取关于节能降碳工作的汇报，部署开展电动自行车安全隐患全链条整治工作。2、央行发布2024年一季度金融统计数据报告，数据显示，2024年3月末， 广义货币（M2）余额304.80万亿元，同比增长8.3%。同期，社会融资规模存量390.32万亿元，同比增长8.7%，一季度累计新增12.93万亿元，处于历史同期较高水平。3、海关总署12日发布数据显示，今年一季度中国货物贸易进出口总值10.17万亿元人民币，同比增长5%，增速创6个季度以来新高。其中，出口同比增长4.9%，进口同比增长5%。4、外交部发言人就伊朗对以色列领土发动军事打击答记者问时表示：呼吁有关方面保持冷静克制，避免紧张局势进一步升级。这一轮形势升级是加沙冲突外溢的最新表现。当务之急是切实落实联合国安理会第2728号决议，尽快平息加沙冲突。,0,0,1,上海,,上海,中国
2,5023380809974451,昆明五华发布,2024-04-15 11:12:58,#五华招商# 【五华区召开2024年第四次招商引资工作例会】4月14日，五华区召开2024年第四次招商引资工作例会，专题研究居民服务、修理和其他服务业招商引资情况。区委书记陈江出席会议并讲话。网页链接 ,0,2,2,,昆明,云南,中国
