页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022805198115249,女律师小白姐,2024-04-13 21:05:41,#小白的律师手记# 前天晚上跟助理研究案件搞到半夜快12点，昨天又是跟客户电话沟通了大半天，今天客户从外地赶来下午忙到六点多才顺利签单……助理辛苦了，今天周末还在律所加班到过了吃饭的点饿死宝宝了给助理发了晚餐红包🧧让她下周调休一天。不过孩子挺懂事，说我五一给她们放九天假，主动说不用调休了我虽然人没法到现场，但其实我也没闲着，电话也是一打就一小时……下周我也要正式复工了，下周只有一天可以休息，其余是开会、讲课、准备下下周开庭事情不断。虽然晚上给刀口涂碘伏还是会疼，但是我还是希望身体尽快恢复吧！,0,3,13,江苏,南京,江苏,中国
2,5022771039439465,陈敏-CS,2024-04-13 18:49:57,"#吸毒的危害有多大# 2023年5月8日，美国耶鲁大学医学院儿科学助理教授朱莉·盖瑟(Julie Gaither)发布了一份研究报告，关于芬太尼泛滥成成灾后，儿童意外接触或误食导致过量中毒危及生命的数据分析。朱莉·盖瑟(Julie Gaither)根据美国疾病控制和预防中心的死亡证明数据，统计发现2013年至2021年间，芬太尼导致的儿科死亡人数增加了30多倍，九成是15至19岁的青少年，近7%是4岁以下的儿童。从2018年开始，芬太尼导致年龄较大的青少年死亡人数增加了近三倍，5岁以下儿童的死亡人数增加了近六倍。仅在2021年，芬太尼就导致40名婴儿死亡，93名1至4岁儿童死亡。其中近一半的死亡发生在家中，较小的婴幼儿可能是接触或吞下了父母未用完的芬太尼，而稍大一点的儿童，则大多数是被糖果式样的芬太尼药片吸引，当作零食吃了下后，导致悲剧的发生。糖果样式的芬太尼是贩毒集团为了逃避打击制作出来，2022年2月在美国西岸兴起后，逐渐在全美各地流行，并且尤其受到年轻人的欢迎。由于样式与一些糖果没什么两样，导致了很多悲剧。【2020年10月4日，美国联邦缉毒局（DEA）在纽约曼哈顿查获1.5万粒药丸，这些药丸上印有“30M”字样，藏在乐高积木盒子里，颜色缤纷和一般的儿童糖果一样的大小，然而其内部成分检测出来含有大剂量的芬太尼。同年10月19日，美国联邦缉毒局（DEA）又在洛杉矶国际机场查获了约12,000粒疑似芬太尼药丸伪装成几款流行的万圣节糖果。为此执法部门提醒美国父母，一定要慎重检查孩子所讨要的糖果零食，避免其中掺入“芬太尼糖果”。】2020年旧金山一名10个月大的婴儿，被家人带去公园草坪玩耍的时候，意外吃到了地上卡通造型的芬太尼糖果。在朱莉·盖瑟(Julie Gaither)的研究报告还有提到：在2013年至2021年期间，芬太尼相关死亡率增加了3740%，从每10万人中0.05人增加到每10万人中1.92人。对于15至19岁的青少年来说，2018年至2021年期间芬太尼相关死亡率上升了290%，从每10万人1.67人上升到每10万人6.5人。在4岁以下的儿童中，芬太尼相关的死亡率在此期间上升了590%，从每10万人中0.10人上升到每10万人中0.69人。报告里给出的解决方案是：“教育家长，让他们知道需要将所有药物和药物存放在孩子们看不见和够不着的地方，并安全处理那些不再使用的药物。总结：芬太尼对于成年人来说，只要含量超过2mg左右，直接吸入体内就会导致过量中毒身亡，婴幼儿致命含量就更低了，这算是美国芬太尼泛滥下的悲剧缩影之一。#禁毒宣传##微博新知博主#",0,1,7,湖南,长沙,湖南,中国
2,5022712475419841,人云亦云2011,2024-04-13 14:57:14,【每日一秒杀】著名画家王冉（中国美术家协会会员，北京市美术家协会会员，北京市东城区美协理事，圣融美术院画家，中国人民大学画院书画课题班李建军工作室助理导师，先后进修于山水画研修院、中国国家画院、现代工笔画院、中国民族艺术研究院，师从于王中年、苗重安、王天胜、张广志、张津诚等先生，作品多次入选全国美展，深受评委及观众好评，极具潜力实力派画家，作品被国内外友人、机构及爱好者收藏，深得藏家追捧）精美作品《日照山村》，作品温暖大气，线条潇洒老辣，墨色浑厚而温暖。尺寸：140*70cm。与师友们分享，今日特价惠友，一口价1580元秒杀，终身保真，第一个评论“要”者得！,0,0,0,河南,南阳,河南,中国
2,5022653062579022,乐游-杨生,2024-04-13 11:01:09,【乐游继续做减法】把90%以上的时间放在研究上面，乐游发现一切豁然开朗，投资真正的本质就是挖掘价值，其他的东西毫无意义可言，乐游放弃了雪球里面所有评论和留言的回复；接下来微博的评论和留言也会回复的越来越少，找乐游会成为一件高门槛的事情！很多琐碎的事情也会交给助理打理！能不能找到乐游本人交流就看你的本事了！这个决定不是乐游想搞什么东东，而是很简单的一个常识，时间不够用了，那么放弃一部分就是乐游应该做的事情，这个不需要任何人去理解和赞同，只是做好自己的事情而已，投资的本质是价值，这一点抓住了就足够了！乐游需要时间去挖掘投资价值！@你不知道的乐游,1,0,9,广东,梅州,广东,中国
2,5022459101188432,我是司朝,2024-04-12 22:10:25,pusa博士发了五篇SCI，估计在核研院连个助理研究员都混不上吧 ,0,1,2,北京,,北京,中国
2,5022422027207139,搬砖组织,2024-04-12 19:43:05,#搬砖实习营# 南方电网-助理研究员实习生工作地点：广州【岗位职责】1、参与企业科技战略、创新管理、研发投入、营销服务等领域项目研究工作。2、协助行业专家、研究员等深度参与所内重要项目的执行与跟进。【岗位要求】1、硕士及以上，管理类、经济类、财会金融类、统计学、电力类相关专业，有创新管理、市场营销相关研究经验者优先。2、实习期不少于3个月，寒暑假期间每周出勤5天，其他时间每周出勤至少4天，长期实习优先。3、广东省广州市黄埔区科学城科翔路11号南方电网综合基地（需保证每周3天及以上的现场实习）。简历请投递至邮箱：huyong1@csg.cn简历及邮件主题命名方式：南方电网+姓名+所在学校+院系专业+年级请在邮件正文中说明计划实习月份，每周可实习天数,0,0,2,江苏,,江苏,中国
2,5022395265977799,我在闽院暗恋你,2024-04-12 17:56:46,小鹿，帮忙发，匿。 兼职研究助理，具有研究生背景，文献写作能力，英文写作能力，定期完成研究任务，整文献，写文献综述，项目制任务，具有一定研究能力可放宽要求～欢迎志同道合的伙伴加入！！ ,0,0,1,福建,泉州,福建,中国
2,5022393770705240,橙新聞,2024-04-12 17:50:48,【#走塑生活周# ｜香港环保署：已走访两万间餐厅提供宣传教育，适应期内不会对违规业务执法】管制即弃塑胶新法例首阶段即将于今月22日实施，禁止商户提供或销售即弃发泡胶餐具、饮管、塑胶棉花棒等；全港餐饮业亦陆续推应变措施，纷纷以木制、纸制餐具取代胶餐具。香港环保署助理署长郑健指，署方已实地走访2万间中小餐厅，加强宣及提供适切协助，强调适应期内不会对违规业务进行执法。郑健表示，署方已实地走访2万间中小餐厅，协助餐厅了解管制内容及调整营运模式。有餐厅表示已转为使用符合新法例要求的餐具，亦有餐厅正寻找替代品。供应商亦表示，有更多中小餐厅查询供应情况。郑健又指，在法例6个月适应期内，会继续走访餐厅、零售店及酒店宾馆，了解在管制后的营业情况，提供宣传教育。如有商户未符合规定，会了解他们的困难，提供适切协助，不会对违规业务进行执法。郑健强调，到适应期后，署方会继续巡视并了解商户营业情况，只会对屡劝不改的商户进行执法。#香港# #环保在行动# #研究发现微塑料会严重损害造血系统# #塑料已经布满世界海沟最深处# 网页链接,0,0,0,,,香港,中国
3,5022388964035578,小麦喵喵喵哼,2024-04-12 17:31:43,- 周五啦！这周发现吃饭才是正事，开始研究做各种好吃的，记录一下可爱的瞬间！  喜欢自然中的一切，比如：如图 最后一张图，我的小助理靠谱瞬间哈哈哈笑死了！ ,0,0,4,陕西,西安,陕西,中国
3,5022366447179746,上海古籍出版社官方,2024-04-12 16:02:15,#活动预告#  4月14日（本周日）晚8点，《古人的日常礼仪》作者之一陈姿桦老师将在慢书房视频号做线上新书分享会，感兴趣的朋友可以点击左下图扫码预约哟~  嘉宾介绍：陈姿桦，同济大学哲学系中国哲学博士，现为北京大学博雅博士后、哲学系助理研究员。 ,2,0,6,上海,上海,上海,中国
3,5022298438370294,时代财经,2024-04-12 11:32:00,【#年轻人用隐身术追求更多冲浪自由#，你是千万个momo之一吗？】momo的全名是“么么龙momo”，起初只是新用户注册账号后自动生成的默认信息。不少年轻人想要在网络中隐身，放弃了个性的头像和ID，变成隐藏在庞大群体中不易分辨的个体。中国社会科学院新闻与传播研究所助理研究员曾昕称，年轻人主动选择了一个介于完全自我和完全隐身之间的过渡地带。加入momo也是年轻人在预防可能的网络暴力，是大家对自己言论安全感的一种保护，规避二次传播的风险。“隐身”恰恰可以做到娱乐身份和社会身份相对分离，给予个体最大限度的“冲浪”自由。（北京青年报） #momo为何遍布各大平台# 麦穗视频的微博视频,0,0,0,,广州,广东,中国
3,5022296354588146,露鹿路噜,2024-04-12 11:23:43,刚刚在部门值班，就听到两个研究生来见负责我们部门的老师，他们的对话真像朋友啊，我在一边偷听他们讲话，他们之前应该是学生助理，现在老师有一项重要任务交给他们，还说道要专门找研究生来做，又给他们说了学校最近的大事，问他们要不要去当志愿者，这让我感叹万分呐！我平时一直讨厌的人际交往在这一刻我又羡慕了他们，我最不会与老师相处了，总感觉有距离感，在初中的时候我也有一个很喜欢的老师，那个老师也对我很好，但是我始终不及她的课代表，好像她们之间什么话都可以说，交谈的很轻松，而我即使与再熟悉的老师坐一起，我也会感到些许不自在，因为不知道聊啥，这种感觉也同样出现在和那种很尴尬的朋友之间，就是比朋友要熟悉一点，但是又不是无话不谈的好朋友，因为我不喜欢在两个人相处的时候沉默，我不允许两个人突然很安静，就是聊着聊着突然戛然而止，往往这种时候我都会绞尽脑汁想话题聊，所以一直以来我都不太擅长也不太喜欢社交，我真的是很慢热的一个人。好像每次来办公室值班，都会听到老师跟某位同学开玩笑的说笑，每次我都会在心里想，果然老师会把好处留给熟人，那些我天天守着QQ志愿活动群的扫地信息只为增加一点志愿时长和零点几的pu分却一次也没抢到过，老师却轻易的给了这些能与他谈笑的学生，这世界是多么的势利与不公平啊，怪不得说人脉是财富，大学要多积累人脉，才不回信息闭塞。可是我真的不擅长也不喜欢社交啊啊啊啊，我又不得不逼迫自己去社交，我口口声声说自己要做一个自由的不被世俗所束缚的人。不在乎pu德育分，可是我确实是真真切切的生活在这个世界，我不得不依照这个世界的运行方式去生活，只有有资本有能力的人才配说自由，最终我还是被世俗所束缚，我还是在意各种形式各种我不喜欢的表面，这个世界能不能只有我一个人呐，我真想逃离这个世界,0,3,0,河南,郑州,河南,中国
3,5022262259090112,网信东洲,2024-04-12 09:08:14,#贯彻二十大辽宁在行动#  2024年4月11日上午，东洲区教师进修学校校长助理刘飞、小教部主任宫万丽带领小教部教研员组成的集体调研组来到万新二校视导调研，了解新课程标准实施情况，解决基层学校在新课程实施中的困惑，发现新情况研究新问题，探究新途径。#振兴新突破辽宁杠杠滴# ,0,0,0,,抚顺,辽宁,中国
3,5022254112967815,贺瑞君,2024-04-12 08:35:52,又一个王小云式学者出现？ 美国国家标准与技术研究院（NIST）布局的抗量子密码安全性受到动摇： 清华大学交叉信息研究院陈一镭助理教授发布重要论文，给出破解格密码的量子算法。论文标题为Quantum Algorithms for Lattice Problems（格问题的量子算法）。 #校园创作者激励计划##微博原创者计划# ,1,1,5,北京,,北京,中国
3,5021754139348099,甄姬不放瓜,2024-04-10 23:29:09,#北邮决定取消郑某研究生导师资格#北邮这速度牛逼，这导师太过分了，学术造假，基金私用，让学生当生活助理，还要学生替她辅导女儿中考学习，做作业。太多这样的导师了，简直新时代奴.隶.主，学生像被卖了卖.身.契的奴.才。别的学校也学着点，各种欺压的导师都夹着尾巴做人吧。#北邮通报学生联名举报导师事件#,20,42,528,北京,,北京,中国
3,5022095067316692,非常靚的猪12138,2024-04-11 22:03:52,今天邀请一个分公司的领导过来作经验介绍，其它的说的我都没听太清，就有一个点印象极为深刻。“事先权衡要胜于事后，承诺要胜于权衡。我们在真正下功夫开展学术论文的那一年，我们几个成员研究决定，对于获得成绩的助理，要有物质奖励，更要在提拔入额时优先。那一年的确有了些成绩，但到了提用的时候，成员内部出现了不同的声音，就是有人认为还是要权衡，不能以学术定，要综合考虑大家的付出，要综合考虑，要不然其他人会出现情绪。当时我就跟他们说了，不能，我们成员说过的话，不说则已，一说一定要兑现，现在就不是权衡的时候，权衡应该在我们做决定的那一刻，现在就是践行承诺的时候，后面那些年轻人的一双双眼睛都在那看着，如果现在说权衡，那我们以后不但论文这项工作很难开展起来，甚至其它的地方也不再会有权威了。后面，我们按照承诺去兑现了，然后在23年，我们更上一层，出现了5篇二等奖，3篇三等奖，位居全国基层公司前三。”听完这领导说话，我大为振奋，想起多次领导的承诺，瞅向了身旁的老板，刚才还认真做笔记，晨酒上头的他现在已混混欲睡，带着给我沉睡不醒的诺言。,0,0,0,安徽,亳州,安徽,中国
3,5022076048774249,北极在逃甜猪茜,2024-04-11 20:48:18,研究生复试学生助理新体验✅ 工作两小时 报酬是零食和盒饭🍱 今天过分充实了 P7第一次见大学的运动会 摩托车入场很酷🆒 P6好久没吃烤肉啦！ And要开始做科研项目了！我发誓再也不熬夜不睡懒觉了！ ,0,0,1,重庆,,重庆,中国
4,5022072734745338,dada129,2024-04-11 20:35:08,当了一天的研究生复试助理的感受  1.第一个上场确实会吃亏，导师们也没把握好节奏  2.导师们上午比下午打分严格，但会认真听 下午打分会随意一点，但到后面了给分好像还高一点？  3.自信很重要，能自己把握节奏更重要 千万不要尬场！ 千万不要尬场！ 千万不要尬场！ ,0,3,0,安徽,合肥,安徽,中国
4,5022060093641072,上海实习校招,2024-04-11 19:44:54,上海实习 【实习招聘】申万宏源研究所计算机行业研究助理（新财富前三团队）【职责】1）协助完成基础数据与资料整理和分析2）协助跟进相关领域发展，如科技前沿进展、AIGC趋势等3）协助撰写各类课题和报告4）其他相关研究工作【要求】国内外重点高校研究生，掌握证券研究知识、有相关实习经历加分；较强学习能力、工作细致认真，有较强抗压能力；一周3天以上，实习保证3个月及以上。【回报】表现优秀推荐参加留用答辩成体系培养，资深分析师和组长带教，过往多名实习生获得留用或中大型买方卖方工作机会少量实习补贴【地点】上海黄浦区【简历投递】：发送简历至chenqh@swsresearch.com，有行业/公司分析报告请一并附上，邮件标题：【SW实习】姓名-学校及专业-毕业时间-可到岗时间-实习时长,0,0,1,山东,菏泽,山东,中国
4,5022055583715943,这一生也都在追,2024-04-11 19:26:59,最近这祛魅属实qu的有点过头了之前印象很好的一个老师因为痛失月薪三千的小助理 （本科同级家里有米的美女姐妹gap半年去🇬🇧读硕了），开始无差别攻击我们其他研究生，我都没来得及接受完这个信息她就开始对着我放炮说“你也别羡慕，到时候出来你俩一样找不到工作”以及闹了很久说要跳槽的老师终于跳槽了，自己的学生研一送人研二以上全部带去某一本，且延毕一年，不知道拿哪里的毕业证。,0,2,3,福建,厦门,福建,中国
4,5021963427250220,杜憬仪,2024-04-11 13:20:46,今┆#非正常动物研究中心  日┆菜鸟助理🆘入神秘组织 开┆疯狂兽医‼️治奇葩病症 播┆🥝爱奇艺全网独播🥝 🔗网页链接 #非正常动物研究中心#  #非正常动物研究中心开播# ,105,321,511,北京,,北京,中国
4,5022054915248406,寿仙谷向海南,2024-04-11 19:24:20,4月10日，农业农村部信息中心团支部书记、信息中心舆情检测处助理研究员张姗，系统开发处助理工程师许阳等参观寿仙谷数智中心。 ,0,1,0,浙江,杭州,浙江,中国
4,5021981601169829,罗切斯特理工大学,2024-04-11 14:33:00,《#美国新闻与世界报道# 2024 年最佳研究生院》中，RIT Golisano计算与信息科学学院的计算机科学硕士项目在全国排名第 70 位。根据同行评估，RIT 其他硕士项目与前几年的排名大致相同：-医疗保健管理硕士项目第65位；-物理（天体物理科学与技术博士）第78位；-医师助理硕士项目第188位；-摄影硕士项目排名第6位；-美术硕士项目排名第23位 ；-生物信息学硕士项目第119位。#美国留学# #美国大学排名# #硕士留学#,6,1,1,韩国,,韩国,韩国
4,5021826950365310,他塔拉,2024-04-11 04:18:29,本人试图给自己的下学期找一个兼职。我在申请的工作包括：1. 社科学院/商学院研究助理2. 图书馆管理员（中文古文方向）3. 实验室动物饲养员4. 领导力课程设计专家5. 本科生宿舍烘焙师（真是能干很多事儿呢…）期间还差点申请：1. 富人孩子陪读老师（给巨多钱，但是我对白人青少年心生恐惧）2. 神学院宗教仪式准备助理（真的很想干这个工作，但实在不知要干嘛）,11,59,373,美国,,美国,美国
4,5021902800161110,深圳医学科学院,2024-04-11 09:19:53,对免疫受体工作原理有兴趣的童鞋们看过来  在免疫受体结构方面有丰富经验的宿强老师入驻SMART啦！ 课题组正招募副研究员/助理研究员、博士后、科研助理和实验室管理员~ 也欢迎本科同学来访问学习！ ,2,1,8,,上海,上海,中国
