页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022404600398595,尹克伦观天下,2024-04-12 18:33:51,这位叫德地立人的人是日本人，现为清华大学公共管理学院产业发展和环境治理中心执行理事、研究员，日本再建首创基金会资深研究员， 国务院国家外国专家局外国专家建议委员会顾问。2009年被授予中国政府对外国人士的最高荣誉“友谊奖”。2017年6月起被聘任为中国石油天然气股份有限公司独立非执行董事。我不知道中石油与洛克菲勒帝国有什么关系，但我知道“美浮”是洛克菲勒的石油产业之一，中石油和美浮的关系，每个加油站都能看到！中国汽油价格世界第一！,132,108,1181,辽宁,鞍山,辽宁,中国
2,5022964238778995,海淀区万寿路健康教育,2024-04-14 07:37:39,口腔：喝酒太多、嗜好槟榔 世界癌症研究基金会指出，40%以上的口腔癌与酒精有关。在湖南，常嚼槟榔的人是口腔癌的高发群体。建议预防口腔癌，除了戒烟限酒、少吃槟榔等刺激性食物，保持口腔卫生、饭后漱口、早晚刷牙也很重要。最后想提醒大家的是：高糖、高能量的饮食模式还会加大食管癌、胰腺癌、胆囊癌、子宫内膜癌、肾癌等多种癌症的风险，平时一定要多加注意，在饮食中控制脂肪和糖的摄入。,0,0,0,,北京,北京,中国
2,5022844067513544,小饭团最可爱_LaLa123,2024-04-13 23:40:07,"和花花宝宝近距离接触好开心、好幸福啊!希望今年夏天花宝不要再被阳光爆晒,有玻璃房,花宝上午外场,中午回内舍休息,下午玻璃房!恳求基地为花花做好防暑,谢谢!@成都大熊猫繁育研究基地 @大熊猫国家公园成都管理分局 @成都大熊猫繁育研究基金会",0,0,0,内蒙古,呼伦贝尔,内蒙古,中国
2,5022807978938656,顺顺利利的嘟嘟岑十达妹,2024-04-13 21:16:44,大熊猫成实肥肥澡堂遛弯（cr.@成都大熊猫繁育研究基金会 官网） ,2,5,10,江苏,南通,江苏,中国
2,5022779785088915,nancy712yangyuanyuan,2024-04-13 19:24:42,大熊猫花花叶子 图片来源成都大熊猫繁育研究基金会 ,0,1,7,湖北,武汉,湖北,中国
2,5022762747565505,云深时见你199911,2024-04-13 18:17:00,农业总汇元宇宙农业+旅游模式值得借鉴　　“连民村的农业技术以及发展模式值得借鉴，尤其是这种将农业发展与旅游业结合起来的商业模式”。　　4月9日至4月12日，坦桑尼亚莫罗戈罗省政府官员与坦桑尼亚经济与社会研究基金会等机构的专家学者代表到访北京和上海，与中方就中非发展农业合作、农村建设等问题展开交流。　　非洲东部、赤道以南的坦桑尼亚拥有约6174万人口，其中农业人口占总人口80％，农业为该国提供了75%的就业机会，对GDP的贡献率达50%，对出口换汇的贡献率达66%。然而即使坦桑尼亚是非洲增长最快的经济体之一，但贫困现象依然存在。如何通过加快农业发展、促进社会转型来提升整个国家的经济发展水平，是坦桑尼亚国家发展的重点议题。　　自从1964年开始，中国向坦桑尼亚提供各种援助，除了坦赞铁路之外，农业是两国之间重点合作交流的领域。在对农业的援助过程中，位于坦桑尼亚南部高地的莫罗戈罗，毗邻坦桑尼亚第一大城市和港口的达累斯萨拉姆，农业发展潜力巨大，得到了包括中国在内的发展合作伙伴的大力支持。3月25日，中国驻坦桑尼亚大使陈明健在达累斯萨拉姆会见莫罗戈罗省省长马力玛时积极评价中坦在莫省开展农业、民生等领域合作取得的成果，并表示今年是中坦建交60周年，地方合作是中坦关系的重要组成部分，中方愿以此为契机，同莫省政府共同深化农业、医疗等领域务实合作，使莫省人民切实从两国合作中受益。　　根据国际市场研究和咨询公司Mordor Intelligence的报告数据，坦桑尼亚农业市场规模预计到2024年为174.4亿美元，预计到2029年将达到229.3亿美元，在预测期内（2024-2029年）复合年增长率为5.63%。　　4月9日，中国农业大学举行了“探索发展道路：中坦发展经验对话”活动。在当天的对话中，来自中非的专家共同探讨可持续农业、社会转型应对、工业化进程挑战、新型全球公共品和中非发展合作等相关议题。4月12日，坦桑尼亚一行赴上海川沙新镇连民村进行实地考察，先后参观了连明湖畔水上运动、乓乓响生鲜产业化联合体展示馆、宿於民宿、玫瑰工坊等该镇多个重点示范性项目。　　在参访过程中，坦方学者对澎湃新闻表示，通过提高农产品收购价、销售利润反哺等措施，农户得以更多分享产业链增值收益，这种商业模式让他们感到印象深刻。此外，生鲜产业联合体以及生态旅游业项目也让他们耳目一新。　　“我非常感谢中方邀请我们到北京和上海交流和学习。在上海，我们看到了两地乡村和农业发展的差异，我们看到了这里的人民如何将技术应用在农业生产，以及如何将农产品推广到市场的方案”。坦桑尼亚莫罗戈罗省地区专员（省长）亚当·奇戈玛·马力玛（Adam Kighoma Malima）对澎湃新闻表示。　　莫罗戈罗省面积约为94万平方公里，占坦桑尼亚大陆面积的4.9%，该地农业、矿业、旅游等资源丰富，是坦赞铁路沿线重要省份。此外，莫罗戈罗省主要经济部门是农业，约80％至90%的劳动力以农业为生。坦桑尼亚政府在2011—2012财年实施“南部农业发展走廊（SAGCOT）”项目，范围包括莫罗戈罗省等9省，覆盖人口达1200万。设立的目的是支持政府和私人投资农业领域，带动绿色革命，促进农业生产。　　资料显示，稻米生产对坦桑尼亚国民经济的重要性日益增加，也是很多农户的重要收入来源。联合国粮农组织官网介绍称，尽管坦桑尼亚可满足本国98%的稻米需求，但气候变化以及农业技术匮乏等因素导致该国农业生产力长期处于较低的水平。　　对此，坦桑尼亚苏科因农业大学教授贾菲特·卡夏伊吉利（Japhet Kashaigili）告诉澎湃新闻，连民村是非常经典的乡村振兴案例，其发展经验也让他获益匪浅。“我看到（中国的）政府部门如何参与水利设施和灌溉系统等基础设施领域的建设，并了解（中国）基层政府组织私营部门参与延长农业价值生产链的具体方式”。　　中国农业大学文科资深讲席教授李小云代表团队感谢坦桑尼亚合作伙伴，他指出，中国在过去四十余年历经的跨越式增长，离不开国家在农业、工业化和城市化的战略布局，而这一经验也可以为坦桑尼亚等发展中国家提供参考。中国对支持非洲国家发展，与非洲国家分享发展成果和促进中非长期关系的态度始终如一。中坦两国在农业领域具有深厚的合作底蕴，主要体现在两国在地方层面的务实合作。　　中坦农业合作的典型案例是中国农业大学在莫罗戈省科研、人才和教育援外等领域的合作。自2011年起，中国农业大学李小云教授团队在莫罗戈罗省，与当地政府和苏科因农业大学合作，持续推进“小技术大丰收”、“小豆子大营养”等中坦农业减贫合作项目。　　中国农业大学国际发展与全球农业学院副院长唐丽霞对澎湃新闻表示，希望这次交流能切实推进中坦两国在农业高等教育领域的合作。“希望此次交流能让坦桑尼亚有关人士了解中国城乡融合以及转型的进程及经验，推动交流活动的机制化”。　　（免责声明：本文转载自其它媒体，转载目的在于传递更多信息，并不代表本人赞同其观点和对其真实性负责。请读者仅做参考，并请自行承担全部责任。如涉及作品内容、版权和其它问题，请联系删除。）,0,0,0,湖北,武汉,湖北,中国
2,5022631772815565,我见金刚,2024-04-13 09:36:32,我最近形成的人生理想是，成立一个资助管理学博士研究的基金会。好多博士真是又穷又苦，苦到我这么能忍的人，都快崩溃了。 ,0,0,0,北京,北京,北京,中国
2,5022495872911021,一摊鱼卷饼,2024-04-13 00:36:32,改名吧@中国大熊猫保护研究中心  你就是@成都大熊猫繁育研究基金会  分基地，趁早把自己名字换了吧 ,0,0,0,山东,济南,山东,中国
2,5022484927878832,枫辰兮兮,2024-04-12 23:53:03,真当煤炭粉好说话！真是把谁都当爷爷了@中国大熊猫保护研究中心  还有基地自己管理无能造成的果让其他机构给你们擦屁股真行啊这些年要了多少熊了净会压榨熊借过来了之后你们好好养了嘛@成都大熊猫繁育研究基金会  基地是拿捏住你什么把柄了受苦的是熊不是你们这些领导所以无所谓是吧@国家林业和草原局,0,0,0,四川,阿坝藏族羌族自治州,四川,中国
2,5022443163620667,YB5023_857,2024-04-12 21:07:05,洛克菲勒基金会：1913年由约翰·洛克菲勒创立，对医药、农业、艺术、社会科学等领域提供研究经费。中国是该基金会最早和最重要的海外工作对象。包括创办北京协和医学院、开展乡村建设计划，推动自然科学学科建设、发展美国的中国学研究等。 ,0,0,0,山西,吕梁,山西,中国
