页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022398750132546,伽利略与百合环,2024-04-12 18:10:36,笑死了，明天开运动会，学院里九个研究所八个奖项，这是什么大型抢凳子游戏行为。 ,0,0,4,北京,,北京,中国
2,5022147382609860,魔金石科技,2024-04-12 01:31:46,北京邮电大学研究生联名举报导师的事情大家都知道吧？各位知道这件事儿最震撼我的是什么吗？那就是在研究生的联名举报材料中透露这位导师曾让手底下两名研究生替自己还在上中学的女儿参加创新比赛，大致意思就是比赛奖项挂导师女儿的名字，具体项目让研究生去执行。结果这两名研究生直接搞砸了，导师女儿最终没有获奖，当时导师还专门打电话严厉训斥当事研究生“就连初中的事情都做不好”。那么究竟为什么这两名研究生连初中的事情都做不好呢？我抱着好奇的心态查了一下举报材料聊天记录中提到的“第二十四届海淀区中小学生金鹏科技论坛”，结果直接惊了！大家自己来看看网传此论坛不同学龄的参赛项目汇总吧……试问哪家的小学生会去研究AR显示感知、加氢站可用性和全自动太阳能追光啊？试问哪家的中学生会去研究智能仿生机器猫、无人驾驶清洗车和核污染采样机器人啊？试问哪家的高中生会去研究前列腺癌细胞、无尾布局战斗机和雷达环境感知组网啊？难怪这两名研究生会搞砸，这还是学生比赛吗？这不纯纯代理人战争吗？#北邮通报学生联名举报导师事件##北京邮电大学取消郑某研究生导师资格#魔金石科技,8,11,30,江苏,徐州,江苏,中国
2,5022386762550911,清子TAT,2024-04-12 17:22:58,卧槽这个群面除了我全是硕士生而且好多发表过sci和有各种研究成果有各种比赛奖项，把我放进这个群面还都让我第一个发言是要干什么啊啊啊啊啊啊崩溃了 ,0,0,1,上海,,上海,中国
2,5022271116152247,双流文旅体,2024-04-12 09:43:26,【全省各区（市）县第一！双流区融媒体中心11件作品荣获省级奖项】成都双流。日前，省报纸副刊研究会公布了2023年度四川省报纸副刊获奖作品评选结果，双流区融媒体中心共有11件作品获奖，其中一等奖3件，二等奖1件，三等奖7件，获奖作品数量在全省参评的各区（市）县媒体单位中继续位列第一。（来源：@双流发布 ）网页链接,0,0,0,,成都,四川,中国
2,5022234370114236,电气技术杂志社,2024-04-12 07:17:25,【中国石油大学（华东）孟庆伟副教授：含高比例风电的远海油气平台群孤网多智能体协同调频】孟庆伟，博士，中国石油大学（华东）副教授，硕导。主持各级各类项目20余项，参与项目20余项。发表论文30余篇，其中SCI/EI检索20篇；申请专利17项，已授权10项。获得各级各类奖项4项。研究方向为新能源电力系统的多智能体（源网荷储）协同调控、性能评价；电压暂降；海上平台电力系统；石油石化电力系统；电力设备的状态监测、评估、预警。网页链接,0,0,0,天津,,天津,中国
2,5022132981989740,18oD,2024-04-12 00:34:32,今天面试了家大公司 也不知道我的简历哪里能过初筛 群面的时候 他们来自各种985211院校的研究生 两分钟自我介绍他们都不够用 而我一分钟就讲完了我所有曾经＂引以为傲＂的经历和奖项 在分组讨论和辩论的时候 才感受到了文化底蕴的参差 那一刻我真希望自己当初能多读点书 我一直觉得自己说话自信且有逻辑 表达能力强 可我讲述观点的时候 都是没有任何引用 是空架的论点 活到老学到老,0,15,8,重庆,,重庆,中国
2,5021995884612829,财新网,2024-04-11 15:29:46,【2023年图灵奖揭晓 得主也曾获数学界最高奖项】2023年图灵奖揭晓 得主也曾获数学界最高奖项 有“计算机界诺贝尔奖”之称的图灵奖2023年度得主揭晓。当地时间4月10日，国际计算机协会（ACM）宣布，美国普林斯顿高等研究院数学系讲席教授阿维·维格德森（Avi Wigderson）成为2023年度 ACM A.M.图灵奖获得者，以表彰他在计算理论基础领域的贡献，包括重塑我们对计算中随机性作用的理解。值得一提的是，2021年维格德森因在计算机理论基础方面的贡献获得了数学界的最高奖项之一阿贝尔奖。维格德森也是唯一一位同时获得数学与计算机领域最高奖项的学者。维格德森认为自己既是数学家也是计算机科学家。他的研究工作主要是数学层面的，但他想通过这些工作去理解的概念则是计算层面。从 20 世纪 90 年代开始，他在随机性和计算方面的研究揭示了数学与计算机科学之间的深层联系。,5,10,19,,北京,北京,中国
2,5022055101106169,埃森哲中国,2024-04-11 19:25:04,今日，埃森哲中国荣获卓越职场®研究所Great Place to Work® Institute授予的“2024年大中华区Best Workplaces for Women™”。这是埃森哲连续第三年获得该奖项，有力证明了公司在打造平等职场、推动女性赋权方面所做的持久努力。埃森哲中国连续三年蝉联Best Workplaces for Women™ ,4,0,2,上海,上海,上海,中国
2,5021993498053295,2gua,2024-04-11 15:20:17,今年计算机最高奖“图灵奖”由普林斯顿高等研究院的复杂性理论先驱 Avi Wigderson 教授摘得，他同时还是数学领域最高奖项“阿贝尔奖”的获得者（2021），第一位同时获得数学和计算机最高奖的科学家，太厉害了！ ,0,1,4,福建,福州,福建,中国
3,5021937799006798,象限航海,2024-04-11 11:38:57,sc有点适合那种：导师*学生，比如说老萨是某大学年轻有为的知名教授，sci一区手拿把掐荣获奖项无数，云是从初中就开始憧憬老萨，努力申上老萨学生的研一新生，刚入学就收到通知要和导师一起做项目，兴高采烈跟着在实验室工作。结果老萨自己做的研究在某一天有了巨大突破（能颠覆领域核心理论的那种），但这个研究的成果和应用不论从伦理上还是法律上都damedane，且很少人发现这一点（因为老萨隐瞒了不少实验真相）。云发现了然后跟老萨展开一系列紧张刺激的拉扯对质，云的目的是阻止成果的应用（论文已经发了所以没法阻止成果发表了），结果老萨说“你知道我为啥亲自带你吗？因为我自己要当这个研究下一步的试验体，然后我就没了，由你来接手接下来的研究”，一句话把云整懵了不知道该咋办才好。最后老萨看云犹豫不决的直接自己上了把自己做试验预处理了，然后云怀着复杂的心情一边继续研究一边想办法看能不能把老萨恢复原样。,0,1,8,山西,晋中,山西,中国
3,5021746316450329,chenchen1126,2024-04-10 22:58:04,龙年龙月龙日龙时2024第八届麒麟国际广告奖启动麒麟奖不负使命与釜山广告奖亚洲创意节一起成为亚洲广告营销奖项的代表提升行业标准推动中国品牌成长推动广告营销行业可持续发展共同成长今天终审评委们齐聚万怡互通甚欢同样也是上海交通大学媒体与传播学院品牌研究中心的揭牌仪式麒麟奖接着是广州香港新加坡......评委们一起努力吧妈妈种的薄荷已经疯长铺满了院子爸爸养了两年的朱顶红已经花开四朵有空抬头看看今晚的月亮很美风轻光柔在时间里将我包围安心勿念爱你们,1,0,1,上海,上海,上海,中国
3,5021606378734151,新京报教育新闻,2024-04-10 13:42:00,【#九旬院士投身风洞研究60余载#】风洞作为地面上的“天空”，飞行器的“摇篮”，见证着我国东风系列导弹、神舟系列飞船等国之重器的诞生与成长。而俞鸿儒院士，就是我国高超声速风洞奠基人，研究风洞技术已有60余年。在国家资金紧张之际，俞鸿儒选择了省钱的研究路径，成功完成试验！在报国家奖项时，作为主要设计者的他却把自己的名字写在了最后。致敬！央视新闻的微博视频,0,0,1,,北京,北京,中国
3,5020981024786984,央视新闻,2024-04-08 20:17:04,【#九旬院士投身风洞研究60余载#】风洞作为地面上的“天空”，飞行器的“摇篮”，见证着我国东风系列导弹、神舟系列飞船等国之重器的诞生与成长。而俞鸿儒院士，就是我国高超声速风洞奠基人，研究风洞技术已有60余年。在国家资金紧张之际，俞鸿儒选择了省钱的研究路径，成功完成试验！在报国家奖项时，作为主要设计者的他却把自己的名字写在了最后。致敬！#感动中国年度人物公布##感动中国# 央视新闻的微博视频,201,182,1274,,北京,北京,中国
3,5021250814219485,王先森De时光机,2024-04-09 14:09:07,如同假日办研究调休招来骂名一样，CBA联赛的管理者们每年都不顾联赛被弄的乌烟瘴气，却将全部智商用于如何不让辽宁男篮和球员获得年度荣誉上。一个联赛的三届冠军，常规赛第一名，却没有任何奖项。按照杨毅的话，“年年一到评选CBA奖项，就跟辽宁没关系。成绩好从来评最佳教练不沾边，非说是球员强；说球员强，一个个人奖项也没有，说是队伍强；队伍强又跟教练没关系。哈哈哈哈，人家这逻辑，这么多年感觉成绩好很耻辱”。很想知道姚明担任CBA董事长期间到底辽篮怎样得罪他了，只是因为辽篮第一个冠军时全胜？没有按照管理层部署的多打几场比赛？一直觉得姚明是年轻人的榜样和楷模，而且以他的阅历和境界不应当有这般狭隘的心胸。那是别人左右的吗？,0,0,0,辽宁,沈阳,辽宁,中国
3,5021189575545468,号吃宝,2024-04-09 10:05:47,研究生退学真的服了！ 谁家好导师还拼命使唤研三学生啊我请问！！ 距离送盲审还有几天时间 我1号发给她修改稿到现在都还没反馈 这期间我又是帮她审她收到的盲审论文 又是帮她整申报奖项的材料 研三马喽的命就不是命是嘛？？？ 真的无语到了极点啊啊啊啊 ,0,0,2,广西,桂林,广西,中国
3,5021035433558906,想拥有一辆特斯拉,2024-04-08 23:53:15,day29打卡。译文：但是诺贝尔基金会的限定——每个奖项获奖人数不超三人，且必须都在世——早就因为现代研究的协作性质而不再适用了，这一点会在确认希格斯玻色子的发现时得到证明，因为届时必然会出现关于“哪位遭到忽视”的争论。,0,0,0,黑龙江,大庆,黑龙江,中国
4,5020954080578038,英国利物浦大学,2024-04-08 18:30:00,"【利物浦大学研究人员再获科研领域著名奖项】The Sir Philip Randle Lecture每两年颁发一次，由成立于1911年的Biochemical Society（生化学会）授予来自世界各地的杰出科学家。利物浦大学Institute of Systems, Molecular and Integrative Biology执行院长Sonia Rocha教授也是首位荣获该奖项的女性科学家。Rocha教授的研究聚焦于细胞在供氧减少的情况下所发生的变化，这一研究方向对多细胞生物的健康与疾病状况有着重要影响。英国利物浦大学",1,0,7,北京,北京,北京,中国
4,5020525192021366,成华服务,2024-04-07 14:05:45,【成都科学家斩获国际大奖 为国内首位相关奖项获得者】成都理工大学沉积地质研究院、沉积与生物地球化学国际研究中心李超教授荣获2024年瓦尔特奖章（2024 Johannes Walther Medal）。据了解，瓦尔特奖章是由国际沉积学家协会为了纪念德国地质学家J.瓦尔特而设立（Johannes Walther，即瓦尔特相律提出者），该奖章每两年在全球范围内仅授予一位科学家，以表彰其在沉积学领域作出的重大贡献。李超教授是首位获此殊荣的中国科学家和华人学者。（成都日报）,0,0,0,,成都,四川,中国
4,5020515572122303,吃桃子不吐桃子皮er,2024-04-07 13:27:32,王一博真的多少有点旺导演体质了  去年三个电影 题材受众都不高但成绩都很好 仨导演分别拿了三个最佳导演奖  这次感觉姚导也有很大概率能拿个奖  全员上桌配角还发言感谢了他 说他的角色立住了 他的流量大才让观众能够看到这些配角  我是不了解也没研究过电影啊电视剧这些奖项评定之类的  但总之希望追风者能拿奖  希望王一博能拿奖,0,0,1,河南,郑州,河南,中国
4,5020454786433159,可可薏米狗子粥,2024-04-07 09:25:58,#研究生招录应增加品德考核比重吗#别成为硬性标准了  不然会衍生出一些无意义的比赛 然后像汉朝举孝廉一样把奖项塞给关系户或者大家来卷 ,0,0,4,湖北,武汉,湖北,中国
4,5020444585363885,成都科协,2024-04-07 08:45:27,【成都科学家斩获国际大奖 为国内首位相关奖项获得者】成都理工大学沉积地质研究院、沉积与生物地球化学国际研究中心李超教授荣获2024年瓦尔特奖章（2024 Johannes Walther Medal）。李超教授主要从事早期地球海洋环境演化及其生命、矿产和能源效应研究（沉积地球化学、生物地球化学、地球生物学）。在早期地球海洋，特别是在元古代-古生代早期海洋化学空间结构、海洋化学与复杂生命协同演化、分层海洋环境下关键生命元素的生物地球化学循环和古海洋碳酸盐沉积地球化学等方面取得创新成果。据了解，瓦尔特奖章是由国际沉积学家协会为了纪念德国地质学家J.瓦尔特而设立（Johannes Walther，即瓦尔特相律提出者），该奖章每两年在全球范围内仅授予一位科学家，以表彰其在沉积学领域作出的重大贡献。李超教授是首位获此殊荣的中国科学家和华人学者。,0,0,1,,成都,四川,中国
4,5020094419173672,杭州检察,2024-04-06 09:34:01,【杭检1+3！“检察侦查理论与实践”征文获奖论文名单公布】近日，杭州检察共有4篇佳作在“检察侦查理论与实践”征文活动中斩获奖项，其中1篇论文获二等奖，3篇论文获三等奖。据悉，本次征文由人民检察杂志社与河南大学职务犯罪检察研究中心（最高人民检察院职务犯罪检察研究基地）、四川省遂宁市人民检察院等单位联合举办，共收到系统内外征文743篇，专家评审委员会遵循“导向正确、观点新颖、论述严谨、公平公正”原则，经过三轮严格筛选，评选出优秀论文54篇，其中一等奖9篇、二等奖18篇、三等奖27篇。网页链接,1,0,1,,杭州,浙江,中国
4,5019508406224428,澳大利亚驻华使领馆,2024-04-04 18:45:25,昨天，来自澳大利亚各地为科学进步做出杰出贡献的22名研究人员获得了“澳大利亚科学院荣誉奖”。这一年度奖项旨在表彰澳大利亚领先科学人员的成就，不论是职业生涯早期的研究人员，还是一生为科学做出贡献的人。澳大利亚科学院院长 Chennupati Jagadish 教授表示，这一奖项彰显了澳大利亚研究人员多元的贡献以及长期致力于科学的力量。 “从气候变化到公共卫生，澳大利亚研究人员正在解决我们社区每天面临的挑战，”他说。今年的获奖者及其研究领域如下。让我们恭喜获奖的澳大利亚科学家！• Yao Zheng 教授 – 未来清洁能源中的海水• Ana Martins Sequeira 博士 – 保护巨型海洋动物• Justin Gooding 教授 – 通过创新改善人类健康• Anita Ho-Baillie 教授 – 探索太阳能的未来 • Andrew Steer 教授 – 应对热带疾病• Anthony Weiss 教授 – 帮助伤口更快愈合的“灵丹妙药”• David Lindenmayer 教授 – 重建澳大利亚森林• Jiajia Zhou 副教授 – 新型冠状病毒的快速检测• Stephen Vervoort 博士 – 通过基础研究对抗癌症• Sonia Shah 博士 – 遗传学如何影响我们患心脏病的风险• Lining (Arnold) Ju 副教授– 预防心脏病的个人使命• Kirsty Short 副教授 – 为流行病做好准备• Eric Chow 教授 – 对抗性传播感染• Hamish Clarke 博士 – 了解丛林大火• Ailie Gallant 副教授 – 调查干旱的根源• Christopher Lustri 博士 – 渐近方法下的逼近理论• Serena Dipierro 教授 – 用数学解码现实世界• Andrew King 博士 – 变暖星球上的极端天气• Peter Koopman 教授 – 解码胚胎发育• Adriana Dutkiewicz 博士 – 绘制全球海底沉积物图• Stephen Cox 教授 – 寻找地球宝藏• Kerrie Mengersen 教授 – 带来改变的数据,2,22,45,澳大利亚,,澳大利亚,澳大利亚
4,5019894594669595,默亦陌-YH,2024-04-05 20:19:59,好像没有必要填申请表了 研究了一下前两年的获奖情况 发现每个奖项只有一个名额 再结合国奖的获得人选 so我放弃好像才是最合理的做法哈哈哈 大家平时还是要多多参加比赛多获奖啊 ,0,0,0,江苏,苏州,江苏,中国
4,5019889368302055,建民村市民,2024-04-05 19:59:12,经湖南省霸天逗狗文化传媒有限公司研究决定，兹授权一号栋业主委员会授予一号栋一楼门面小罗便利店的老板蔡狗这个畜生biao子崽和它的骚mapi biao子堂客——“精神病癫狗子狗za种”这一“荣誉”称号！！！由一号栋业主委员会代表陈某为它们颁发该奖项。喔还港卵！！！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 益阳·小罗便利店,0,0,1,湖南,益阳,湖南,中国
4,5019757260309376,瀤嚄,2024-04-05 11:14:16,近日，研究了痘印点赞和奖项的关联。如图所示，男二葬礼高赞，男二得了个提名。热烈我们有一个超高赞，我们得到了提名。如果我的推断正确的话：追风者，我们必须要保持最高赞是我们的！@乐华娱乐杜华  @乐华娱乐 @YIBO-OFFICIAL    玛得，从现在开始谁给配角点赞谁拉出去______！ ！ ！！！！！已经点赞的都去给我取消！！ ！  ！！,0,0,0,辽宁,沈阳,辽宁,中国
5,5019714663219468,研究生申请陈大大,2024-04-05 08:25:00,大大老师想咨询一下  双非艺术学院，绩点88，雅思6.5小6，七八个奖项，三段传媒实习，还有一些其他实习，浸会mm 还有希望么[哭惹R]  #香港研究生申请##陈大大说研究生申请# ,0,0,0,中国香港,,香港,中国
5,5019564851074402,佩奇快打小卖部,2024-04-04 22:29:42,盖子娘点进我猫微博怎么研究也只能看见奖项陈列柜，此猫上次点进微博只为换个头像，没这件事大的都不值得我猫费心 ,0,0,0,浙江,台州,浙江,中国
5,5019394529299483,rexcbt,2024-04-04 11:12:54,讲真，我看本科生简历的时候，如果谁把自己高中阶段的奖项列在上面，我会在心里打个问号。研究生如果列了本科阶段，大奖或者毕业生相关还行，列其他的我也会打个问号。如果一个97年出生的求职者，简历亮点是高考数学成绩还行，只进了个211本科，而工作上平平无奇，我不知道有什么理由让他进面试。没错，张凌赫这种货色放在现生里就是我看不上的浦南（补充个冷知识，全国211高校有一百多，江苏省内就有12所）,0,3,7,上海,,上海,中国
5,5019384628118161,最爱广元,2024-04-04 10:33:34,【#达州市中心医院获四川医学科技一等奖#】四川省医学会2024年学术大会在成都召开，由市中心医院重症医学科主任郑祥德牵头的科研团队研究的“声音导航的空肠营养技术”被授予四川省医学科技成果推广类唯一的一等奖，为四川省地市州级医院首次获得该奖项。 ,0,0,0,四川,广元,四川,中国
5,5019226974718483,陕西考生网,2024-04-04 00:07:06,发布了头条文章：《Nice！西安汽车职业大学请查收！奖项再+25》 　　陕西省职业技术教育学会优秀论文评选活动，旨在促进我省职业教育学术交流活动的广泛开展，鼓励更多高水平优秀论文及创新成果涌现，推广陕西职业教育教学改革的研究成果。西安汽车职业大学教职工积极参与，将理论知识与职业本科教学日常有机结合，对其论点进行深刻阐述，促进本科层次职业教育良好发展，助力学校形成良好的职业教育研究环境与学术氛围。 Nice！西安汽车职业大学请查收！奖项再+25,0,0,0,陕西,西安,陕西,中国
5,5019203994650202,不被理解的干涸,2024-04-03 22:35:46,而且立刻用站姐发图来投稿吹，笑死放一块显得格外寒碜，就像别人晒自己的研究所得奖项，另一个人说我幼儿园也是拿过奖状的，非常幽默,0,0,0,安徽,宣城,安徽,中国
5,5018991674524685,池州文化旅游,2024-04-03 08:32:06,池州市三位作家获中国散文年会奖项　　池州日报讯（记者徐婷）日前，2023年度中国散文年会召开，会上评选出十佳散文奖等奖项。其中，我市陈寿新散文《大大》、陈春明散文《小苏》、方严散文《邂逅凤凰》均获得二等奖。　　据悉，陈寿新是中国作家协会会员、安徽省当代影视创作研究院专家委员会委员，著有《张恨水的那个黄土岭》《五月端阳，黄鳝泥鳅一样长》等作品。陈春明是中国作家协会会员、中国楹联学会会员，安徽省书法家协会会员，池州市作协党支部书记、常务副主席。著有个人文集《阅读人生》《心岸踏歌》《与时俱进》《轻舞飞扬》等。方严是安徽省作家协会会员、中国诗歌学会会员，先后出版诗集《忽然安澜》《云间》《山水诗笺》、韩语诗集《梵净山的钟声》、日语诗集《在路上》等。,0,0,0,,池州,安徽,中国
5,5018500414573616,淘票票,2024-04-02 00:00:01,#我的姐姐上映三周年# “举镜子的女孩，把自己照亮。”✨ 今年“安然”是不是研究生顺利毕业啦～2021年4月2日，由@张子枫 领衔主演的电影《我的姐姐》正式上映，收获8.6亿票房佳绩，张子枫也凭借本片获得华表奖优秀女演员、金鹿奖最佳女主角等奖项认可。子枫说，之后在自己比较崩溃的时候，也会想起姐姐，“好像想到她，总会带给我很多力量感。” 相信这个照亮自己的女孩，也会继续照亮更多的“她” #我的姐姐上映3周年#,134,94,1172,,,北京,中国
5,5018733125306112,老移民summer,2024-04-02 15:24:43,申请美国杰出人才移民什么样的“奖项”不如没有？尽管EB1A要求的奖项是个人性的奖项，但这并不是说团体性奖项完全没有用。虽然团体奖项不能够满足“奖项”这一主张，但是，却能够很好的佐证其他主张。比如，申请人带领团队或参与的研究项目获得团队奖项，如果我们能够证明申请人作为团队主要一员，发挥了关键性作用，可以印证申请人的“领导性或关键性作用”。 移民评估网页链接 然而，在这里我们要重点说下，有些“个人”奖项，还不如团队奖项，申请EB1A移民时，不如没有它们。奖项“造假”尽管，EB1A移民申可以通过规划提升申请人的条件，但是我们还是要奉劝各位申请人，千万不要造假，原因不再赘述。与申请定位不符的奖项有的申请人在不同的领域都有优秀表现，在事业的不同阶段获得了不同类型的奖项，这时就必须有取舍，选择符合申请定位的奖项。比如说，一位曾经是优秀运动员的商业领域内的企业家，在以一位杰出企业家的形象申请EB1A时，出现数十年前的体育奖项，显然是不合时宜的。证据不完善的奖项如果不能提供上述论证奖项所需要的完整材料，我们也不建议提供该类奖项的论证。比如，在移民局以往的案例中，有一位武术家获得了跆拳道比赛冠军，她将自己与奖杯的合影作为证据提交给了移民局。这张照片没有被作为合格证据采纳，因为照片只能证明奖杯是哪一年的哪一个跆拳，并不能有效证明该奖项是具有国家性或国际性认知度的合格奖项。#美国杰出人才移民eb1a##美国移民##美国eb1a移民#,0,0,0,北京,北京,北京,中国
