页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5015812010413124,桥见BridgeAesthetics,2024-03-25 13:57:15,上海外滩美术馆开讲堂啦‼️💜“讲———堂”模糊了展览、剧院、夜店和集体学习空间等的场域的界限，将美术馆展厅转化为全年开放的活动场所。 最初于1933年，在外滩美术馆二楼设立的“伍连德讲堂”是亚洲文会会员展示研究成果、举办庆典以及参与国际事件（如1940年代纽约世界博览会）的重要地点。今年，将1933年的讲台改造为一个上海剧场。 “讲———堂”的核心理念在于对学习行为的动态理解：比起静态的学习概念，更强调运动、流通和再分配。从表演、讲座和工作坊到对话、派对、舞蹈、卡拉OK、吃饭、休息、写作和阅读的各种活动都对展览的塑造起着关键作用。🧡讲———堂展期：2024.3.23 -（持续项目）地点：上海外滩美术馆2楼开幕表演：33EMYBW音乐 上海·上海外滩美术馆 桥见BridgeAesthetics的微博视频,0,0,0,上海,上海,上海,中国
2,5015788844745362,伊周magazine,2024-03-25 12:25:12,#伊周news# 3月20日至22日，2024中国国际化妆品个人及家庭护理用品原料展览会（PCHi）在上海举行。在有关化妆品成分前沿技术的国际会议中，LG H&amp;H的首席研究员兼项目领导金炳贤(译)研究员发表了NAD+在护肤领域中的最新研究成果。除了在护肤领域外，NAD+还具有解决各种衰老问题的潜力，引起了全球科学界和抗衰老相关行业的极大关注。前人研究集中在改善NAD+的人体退行性疾病上，NAD+对皮肤的抗衰老机制研究尚未证实有意义的研究成果。 LG H&amp;H化妆品研究所从10多年前开始集中对此进行研究。成功开发出功效优秀成分但不易稳定的NAD+脂质体胶囊化技术，使化妆品上市成为可能。通过对NAD+10余年研究的执著，取得了创新技术成果，改写了未来抗衰老护肤的时间轴。,0,0,1,,北京,北京,中国
2,5014755737339494,清华大学,2024-03-22 16:00:00,【清华美术学院寒假社会实践美育成果展开幕】3月15日-28日，“沃野回响—清华大学学生社会美育实践成果展”举行。展览集中展示了16支本科、研究生美育实践支队的相关成果及案例，行动形式涵盖城乡风貌改造、优秀传统文化溯源创新、科普美育课堂、国际艺术文化传播等。#清华大学社会实践# ,3,1,20,北京,北京,北京,中国
2,5014385332585946,AMR材料研究述评,2024-03-21 15:28:09,科研与艺术的精彩碰撞，上科大AMR期刊年度首场封面展3月12日，《材料研究述评》（Accounts of Materials Research，AMR）2024年度系列封面展首站在上海交通大学包玉刚图书馆开幕。本次展览展出了40幅AMR期刊封面，展现了AMR刊出的材料科学与工程领域优秀研究成果，通过科学与视觉设计的交融促进学术交流。本次展览由AMR与上海交通大学图书馆合作举办。展览介绍的40幅封面所涉及的文章涵盖催化材料、多孔材料、微纳材料、光电材料、生物医用材料、储能材料以及新材料设计等主题。,0,0,0,上海,,上海,中国
2,5013939138332038,胤知录,2024-03-20 09:55:08,中国国家画院是当代中国美术创作研究的主力军和国家队。“守正创新——2023年度中国国家画院学术作品展暨年度收藏作品展”，是中国国家画院一年一度的重要学术展览，展出精心创作的近150件作品，包括国画、油画、版画、雕塑、书法篆刻等多种门类，全面呈现了中国国家画院艺术家2023年的创作研究成果。 ,0,3,0,北京,北京,北京,中国
2,5013701293772205,香港特区政府驻沪办,2024-03-19 18:10:01,【国产破冰船4月访港】中国极地科学考察破冰船“雪龙2”号4月访港，科学馆昨日（3月18日）起至6月26日举行极地科研与气候变化专题展览，展示该船的任务和科研成果，免费入场。香港特区政府环境及生态局局长谢展寰昨日在展览开幕典礼致辞时表示，中国极地研究中心一直进行极地科学考察和研究，在冰川变化、气候记录、海洋生态系统，以至气象观测领域，中国都担当重要角色。◎了解更多：网页链接#香港##科学考察##破冰船##科研##冰川# 香港特区政府驻沪办的微博视频,0,0,1,,上海,上海,中国
2,5013585586031551,黄河新闻网,2024-03-19 10:30:14,#万千气象看山西##万千气象看中国##春归三晋向新而行#【山西省6个项目入围全国博物馆展览“十大精品”】入围的展览分别是：山西博物院的“晋魂”基本陈列山西省考古研究院（山西考古博物馆）的“考古的温度——山西‘十三五’考古成果展”太原市文物保护研究院（双塔博物馆）的“走进博物馆——民俗文化系列展之山西手工纸制作技艺与生活”大同市雕塑博物馆的“溯源·寻根——大同考古纪实展”晋城市文物保护研究中心（晋城博物馆）的“泽州万像——山西晋城古代彩塑壁画艺术巡展”临汾市博物馆的“文明化成——中华早期文明都邑联展”山西省6个项目入围全国博物馆展览“十大精品”,0,0,0,,太原,山西,中国
2,5013386041754689,重庆蔡律,2024-03-18 21:17:19,第二届川渝共青春美育嘉年华暨第三届重庆美育教学成果展启动。2024 年 3 月 18 日，第二届川渝共青春美育嘉年华暨第三届重庆美育教学成果展启动仪式在重庆市国际会议展览中心会议中心 1 楼多功能厅隆重举行，原重庆人民政府副市长、市人大副主任、重庆市美育研究会首席顾问余远牧，共青团重庆市委副书记贺秀山，重庆市社科联副主席潘勇，永川区委宣传部部长张小梅，重庆市美育研究会会长张礼慧，石笋山董事长蔡家泽，总经理蔡丽等出席启动仪式。重庆重庆·重庆国际会展中心 重庆蔡律的微博视频 重庆·南坪国际会展中心,0,0,0,重庆,重庆,重庆,中国
2,5012558780040265,武汉广播电视台,2024-03-16 14:30:05,#2024武汉文化产业发展#【直播： “非叙事：何多苓的绘画”展览】“20世纪美术家”作为湖北美术馆的重要研究专题，其目的不只在呈现艺术家与美术史间的文脉联系，更旨在追踪亲历中国当代艺术进程的艺术家们的持续创作，并将这种动态的观察过程与阶段性成果呈现给观众。展览“非叙事——何多苓的绘画”的举办正是出于上述初衷。此次展览呈现了艺术家不同时期的重要作品，以非叙事的视觉表达与展览路径去呈现其创作中不曾间断的，关于自然、人、诗与文学的“个人化”叙述。活动邀请到本次展览策展人蓝庆伟与参展艺术家本人何多苓为媒体和观众做参观。  武汉广播电视台的微博视频,1,0,1,,,,
2,5012556810813692,彩儿姐_cc,2024-03-16 14:22:14,车2024 年 4 月 1 日由中国光学工程学会、中国通信学会车联网委员会、中国信息通信研究院、广东省车联网产业联盟 在“第七届国际智能工业大会”上联合主办“车联网与智能 网联汽车论坛” ， 同期 3 月 30 日至 4 月 1 日组织智能装备 与工业化设备博览会、科技创新成果评选及展览展示。本届论坛主体为“云图网融、智慧车路”，构建一个多元、开放、创新的全球性共享平台，汇聚产业界有识之士、专家学者、企业界精英，探索车联网与智能网联汽车产业“车路云网图”新模式、新动能，引领智能网联汽车中国方案高 质量发展。大会研讨范围： C-V2X 车联网技术发展与产业落地、智能网联汽车、智慧交通基础设施、自动驾驶、 车路协同 深圳感兴趣的朋友可以免费参加车联网#自动驾驶##智慧交通#,0,0,0,广东,广州,广东,中国
