页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023397875286293,字道,2024-04-15 12:20:45,聲符字源流比較複雜，涉及語源多層次的音義系統。多年來，王寧及其弟子的博士論文做出系列探討，較近的研究成果是陳曉強的《形聲字聲符示源功能研究》（2021年）。陳著在黃易青的系聯基礎上對一些聲符字音義構成做出分析，比殷寄明（1998，2000，2007，2018）單純列出聲符字各個音義推進一大步，個別字還涉及聲符字的本義。而殷寄明否認音義和本義有聯繫。   筆者主張漢字原型，講究推源，注意本義。如“宇” 的聲符“于”，起先人們簡單地看做純粹的聲符，沒有任何意義，其後發現其有大義，表示房屋的空間。那麼“于”何以為大？按照殷寄明的觀點，這是語言借用，與本義無關。筆者以為“宇”聲符與其字本義儘管沒有直接聯繫，但不能說沒有聯繫。有的人走向另一個極端，隨意想象其聯繫（如講于看成“竽”，說是屋內吹笛人），顯然行不通。    那麼“宇”的聲符“于”，如何取象？筆者思考多時，難以確認，因為“宇”字還有一種寫法，其聲符字為“禹”。這又“岔開”原來的思路了。但隨著對“禹”的深度解讀，從文化人類學的找到相關理據。於是這個岔開的思路恰恰提供了新的解釋空間。據此，筆者認為“宇”的聲符來自“吁”（詳情另文）。當然，這也只是一個假說，有待進一步完善。,0,0,0,上海,上海,上海,中国
2,5023392909230413,Frankfurtwise,2024-04-15 12:01:01,做生意最好不要在亲朋好友之间做，研究人员为了探讨社会关系是否影响B2B交易，展开了调研，结果显示，买卖双方的关系更容易提高而不是降低消费金额。 ,0,0,0,广东,广州,广东,中国
2,5023390166157201,渔樵谈法硕,2024-04-15 11:50:08,《海外商业秘密保护实务指引》本项目旨在通过对我国企业面临的海外商业秘密保护问题进行研究，运用数据统计、对比分析等方法，梳理国内企业在海外商业秘密保护中存在的问题，探讨相关案例中有效的应对手段，为我国企业因商业秘密问题可能遭受到的海外法律诉讼、外国ZF有关部门的调查提供对策建议，为企业海外商业秘密保护合规管理、获权维权提供 帮助，提出建立具备风险预警、纠纷应对等完备服务功能的海外商业秘密维权保障机制的相关建议。需要的友友请平仑1#法律实务# #攒点知识#,1,6,1,江苏,南京,江苏,中国
2,5023386105545289,中国科技志愿,2024-04-15 11:34:00,#翱翔之翼# 【“翱翔之翼”大学生科技志愿活动│第10期“一起印造局”科普教育活动圆满结束！】#致敬最美的你们# 4月10日，一群热爱榫卯结构设计的年轻人齐聚一堂，与专业志愿者一起深入探讨榫卯潮玩的设计理念和方法。在指导老师和志愿者们的引领下，大家不仅体验了榫卯潮玩的拼装乐趣，还研究了玩具设计背后的原理，并积极构思自己的创意设计。在这个充满创意与交流的平台上，我们见证了传统技艺与现代设计的完美融合。感谢每一位参与者的热情与创意，期待未来更多精彩作品的诞生！,0,0,0,,北京,北京,中国
2,5023377551262175,AMiner学术头条,2024-04-15 11:00:01,Long-form factuality in large language models网页链接这篇论文探讨了大型语言模型（LLM）在生成开放领域事实性查询的回答时常常包含事实错误的问题。为了对模型在开放领域的长篇事实性进行基准测试，研究者首先使用GPT-4生成了包含数千个问题的大型事实集LongFact，涵盖38个主题。然后，提出可以使用LLM作为自动化评估器，通过称为增强事实性评估器（SAFE）的方法来评估长篇事实性。SAFE利用LLM将长篇回答分解为一系列事实，并通过多步推理过程（包括向Google搜索发送查询）来评估每个事实的准确性。此外，还提出了一种扩展F1得分的度量方法，以综合评估长篇事实性。具体来说，研究者平衡了回答中支持事实的百分比（精确度）与提供事实的百分比与代表用户偏好回答长度的超参数（召回率）之间的关系。实验表明，LLM代理可以在16k个个体事实的集合上达到超越人类的评分性能，SAFE在72个案例上与众包的人类标注者达成一致，在76个案例上胜过人类标注者，并且比人类标注者便宜。研究者还在LongFact上对十三种语言模型进行了基准测试，涵盖四个模型家族（Gemini、GPT、Claude和PaLM-2），发现较大的语言模型通常可以实现更好的长篇事实性。人工智能 论文 大模型,2,0,4,北京,北京,北京,中国
2,5023373694076718,职称论文_王编辑,2024-04-15 10:44:41,《四川水泥》 省级，知网， 月刊  第一批学术，建筑专刊 收稿方向：水泥与混凝土生产，道路桥梁，建筑材料，建筑工程，工程施工，工程技术，工程科技，节能环保，装饰装修，研究探讨，矿石 ,0,0,0,河北,张家口,河北,中国
2,5023367373259021,图书出版-专著教材,2024-04-15 10:19:33,《内蒙古煤炭经济》期刊级别：省级，知网，旬刊字符数：5700字符/3版 出刊时间：2024年年底左右收稿方向：煤炭、地质、矿业、勘测、地勘等方面主要栏目：今日内蒙古煤炭工业、资源利用与环境保护、工作研究与理论探讨、煤矿安全与监察、劳动人事与社会保险、政治与经济、安全与生产、技术与经济、财务与审计、文教与卫生、社会调查、地质与勘探等,0,0,0,河北,廊坊,河北,中国
2,5023353075925041,A-期刊论文杂志社发表,2024-04-15 09:22:44,24年SCD 《中学生英语》 主办单位：华中师范大学 出版周期：周刊 ISSN：2096-6199 CN：42-1862/H 栏目：教学改革与创新、教学理论与实践、课堂教学方法探讨、言与测试研究、村英语教学探索 中职英语教法探微、媒体教学与研究 ,0,0,0,河北,张家口,河北,中国
3,5023349241810963,沪上十三少,2024-04-15 09:07:31,4月18日至19日，中国信息通信研究院即将在厦门举办2024星火生态大会，大会将以“信任与智能”为主题，围绕网络标识、数据要素、新型互联网、人工智能等四个专业领域展开，从科技、产业、生态与治理等方面共同探讨高质量发展之路。 ,0,0,1,湖北,恩施土家族苗族自治州,湖北,中国
3,5023346758257370,城市规划网,2024-04-15 08:57:39,#城市总体规划# 【城市总体规划中结构性分区的创新探讨】研究发现，用途管制应从依赖用地分类的技术标准向依托分区的政策工具转型；可在城市总体规划层面采用“结构性分区”落实战略性意图，打破传统规划体系中用地分类的“树形结构”，打造不同规划类型下的差异化土地用途管制工具；并通过用地兼容性、妨害性的原则进行探索，在保障不同规划类型保持各自工具理性的同时，提高土地用途管制意图在总体规划与详细规划之间的传导效力。理论研究 | 城市总体规划中结构性分区的创新探讨,0,0,1,北京,北京,北京,中国
3,5023346473829792,溧阳发布,2024-04-15 08:56:31,第五届非晶态物理和材料春季学术会议在溧召开4月12日-15日，第五届非晶态物理和材料春季学术会议在溧阳高新区长三角物理研究中心举行。本次会议共有500余位非晶态物理和材料领域的专家学者参会，旨在探讨非晶态物理和材料的前沿技术和未来发展方向，重点关注科技供给与市场需求的对接，以需求驱动科技成果研发和转化，特别是新能源、精准医疗大健康和智能制造等产业，实现非晶态物理和材料学科跨越式发展，同时为地方经济和科技发展提供创新思路。,1,0,3,,常州,江苏,中国
3,5023346289019618,脑科学世界,2024-04-15 08:55:47,#健康登顶计划# brainnews Trends in Molecular Medicine特刊 | 进食障碍的研究进展来源：CellPress细胞科学 ，作者Cell Press进食障碍（eating disorders）属于重大公共卫生问题，是死亡率最高的精神疾病。本期Trends in Molecular Medicine“进食障碍”特刊深入探讨了进食障碍相关研究与进展。研究人员讨论了进食障碍的复杂性，重点关注神经性厌食症、神经性贪食症、暴饮暴食症和 OSFED（这些疾病受到心理、神经生物学、遗传学、社会和环境因素的影响），并试图提高人们对进食障碍研究、诊断和治疗重要性的认识。我们希望通过本期特刊，为未来铺平道路，让与这些疾病抗争的个体得到应有的照护。封面图片中，卷尺代替了食物，象征着进食障碍患者的挣扎，他们无法不考虑体重和形象，自如地饮食。,1,2,4,浙江,温州,浙江,中国
3,5023328044321272,涟漪imlotus,2024-04-15 07:43:17,肖战时影#肖战时影# xz#肖战玉骨遥#能打动演员本身的角色才是好角色，才能在观众心中立住。无论是肖春生还是时影，两个角色之间虽不同但他们都有要坚守的东西。作为演员肖战会在拿到剧本的那一刻开始不断研究角色背后的故事，会写人物小传，片场也会和导演制片编剧一起探讨角色在那一时刻的心境状态，不为自己设限，踏踏实实走好每一步。@X玖少年团肖战DAYTOY#玉骨遥##中新文娱对话肖战#中新文娱的微博视频#肖战# #肖战NARS全球品牌代言人# #肖战蒙牛精选牧场品牌代言人# #肖战欧莱雅PRO品牌全球代言人# #肖战RIO全球品牌代言人##肖战安热沙品牌代言人##肖战青岛啤酒品牌代言人# #肖战李宁运动潮流产品全球代言人# #肖战YSL护肤全球代言人# #肖战拉夫劳伦香氛全球代言人##肖战德芙品牌代言人##肖战六神品牌代言人##肖战陌森眼镜品牌代言人##肖战石头全球品牌代言人##肖战为你开小灶##TODS全球品牌代言人肖战# #肖战真力时品牌代言人##肖战GUCCI品牌代言人##肖战CHALI品牌代言人# #肖战心相印全球品牌代言人# #肖战WEDGWOOD品牌代言人# #肖战宝诗龙全球品牌代言人# #肖战EVELOM伊芙珑代言人##肖战元气森林气泡水品牌代言人##肖战猫人全球品牌代言人#——————————————————#肖战藏海##肖战藏海传##藏海传##肖战郭靖##肖战电影射雕英雄传侠之大者##电影射雕英雄传侠之大者##肖战时影##肖战玉骨遥##玉骨遥##肖战肖春生##肖战梦中的那片海##梦中的那片海##肖战盛阳##肖战骄阳伴我##骄阳伴我#,0,1,0,辽宁,辽阳,辽宁,中国
3,5023119248985097,ChongSan冲先生,2024-04-14 17:53:37,从哲学角度探讨民主、自由，研究票选民主的利弊、中式民主的浪漫中国 香港 澳门 驴友 粤港澳大湾区 #粤港澳大湾区# #中国# #香港# #澳门# #驴友# #头号博主说# @共青团中央 @广东共青团 @观察者网 @孤烟暮蝉 @風中微塵 @我是藍絲文宣谷 @何君堯JuniusHo @我是香港警嫂 @帝吧官微 @兔主席 @紫光阁 @香港光頭警長 @李力持導演 @曹永廉Raymond @帽哥basa  @香港文匯報 @香港文匯網 @香港中通社 @KevinCKP @空手小虎 @海港SirHabaSir @香港唐僧阿Sir林景昇 @唐僧sir景嫂林莫雅清 @通天書生諸葛臥龍 @疾风中青勁草 @香港曾小妹 @好得意得意好 @香港胡迪警長 @石房有Man @屈穎妍002 @新浪新闻 @华记茶餐厅杨官华 @环球时报 @环球网 @香港警察 ChongSan冲先生的微博视频,11,11,94,中国澳门,,澳门,中国
3,5023323157169161,开元来,2024-04-15 07:23:52,人类的艺术追求历史   艺术欣赏 ：二战遗物😅 该币真实存在且到代无疑，为什么会存在这个币有待各位大神研究探讨！有些敏感的讨论我就不说了，抗日战争时期什么事情都会发生很复杂的！ ,0,0,0,云南,临沧,云南,中国
3,5023286443901357,明月有瑕,2024-04-15 04:57:59, 、、  一→一..一一..大家好！我喜欢小说，也研究小说。在偶然间发了小说的最短应该是什么样的结构！希望能得到您的指导。它只有七字，名字两个字，内容五个字！五个字是一样的！望您看见后回复并探讨！，，，，....15843608445。 ,0,0,0,黑龙江,哈尔滨,黑龙江,中国
3,5023164751413821,五星上将麦克阿犬,2024-04-14 20:54:25,刚吃完饭，讲一些当时创作的想法O(∩_∩)O其实对塔罗牌没什么研究，但当时突然想到也许把塔罗和七宗罪结合到一起画会很有趣（嗯嗯其实是想偷构图的懒）就去找一个做塔罗占卜的朋友请教了有哪些牌可以比较贴的上七宗罪的主题含义，这样子和朋友探讨了一下，然后朋友给出了对应牌的建议，这个就是前情提要啦！具体的思路放在456了，请当做我的oc随意看看吧不要较真(*´I`*),13,21,90,中国台湾,台北市,台湾,中国
3,5023133574629038,新京报书评周刊,2024-04-14 18:50:32,【中国人为什么钟爱山水画】山水画一直是中国画钟爱的题材。为什么中国人钟爱山水？这个问题难以简单回答。在近期出版的新书《中国山水画对谈录》中就有在相关领域顶尖的研究者探讨了这一问题，书中的九个对谈共进行了三年之久。今天的文章从这一设问出发，聊一聊中国山水画。 中国人为什么钟爱山水画 ,21,1,23,,北京,北京,中国
