页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5018392900143186,乳山发布,2024-04-01 16:52:47,【乳山市图书馆举行地方文献捐赠仪式】 3月29日下午，在第29个世界图书日到来之际，乳山市文化和旅游公共服务中心与乳山市委党史研究中心、市文联、市母爱文化研究会联合开展“馈书留香，文脉传承”乳山市地方文献捐赠仪式。 ,38,34,35,,威海,山东,中国
2,5018124558797815,考古文博每日谈,2024-03-31 23:06:30,《考古视野下江西古代陶瓷文明特性》 作者江西省文物考古研究院研究馆员张文江、吉安县文物保护服务中心文博馆员刘佳、江西省文物考古研究院文博馆员李兆云 原文刊载于《大众考古》2023年07月刊 #考古文博每日谈##文献阅读# ,2,0,5,北京,北京,北京,中国
2,5018032327889235,福建省图书馆,2024-03-31 17:00:00,#闽图服务# 读者朋友们，您知道吗？福建省图书馆四楼西面有个特色文献阅览室，在这里，大家可以使用特殊的设备阅览珍贵的古籍文献，没错，它就是缩微文献阅览室！ 历经29载的努力，福建省图书馆逐步形成了由家族谱、地方志、易学研究、朱子文化等主题共同构成的缩微古籍文献体系，种类达到5133部，约257万叶。快戳图片了解更多与福建相关的缩微古籍文献↓↓温馨提示：缩微文献无法外借，我们准备了十个专用座位供您阅览，读者凭我馆读者证及本人二代身份证或其他有效证件即可来馆阅览海量缩微文献哦~,1,0,3,,福州,福建,中国
2,5016226560739892,广西南宁生蚨生物科技公司微博,2024-03-26 17:24:32,一、封面页：药食同源草本植物——铁皮石斛二、目录：1. 铁皮石斛简介2. 药用价值与功效3. 食用方法及菜谱推荐4. 南宁OEM定制服务介绍5. 结论与展望三、正文：1. 铁皮石斛简介- 什么是铁皮石斛，其生长环境特点- 主要分布地区以及种类2. 药用价值与功效- 古代文献记载与现代科学研究成果- 具体的药理作用和临床应用3. 食用方法及菜谱推荐- 干品和鲜品的处理方法- 石斛泡茶、煲汤等家常做法- 创意菜品：石斛花胶炖燕窝、石斛汁拌面等4. 南宁OEM定制服务介绍- OEM定制流程及优势- 根据客户需求提供产品配方研发支持- 合作案例分析5. 结论与展望- 对铁皮石斛研究现状进行总结- 市场前景预测及未来发展趋势四、总结：1. 铁皮石斛作为一种珍贵的药食同源草本植物，具有丰富的营养价值和保健功能。随着人们健康意识的提高，市场需求逐年上升。2. 在南宁OEM定制服务的支持下，铁皮石斛可以更方便地走入寻常百姓家庭，为大家带来实实在在的健康福利。#南宁铁皮石斛袋泡茶代加工##广西南宁生蚨生物科技代加工厂家#,0,0,0,广西,南宁,广西,中国
2,5013963378787728,学术论文指导-朱编辑,2024-03-20 11:31:27,著作征集主编: 《群众文化的推广管理研究》征二 《中国少数民族非物质文化遗产保护与传承研究》征二 《公共管理理论与城市服务创新》征二 《公共图书馆文献资源建设与共享研究》征二三 ,0,0,0,河北,石家庄,河北,中国
2,5013261546161071,国图社马丽萍,2024-03-18 13:02:37,刚才有老师问我主要负责的工作，我统一回复。我主要负责天津、上海地区我社出版图书和数据库的营销工作。中国历史文献总库，资源丰富，可做为学术研究的参考工具。同时也非常期待各位老师的专业建议，让我们的数据库在资源和功能方面更完善，可以更好的服务好各位读者。各位如有使用需求，随时联系我就好，以下是中国历史文献总库旗下子库信息：民国图书数据库网址：网页链接 近代报纸数据库网址：网页链接中华再造善本数据库网址：网页链接 近代期刊数据库网址：网页链接 红色文献数据库网址：网页链接 文献数据库网址：网页链接 古籍图典资源库网址：网页链接医学文献数据库网址：网页链接 滁州·后刘家,1,0,1,安徽,蚌埠,安徽,中国
2,5011895532914783,大黑想得到的女孩,2024-03-14 18:34:34,"酒店营销与管理杂志》31（8），908-9362022为了应对旅游和酒店研究中对人工智能（AI）和服务机器人的兴趣增加，目前的研究对123篇文章进行了主题审查，以确定人工智能是如何定义的，以及哪些主题与这些现象最相关。使用文献计量学（引文和共引）和内容分析提取并分析了几篇关于人工智能的期刊文章，以揭示突出的主题。我们首先回顾了人工智能的新兴定义及其相关主题。然后，我们提出了方法论，并报告了定量文献计量和定性专题分析的结果。随后，我们揭示了该领域的最新趋势、背景、理论和法理网络，随后是主要主题和集群，如拟人化、基于理论的工作、方法论基础、服务机器人以及员工和客户对服务机器人的看法，以及它们与T&amp;H中人工智能的关系。该研究还提供了一个研究议程，概述了未来人工智能研究的机会。Journal of Hospitality Marketing &amp; Management 31 (8), 908-936, 2022In response to the increased interest in artificial intelligence (AI) and service robotics within tourism and hospitality (T&amp;H) research, the current study examined 123 articles thematically to determine how AI is defined and which themes are most associated with the phenomena. Several journal articles on AI were extracted and analyzed using bibliometrics (citation and co-citation) and content analysis to uncover the salient themes. We first reviewed the emergent definition of AI and its relevant themes. Then, we presented the methodology and reported quantitative bibliometric and qualitative thematic analysis findings. Subsequently, we revealed recent trends, context, theory, and nomological network in the domain, followed by the main themes and clusters, such as anthropomorphism, theory-based works, methodological foundations, service robots, and employee and customer views on service robots, and their relations with AI in T&amp;H. The research also offers aresearch agenda that outlines opportunities for future AI studies.",0,0,0,江西,南昌,江西,中国
2,5011811336454688,国家图书馆,2024-03-14 13:00:00,#国图外文文献推介之“每日一刊”#今天为您推荐的是Services marketing quarterly（《服务市场学季刊》）。本刊对各种专业服务（如律师、税务、财会、广告、不动产代理等）如何获得更多客户的方法进行应用研究。索取号(F7)H/S25/8500，为您附上最新一期封面及馆藏链接 网页链接 ,2,0,5,,北京,北京,中国
2,5008596531675431,电钻玉米,2024-03-05 16:05:30,思考方式：1.上中下游例如内容维度：内容生产、内容管理、内容应用。2.看竞品时至今日我才看到这么多竞品……其实很多模式杂糅一下也有差异化的。而且在做调研时，可以用同义词去搜索。就和文献检索一个道理，另一个不相干的关键词反而搜索出了我需要的东西3.成本视角最近在研究服务，创意会给服务提升很多体验，但是服务的时间成本也要计算在内。一些看不见的内容亦是“很重”的内容。#丫的观察视角#,0,0,0,浙江,杭州,浙江,中国
2,5008347569063300,ofelia_Yu,2024-03-04 23:36:14,儿童医疗辅导、神经专科护理质控，肿瘤护士导航员，肿瘤全流程服务，手术室护理，一会儿研究水这个，一会研究水那个。周一是加班到深夜的星期一，是一看文献就想吐的星期一。 ,0,0,0,浙江,衢州,浙江,中国
