页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022812387149340,星河危险源,2024-04-13 21:34:15,研究方法论好有意思 感觉比搞语言学好玩 ,0,0,0,北京,北京,北京,中国
2,5022654404758113,小莫的天空之城,2024-04-13 11:06:29,这种方法论无非是披着理论外衣的诡辩论， 研究越多就越糊涂。 通过它的灌输，人们貌似有了深刻思维， 实际上连正常的识别能力就丢掉了。 尹保云：中国人为什么很难理解现代文明？尹保云：中国人为什么很难理解现代文明？ 尹保云：中国人为什么很难理解现代文明？ ,0,0,0,陕西,西安,陕西,中国
2,5022292899791362,epram,2024-04-12 11:09:59,回复@影刃007_22363:你说的那叫方法论，跟宏观微观的具体性质是两回事。 微观的概率性并不妨碍在宏观上体现确定性，并且这两个东西都是通过方法论研究得来的。你说的话，把很多适用范围不同的概念和完全不同的概念混合在一起，创造了一种看似否定现实的结论，但实际上并不符合逻辑，那就是一桶浆糊。,0,0,0,北京,,北京,中国
2,5022290704073958,A-期刊论文杂志社发表,2024-04-12 11:01:16,《河南图书馆学刊》 主办单位：河南省图书馆学会;河南省图书馆 出版周期：月刊 ISSN：1003-1588 CN：41-1013/G2 栏目：公共图书馆；高校图书馆；阅读推广；文献研究；理论研究；建党100周年专栏；少儿图书馆；读书方法论析。 ,0,0,0,河北,张家口,河北,中国
2,5022275327233155,HBG品牌增长研究院,2024-04-12 10:00:10,HBG品牌增长研究院是成立于2016年的创始人实战派品牌商学院，专注分享专业纯粹的品牌系统方法论，回归系统底层逻辑。多年来齐聚化妆品、食品、大健康、母婴、宠物、跨境、消费电子、家电、汽车、教育、科技、渠道等各行各业的企业家/创始人，一起拆解品牌体系化背后的底层逻辑。也因为这些理性专业的品牌认知，让企业家们能够带领企业穿越逆境与周期，也能依然保持增长且是健康增长，持续为用户提供更优价值，并且成为行业前列，市场份额不断增加，内部团队能力体系持续而复利。创始人私教闭门课每年10场，课程主题、时间和地点，都会根据实际情况来随时迭代。每场都是小班制，名额有限。发送【私教】关键词给到可可老师（HBG_keke）提前锁定名额！ 系统专业做品牌，打造企业体系化，品牌复利增长 | HBG品牌增长研究院,0,0,1,陕西,西安,陕西,中国
2,5022140506309167,hcjdudjcjcjfifjjfw,2024-04-12 01:04:26,last炫神 导师纯放养，研究生的科研到底要怎么研呢，有大⛰️来点方法论吗？ ,0,15,3,广东,广州,广东,中国
2,5021971288951956,脑袋有片海,2024-04-11 13:52:02,跟合作导师畅聊一小时后格外开心。虽然我们的研究方向有时空距离，但她能理解、支持我的每一个想法，并且尝试提供方法论建议。她还主动分享了自己最近在思考的问题，一个非常有价值的，我甚至觉得是伟大的idea。如果没有足够对比的话，我会将这种体验视为理所当然。～～午饭后坐在花堆里晒会儿太阳，喝杯咖啡～千金难买又唾手可得的当下～,0,0,0,北京,,北京,中国
2,5021943094840750,南京大学出版社,2024-04-11 12:00:00,#新书上架#《历史知识的建构》本书为李良玉教授在史学理论和史料研究领域多年耕耘的成果集合，主要包括史料学的内容详解和研究史料的方法介绍，史学论文写作的基本规范及李良玉教授对学生的答疑，以及李良玉教授在当代史研究领域的一些方法论突破。本书主要收集相关课程讲稿、会议发言、专题讲座记录等30余篇，从多个角度展示了李良玉教授在史学理论和史料研究方面的多年探索与成果，对于推动相关研究进步具有积极意义，现汇编成集，以飨读者。当当：网页链接,1,1,3,江苏,南京,江苏,中国
3,5021782342371433,乐鱼188,2024-04-11 01:21:13,个人觉得研究并非是一定没有立场，或者一定要保持“中立”立场，“不要一上来就谈女性主义”，不要预设立场（角度）什么的。研究就只是相对深入全面地分析，但因为研究一般是需要方法的，而各种方法论，都不可能是完全中立的。“中立”同样是一种预设。同样如果是一个侦探，去查一个案子的真相，也不可能是完全中立的。人可以是侦探，法官，当事人，普通旁观者，男人，女人等等，不同的角度产生不同的立场。,0,0,0,江苏,泰州,江苏,中国
3,5021376785680326,拍帮主,2024-04-09 22:29:41,简单搬运一篇关于甲流（H3N2）感染率的预印本吧，算是给日后很有可能会展开的一些讨论划一条基线请品鉴图一，虽然只是预印本而已，但这篇的作者列表妥妥的全明星阵容，建模方法论也是之前屡试不爽的套路，数据集则用的是广州Fluscape项目的成熟数据，至少不至于会翻车……简单来说，这项研究利用广州Fluscape项目超过一千名受试者长达七年时间的血清抗体测定结果，建模估算了从1968年以来广州的H3N2人群感染率~具体的建模咱一窍不通，就不提了，下面只搬运两个咱这边比较感兴趣的数字： 图二：1968年以来，H3N2的年均人群感染率为18%，其中最低的年份仅0.5%，最高的年份则高达65%（1968年香港H3N2大流行）； 2010年到2014年的五年期间，约12%人口躲过了H3N2感染，另有约33%人口则只感染过1次（顺便一提，受试者流感疫苗接种率很低，只有个位数）。复读一遍：年均人群感染率18%、最高的年份感染率65%（几十年一遇的大流行年份）、不做针对性防护的情况下12%人口实现连续五年无伤。当然了，这只是H3N2一种病原体的感染负担~如果算上其他流感株系和基因型的话，参考之前南非PHIRST Study的结果，年感染率可能会达到40%左右（作者自己也说这项研究的结果跟PHIRST Study基本一致）~（关于PHIST Study的延伸阅读：网页链接）以上，搬运完毕~原文传送门：doi.org/10.1101/2024.03.18.24304371#好日子在后头呢#,8,8,49,日本,,日本,日本
3,5021556065701027,廉洁青白江,2024-04-10 10:22:05,【用好先立后破方法论】破与立是辩证统一的关系，在破与立中前进是事物发展的基本规律。理解先立后破的内在哲理并将其付诸实践，对推动高质量发展、推进中国式现代化具有重要意义。记者就此采访了中央党校（国家行政学院）习近平新时代中国特色社会主义思想研究中心研究员、科研部中心研究室副主任徐晓明。网页链接,0,0,0,,成都,四川,中国
3,5021254814012514,童之伟,2024-04-09 14:25:01,有学者对我说：“尽管本体论遭到方方面面的非议与反驳，从而出现了认识论方法论等哲学观念。但是真正深刻的理论还是要从本体论上说。”我完全赞成这个看法。一个法律学者如果在权利、权力、剩余权、法权、权、义务等本体研究方面拿不出像样的成果，他/她凭什么谈法学认识论、方法论、写作方法！我曾经在评论某篇关于论文写作方法的文章时对听众说：你一生如果没有制作出几把获弦乐界好评的小提琴，你就敢出版一本《小提琴制作方法》的书，那不是天大的笑话！我4月7日在广财法学院的讲座，谈的正是法现象本体研究的成果及其应用，现场听的人不多，但线上听的不少。讲清楚和听懂都有点难，但那没有太大关系，尽到努力就可以了。仍然由不辞辛劳的邓莉博士主持。,4,1,38,广东,广州,广东,中国
3,5021453523353811,才女kanghui121,2024-04-10 03:34:37,1894.迷罗亲讲健脾祛湿训练营「去除湿气一身轻松」 1893.卖课研究所全流程方法论 1892.马狮鹰大定心禅【大定禅年度会员】 ,0,0,0,福建,漳州,福建,中国
3,5021268198035889,中国社会科学报,2024-04-09 15:18:12,【“陕公大学堂”公益讲座全国开讲】3月30日，中国人民大学“陕公大学堂”系列公益讲座2024年第一期在全国28个省区市同时开讲。春风和煦，在北京大运河博物馆一层中心的阶梯活动区，中国社会科学院马克思主义研究院党委书记辛向阳以“马克思主义为什么行”为题，围绕科学的信仰、系统的方法论、鲜明的人民性、中国化时代化的新飞跃等进行深刻阐释，充分展现了马克思主义的磅礴伟力。网页链接,0,0,0,,北京,北京,中国
3,5021201244095883,by_Mark_Qian,2024-04-09 10:52:09,#备课心得 每次给备本科生课程的时候，都是觉得在巩固英语基本功；在备研究生课程的时候，都是在巩固自己的研究基础，这可能就是所谓的“教学相长”。其实，上完一学期的课，教师的收获应该是最大的。因为要深入浅出、有系统地给学生讲述语言和方法论，其实并不容易。 ,0,0,8,荷兰,,荷兰,荷兰
3,5021008841147750,Susu_Journey,2024-04-08 22:07:36,#读书笔记# 本书探讨了不同于文艺学的图像政治学方法论，认为图像政治学可以有两条进路，一是政治史进路，即通过图像去挖掘“不一样的政治”，这也是一条融合了思想史、观念史等研究的路径。二是政治学进路，即将图像视为解释政治本身的机制要素。这些方法论探索对政治传播研究亦很有启发：我们以什么样的路径去研究图像，包括政治海报、宣传画、政治漫画。甚至，这两条路径也可以推广到视频的研究中，因为视频也是图像——是动起来的图像。视频与图像都是大众化的表达，具有较强的“传播”属性。,0,0,4,北京,北京,北京,中国
