页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022378759292440,联考双证研究生丁老师MBA,2024-04-12 16:51:10,1不用辞职，也可以读全日制MBA!2 如果你无法辞去工作，但又想继续深造全日制 MBA，那么这适合你!3集中上课，在不影响工作的情况下，也可以获得高质量的教育!4毕业之后，颁发全日制MBA双证，提高你的职业竞争力5 另外，毕业时你还可以获得应届生身份，享有同等福利和考公机会!#在职MBA[话题]##工商管理硕士[话题]##在职研究生[话题]##全日制[话题]##要不要辞职[话题]#,0,1,0,山东,聊城,山东,中国
2,5022334626824702,图腾深蓝色,2024-04-12 13:55:48,#研究生导师不得与学生发生不正当关系# 一个比较奇特的现象，大部分基础教育阶段的老师对学生掏心掏肺、不辞辛苦。而一些高校里的讲师、教授与之形成鲜明对比，不对学生盘剥、压榨就很不错了。这个现象的本质是高等教育特别是硕博研究生阶段，关系到学生日后的毕业、深造、就业，而大部分学生想发表论文、顺利毕业不得不极度依附于导师，高等教育已经异化为一种“权力和资源”，如果导师个人道德水平低下就容易出现北邮郑凤这种现象，这样的导师近年来层出不穷。“学阀”手中掌握的隐形资源甚至不亚于体制内实职厅局级领导干部。,0,0,0,上海,,上海,中国
2,5022128741551758,好运来YY_,2024-04-12 00:17:41,惊喜发现 学校有艺术经济学博士招生（虽然本来就是冲着艺术学博士点去的哈哈哈哈）如果学的开心🥳 就继续深造！！🙏希望学校能多开几个艺术管理的博士研究方向！！ ,0,0,0,广东,佛山,广东,中国
2,5021325062570118,望雪淡泊人生,2024-04-09 19:04:08,七绝.诗情画意  诗意分明在画中，笔端深造有神功。 如何写得江南景，只恐春风吹落红。#博主变现研究院# 望雪淡泊人生的微博视频 ,3,5,36,山东,潍坊,山东,中国
2,5021770127770369,旺旺家有番茄酱,2024-04-11 00:32:41,不知道是不是每个人都有自己的梦想反正我有我的拿研究生学位，挣钱并练琴，三十岁办自己的音乐会，把公司交给管理人，三十一岁去美国再深造，三十三岁回来，做访谈节目主持和制片人，全家人齐齐整整住在同一座城市。不贪恋吃喝不是玩，是来人间走一趟想通过付出达成实现。今年36岁。除了10年前完成第一件事，后面的都没在最初计划的时间轴上与我相会。某个愿望可以说永远也没机会实现了。今晚，见证了自己的其中一个梦想投射在另一位女孩的生活里。每一个环节都像是我在10年前想好的那样。我知道，她的其中一个梦想也实现了，是夜之后，她的人生也将开启更有价值的篇章。这比已经名扬四海的大人物更加触动我的心。恭喜这一位女孩，并激励自己，真的一天也不能再耽误了。 ,0,0,1,北京,,北京,中国
2,5021632869958846,阿黎有内涵,2024-04-10 15:27:16,#没有考上研究生的人后来都怎么样了#朋友考研落榜，但他没放弃，继续深造，现在已经是某知名企业的中层了。 ,0,1,0,吉林,,吉林,中国
2,5021177066553431,欲问青州,2024-04-09 09:16:03,#虐猫考生未被兰州大学录取#想不通为什么会有人虐猫，更想不通为什么会有那么多的人为这种事辩解，不喜欢猫可以，不喜欢其他动物也可以，但虐猫算什么？更何况不录取研究生又不是很高的惩罚，既没有失去其他深造的方式，也没有失去直接工作的机会，不敬畏生命的人迟早也不会把其他人的生命当回事，今天给他说话的人，能确定有一天在自己生病年老的时候，自己的命在他们眼里和被虐的猫不同吗,1,20,247,浙江,杭州,浙江,中国
3,5021549805175732,奶味星球棒棒糖,2024-04-10 09:57:12,#欧阳娜娜归来仍才23岁#说不定欧阳娜娜还继续深造，毕业后，申请一个研究生也不奇怪 ,0,0,0,广东,阳江,广东,中国
3,5021174639889167,滴露微尘III,2024-04-09 09:06:26,#民国大师# 1998年4月9日，我国语言学界的一代宗师吕叔湘先生逝世，享年94岁。吕先生是近代汉语学科的拓荒者和奠基人，他早年毕业于国立东南大学外国语文系，后赴英国牛津大学留学深造。1938年回国，先后在云南大学、金陵大学、中央大学任教。其代表作《中国文法要略》，对汉语语法研究产生了广泛而深远的影响。建国后，吕先生历任清华大学教授，中国社会科学院语言研究所副所长、所长等职。1955年当选为中国科学院哲学社会科学学部委员。1956年起兼任《现代汉语词典》主编，历时三年主持编纂了我国第一部现代汉语规范型词典《现代汉语词典》（试用本），开创了我国辞书编辑出版的新时代，为我国普通话的推广、普及和语言文字的规范化作出了巨大贡献。值得一提的是，吕先生的长子吕敏没有子承父业，而是弃文学理成为了一名核物理学家，参加过多次核试验。1991年当选为中国科学院学院士，1999年获得何梁何利基金科学与技术进步奖。而吕先生的小女儿吕芳嫁给了同为中国科学院学院士的核物理学家唐孝威，1998年，唐孝威同样获得了何梁何利基金科学与技术进步奖，但让人意想不到的是，唐孝威谢绝了这项殊荣。,39,35,39,北京,,北京,中国
3,5021359262663254,老叔开画,2024-04-09 21:20:03,健康卫士之––1930年诺贝尔医学或生理学奖获得者卡尔·兰德斯坦纳（Karl Landsteiner 1868年6月14日––1947年5月16日）奥地利著名医学家、生理学家。他毕业于维也纳大学医学院，又留校深造化学，后在维也纳病理研究所工作，工作中他发现了有不同两人的红血球凝结的现象，这种情况危及病人的生命。1900年他通过实验发现红细胞和血浆之间发生反应，人类的血液按红血球与血清中的不同抗原和抗体分为许多类型，于是他把表格中的血型分成3种：A、B、O。不同血型的血液混合在一起就会出现不同的情况，就可能发生凝血、溶血现象，就会危及人的生命。1902年他又发现较为稀少的第四种血型，后来称为AB型。到1927年经国际会议公认，采用他原定的字母命名，即确定血型有A、B、O、AB四种类型，至此现代血型系统正式确立。他的贡献不仅为安全输血和治疗新生儿溶血症提供帮助，而且对免疫学、遗传学、法医学都具有重大意义。2004年，世界卫生组织、红十字会与红新月会国际联合会、国际献血组织联合会和国际输血协会共同决定将他的生日6月14日定为“世界献血者日”，以纪念这位为医学与人类健康做出卓越贡献的先驱者。,0,2,2,内蒙古,,内蒙古,中国
