页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023142705105629,Sunkinom,2024-04-14 19:26:49,尽管托尔金的观点认为通过调查作家的生平来研究著作是完完全全的徒劳和错误，但仿佛在托尔金这里却并不奏效，反而更能在书里体现出作为一个普通人，托尔金也会有情绪，也会对妻子伊迪丝存在着一种似乎矛盾的心理。在现场与其说是一场签售会，倒不如说成是一众托迷的心得交流中心（刘易斯和托尔金的争辩听的我放声大笑），感谢译者牧冬，让我拿到了明信片和to签感谢范晔老师的to签@来一桶老坛雪菜面 @世纪文景 @范晔1542 北京·方所(万达广场北京五棵松店),0,0,0,辽宁,沈阳,辽宁,中国
2,5023130550011101,耳听目视,2024-04-14 18:38:30,分享专辑 Point Line Cloud任教加州大学圣巴巴拉分校的电声乐手 / 研究员 curtis roads，05年创作的实验性微声颗粒专辑，进一步实践他在著作《microsound》一书中探讨的微观声响理论。声响乐手 / 视像设计师 brian o'reilly 负责视频制作。curtis roads 在担任 computer music journal 副主编期间，撰写过不少关于电脑 / 电声音乐的理论、教学书籍，也曾在12年参加过 北京国际电子音乐节 演出。,0,1,1,美国,,美国,美国
2,5023121765830898,焦相彬aa,2024-04-14 18:03:37,申请 许京艳副总经理 毛兰婶 我在快手上专门研究过王冲老师讲解的企业赚钱的27种商业模式，我有计划购买王冲老师的著作《老板要学会的27种盈利模式》，这本书值得购买，要专门系统研究企业赚钱的具体方法和具体商业模式  焦相彬 2024年4月14日 ,0,0,0,河南,驻马店,河南,中国
2,5023051845208379,纳兰朗月月月月,2024-04-14 13:25:46,晨曦杯 #咸鱼煲书# 《托尔金传》by汉弗莱·卡彭特小时候听说钱锺书先生“蛋与鸡”的高论，深以为然，身为读者，过分探究作者真实的生活并非好事。但这个理论在托尔金这里稍微失效——尽管托尔金自己也认为，通过调查作家的生平来研究他的著作，是完完全全的徒劳和错误——如果你喜欢阿尔达，又怎么会对伊露维塔的生平不感兴趣？作家的生平并不会平滑、完整地投射进作品，但作品就像一系列经过扭曲和加工的梦境，仍会在不经意间泄露作者曾经的经历与幻想。一切都有迹可循：知道幼儿托尔金曾经被狼蛛咬过，就会理解乌苟立安特的残忍与狡猾、希洛布的阴险与贪婪；他嫌弃《麦克白》移动的森林不够好，于是有了冲向艾森加德的恩特；看到弗朗西斯神父试图阻拦托尔金与伊迪斯的爱情，贝伦与露西恩所经受的考验也就有了来源。不过，《托尔金》传的主角仍然是托尔金，而不是他创造的世界。他的语言学研究、他眷恋的乡村与亲朋好友、他经历的战争与其他创伤、他的人生哲学与创造理念，甚至他有时的坏脾气和他与伊迪斯的矛盾，都被这本书呈现出来。为人作传最怕枯燥，本书很好地避免了这一问题，行文优美、语言清新，而且妙趣横生，即便对中洲没什么了解，也可以读进去。PS：仿熹平石经《托尔金传》的明信片实在是戳到了我的趣味点。我超爱！#世界读书日# #你永远可以相信读书的力量#,4,11,20,中国,,中国,中国
2,5023073661094783,滁州文化旅游,2024-04-14 14:52:28,#春游江淮请来滁州##醉美滁州# 【吴敬梓】吴敬梓（1701—1754），字敏轩，号粒民，清代小说家，汉族，安徽全椒人。生于清圣祖康熙四十年，卒于高宗乾隆十九年，年54岁。幼即颖异，善记诵。尤精《文选》，赋援笔立成。一生创作了大量的诗歌、散文和史学研究著作，有《文木山房诗文集》十二卷，今存四卷。长篇讽刺小说《儒林外史》确立了他在中国文学史上的杰出地位，清代最伟大的小说家之一。#朋友圈站岗#,1,2,1,,滁州,安徽,中国
2,5023059410420825,PAGEONE书店,2024-04-14 13:55:50,1953年，新中国建立后第一个《红楼梦》标点、注释读本在人民文学出版社诞生。七十多年来，人文社形成了以原著整理普及本、重要版本影印本、红学研究著作为主体的《红楼梦》出版矩阵；许多读者通过这些书籍走近这部中国古典小说的高峰之作。从4月14日起，人民文学出版社在PAGEONE北京坊店1F举办《红楼梦》及相关图书出版史料展。并邀请著名红学研究专家、中国红楼梦学会名誉会长张庆善先生和B站上广受欢迎的《红楼梦》解读up主张志浩先生，为此次展览揭幕。4月14日（周日）14:30-16:30，两位嘉宾在活动现场进行对谈，分享新版红研所校注《红楼梦》刘旦宅插图本；探讨不同时代环境下，不同方式、载体对《红楼梦》传播的影响等精彩内容。  PAGEONE书店的微博直播 红学会会长携B站知名up主张志浩坐谈红楼,2,0,1,,,,
2,5023015662520458,上海市法学会,2024-04-14 11:02:00,#智慧法治#集刊2023年第3卷（推进教育数字化的法治保障研究文集）杨翔宇：《数字时代著作权合理使用制度的困境与出路》选读世间万物发展都是呈现螺旋上升的趋势，著作权制度也不例外。从著作权理念的淡薄，到重视对著作权的保护，再到互联网环境下，著作权限制的扩张，这呈现了权利扩张再到限制扩张的一个螺旋上升的发展。合理使用制度不断接受着新技术和新作品带来的冲击，不能期望一个完美且万能的制度，但是，只要著作权法的宗旨不变，同样的法律要素在新的语境下就会有不同的解释，最终达成社会文化发展与繁荣的结果。而在现有的著作权法以及复杂的现实环境下，灵活性和多样性能为合理使用提供生命力，以顺应世界版权大格局向公共利益发展的趋势。#智慧法治# #微博学法律# @中国法学会 @微博法律,2,0,2,上海,上海,上海,中国
2,5022810240714774,电子工业出版社,2024-04-13 21:25:43,本周好书分享#小电新书分享# ，6G智能超表面（RIS）技术初探，国家科学技术学术著作出版基金资助，中国移动研究院首席专家袁弋非博士领衔撰写，中国科学院催铁军院士作序力荐!智能超表面（RIS）是一项跨学科基础性创新技术，它具有可编程的人工电磁表面结构，具有低成本、低功耗和易部署的优势，应用场景包括无线网络覆盖扩展、无线系统容量提升、感知定位、高铁车厢内覆盖等，具有广阔的技术发展前景和工程应用前景。近年来，信息超材料技术取得了一些重要突破，基于智能超表面的通信得到学术界和工业界的广泛关注，有望成为未来6G空口的原创性基础技术。本书从信息超材料的特性、多天线通信技术基础、智能超表面中继技术、智能超表面中继的性能仿真评估、初步外场测试验证和分阶段的技术推进等方面对智能超表面技术进行了较为深入、全面的介绍。,0,0,3,,北京,北京,中国
2,5022792867385816,小輔了了,2024-04-13 20:16:41,这本开启了现代数论新纪元的划时代著作（《算术研究》），却是在1801年由高斯自己发表的，因为1800年寄给法国科学院时，被无情地拒绝了。  ——很符合高斯小时候坚信自己对从1加到100的计算结果就是正确的性格。 ,0,0,0,上海,上海,上海,中国
3,5022784495290769,大发慈悲198405,2024-04-13 19:43:25,#读书#   《天潢贵胄：宋代宗室史》 美国汉学家著作，译者 赵冬梅 也是对宋史研究的人      皇权与宗室也是一本难念的经，利弊得失就看皇权的掌控力。 ,0,0,0,浙江,绍兴,浙江,中国
3,5022642705008008,小猫冰茶,2024-04-13 10:20:00,关于马斯克认为“真实”对于人工智能至关重要，让我想起历史学家柯文“看待历史的三种视角”。美国历史学家柯文（Paul A. Cohen）在其研究义和团运动的著作《历史三调》中，提出了三种看待历史的视角，也就是所谓Three Keys：事件（Event）、经历（Experience）、神话（Myth）。这就造就了让后人看到的三种历史形态（分别对应以上三种视角）：一、事件（Event）：历史上真实发生过的事情；二、经历（Experience）：亲历者所讲述的历史；三、神话（Myth）：后人根据以往的材料所描绘重构的历史。真正的需要警惕的是第二、第三，尤其是第三种：神话讲述者在给予过去解释的过程中，他们为了某种目的—— 政治、意识形态或自我情感，他们会截取历史片段或某些特性，来下结论，宣称这种结论是对过去的“正确”解释。回到马斯克的论断：“真实”对于人工智能至关重要。“（在AI时代），任何历史人物都会自动变得多样化，因为它被编程为坚持多样性。这听起来可能不错。但如果人工智能拥有如此强大的能力，以至于它实际上可以强制执行多样性，直到多样性数字达到编程认为正确的数字，那就不行了。”因此，马斯克说：“我们需要尽可能地让人工智能保持真实，而不是过度追求政治正确。当你对人工智能进行政治正确的编程时，可能会引发一些非常危险的事情。现在看起来相对无害的事情，但如果人工智能拥有巨大的力量，未来就不会如此。”,0,0,0,贵州,贵阳,贵州,中国
3,5022637678133672,中图网官方微博,2024-04-13 10:00:01,#淘书团#历史学家吴剑杰遗作《张之洞督鄂纪年，16开精装，布面书脊。汇编张之洞督鄂十八年的施政业绩与治国理念资料，不仅是一部重要的历史研究著作，更是一部了解晚清政治、经济、文化等方面变革的珍贵史料。张之洞作为晚清重臣，以其卓越的政治智慧、独到的治国理念，为湖北乃至整个中国近代化进程作出了较大贡献。本书采自张氏遗存文献，兼及年谱、日记等珍贵史料，以编年系事的方式进行编排，生动再现了张之洞在湖北的辉煌岁月。,3,1,12,北京,北京,北京,中国
