页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4940846895466348,DNATOTHEDESTINY,2023-08-31 17:12:39,特别恐怖的一件事打开qq群发现自己被移出研究生讨论群重进一下发现是卡了短短的几秒钟脑子里已经演了十个版本和导师私聊的剧情 ,0,3,0,江苏,南京,江苏,中国
2,4937749713387840,单细胞碎碎冰,2023-08-23 04:05:33,我对末世丧尸这些很感兴趣，还异想天开要研究丧尸病毒，很巧的是我找到一个末世讨论群，于是我便发表了一下自己的看法以及打听了近期国内的情况，可能是我的问题没说清楚，被群主和管理员骂，我也不知道他们为什么要骂我，于是我顺着他们的话解释，结果他们骂我骂得起劲，管理员甚至阴阳怪气的，我很委屈，最后被禁言30天,0,3,0,云南,保山,云南,中国
2,4926189435093078,金牌讲师202307,2023-07-22 06:29:07,双色球本人创建了一个彩民讨论群，有想一起研究的吗 ,0,0,0,上海,上海,上海,中国
2,4902053925357573,合肥楼大鱼,2023-05-16 16:03:14,开一个经开包河楼市讨论群，一起研究区域买房卖房问题，会买更要会卖~欢迎加入！！！ ,0,1,1,安徽,合肥,安徽,中国
3,4886167390520310,莫玄羽北师大,2023-04-02 19:55:49,北师大考研 北京师范大学研究生租到讨论群，非常好用@北师大 ,0,0,1,北京,北京,北京,中国
3,4879192850958579,编剧于雷,2023-03-14 14:01:29,#女子被诈骗吓哭警察上门保住100多万#3：白小姐，我们是雷峰塔镇守护卫团38代传承领导小组讨论群，获悉你卡里100万上次差点被青蛇研究机构火锅底料涮人蛇会社欺骗，这次给你个最好的办法，把100万压在雷峰塔底，我们护卫团替你看守100年，每天1块钱看守费，只要现金，不刷码，不凶人，请思考！ ,1,0,0,北京,北京,北京,中国
3,4866278999725607,加双份脆啵啵_拒绝拖延版,2023-02-06 22:46:27,我宣布 我现在最讨厌的群已经从纳米材料合作群变成**胶囊WB实验讨论群！！！！#实验实验##研究生的日常# ,0,3,0,浙江,温州,浙江,中国
3,4865420816027624,基层咸鱼青年,2023-02-04 13:56:20,"打算建一个文献计量学的交流讨论群 （CiteSpace, VOSviewer） 有意愿进群的朋友DD CiteSpace保研研究生 梅州 ",0,24,3,广东,梅州,广东,中国
3,4862975330489245,四月米饭子,2023-01-28 19:58:51,东北师范大学研究生24考研，蹲法硕非法的学长学姐或者讨论群 ,0,3,0,河北,唐山,河北,中国
3,4857921785307995,倒霉蛋糖果,2023-01-14 21:17:52,忘川风华录手游蹲一个活动高分讨论群，我需要抄作业，研究活动 ,0,26,5,山西,晋城,山西,中国
3,4854938176592635,辰菲调香所,2023-01-06 15:42:04,2816.【投稿】想问问各位能不能开一个46学的学术讨论群两个人之间存在的很多问题想和大家一起研究一下 ,0,50,87,江苏,徐州,江苏,中国
3,4829284643113625,大鱼吃小鱼-咩,2022-10-27 20:44:05,研究生退学有没有研究生讨论群啊，现在焦虑开题，实在是写不下去。30号就要答辩了... ,1,8,2,湖北,,湖北,中国
4,4822792241941897,不辜负days,2022-10-09 22:45:36,会计专硕 各位准研究生们，有加比较活跃的管综讨论群吗，求拉   加了几个群都没啥人说话 ,0,19,0,江苏,镇江,江苏,中国
4,4796703372482472,aspirant0-0,2022-07-29 22:57:45,方言还真是个极具归属感的神奇沉淀物 能一秒拉回远在十公里外的家( 误打误撞进了个致力研究南昌方言非专业出身粉丝不过万的up的讨论群 群内句句不谈“方言”二字但又“谈古论今”句句不离方言 为能够发掘到一位有着如此小众酷炫爱好的大佬而感到雀跃  这或许称得上算是阿卡林省的独家魅力叭( ,0,1,0,江西,南昌,江西,中国
4,4792758567174226,伊llllll,2022-07-19 01:42:29,有人想进微信哲学讨论群吗  可以带上这几个问题的回答来私信我 1.你是从什么时候开始接触哲学的，平时研究哲学有什么原因吗（喜爱也是一种原因）2.你所擅长的领域 3.你偏爱的哲学范畴，或者有过哪些了解 上海 ,0,0,0,上海,上海,上海,中国
4,4787496825127053,新星出版社,2022-07-04 13:14:12,#现代漫画研究会开放入部申请#大家好！新星社的漫画主题讨论群“现漫研”将开始举办群活动啦！我们会邀请漫画相关工作者入群分享，届时将会举办答疑、抽奖、带薪摸鱼（划掉）等一系列活动！相关内容及时间点也会提前以群内公告的形式推送给部员们，欢迎大家围观参与。以此为契机，现漫研开启新一轮的招新，欢迎大家扫描图中二维码添加入群助手（协助拉进群后会删除好友，请理解）重复加群的部员会被移出群聊喔！祝大家有愉快的一周！OVER！,2,0,12,北京,北京,北京,中国
