页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023142659752636,舒克dy,2024-04-14 19:26:38,昨日南京城市记忆民间纪录团第695期活动“山·风情”系列“雨花行”之二，继续聽原雨花台区文旅局局长朱向东先生的《华台高座·诗行雨花》讲座第二讲，雨花区域内的考古发现与人文研究，大家收获满满，纷纷赞扬并感谢朱局的研究成果与分享…… ,0,0,0,江苏,南京,江苏,中国
2,5023132526842732,玉桂狗真人版,2024-04-14 18:46:22,在听心理讲座 老师说 研究表明 大学生点外卖的频率越高 抑郁的几率越高 ,0,4,2,江西,南昌,江西,中国
2,5023112369017498,refrigeraTEDgehog_,2024-04-14 17:26:16,🤮我一个本科生在研究生讲座上当托提个问题居然被老师反问了 ,0,5,3,湖北,襄阳,湖北,中国
2,5023102944415323,十三豆女士,2024-04-14 16:48:49,最近上海图书馆举办了系列讲座“何以上海”今天是第五讲，复旦大学研究者和写作者张伟国先生的“近代海派大学的校园特征和文化传承”整个讲座以复旦大学的前世今生为例，中间穿插了百年来围绕当时的文化，社会，办学理念讲述了海派文化的形成基础，海派文化的创新与包容，海派文化与社会名流的关系，正是当时上海以包容的胸怀接纳了社会的各种思想，各种做派，各种人物，才形成了今天海派文化的独具特色。才有蔡元培，徐志摩，辜鸿铭，李登辉，毛言文，马相伯，李权时，陈望道，靳以，刘海粟，于佑任等等，各具特色的人物，使海派文化得以发展，壮大，形成自己的特点，开放包容，多元创新，规则契约是百年来海派文化的灵魂和特点。也是上海一百年来从一个小县城发展成为国际大都市的文化根本。讲座结束后自由提问环节，我问了张老师一个问题:海派文化未来发展前景如何？张老师回答到:尊重历史，保留历史，希望政府领导到校园去，到知识分子中去，多听听专业人士的呼声，以世界主义的广阔胸怀，摒弃狭隘的民族主义，包容历史，包容不同，包容未来，海派文化才能发扬光大，真正引进中国的未来。 是啊，一个国家，一个城市和一个人的人生是何等相似，只有多元并举，才能色彩斑斓，只有铭记历史，展望未来，才能走的更远更好，只有不断吸收个各民族，各个国家的精华，摒弃糟粕，才能发展壮大，所向披靡。愿海派文化永远有自己的鲜明特色！,0,4,1,上海,,上海,中国
2,5023095494541672,xxnoteeee,2024-04-14 16:19:13,很讨厌周末的教师培训 但是不得不说 好的讲座，可以帮我解决一些教学问题 帮我重新调整教育状态 “因为眼里全是孩子的问题所以才感到焦虑，抛开这些问题，他们是一群有特点有需求有感情有变化，不同的人，教育的复杂是对人研究的复杂。”  年轻教师是最有教育情怀的人吧 ,0,5,2,福建,福州,福建,中国
2,5023080579338307,文艺复兴与近代哲学,2024-04-14 15:19:57,【讲座预告】姚云帆丨自我同一性的两重危机——论帕斯卡尔“自己”的政治哲学 讲座提纲帕斯卡尔的“自己”（moi），是帕斯卡尔研究史上反复讨论的重要概念，但这一概念对现代政治哲学和社会哲学的价值仍然有待阐发。本文立足于帕斯卡尔对笛卡尔“第二沉思”的改写，认为“自己”概念激发了近代早期西方哲学中“自我”同一性的双重危机的呈现，并由此开启了以“自己”同一性为中心、建立一种社会秩序的可能性。这一思路激发了卢梭、黑格尔、拉康和阿尔都塞等人的回应，成为链接近代早期哲学和当代思想的重要线索。【讲座预告】姚云帆丨自我同一性的两重危机——论帕斯卡尔“自己”的政治哲学讲座信息主讲人：姚云帆（华东师范大学中文系副教授）与谈人：冯庆（中国人民大学哲学院副教授）主持人：贺晴川（北京师范大学哲学学院讲师）时间：2024年4月14日（周日）18:30—21:00地点：北京师范大学前主楼八层A803#讲座预告#,0,0,4,北京,北京,北京,中国
2,5023079597607360,脑科学世界,2024-04-14 15:16:03,brainnews#健康登顶计划# 脑科学技术讲座预告| 原子力显微镜在神经科学领域的应用来源:brainnews 在神经科学领域，从分子水平上研究神经发育、神经再生和神经退行性疾病相关的结构和生物力学性质改变，对理解相关机制和开发新的治疗策略有着非常重要的作用。原子力显微镜（AFM）可以在生理条件下对活细胞、组织进行纳米尺度高分辨成像，同时还可测量细胞、组织表面力学性质，已经越来越多的应用于神经科学领域研究中。2024年4月17日（周三）晚19:00，由Brainnews与布鲁克(Bruker)联合举办的技术讲座【原子力显微镜在神经科学领域的应用】将对AFM的基本原理及其近些年在神经发育、神经再生和神经退行性疾病相关领域的应用案例进行介绍，以期为相关领域的研究者开拓新的研究思路。,1,1,0,浙江,温州,浙江,中国
2,5023079042646553,北大红楼,2024-04-14 15:13:51,#北大红楼最新资讯#【活动预告｜王新生：中国共产党的诞生与中华民族伟大复兴】2024年4月15日（星期一）下午14:00，#北大红楼大讲堂#特邀原中共中央党史研究室副巡视员、研究员王新生，以“中国共产党的诞生与中华民族伟大复兴”为题开展讲座，王新生研究员主要研究领域为中国共产党民主革命历史研究。本次讲座将在“北大红楼”微信视频号进行直播，欢迎预约观看！活动预告｜王新生：中国共产党的诞生与中华民族伟大复兴,0,0,1,,,北京,中国
2,5023075559280144,天津12345,2024-04-14 15:00:00,【4月16日，天津市肿瘤医院滨海医院将举行第30届全国肿瘤防治宣传周暨中国抗癌日主题义诊活动及健康科普讲座】#便民服务# 天津市肿瘤医院滨海医院定于2024年4月16日（周二）在天津市肿瘤医院滨海医院门诊大厅，举办线下义诊活动以及健康科普讲座。届时，乳腺癌防治研究中心各科室上午将有12位专家出诊，解答乳腺肿瘤相关问题，下午将有7位专家进行健康科普讲座。欢迎患者及家属相互转告，前来就诊咨询、聆听讲座。活动安排详情，请点击了解→请您关注 | 4月16日，天津市肿瘤医院滨海医院将举行第30届全国肿瘤防治宣传周暨中国抗癌日主题义诊活动及健康科普讲座（天津医科大学肿瘤医院）,0,0,0,,天津,天津,中国
2,5023074298626697,橙新聞,2024-04-14 14:55:00,【韦志成：香港文学馆6月落户湾仔茂萝街7号项目，开幕展以“花”为主题】市建局行政总监韦志成发表网志表示，香港文学馆将在6月落户湾仔茂萝街7号的项目。到时展示香港作家珍贵的手稿、出版刊物和签名本等，亦会邀请研究香港文学的学者，举办各类型的文学交流讲座。韦志成指出，文学馆的开幕展览将先以“花”为主题，名为“万物有文，文里寻花”，将文学作家笔下常用的各种鲜花、花卉与文学作品连结。文学馆亦将在公共空间摆放多个花艺装置，塑造成“文学花园”，让参观者以不同方式欣赏香港的文学作品。此外，市建局在九龙城“龙城”区以“融合策略”推动市区更新，并借着试行“小区复修”先导计划，鼓励业主由外至内做好楼宇的维修保养之余，更进一步配合小区特色美化大厦外墙及街道。为此，市建局团队早前进行公开招募，希望物色本港及海外的壁画艺术家，日后在“龙城”区创作多幅壁画，彰显当区潮泰特色文化，以融入活化后的小区，营造同区个性一体化的效果。他说，市建局一直致力将艺术和文化融入市区更新项目，未来会在旺角东水渠道水道公园建构赏花热点，在太子道西/园艺街的保育及活化项目，加强花墟赏花的氛围；亦会在士丹顿街/城皇街的保育活化项目，筹办“艺术城踪游”(City Walk) 活动，连结市建局在中西区的市区更新项目，让市民和游客体验当区的艺术、文化、历史和民生风貌。#香港文学馆##香港# 网页链接,0,0,0,,,香港,中国
