页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5020047353316771,中图网官方微博,2024-04-06 06:27:00,#荐书# 《科第冠海内，人文甲天下：明清江南文化研究》#每满88减40# 是南京大学历史学院范金民教授在江南文化研究领域的一本学术论文集。全书搜集和征引了大量政书档案、民间文书、文集笔记、地方志书、日记碑刻以及域外文献等一手资料，着重从制度规定与社会运作两个途径，对明清时代江南的科举盛况、人文活动、社会治理、城市风貌、书画收藏、契约文书和外国人眼中的视觉印象等，作了多角度考察和深入探讨，分析了江南科第冠海内、人文甲天下、引领时代潮流和社会发展的背景与原因，提出了诸多学术新看法，堪称江南地域文化研究的重要成果。,5,3,25,河北,保定,河北,中国
2,5019108683288805,hxhxhhxx鑫,2024-04-03 16:17:03,最近读了，一个大国的崛起与崩溃：苏联历史专题研究（1917～1991）感觉整体上比较支离破碎，更像是各种论文集，而且大多数都是斯大林时期的文章，列宁，赫鲁晓夫，勃列日涅夫写的很少不过由于我本人之前对苏联的了解也只是支离破碎，所以收获还是有的首先，和斯大林比起来，素来以冷血著称的蒋介石也显得富有温情有人情味了，起码人不会把早期70%的主力大佬全枪决了赫鲁晓夫其实是想改变现状进行一些改革了，无奈被勃列日列夫这种好大喜功压迫言论的人执政18年，他又没有斯大林的能力又没有戈尔巴乔夫赫鲁晓夫的基本品行素质，这种人执政18年，苏联纯靠25%的逆天军费占比开支和美国硬撑而没有市场经济，缺少对高精尖产业的风险投资和获利抛出的股票市场，所以在芯片领域和商业化的intel，AMD，ti，之类完全无法匹敌，之后军力也大势已去了结论就是，市场经济确实如一个人身上的毛细血管一样，作为无形的手运筹帷幄，避免任何地方的基本物资短缺，生产力也强得多，事实证明，吃大锅饭在哪都行不通（或者说达到中等发达水平），无论是中国，苏联，朝鲜,0,0,0,福建,,福建,中国
2,5018462818140593,Ibrahin玩物,2024-04-01 21:30:36,贝壳 1936年（民国25年）国立北平研究院动物研究所，胶州湾海产动物采集团专门论文集 第四辑《胶州湾及其附近海产食用软体动物之研究》张玺、相里矩中国第一次海洋生物调查之软体动物研究论文，共记录到胶州湾及附近软体动物45种，腹足纲3科4种，瓣鳃纲10科31种，头足纲4科10种；并附表212个采集地和经纬坐标。背景资料：1935年，张玺领导由北平研究院和青岛市政府联合组织的胶州湾海洋动物采集团，对胶州湾的各类动物及海洋环境作了全面调查，发表了采集报告4辑和动物门类研究的论文数篇。这是我国第一次对海洋生物进行调查和研究，虽然涉及的范围仅限胶州湾及其附近海域，但这一区域的海洋环境和海洋动物区系在我国北部沿海很有代表性。他们的调查和研究特别是对许多动物种类的记载，成了研究我国北部沿海动物区系的重要文献，为后人研究海洋资源变动和环境污染对比，提供了宝贵的第一手资料。他和相里矩合写的“胶州湾及其附近的海产食用软体动物之研究文章，对45种软体动物的形态、生态、分布、利用及捕捞方法等作了描述，并对腹足类、瓣鳃类、头足类的形态分别作了概述，考证了一些科、属和种的名称，成为后人研究我国软体动物的极好的参考资料。#贝壳城会玩#,0,0,4,甘肃,兰州,甘肃,中国
2,5018424068016115,乔伊君,2024-04-01 18:56:38,乔伊书话  《“古代河西走廊的地缘与社会”学术研讨会论文集》作者：中国社会科学院古代史研究所 武威市凉州文化研究院 编出版社：@中西书局官微定价：180.00元ISBN：978-7-5475-2208-0图源：@中西书局官微【内容简介】        《“古代河西走廊的地缘与社会”学术研讨会论文集》是“古代河西走廊的地缘与社会”学术研讨会的论文集结，收录了相关论文30余篇。河西是丝绸之路的主干道，是欧亚大陆交通的重要桥梁，尤其是在陆上丝绸之路高度繁荣之时，丝路上的商人和使节携带了大量的货物、书籍、技术等东西往来，极大地促进了中外文化的碰撞与交融，在古代河西地区形成了多元文化的整体面貌。论文集所收论文涉及古代凉州与河西历史，河西地区的考古、文物，丝绸之路与中西交通，以及武威文化资源的保护、开发与利用等内容。【作者简介】        中国社会科学院古代史研究所是中国社会科学院直属事业单位，是我国历史学领域的国家级学术机构和研究中心，主要从事中国古代断代史和专门史学科的研究工作。        武威市凉州文化研究院隶属武威市政府管理，为处级事业单位。主要职责是开展凉州文化学术研究和相关政策理论研究，负责凉州文化的调查、发掘、整理、研究工作，推进凉州文化保护、传承和创新；开展凉州文化产业和旅游产业发展等方面的研究，推进凉州文化和旅游产业深度融合发展，组织开展凉州文化学术研究的成果转化，策划主办凉州文化学术讨论交流会议和活动等。,0,0,1,陕西,西安,陕西,中国
2,5018285475366690,中国考古网,2024-04-01 09:45:55,#新书介绍# 《盘龙城与长江文明国际学术研讨会论文集·2019》收录了2019年“盘龙城与长江文明国际学术研讨会”参会学者的论文21篇。内容涉及盘龙城遗址的发现与研究、盘龙城与中原等不同地区文化的关联及遗址博物馆陈列展览等相关方面。网页链接 ,1,1,1,,北京,北京,中国
2,5017984397742144,華夏_道成,2024-03-31 13:49:33,"存档：夔和夒的联系 出处： 鄔可晶.“夒”及有關諸字綜理[A]//第二屆商周青銅器與先秦史研究青年論壇論文集[C].重慶,2018:212-239.  #夏系小学# ",0,0,0,湖北,武汉,湖北,中国
2,5017215113366581,老沙乐园,2024-03-29 10:52:41,#图书资料去库存#  自己的一本旧资料，1999年四川建科院的科学研究论文集，挺厚的。谁需要请联系自取，考虑资料不一定有多少帮助，不想去邮寄了（含到付） 北京·中国建筑科学研究院新主楼A座 ,1,1,1,北京,北京,北京,中国
3,5016582137056346,lily_泥泥,2024-03-27 16:57:28,两本鲁迅研究的新书，一本是论文集，一本是专著。 ,0,0,0,海南,海口,海南,中国
3,5016252286765980,傳古樓,2024-03-26 19:06:45,#传古维新# 女性研究三种—《回归家庭去—妇女职业问题讨论集》（上下）《中国妇女论文集》上下，台湾商务；《女性战争与回忆》，中文大学出版社  网页链接 ,1,0,3,浙江,杭州,浙江,中国
3,5015494984208132,钱文忠,2024-03-24 16:57:30,《1943：中国现代史真正的十字路口》（美）周锡瑞 著是一本关于中国抗战史问题研讨的论文集，本书主要编者周锡瑞（Joseph W. Esherick）是圣迭戈加州大学教授，其研究领域是中国近代史研究，师从于费正清、列文森和魏斐德…运用了多视角叙事的叙事结构，全书的十三个章节由十三位不同的作者写成，他们坐在一起探讨，从社会、政治、经济、军事、外交等不同的角度来观察1943年中国…本书的一个特色，就是视角换位，每一个篇章都是一个独立地、全新地视角，并从研究对象的角度切入来写。正如周锡瑞在书中导论所写：“万物都已解体，中心难以维系。”……#钱文忠##文忠荐书##微博新知博主##读书##泛知识# 钱文忠的微博视频 1943：中国在十字路口,6,2,37,上海,上海,上海,中国
