页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022299462046391,德国驻华大使馆,2024-04-12 11:36:04,德国联邦教育与研究部(BMBF)举办著名的“数字化绿色理念人才-可持续发展高潜力人才(Digital GreenTalents –High Potentials in Sustainable Development)”竞赛。该竞赛面向数字化和可持续发展领域的杰出青年科学家。获奖者将被邀请到德国的机构或公司进行全额资助的研究（最长三个月）。该奖项还包含参加为期一周的“春季学校”，包括研讨会、实地考察和访问数字绿色人才网络。官方网站上 www.digitalgreentalents.de，您可以了解更多该奖项的信息。此次竞赛的申请截止日期到2024年5月15日。,14,56,160,北京,北京,北京,中国
2,5022810240714774,电子工业出版社,2024-04-13 21:25:43,本周好书分享#小电新书分享# ，6G智能超表面（RIS）技术初探，国家科学技术学术著作出版基金资助，中国移动研究院首席专家袁弋非博士领衔撰写，中国科学院催铁军院士作序力荐!智能超表面（RIS）是一项跨学科基础性创新技术，它具有可编程的人工电磁表面结构，具有低成本、低功耗和易部署的优势，应用场景包括无线网络覆盖扩展、无线系统容量提升、感知定位、高铁车厢内覆盖等，具有广阔的技术发展前景和工程应用前景。近年来，信息超材料技术取得了一些重要突破，基于智能超表面的通信得到学术界和工业界的广泛关注，有望成为未来6G空口的原创性基础技术。本书从信息超材料的特性、多天线通信技术基础、智能超表面中继技术、智能超表面中继的性能仿真评估、初步外场测试验证和分阶段的技术推进等方面对智能超表面技术进行了较为深入、全面的介绍。,0,0,3,,北京,北京,中国
2,5022797305482271,小风编辑,2024-04-13 20:34:19,"民族语文Minority Languages of China北大核心 CSSCIAMI核心 社科基金资助期刊基本信息主办单位：中国社会科学院民族学与人类学研究所出版周期：双月ISSN：0257-5779CN：11-1216/H出版地：北京市语种：中文;开本：16开邮发代号：2-525创刊时间：1979出版信息专辑名称： 哲学与人文科学专题名称： 中国语言文字出版文献量：3590篇总下载次数： 1181992次总被引次数： 29905次评价信息(2023版)复合影响因子：0.315(2023版)综合影响因子：0.236该刊被以下数据库收录：CSSCI 中文社会科学引文索引(2021-2022)来源期刊北京大学《中文核心期刊要目总览》来源期刊：1992年(第一版),1996年(第二版),2000年版,2004年版,2008年版,2011年版,2014年版,2017年版,2020年版《中国人文社会科学期刊AMI综合评价报告》：2018版A刊核心;2022版A刊核心",0,0,0,山东,烟台,山东,中国
2,5022774479292845,侠客游侠客-指挥官-星爵-TWZD,2024-04-13 19:03:37,cnBeta.COM42.1K 关注者新材料可大幅提高太阳能电池板的效率ugmbbc 的报道 • 8 小时 • 2 分钟读取利哈伊大学的研究人员创造了一种革命性的太阳能电池材料，其外部量子效率高达 190%，超越了传统的效率极限，显示出增强未来太阳能系统的巨大前景。在美国能源部的资助下，实际应用还需要进一步的开发。它显示出推动高效下一代太阳能电池开发的巨大潜力，而下一代太阳能电池对满足全球能源需求至关重要。美国利哈伊大学的一个研究小组创造了一种材料，它可以大大提高太阳能电池板的效率。使用这种材料作为太阳能电池活性层的原型显示出 80% 的平均光电吸收率、很高的光激发载流子生成率以及前所未有的高达 190% 的外部量子效率 (EQE)--这远远超过了硅基材料的肖克利-奎塞尔理论效率极限，并将光伏量子材料领域推向了新的高度。物理学教授 Chinedu Ekuma 在《科学进展》（Science Advances）杂志上发表了他与利哈伊大学博士生 Srihari Kastuar 合作开发这种材料的论文。先进的材料特性这种材料的效率飞跃主要归功于其独特的&quot;中间带态&quot;，即材料电子结构中的特定能级，使其成为太阳能转换的理想选择。这些态的能级在最佳子带间隙内，即材料能有效吸收阳光并产生电荷载流子的能量范围，约为 0.78 和 1.26 电子伏特。此外，这种材料在电磁波谱的红外线和可见光区域的高吸收率表现尤为出色。以 CuxGeSe/SnS 为活性层的薄膜太阳能电池示意图。资料来源：Ekuma 实验室/利哈伊大学在传统太阳能电池中，最大 EQE 为 100%，即每吸收一个太阳光光子，就能产生和收集一个电子。然而，过去几年中开发的一些先进材料和配置已证明能够从高能光子中产生和收集一个以上的电子，即 EQE 超过 100%。斯里哈里-卡斯图阿尔，利哈伊大学。资料来源：利哈伊大学虽然这种多重激子生成（MEG）材料尚未广泛商业化，但它们有可能大大提高太阳能发电系统的效率。在 Lehigh 开发的材料中，中间带态能够捕获传统太阳能电池通过反射和产热等方式损失的光子能量。材料开发与潜力研究人员利用&quot;范德华间隙&quot;（层状二维材料之间的原子级微小间隙）开发出了这种新型材料。这些间隙可以限制分子或离子，材料科学家通常利用它们来插入或&quot;插层&quot;其他元素，以调整材料特性。为了开发新型材料，利哈伊大学的研究人员在硒化锗（GeSe）和硫化锡（SnS）制成的二维材料层之间插入了零价铜原子。Ekuma 是计算凝聚态物理方面的专家，在对该系统进行了大量计算机建模并证明其理论前景后，他开发了这一原型作为概念验证。他说：&quot;其快速反应和更高的效率有力地表明了铜掺杂GeSe/SnS作为一种量子材料在先进光伏应用中的使用潜力，为提高太阳能转换效率提供了一条途径。这是开发新一代高效太阳能电池的理想候选材料，将在满足全球能源需求方面发挥至关重要的作用。&quot;虽然将新设计的量子材料整合到当前的太阳能系统中还需要进一步的研究和开发，但埃库马指出，用于制造这些材料的实验技术已经非常先进。随着时间的推移，科学家们已经掌握了将原子、离子和分子精确插入材料的方法。编译自:ScitechDaily,0,0,0,天津,天津,天津,中国
2,5022723680243048,BIG金狐,2024-04-13 15:41:46,日本投资约2亿美元资助氢燃料电池飞机等技术，加速航空业碳中和据双碳情报4月11日消息，日本新能源产业技术综合开发机构（NEDO）为绿色创新基金“下一代飞机开发”项目推出了新的研究主题，并资助306亿日元（约合2亿美元），开发使用液氢燃料的燃料电池电力推进系统和飞机电气化核心技术。此次推出的研究主题包括：（1）氢燃料电池电力推进系统技术，NEDO将开发使用液态氢的4兆瓦级燃料电池电力推进系统，并在该项目结束时达到技术成熟度（TRL）6或更高；（2）NEDO将开发氢燃料电池材料等核心技术，以显著提高飞机的耐热性和耐久性等性能；（3）开发动力控制和热/空气管理系统技术，到项目结束时，将在支撑飞机电气化核心的动力控制、热和空气管理系统核心技术上实现TRL6或更高，并建立集动力控制和热管理系统于一体的系统；（4）提高电动化率的技术，NEDO将开发使用飞机电动机的地面驾驶（电动滑行）功能，并展示起飞和着陆过程中对速度和冲击的抵抗力，以及与电机集成的高效冷却功能。,0,0,0,江苏,南通,江苏,中国
2,5022719949931612,偏生长璀错,2024-04-13 15:26:56,对面：我想邀请你去xxx，你是最合适的人balabala 加钱哥：（推脱）呃不好意思我们真的没时间…… 对面：（壕气冲天）（出钱）我可以资助你们的研究 加钱哥：…… 加钱哥：。 最后还是去了  笑死了加钱哥总是在同一个套路上跌倒，办法老土但有用 ,0,0,4,山东,德州,山东,中国
2,5022472701219981,雲濤在北,2024-04-12 23:04:28,麦卡洛博士：我在“突破极限”播客节目中与布莱恩·夏皮罗讨论过这个问题。雷德菲尔德和其他许多人报告的事实是，美国与中国合作进行了功能增强研究，以创造SARS-CoV-2嵌合体。（图片）————前疾控中心主任雷德菲尔德博士:“毫无疑问，美国国立卫生研究院资助了功能获得研究。”Malliotakis:“美国纳税人的钱是否可能资助了创造这种病毒的功能获得研究?”雷德菲尔德:“我认为确实如此，不仅来自美国国立卫生研究院，还来自国务院、美国国际开发署和国防部。”（视频）,16,3,47,甘肃,嘉峪关,甘肃,中国
2,5022671307279056,ctccn,2024-04-13 12:13:39,#研究生应该收父母给的生活费吗#从法律上来说父母赠予是可以接受的，从实际情况来看，研究生可以申请国家助学金、学校奖学金以及申请银行学生贷款，再加上可以利用课余时间兼职工作，就完全不需要父母资助。 ,0,0,1,北京,北京,北京,中国
2,5022660899897757,Z心寂不动Z,2024-04-13 11:32:18,#研究生应该收父母给的生活费吗#研究生怎么了？据我所知，很多上班族和已经结婚的人父母也都在给生活费补贴。 看个人家庭情况，如果父母有余力且乐意资助，可以收啊，他们还会很开心呢。 如果家庭条件不允许，父母没有余力，那就要自立自强了，毕竟也是成年了。 ,0,0,32,河北,石家庄,河北,中国
2,5022297997971845,以色列驻广州总领事馆,2024-04-12 11:30:15,"14名#以色列# 教授获得欧盟最高研究资助。来自希伯来大学、Technion、特拉维夫大学和魏茨曼研究所的研究人员将分别获得欧洲研究委员会250万欧元的资助。周四，欧洲研究委员会宣布，来自以色列大学的14名研究人员获得了享有盛誉的高级资助。欧盟资助的研究赠款各价值约250万欧元（268万美元），在五年内支付，在某些情况下还可额外获得100万欧元（107万美元）。这些资助是“欧盟提供的最负盛名和最具竞争力的研究资助之一。希伯来大学在宣布三位获奖者的声明中表示，这些资助为经验丰富的研究人员提供了追求能够推动重大科学突破的雄心勃勃的项目的机会”。图从左到右:耶路撒冷希伯来大学Prof. David Kazhdan, Prof. Maren R. Niehoff ,Prof. Nathan Lineal .",2,40,180,中国香港,,香港,中国
3,5022631772815565,我见金刚,2024-04-13 09:36:32,我最近形成的人生理想是，成立一个资助管理学博士研究的基金会。好多博士真是又穷又苦，苦到我这么能忍的人，都快崩溃了。 ,0,0,0,北京,北京,北京,中国
3,5022436691280208,CHERYL_嗯,2024-04-12 20:41:21,菠菜、芥菜、碱水打青中 明天做大鹏新区公益创投项目 “重返岁月时光·康养老年生活” 弘扬大鹏传统文化活动 青团仔制作与教学活动  资助单位：深圳市大鹏新区统战和社会建设局 指导单位：深圳市公信社会组织研究与评估中心 主办单位：龙岐文体协会 ,0,0,0,广东,深圳,广东,中国
3,5022395011695395,清沽爱旅行,2024-04-12 17:55:45,法律是最低限度的道德。于是发现，研究法律是在透视社会伦理、复杂人性，更是在重新思考和认识这个世界。受害者心善给抢劫人资助，可是实施抢劫的人会悔改知错吗？想到了水浒传里的黑旋风李逵，被人冒充打劫到了自己身上，损害了名誉不说，轻信了歹人养母无奈之云，反倒是好心给了那人救助，好心没好报，途中遇到了这人开的黑店，又险遭这两口子陷害人性呵！是什么个复杂的东西？人还是应该多读经典，经典之所以为经典，因为它揭露的东西不分时代，跨越历史照进现实，引人深思！,0,0,0,四川,雅安,四川,中国
3,5022361376260101,广州交通电台,2024-04-12 15:42:05,【小零件大智慧 原始创新能力上新台阶】2023年4月，习近平总书记在广东视察时指出，要深入实施创新驱动发展战略，加强区域创新体系建设，进一步提升自主创新能力，努力在突破关键核心技术难题上取得更大进展。一年来，广州持续加大全社会基础研究投入，优化实施市校（院）企联合资助基础研究计划，从源头和底层解决关键技术问题，极大推动了原始创新能力的提升，区域创新潜力进一步提高。#广州身边事# 广州交通电台的微博视频,0,0,1,,,广东,中国
3,5022334748203031,秦月汉关1900,2024-04-12 13:56:17,"——NASA表示,“申请样本将确保美国研究人员拥有与世界各地科学家相同的研究机会”...NASA还称,批准申请嫦娥五号月球样品是一个特例,“与中国在NASA资助的项目上进 行双边合作的禁令仍然有效“。",0,0,0,重庆,重庆,重庆,中国
3,5022268203992757,陈皮财经,2024-04-12 09:31:52,4月12日：现代科学发展的布什信条   现代科学的发展，包含着三个方面：基础研究、应用研究、市场化。罗斯福曾经让物理学家范内瓦·布什制定科技政策，布什提出一个“布什信条”，以说服国会和政府持续庞大的对基础研究的资助计划。这个信条就是不以应用为目的，在此引导下，美创办了国家科学基金会（NFS），为各类科学研究提供了源源不断的资金支持，其中重点是基础科学。   基础研究之后是一定会带来技术的，因为基础科学决定了基础研究领域的发展水平，决定了它能诞生多少原始创新，当原始创新不断积累壮大，应用和开发研究也会随之壮大。保持重金投入，就会有一系列的发明和技术进步，也会带来市场化的成功。我们翻看发明历史，就会发现与人们生活密切相关的电灯、飞机、洗衣机、空调、剃须刀、电话、留声机、洗衣机、微波炉、真空电子管等等，都诞生于美。在先进科技方面，比如对高纯度玻璃的研究，诞生了光纤，进而产生了互联网；对半导体材料P型和N型材料界面研究，诞生了晶体管，进而不断进步为集成电路和芯片；对金属离子运动的研究，诞生了锂电池，进而是我们斤年日微 消费电子时代等等。    一种相反的模式，就是应用为先的道路，前苏联是采取的这种发展方式，是在落后于发达国家的前提下，追赶过程只能选择先实现应用再倒推基础。在苏德战争爆发之前，苏联每年要用12%的财政预算来发展教育，课程以应用为主，到二战开始前，苏联已经有了3万多名工程师，这是打赢二战和与美竞争的关键。我们现在也在采用应用为先的模式，也是为了追赶先进，可以集中力量跳过耗时冗长的基础环节，直接实现市场和结果，但带来的缺陷就是只能无限逼近和模仿，只要迭代就会出现落后。,0,0,0,北京,北京,北京,中国
