页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5004179297012018,祺祺随笔,2024-02-22 11:33:00,#考虫倒闭#通过四六级的未必得到了英语行业的就业机会；努力备考一年研究生的未必成为众人中的幸运儿；拿到教师资格证、或许会因为专业不对口与教师无缘……先是中小学教育不好做了，现在考虫的倒闭，或许是人们对考试类培训，不再追崇的的一个表现。 ,0,0,0,辽宁,沈阳,辽宁,中国
2,4999948013933855,心理学与生活-诚哲,2024-02-10 19:19:24,自2018年人社部心理咨询师职业资格考试停止后，无论什么协会、学会、心理研究所等各类心理咨询职业技能培训均为相关技能培训，不代表具备执业资格。凡培训机构在宣传中涉及“职业资格”“推荐就业”“保证就业”“介绍工作”等内容的，均属虚假宣传，请广大心理学爱好者谨慎对待，并提防受骗。心理学,0,0,0,云南,昆明,云南,中国
2,4994080906677853,教师资格证,2024-01-25 14:45:36,科一背诵打卡第四天➡️第二章教育法律法规第一节 教师的权利与义务【考察0-1道选择题】 1.教师的职业权利： 【背·选择题】①教育教学权 ②科学研究、学术交流权 ③指导和管理学生权④获取报酬和相关待遇权 ⑤民主管理权 ⑥进修培训权 2.教师作为公民的基本义务：【背·选择题】①拥护国家统一和全国各民族团结的义务 ②遵纪守法的义务③维护国家安全、荣誉和利益的义务    ④保卫祖国和依法服兵役的义务 ⑤依法纳税的义务 3.教师作为专业教育教学人员的义务： 【背· 选择题】①遵纪守法 ②履行教育教学职责 ③对学生进行思想政治教育④爱护尊重学生 ⑤保护学生合法权益 ⑥提高水平  第二节  学生的权利及其保护  【考察0-1道选择题】1.学生的权利：【背·选择题】①人身权：隐私权、 人格尊严权、 人身自由权、 肖像权等②财产权：财产所有权、继承权、 受赠权、 知识产权中的财产权等③受教育权： 参加教育教学权、 获得经济资助权、 获得学业证书权、 申诉起诉权、 法定其他权 2.常见侵犯学生权利的行为：  【背·选择题】①侵犯学生的受教育权： 侵犯教育机会平等权、入学权、 参加考试的权利、 随意开除学生②侵犯学生人身权：侵犯人格尊严权、 隐私权(公开日记、公布成绩)人身自由权、 生命权、 健康权等③侵犯学生的财产权：没收财物、 罚款、 非法扣押④侵犯学生著作权：中小学生的作品也是作品⑤不作为违法侵权：对学生身体状况关照不力，学校活动组织失职，饮食安全事故等 #教资科一##教资笔试##教师资格证#教资笔试,2,0,1,四川,眉山,四川,中国
2,4993737239561154,德国学术交流中心北京代表处,2024-01-24 16:00:00,#德国高校介绍# 卡尔斯鲁厄师范学院(Pädagogische Hochschule Karlsruhe)卡尔斯鲁厄师范学院是一所拥有博士学位授予权和实习资格的教育大学，从事校内外教育过程的研究和教学工作。卡尔斯鲁厄师范学院有约220名教职员工和3600名学生。提供的课程包括小学和初中教师培训课程以及其他教育领域的学士和硕士学位课程。非全日制继续教育课程的特点是特别贴近研究和实践。高校性质：综合大学高校类型：公立学校所在联邦州：巴登符腾堡州大学官网：www.ph-karlsruhe.de/,1,1,1,,北京,北京,中国
2,4993695332174685,新浪保险频道,2024-01-24 13:13:28,【独家！#国开行副行长刘进将任中行副行长#】新浪金融研究院今日获悉，国家开发银行副行长刘进将任中国银行副行长。公开资料显示，刘进出生于1976年4月，是国家开发银行少有的内部提拔的高管，其副行长任职资格在2021年9月被原银保监会核准，此前担任过该行教育培训局局长。独家！国开行副行长刘进将任中行副行长 ,0,0,0,,北京,北京,中国
2,4987128465851378,不语书空花,2024-01-06 10:19:05,受是只小妖精，考取变人资格证后很happy的来到了城市，一边工作一边上后续培训班，感觉未来特别光明，然后工作第一天隔壁桌同事点了外卖，他被馋到，于是勇敢打听要去哪里请人给自己送饭。同事告诉他这是美团外卖的功效，于是他自力更生，下载美团外卖，狠狠研究，感觉自己会了，特别高兴，对同事颇有好感，于是邀请同事和自己成为好友。同事：？受：不可以吗？就是，加个好友，然后做网友？同事：……为什么你要加美团外卖的好友，你没有微信吗。受：啊，我有微信！但是美团外卖不行吗？不能加好友吗？同事还真不知道这玩意有没有好友功能，同时也觉得这段对话非常超现实，而受也从他的反应中察觉自己恐怕是犯了什么常识性错误，逐渐紧张不安，最后同事放弃了，告诉他美团外卖不能加好友，和他加了微信好友。,0,0,0,河南,洛阳,河南,中国
2,4980060446524516,流行等待,2023-12-17 22:13:18,亚力克斯说，每个挑夫都在“为生存而奋斗”。挑夫中很多人需要贴补家用，也有人是在为将来继续接受教育筹集学费。他本人也是在担任挑夫期间省吃俭用，攒够了培训费，考取了向导的资格认证。担任向导期间，他又幸运地结识了一对来自美国的登山夫妇，资助他上大学，研究旅游管理，最终得以创办自己的公司。他一直用自己的经历鼓励年轻的挑夫，无论生活如何艰苦，都不能失去内心的远大目标，并要为之付出努力。,0,0,0,江苏,盐城,江苏,中国
3,4978111680873318,小公举换头计,2023-12-12 13:09:36,医美行业内幕揭秘！！！会动到某些人的蛋糕，就算冒着被一堆人骂的风险也要跟你们说说；昨天发了这个故事之后网页链接，好多医生找我聊天，又了解了些新内幕：1.在国内一个医生，从完成本科学习、到临床实习和培训、到医学研究生毕业，拿到医生资格证起码要15年；你们认为他们拿到证书后会跑出来做代打这么高风险的事情吗？被抓到分分钟吊销，这只是年轻医生，更别说那些主任、教授级别，会因为想赚那点注射法拿自己职业生涯开玩笑？（所以那些所谓的代打医生是怎样的，你们懂了吧）2.还有就是用玻尿酸眉间、鼻子、眼睑、前额、鼻子以及鼻背和鼻尖这些部位时，一定一定要慎重，这块动脉特多：眶上动脉、滑车上动脉、鼻背动脉，只要打错一条，分分钟会会发生永久性视力丧失，严重的会脑梗死；如果你们不幸遇到这种事情（当然我不希望我任何一个粉丝发生这种事情），一定立刻马上第一时间去医院做溶解手术，不要拖，要跟时间赛跑！最后还是希望可以把这种事情扼杀在摇篮里吧，千万千万不要自己买药找人打，要做项目就去正规医院找专业医生做，这样才能确保自己的安全，否则就不要做！,8,14,47,浙江,杭州,浙江,中国
3,4978088155022465,易术录,2023-12-12 11:36:07,术考级教资必考证书！这才是加薪必备 社会艺术水平考级：教师证书！作为艺术类培训，教育中心老师必备从业资格证书！ 证书涉及：美术、书法、朗诵等等 证书直接由中国艺术科技研究所社会艺术水平考级中心颁发！证书含金量No.1 ,0,0,1,浙江,杭州,浙江,中国
3,4977724498381242,法学生江户川,2023-12-11 11:31:05,【投稿】川川，松了一口气！！！历时两年，终于考过了法律职业资格考试，为以后的奋斗打下基础。2019年7月研究生毕业后从事生鲜行业，2020年受疫情影响，部门裁撤；2020年转战教育行业，又遇到国家政策，带头人直播卖农产品去了；2021年做成人演讲培训遇到大裁员；2022年3月开始准备法考，客观题顺利通过后，遇到阳了个阳，主观题一拖再拖；2023年法考主观题一战差四分，开始在律所工作，直到年底二战通过。大家都告诉我，过了只是开始，所以我又把气提起来了！加油！,1,6,37,浙江,杭州,浙江,中国
