页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021012420985665,朱汉斌,2024-04-08 22:21:49,#广东向新# 科学家在家蚕抗病毒免疫研究领域取得系列进展华南农业大学动物科学学院家蚕病毒研究团队与合作者，在国家自然科学基金、广东省自然科学基金等项目资助下，在家蚕抗病毒免疫研究领域取得系列重要进展。相关成果相继发表于《昆虫生物化学与分子生物学》《先天免疫杂志》《昆虫科学》。网页链接,0,0,0,广东,广州,广东,中国
2,5020912073839029,主持人可欣_7,2024-04-08 15:43:05,最近听说逸仙电商旗下的达尔肤品牌又在搞事情啦！不仅官宣了第二届达尔肤痤疮研究基金项目，未来将会投入大笔资金资助有创新潜力的青年皮肤科医生，同时还会以痤疮为核心投入更具有研究价值的议题。期待以后达尔肤能产出更多低敏、高效的产品！ ,0,0,0,广东,广州,广东,中国
2,5020549464719489,体可问TK1,2024-04-07 15:42:11,经过多方专家评审，深圳市艾伦斯文精准医学研究所的《龙华区肿瘤早筛技术发展现状、趋势和挑战》研究项目，经专家评审，拟获15万元资助！ 图三、图四为汪海东所长、黄潇阳博士参加项目答辩 #体可问TK1##健康体检##肿瘤早筛##资助#深圳 ,0,0,0,广东,深圳,广东,中国
2,5020520945028734,经典教材,2024-04-07 13:48:53,@西南大学出版社  西南大学出版社推出《留守儿童社区心理健康服务》  　　本书系国家基金资助项目“留守儿童社区心理健康服务”的研究成果，为“社区心理健康服务丛书”的核心构成。网页链接 ,0,0,7,北京,北京,北京,中国
2,5020477338946535,波狮红,2024-04-07 10:55:36,无线电和电子工程的最初动力来自两次世界大战，在很大程度上受到了军队的资助。美英两国政府资助了电脑的开发。美国宇航局是第一批集成电路的主要用户。美国政府的国防先进研究项目署 (DARPA)创造出了互联网。万维网则是由欧洲粒子物理实验室 (CERN) 所发明，这是一个由多个欧洲国家政府资助的研究中心。,0,0,0,江苏,南京,江苏,中国
2,5020445847847228,科研女123,2024-04-07 08:50:28,mRNA疫苗的项目  一直都很忐忑，到底会不会资助我这个百万级别的研究  大早上，朋友给我发来相关的文章  两大难题，蛋白的优化和合适的递送系统  师兄也给了我思路  节前，把拟好的合同发给了公司的研发总监，总监说会在8号的总裁会上讨论  无论如何，好好干，多挣钱 ,0,0,0,山东,青岛,山东,中国
2,5019735551118577,小沫很帅彡,2024-04-05 09:48:00,肯辛顿宫发声明：证实凯特王妃已经从腹部手术中康复，并且早已开始居家办公。她重返工作岗位的第一个项目是为期4个月，由她资助的皇家基金会幼儿中心进行的试验，以帮助发现和研究幼儿社会和情感发展迹象的方式。 小沫很帅彡的微博视频 ,1,37,61,新疆,和田,新疆,中国
2,5020124285502885,辽河油田,2024-04-06 11:32:42,#中华人民共和国科学技术进步法# 第二十一条　国家设立自然科学基金，资助基础研究，支持人才培养和团队建设。确定国家自然科学基金资助项目，应当坚持宏观引导、自主申请、平等竞争、同行评审、择优支持的原则。有条件的地方人民政府结合本地区经济社会实际情况和发展需要，可以设立自然科学基金，支持基础研究。,5,6,12,辽宁,盘锦,辽宁,中国
2,5019768769217623,艺述英国,2024-04-05 12:00:00,⏰ 不要错过申请#国际合作资助计划# (International Collaboration Grants) 的机会。我们的资助都将帮助您与合作机构研究和开发项目创意，或落实新的艺术项目。无论是视觉艺术、舞蹈、电影或文学，我们的资助适用于所有艺术形式。👉了解详情并申请：网页链接📅 截止日期：4 月 30 日。#国际合作资助计划 #CollaborationGrants#,0,0,0,,上海,上海,中国
2,5019264408880462,野生金鱼量产版,2024-04-04 02:35:51,跑项目点一次要一千五不止，感觉还想多搞点研究经费。看了一下一个资助项目，每年这个月开始申请，还要代表作（可以未发表），想了想人看不上我的代表作，遂放弃！ ,0,0,1,北京,,北京,中国
