页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022780215264647,dlnsz,2024-04-13 19:26:24,人吃五谷杂粮会得病很正常。一群无法治愈疾病的专家，为掩盖无法治愈疾病真相，不研究如何治愈疾病，只要遇到自己无法治愈疾病，就跑到食品领域寻找背锅侠，使用“长期大量摄入可能”把自己餐桌的美食与规范企业生产的合格食品列为“致癌物过敏原三减四高食品”，制造食品谣言，祸害食品行业丧尽天良！,0,0,0,辽宁,本溪,辽宁,中国
2,5022710159116106,淄博交通音乐广播,2024-04-13 14:48:02,#FM100《你好！新闻小姐》# → 12日，“中医结节病学术交流会”在淄博广成中医举行，众多业内专家学者齐聚一堂，共同见证了广成中医买氏外治乳腺专科工作室的正式揭牌，标志着中医结节病治疗领域的研究与实践迈上了新台阶。 ,11,9,11,山东,淄博,山东,中国
2,5022645731459527,子璐Leslie_Liu,2024-04-13 10:32:01,我以自己的這些經歷告訴年輕讀者:研究藝術和美，切忌空泛，而應該“真懂”爭取成爲那些領域的專家。年輕人不要看了一些概论和資訊便發表很多意見，用權威的口氣說着外行的話。 ——餘秋雨老師推文 ,0,2,2,江苏,南京,江苏,中国
2,5022643879153029,开封市住房和城乡建设局,2024-04-13 10:24:40,【开封市建筑渗漏防治公益讲座顺利举办】      为了提升建筑防水施工质量，有效防治建筑及装饰工程渗漏问题，4月12日，市建筑渗漏防治公益讲座在开封市规划勘测设计研究院报告厅顺利举办。本次讲座吸引了众多来自建筑设计、施工、监理等领域的专业人士参与。      讲座邀请了业内知名专家担任主讲，就房屋建筑渗漏的原因、危害以及防治措施等方面进行了深入讲解。      专家通过丰富的案例分析，详细介绍了常见的渗漏部位和原因，如外墙、屋顶、卫生间等部位的渗漏问题。与会人员认真聆听，并与专家进行了积极的互动交流，就实际工作中遇到的问题进行了深入探讨。该单位负责人在会上强调了建筑渗漏防治工作的重要性。他表示，渗漏问题不仅影响房屋的使用功能和舒适度，还可能导致严重的安全隐患。加强渗漏防治工作，对于提高房屋质量、保障居民生活具有重要意义。      通过本次公益讲座，参会人员对房屋建筑渗漏防治有了更全面的认识和理解，掌握了有效的防治措施和技术。他们表示，将把所学知识应用到实际工作中，努力提升工程质量，为广大居民创造更加舒适、安全的居住环境。      下一步，市装饰管理办公室将继续关注建筑装饰工程质量问题，加大培训力度，推动行业技术进步，为城市建设和居民生活质量的提升做出贡献。,0,0,0,,开封,河南,中国
2,5022422027207139,搬砖组织,2024-04-12 19:43:05,#搬砖实习营# 南方电网-助理研究员实习生工作地点：广州【岗位职责】1、参与企业科技战略、创新管理、研发投入、营销服务等领域项目研究工作。2、协助行业专家、研究员等深度参与所内重要项目的执行与跟进。【岗位要求】1、硕士及以上，管理类、经济类、财会金融类、统计学、电力类相关专业，有创新管理、市场营销相关研究经验者优先。2、实习期不少于3个月，寒暑假期间每周出勤5天，其他时间每周出勤至少4天，长期实习优先。3、广东省广州市黄埔区科学城科翔路11号南方电网综合基地（需保证每周3天及以上的现场实习）。简历请投递至邮箱：huyong1@csg.cn简历及邮件主题命名方式：南方电网+姓名+所在学校+院系专业+年级请在邮件正文中说明计划实习月份，每周可实习天数,0,0,2,江苏,,江苏,中国
2,5022281540043959,俄罗斯卫星通讯社,2024-04-12 10:24:51,【俄专家：俄中太空合作极具前景】#每年今天是世界航天日# 自主非营利组织“空间经济与政策”研究中心主任瓦连京·乌瓦罗夫对卫星通讯社表示，俄中太空合作极具前景，其中包括在金砖国家平台上。4月12日庆祝世界航天日。乌瓦罗夫指出，俄罗斯和中国多次表示过在太空领域双边合作的重要性。#中俄太空合作# 2022年11月25日，俄中签署和开始实施《2023-2027年航天合作大纲》以及俄中两国政府关于建立国际月球科研站的合作协议。乌瓦罗夫表示，国际月球科研站是俄中太空合作最突出和最具前景的项目。,6,4,42,,北京,北京,中国
2,5022378205905886,广州交通电台,2024-04-12 16:48:58,【广东省科普能力提升培训活动广州启动】以“做强科普之翼，筑牢创新根基”为主题的2024年新时代广东省科普能力提升培训活动在广州启动。这次培训采取主旨报告、经验分享、实地考察等形式进行，多位在科普领域有深入研究和丰富实践经验的专家学者授课，通过生动的案例分析和实用的技巧使用进行分享。#广东身边事# 广州交通电台的微博视频,0,1,1,,,广东,中国
2,5022358358199759,今日宿松,2024-04-12 15:30:06,【松滋市与宿松县召开历史溯源交流座谈会】4月11日，松滋市与宿松县两地政协召开历史溯源交流座谈会。松滋市政协副主席邹璇，县政协副主席钱香付出席会议。会上，两地文史专家们进行了深入交流发言，分享了各自在地方历史文化研究领域的成果，并对如何更好地保护和传承地方文化提出了建设性的意见和建议。网页链接,0,0,0,,安庆,安徽,中国
2,5022344987281849,中国石化胜利油田,2024-04-12 14:36:58,【“眼”更亮 “网”更密】历时三年攻关，由胜利油田牵头承担的“全节点高密度地震技术研究及应用”项目顺利通过中国石化“十条龙”科技攻关项目验收。作为项目长，集团公司油气勘探领域（地球物理勘探）首席专家王延光倍感自豪：“此次顺利‘出龙’，形成了可复制、可推广的全节点高密度地震技术，实现了地震核心技术的自主可控，确保了中国石化物探技术始终处于行业第一方阵。”全节点高密度地震技术，推动了地震勘探“理论、装备、采集、处理、解释”的全面升级，累计申报受理国家发明专利103件，软件著作权登记21项，制订企业标准3项。研究成果在22个工区推广，覆盖面积5650平方千米，地震资料成像质量大幅改善，油藏描述精度显著提高，有力支撑油田东西部探区初步落实近6亿吨的圈闭资源量。（作者：武天祥 唐祥功）,63,46,36,山东,东营,山东,中国
2,5022331132971446,B612-K小破孩VV,2024-04-12 13:41:55,#颅内方块回收站#  在一些自己还未解决的人生课题上的时候，是经不起已经解决了/没有这个课题的人的盘问的。  就像是一个还没有开始着手做研究的学生去参加一个毕业论文答辩的感觉一样一无所知。  在相关领域已经有所建树的专家们可能也会觉得，为什么这个问题这么简单，你却答不上来呢？ ,0,0,0,加拿大,,,加拿大
3,5022137335415355,卜永明撩股市,2024-04-12 00:51:50,为什么说中国的专家和研究人员绝大部分都是垃圾呢？因为专家存在的意义是研究各自的专业领域，并且作出比普通人更准确一些的预测，这个预测可以是社会科学领域，也可以是自然科学领域。但是中国99.9%的专家既不敢承认已经发生过的历史真相，也不敢诚实的说出现实真相；那么它们预测到未来？能给出什么靠谱的建议？ 就好比一只乌鸦，既不承认它爸妈是乌鸦，也不承认它是黑色的，还天天哇啦哇啦乱叫说它掌握了真理，有人问它那你自己是什么？它说，明天它就会是一只喜鹊。这-就是中国99.9%的专家！,0,0,0,陕西,西安,陕西,中国
3,5022087387289216,眼科视光医生梅颖,2024-04-11 21:33:22,COOC2024大会于2024年4月11日-13日在上海跨国采购会展中心举行，此次会议将为国内知名专家和各省市县卫生系统专家搭建一个高水平、大范围、多层次的学术交流平台。国内众多顶尖大咖受邀参与。在COOC2024的会前会上，众多眼视光领域的顶尖专家纷纷展示了各自的研究成果，并分享了新颖的学术观点，为我们呈现了眼视光医学的前沿知识和发展趋势。我也借此机会，向与会者深入介绍了关于角膜塑形术数字个性化验配的研究。这次参会，不仅为我们个人提供了一个向同行展示研究成果的窗口，更为所有与会者创造了一个深入交流、思想碰撞的难得机会。,0,0,3,上海,,上海,中国
3,5022047346884988,中国科讯,2024-04-11 18:54:14,#公益v课堂##全民素养提升V计划# 中国科讯正在直播【人工智能及虚拟技术在医学领域的应用、研究及趋势】。Digital Health期刊主编，来自英国伯明翰大学的Theodoros Arvanitis教授，将与来自复旦大学附属闵行医院、江西省人民医院的一线专家学者，Sage出版公司的讲师一起，分享数字医学领域的最新应用和发展趋势。  中国科讯的微博视频,1,0,2,,,,
3,5021995286662135,素拓梦-基地,2024-04-11 15:27:23,#素质拓展# 近日，西南科技大学1980级校友杨华德荣获《感动中国》2023年度人物，这一荣誉无疑是对这位杰出校友的最高赞誉。杨华德专家在水稻研究领域取得了卓越的成就，为我国农业发展做出了重要贡献。￼杨华德专家的成功并非偶然。他的成就是源于西南科技大学良好的教育环境和严谨的学术氛围，以及教育部门和社会各界的大力支持。西南科技大学以其深厚的教育底蕴，为培养出一批批杰出人才提供了广阔的平台。￼我们应深刻认识到教育的力量，尤其是在农业领域的发展中。我们要大力支持教育事业的发展，为培养更多像杨华德专家这样的杰出人才提供良好的环境和条件。同时，我们也要鼓励更多的年轻人投身到农业领域的研究和实践中去，为我国农业发展贡献自己的力量@西南科技大学校团委组织部_ @西南科技大学经济管理院学生会 @西科经管青志中心 @西南科大共青团 @西南科技大学学生会素拓部,0,0,0,四川,绵阳,四川,中国
