页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023547160529343,含堡戈,2024-04-15 22:13:59,“尴尬”描述的是一种不舒适、困难的情境或心理状态，表现为犹豫、不安或难以应付。“尴尬”一词常用于汉语，其定义涉及行为或态度的不自然，处于困难或棘手的处境，使人感到窘迫、不知所措，难以处理或应对。它还可以描述在特定社交场合中感到不舒服或不安的情况，如遇到令人难堪的局面或情感上的尴尬，如感到窘迫或心理上的不安。,0,3,1,吉林,长春,吉林,中国
2,5023519574594619,Wuli鲸鱼的少女啊2018,2024-04-15 20:24:22,向不熟络的人表达关心是一件很困难的事。怕对方觉得交浅言深，一番诉衷肠却只是隔靴搔痒无关紧要，我也不愿意成为只空口关心像完成社交义务的人。 ,0,1,0,广东,深圳,广东,中国
2,5023498542779499,xixi哈哈hihi吼吼,2024-04-15 19:00:47,社交困难 对学长姐甚至同龄人害怕就算了 为什么和学弟学妹讲话也畏畏缩缩啊啊啊啊啊 ,0,1,0,四川,成都,四川,中国
2,5023103464245561,郭亚鑫,2024-04-14 16:50:53,人到中年后你要明白：关系再好的朋友，也不要经常去联系，更不要三天两头就碰在一起谈天论地，因为成年人最好的社交不是常联系而是相互不打扰，真正的朋友，不是经常“推杯换盏”，而是我有事，你一定在；你有困难，一句话我一定帮；分寸感，永远是一段关系，长久不衰的秘诀，亲情是，爱情是，友情亦是。,2,27,122,江苏,南京,江苏,中国
2,5023370571681519,情到深处人孤独67337,2024-04-15 10:32:17,#邯郸玛丽妇女儿童医院# 一部分患儿到青春期以后症状可有改善，古怪刻板的行为减少，社会交往和适应社会的能力或多或少地提高。但仍表现为与人交往困难，独来独往，回避他人；在不涉及社交能力时，也能干好某些简单、机械的事情。 ,0,0,0,河北,廊坊,河北,中国
2,5023227231602266,漂亮是全部吗_,2024-04-15 01:02:42,每天晚上 be like真的很想认真搞搞自媒体😭😭😭  没人看都好 真的很想做出写成绩来 让我社交别这么困难了 我明明是个如此有趣优秀的人 ,0,0,0,北京,北京,北京,中国
2,5023210640247638,假日威鼠林,2024-04-14 23:56:46,社交好困难社交好累 ,0,0,1,江西,南昌,江西,中国
2,5023206687899798,Yuki阿花,2024-04-14 23:41:03,发小、同学、闺蜜…差不多都结婚了吧，没结婚的也就寥寥无几，原本单身多年的没有结婚打算的，现在有对象了，也开始想要结婚了，好像没有可以喊出来吃饭喝酒的人了，年纪到了，跟不上脚步的人啊，连社交都开始困难了 ,0,1,0,安徽,合肥,安徽,中国
3,5023204953296908,焦虑支架,2024-04-14 23:34:10,马上睡觉了又开始焦虑症发作，每天都因为家里的事心里像揣了个石头一样烦闷，请了好几天年假陪家人看病小半个月，后续的事情还没彻底解决，惴惴不安，再加上明天上班日更加躁动，想到恶心的ts和这段时间突然休假积累的工作就开始呼吸困难窒息，好累，不想见人，有没有不用社交的工作又想换工作了 ,0,0,0,山东,淄博,山东,中国
3,5023121614570710,看相佛语,2024-04-14 18:03:00,手掌如果色泽红润而且偏亮白皙透红，如水润一般而非干燥发红或者淤红，这样的女人性格一般都比较开朗，具有很强的社交能力，她们身边的朋友会有很多，即使是遇到困难也会有贵人相助。所以结婚之后她们能给家中招来贵人，让老公以及家人的生活更顺利。与此同时，手掌红润的女人命中有福源，结婚之后招财纳福，能够让家人的生活幸福，老公赚钱多多，日子是越过越好，一辈子不受苦难，且和老公的感情生活也是越来越亲密。,6,12,17,北京,北京,北京,中国
