页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4907234046250629,月暖如梵音的垃圾筒,2023-05-30 23:07:11,参加学术会议深刻地感觉到了peer pressure 以前都是科研型 自己看不懂也追不上 并没有太大触动 今天遇到了临床型选手 硕士期间经手200+病例  拿到各大病例比赛的奖项 周末兼职收入追平公立医院普通主治月收入 ,0,2,0,湖北,武汉,湖北,中国
2,4884735472701188,leeeunioor,2023-03-29 21:05:53,新传保研#新传保研# 已上岸211国新，绩点3.8+，四六级成绩600+，曾参与清华国际传播研究中心、国家社科基金重点项目等三项科研项目，竞赛奖项*2，学术会议一项。现在有一些去年的资料，需要可私信也可以来和我聊天，分享保研过程中的时间安排、心态调整，或者院校定位1.基础理论+笔记：《新闻学概论》《范式与流派》等6本书的pdf，基础理论讲解，思维导图2.热点专题：ppt+论文包，包括元宇宙、数据新闻等考新闻、小小班、土拨鼠、东君忆等几家机构的热点专题笔记pdf3.文书撰写+研究方法tips，包括个人陈述模板、研究方法、研究计划4.院校考情人大、清北、武大、华科、上交、中传、南大等top院校考情ppt分析院校手册：15家院校考情分析，270页pdf5.英语包括理论类热点、生活类口语、新传专业名词、自我介绍、面试常见口语问题等,0,4,1,上海,上海,上海,中国
2,4877429867021790,寿县发布,2023-03-09 17:16:01,【寿县党史和地方志研究室荣获全省党史地方志部门两项表彰】近日，省委党史研究院（省地方志研究室）主持召开全省党史和地方志部门主要负责人会议，会议表彰2022年度全省党史和地方志系统优秀科研成果。寿县党史和地方志研究室获得2个奖项，其中一等奖1项，三等奖1项，位居淮南市县（区）第一：寿县年鉴（2022）》获全省年鉴类三等奖，时光往、孙全利同志在省《党史纵览》上发表的《孙一中烈士革命传奇》获全省宣传资政文章类一等奖。,0,0,0,,淮南,安徽,中国
2,4869415155798373,崔钟博汶Cook,2023-02-15 14:28:25,"【传媒申请】学生：大家好，23fall英港 电影/文化/中国/中文类申请总结Bg：211传媒艺术专业，均分89，雅思6.5 / 科研2段，普刊1篇会议1篇 / 实习4段 / 王曼爱华夏校1次 / 奖项奖学金及其他若干✅Offer：港中文 Chinese Studies UCL Film Studies爱丁堡 Intermediality: Literature, Film and the Arts in DialogueKCL Film Studies华威 Film and Television Studies南安普顿 Film Studies❓WL：（可能是默拒）港中文 Intercultural Studies爱丁堡 Film studies 港科技 Chinese Culture港理工 Chinese Culture港城 Chinese Language and Literature⏸️梦校来了后没完成申请的：NUS Chinese Culture and LanguageSOAS Cultural StuediesVU Amsterdam Arts &amp; CultureUC Davis Comparative Literature个人感悟：早申很重要（真的真的），语言尽量高（我太菜了）。转专业需谨慎（哎），项目匹配度很关键（真的真的），格局打开选校广撒网（海投有一定道理）。",7,3,15,湖南,长沙,湖南,中国
2,4851300623719815,948交通广播,2022-12-27 14:47:44,#948快讯# 近日，第十九次中国岩石力学与工程学术年会在北京闭幕，会议公布了2022年度中国岩石力学与工程学会各类科研奖项。湖北交投集团参与完成的科研成果——“岩土锚固机制与服役性状评价关键技术及应用”荣获科技进步奖一等奖。据了解，中国岩石力学与工程学会是中国科协领导下的全国一级学会，聚集了以国家最高科技奖钱七虎院士为代表的一大批杰出人才。,0,0,0,,武汉,湖北,中国
2,4824842119939268,留学茶水间,2022-10-15 14:31:05,《同学申请英国院校留学的问答》（有留学中介相关的问题都可以来问我）问：国防科大某工程技术类专业本科，算术平均分74.2，加权平均分71.9。已毕业工作4年，准备今年年底脱坑。有国家级大创（第一主持人），有国家级数模竞赛的奖项，有国内某学术会议的论文，主持过单位某科研项目。目前还没考雅思，计划明年出国。答：一般申请的时候是看加权均分的，均分低的情况下，只能申请排名靠后的大学就读了。比如 卡迪夫 苏赛克斯 阿伯丁 这样的，做好心理准备。如果去的话，提早考个雅思，规划好留学时间！#卡迪夫大学# #阿伯丁大学#,0,1,0,四川,成都,四川,中国
2,4824126504308316,留学申请Alma姐,2022-10-13 15:07:29,"【英校申请】国防科大某工程技术类专业本科，算术平均分74.2，加权平均分71.9。已毕业工作4年，准备今年年底脱坑。有国家级大创（第一主持人），有国家级数模竞赛的奖项，有国内某学术会议的论文，主持过单位某科研项目。目前还没考雅思，计划明年出国。利兹工程学院有些均分需要985院校75+；格拉斯哥大学对985的最低要求是75+；谢菲尔德大学一般需要75+；卡迪夫工科类专业蛮多是985,70分以上；埃克塞特大学工程商务管理 70分以上；纽卡斯尔大学蛮多专业需要 70分以上；总体来看的话，75分是个分水岭，最好有75，否则落入的院校范围大概是100-200排名的院校。#利兹大学# #格拉斯哥大学#",0,0,0,四川,成都,四川,中国
2,4803938262193297,老c队长,2022-08-18 22:06:37,最近阿里巴巴“不出意料”地又拿到了国际顶级大奖，该奖项由全球数据科学领域顶级会议KDD设立，分研究和应用两大方向，阿里达摩院成功斩获应用科学方向唯一的“最佳论文奖”。消息传回国内，让人大感振奋！ 为什么说不出意料？因为“前有CVPR ，后有KDD”。最近几年阿里一个猛子扎进了科研学术大河里，不仅国人称赞，出海也找到更多舞台，仅今年达摩院就还获得了ACL 2022杰出论文、CVPR 2022最佳学生论文等佳绩。 这些成绩含金量更是不俗，此番大奖，不仅由顶级机构设立，参赛者众多，“对手”来头也不小，但阿里最终仍旧让谷歌、亚马逊、卡内基梅隆大学的研究机构败下阵去，让参赛论文从2448篇投稿中脱颖而出。这事还是国内机构首次！ 阿里如此科研实力，让它科技企业的身份暴露无疑。只不过，拥有今天的成绩，阿里也走过很长的路。当初力砸1000亿成立达摩院，前不久的财报又显示，仅去年一年它的科研投入就达1200亿，极高的研发投入充分说明了问题。 阿里获奖本身并没有什么，但拿奖背后却有着深长意义。一来印证中国的科技学术正在得到世界认可，二来也说明中国的科技土壤正越积越厚，更多像阿里这样的企业正加速汇流到科研路上！这一切最终将成为，让中国科技实现制胜无敌的底气。,29,7,59,山东,,山东,中国
2,4790507358129419,Carrie说留学,2022-07-12 20:37:00,【英校申请】国防科大某工程技术类专业本科，算术平均分74.2，加权平均分71.9。已毕业工作4年，准备今年年底脱坑。有国家级大创（第一主持人），有国家级数模竞赛的奖项，有国内某学术会议的论文，主持过单位某科研项目。目前还没考雅思，计划明年出国。以算数成绩来看的话，可以试着基本冲刺100以内的大学比如利兹大学，谢菲尔德大学，诺丁汉大学等，这些大学咱们还是需要细细选下学校，以100-200的大学匹配比如利物浦大学，阿伯丁大学，卡迪夫大学等。#利兹大学# #谢菲尔德大学#,0,0,0,四川,成都,四川,中国
3,4772776273774503,崔钟博汶Cook,2022-05-24 22:20:00,【英澳Offer】学生：大家好，报个申请季总结给学弟学妹参考211 91 校级各类奖项 3段科研 2篇国际会议 2段普通但相关实习个人觉得人文社科专业写好ps很重要6申6中 按收到offer的时间顺序墨尔本 公共政策与管理悉尼 政治经济学布里斯托 sociologyucl social policy and social researchlse sociology爱丁堡 social research,1,4,20,湖南,长沙,湖南,中国
