页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5006125378836811,黑煤球电子虫虫,2024-02-27 20:26:02,北京时间28日8点我将上一堂4节连堂 耗时3小时20分的会计职业道德课（提前准备早餐、咖啡、零食，以维持生命体征和精神正常）14点 我将前往教育部和上海市教委双重认证的一流外语学校上海外国语大学松江校区图文信息中心与本科毕业论文展开长期斗争感谢导师不催不杀之恩…半年科研缘，一生师生情啊啊啊啊啊啊我睡觉了明天才有力气我像一块电池没电了,0,0,2,上海,,上海,中国
2,5005601263059085,职称论文_专著,2024-02-26 09:43:22,《科研》基本信息主管单位：科技部西南信息中心主办单位：重庆维普资讯有限公司国内刊号：50-9230/G 国际刊号：1671-5780 发行周期：月刊栏目：学科教育、教学设计、课堂教学、课外天地、教学实践、理论前沿、学法·教法研讨、教改论坛、科教创新、农村教育、职业教育、教师专业发展、热点聚集、百家争鸣。,0,0,0,河北,张家口,河北,中国
2,4996897419037101,鲁水微风,2024-02-02 09:17:25,【黄河水利科学研究院到山东省水利厅调研交流】 1月31日上午，黄河水利委员会黄河水利科学研究院副院长王敏率科研处、湖库所、泥沙所、海洋所、灌溉中心、信息中心、水保所、水力学所有关负责同志一行13人到山东省水利厅开展座谈交流。省水利厅二级巡视员隋家明出席座谈会。 网页链接 ,1,0,0,,济南,山东,中国
2,4994504627587807,安徽广电,2024-01-26 18:49:19,【省广电局开展岁末年初安全生产工作检查】为切实抓好岁末年初各类安全风险排查和隐患防范工作，提高各类人员的安全生产风险防范意识，1月25日至26日，省广电局二级巡视员胡文生带队对部分局属房产和局办公场所开展安全生产和消防安全工作检查。局办公室、省广播电视科研所、省广播电视信息中心相关负责同志陪同检查。胡文生一行先后深入到施工现场、培训机构、老旧小区等重点场所和局办公场所的重点部位，对消防设施配备、用火用电用气管理、安保工作落实等开展了全面检查，现场抽查了应急演练开展情况和工作人员的消防器材使用技能，督促相关单位负责人加强管理、细化责任，务必做好岁末年初安全生产、消防安全工作。胡文生强调：一要提高政治站位，克服麻痹思想、侥幸心理，深刻吸取近期全国发生的重大安全生产事故的惨痛教训，深刻认识做好安全生产工作的极端重要性，进一步统一思想和行动，严防各类安全生产事故发生。二要细化安全工作举措，加强隐患排查，紧盯薄弱环节，及时发现问题、整改问题，坚决消除盲区死角，强化安全制度落实，抓实抓细抓紧安全生产工作。三要强化底线思维，坚持问题导向，紧绷安全弦，完善应急预案，加强应急演练，对突发事件做到快速联动稳妥处置，定期开展消防安全培训和应急疏散演练等，提高安全保障和应急处突能力，打好防范风险主动仗。,0,0,0,,合肥,安徽,中国
2,4991164847493822,SpringerNature,2024-01-17 13:38:14,【是什么阻碍了研究数据共享？|《中国开放数据白皮书》】《中国开放数据白皮书2023》由中国科学院计算机网络信息中心（下称“网络中心”）、施普林格·自然（Springer Nature）、Digital Science（数字科研）公司和Figshare知识库首次联合发布。 是什么阻碍了研究数据共享？|《中国开放数据白皮书》 ,6,1,1,北京,北京,北京,中国
2,4984739956791380,易经风水--祥雲,2023-12-30 20:08:00,1282、【真实风水案例】--广州圆大厦            ②被称为铜钱大楼的“大金环”建筑，是广东塑料交易所总部大楼和第二期仓储中心项目的一部分，项目已被列入“广东省新十项工程”和“广州市重点项目”， 主要功能包括大型塑料仓储中心、科研展示中心和信息中心。其中，“大金环”投资10 亿人民币， 总建筑面积8万平方米，高33 层，用作新总部大楼。             2015年8月13日，在广州市白鹅潭经济圈最南端拍摄的已经交付使用的广州圆大厦。这栋内方外圆的大楼外部金色玻璃幕墙白天闪闪发光，内部布满以圆元素的豪华装饰。夜幕降临，广州圆大厦外墙灯光由下而上依次点亮，寓意铮铮向荣、节节高升，自大厦竣工以来，每天吸引了大量的游客前来观赏这栋被称为土豪金的地标建筑。,0,0,0,广东,广州,广东,中国
2,4983205046259716,期刊论文发表编辑部,2023-12-26 14:28:49,《进展：教学与科研》♦ 主管单位：重庆西南信息有限公司(原国家科技部西南信息中心)♦ 主办单位：重庆西南信息有限公司(原国家科技部西南信息中心)♦ 国内刊号：50-1076/N♦ 国际刊号：1002-1221♦ 邮发代号：78-303♦ 发行周期：月刊收稿范围：小学数学 | 小学语文 | 教学 | 课堂教学 | 教学策略 | 小学生 | 课堂 | 课程 | 语文教学 | 小学数学教学,0,0,0,河北,张家口,河北,中国
2,4979161192467622,国际商报,2023-12-15 10:39:59,中外机构联合发布首份《中国开放数据白皮书》□ 本报记者 孟 妮开放数据是开放科学的基本要素，也是支持研究可重复性的关键。日前，施普林格·自然（Springer Nature）、数字科研公司（Digital Science）、知识库（Figshare）携手中国科学院计算机网络信息中心首次发布的《中国开放数据白皮书2023》显示，中国科研群体对开放科学有较高的接受度和支持度，有78%的受访者赞成公开研究数据成为惯例。不过，数据共享依旧存在诸多阻碍因素。施普林格·自然科研市场总裁史蒂文·印驰库姆说:“开放数据状况报告是一项全球调查，旨在深入了解科研人员对于开放数据的态度和体验。我们很高兴与中国科学院计算机网络信息中心合作发布一份有关中国开放数据情况的报告，以便出版机构、科研资助机构和科研机构更好地了解科研人员的看法，以及需要以哪些支持来帮助他们将数据公开。值得关注的是，今年，该调查首次询问了受访者使用人工智能（AI）收集和共享数据的经验。白皮书显示，虽然近半受访者了解用于数据收集、处理和元数据创建的生成式AI工具，但大多数人尚未加以使用，而较多的中国受访者已在使用AI工具辅助他们进行数据收集（62%）、数据处理（55%）和元数据创建（53%）工作。对此，中国科学院院士、中国科学院生物物理研究所研究员陈润生说：“科学数据的开放、共享和应用，会为科学界带来新的知识。而大数据、人工智能和大模型的融合发展，也将激活科学研究的创新力和生命力，破解更多科学密码。”白皮书显示，对于中国受访者而言，提升学术认可与影响力是最重要的数据共享驱动因素。有56%的中国受访者认为其共享数据获得的学术认可“太少”，持这一看法的全球受访者比例为60%。白皮书提到，多数中国受访者认为中国对于研究数据开放共享给予了较大力度的支持（65%），全球则有近四分之三的受访研究人员表示未获得共享数据所需的支持。不过，白皮书也发现，数据共享依旧存在诸多阻碍因素。中国有57%的受访者担心数据“包含敏感信息或数据共享前须获研究参与者许可”。中国受访者担忧的其他问题还包括“数据滥用（39%）”“其他实验室抢发研究成果（36%）”以及“不确定数据版权和数据许可（36%）”等。只有约10%的受访者表示对数据共享没有顾虑。此外，白皮书还邀请中国数据开放共享领域的专家参与报告撰写，从国家政策法规体系、科研评价体系、科研机构的指导作用和数据共享最佳实践等方面提出了相关建议。期间，施普林格·自然介绍了在中国的数据政策、相关实践及愿景。,0,0,0,,北京,北京,中国
2,4976614469271754,三农头条,2023-12-08 10:00:12,乡村振兴赋能计划  【招募令！全国名优特产年货节等你来参与】#乡村振兴赋能计划# 展乡村振兴壮丽风采，聚农业强国澎湃力量，中国农影联合农业农村部信息中心、中国农业科学院农业信息研究所等部委司局、科研机构、头部搜索平台单位，于2024年1月13-14日在河北怀来举办“乡村振兴品牌节年度荣耀盛典”。盛典同期将举办“全国名优特产年货节暨云展播助农直播带货活动”，邀请数十位千万粉丝级别网络达人、知名人士到场参加云展播与助农直播，并通过 CCTV17农业农村频道、农视网、三农头条、中国三农发布等渠道展开全网宣传推广，引爆乡村振兴品牌节全网话题热度。#乡村振兴品牌节#  招募令！全国名优特产年货节等你来参与,0,0,1,,北京,北京,中国
2,4975950061638472,NaturePortfolio,2023-12-06 14:00:06,2023年11月30日，施普林格·自然（Springer Nature）、Digital Science（数字科研）公司、Figshare 知识库携手中国科学院计算机网络信息中心（下称 “网络中心” ）首次对外发布《中国开放数据白皮书2023》 首份《中国开放数据白皮书》正式发布 ,3,0,4,北京,北京,北京,中国
3,4973433935102859,三峡日报,2023-11-29 15:21:55,#科教宜昌# 【秭归县幼儿教育名师工作室开展送教下乡活动】11月26日至29日，秭归县教育科研信息中心、秭归县幼儿教育名师工作室分别在归州镇中心幼儿园、郭家坝镇中心幼儿园开展了为期三天的送教下乡暨片区研讨活动。活动中，秭归县幼教教研员、县幼儿教育名师工作室顾问宋昭晖，秭归县幼儿教育名师工作室主持人、县第二幼儿园园长陈桂芳一行6人和来自归州、水田坝、泄滩片区及九畹溪、杨林、郭家坝、屈原片区幼儿园的40多名园长和教师参加了本次活动。此次活动分为名师送教和名师问诊两个方面，通过授课讲座、评课议课、观摩研讨、实地访园、现场答疑等形式开展，内容丰富、形式多样。据悉，通过送教下乡活动，旨在有效解决乡镇幼儿园在教育教学工作中遇到的一些困惑和困难，加强城乡幼儿园教师之间的沟通交流，促进共同学习和共同提升。（三峡日报全媒记者何宝喜、通讯员梅瑶、周月）,0,0,1,,宜昌,湖北,中国
3,4973351858865103,南桥镇政府,2023-11-29 09:55:46,#招租##杨王园区厂房资源#【超丰富经济资源等待“有缘人”！一起相聚南桥，共谋发展！】南桥是奉贤区委、区政府所在地，是奉贤区政治、经济、文化，金融和信息中心，与自贸区临港新片区一港之隔，更是奉贤新城建设发展的核心承载区。现在，地处这个“好地方”的工业用地，科研用地、商业用地、住宅用地等，全属性的土地资源可供出让，有工业楼宇、商务楼宇，可为企业总部办公，有各类标准厂房供企业生产制造，更有乡村振兴商服用地可供选择。杨王园区厂房资源具体信息如下。网页链接,0,0,1,,上海,上海,中国
3,4967926547613105,飘过一会儿,2023-11-14 10:37:31,周口职业技术学院：书香校园、文化校园、工匠校园、绿色校园、智慧校园、园林校园、水韵校园、人本校园；图书馆、档案馆、校史馆，网络信息中心、科研中心。 ,0,0,0,河南,周口,河南,中国
3,4967177734848733,上海市质检院SQI,2023-11-12 09:02:00,【上海市经济信息中心来市质检院调研交流】 #质检在线# 近日，上海市经济信息中心党委副书记吴乐丕一行来市质检院调研交流。副院长朱晨辉参加座谈会。会上，双方分别介绍了单位的基本情况，并围绕人才队伍建设、岗位聘用、绩效管理、科研与项目管理等方面工作进行了深入的沟通交流。 ,0,0,0,,上海,上海,中国
