页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4943757847300139,章敏Runner,2023-09-08 17:59:44,【参考译文】 将过去一个半世纪里英国地质学领域的出版物进行比较，(我们可以发现)这些刊物不仅越来越强调科学研究的首要地位，并且对“什么样的文章算得上是一篇合格的科研论文”的定义也在发生变化。#猴哥每日长难句#,0,0,0,江西,南昌,江西,中国
2,4920173742527461,浅夏微凉2022,2023-07-05 16:04:55,每周文摘·养老周刊-维普收录-可加急一个月左右见刊《每周文摘·养老周刊》是福建日报社主管、每周文摘报社主办的医学期刊，刊期为半月刊。国内统一连续出版物号CN35-1335/C。邮发代号34-103。本刊主要报道国内外老年医学领域的最新科研成果、诊疗经验及实用信息。同时也秉承杂志先进性、实用性、权威性的刊物特色。主要栏目有：论著、临床研究、老年慢性病康复研究、老年特殊病例报告、老年护理研究、老年健康教育、老年保健、医养结合、专题笔谈等。收录：维普网 可加急1个月左右出刊上网。咨询：18141389019,0,1,2,四川,绵阳,四川,中国
2,4917269035222486,法国高等教育署-北京中心,2023-06-27 15:42:39,法国拥有悠久的科技传统和卓越的科研体系，是世界科技强国之一。法国在科研和研发上的支出为495亿欧元，占其GDP的2.22％，在经合组织国家中排名第五，每年都吸引着众多的来自世界各地才华横溢的科研人员。在法国博士生学院就读的学生中有41%是外国人，54%的法国科学出版物是国际合作的结果。想去法国读博士？6月29日#留法下午Ch@t# 栏目，法国高等教育署将邀请几位神秘嘉宾，一起带你走近法国博士学习的方方面面。,10,1,4,,北京,北京,中国
2,4916448893600277,智造圈,2023-06-25 09:23:42,最新自然期刊指数，按2022年在Nature Index的82种自然科学期刊中的出版物份额排序，从2021年到2022年，中国在自然科学（包括物理、化学、地球与环境科学和生物科学）中的份额飙升21%以上，同期，美国的份额下降了7%，中国首次超过美国。在顶刊上发论文，是中国科研人员的重要目标之一。由于学术竞争与论文挂钩，印度的份额也上升了5%，首次跻身前十名国家之列。,9,3,8,北京,北京,北京,中国
2,4910637182877844,爱思唯尔科研医学服务,2023-06-09 08:30:01,"重磅！CiteScore™ 2022 发布！#CiteScore# #科研# #论文投稿# CiteScore™ 引用分指标免费、全面、透明、实时。它基于Scopus可信赖的数据源中，来自7000多家出版商的28,100多本活跃出版物，覆盖333个学科，能够协助科研工作者分析、评估期刊、丛书、会议论文集和行业杂志等系列出版物，并已广泛的得到科研人员、图书馆员、期刊编辑出版人员，以及作者的认可和应用，为科研工作者提供决策依据，提高决策质量与效率。它能够帮助：· 科研人员发现、评估期刊，确定在哪发表论文、在哪读论文。· 图书馆员和信息专家分析图书馆馆藏中更多系列出版物的引文影响，分析某项科研结果出版于何处，并辅助制定出版物管理策略。· 机构领导和科研基金资助方了解研究成果地展示、制定评估研究策略。· 出版社监测某期刊或期刊群的表现，同时监测竞品的出版趋势; 评判出版物发展及影响力。CiteScore 2022指标及其过往表现：请点击下方链接查看文章详情以及Scopus来源出版物页面, 或Scopus API可免费查询或下载Excel文件：重磅！CiteScore™ 2022 发布！",1,0,0,江苏,南京,江苏,中国
2,4898038672000255,经典教材,2023-05-05 14:08:03,@北京大学出版社   北京大学出版社《跨文化的艺术史：图像及其重影》荣获第八届中华优秀出版物（图书）提名奖　　近日，中国出版协会公布了第八届中华优秀出版物奖评奖结果，共有100种图书荣获图书奖、30种音像电子出版物荣获音像电子出版物奖、30篇论文荣获出版科研论文奖，另有99种图书、80种音像电子出版物荣获提名奖。北京大学出版社出版的《跨文化的艺术史：图像及其重影》荣获第八届中华优秀出版物（图书）提名奖。网页链接,0,0,7,北京,北京,北京,中国
2,4894523497650203,湖南日报,2023-04-25 21:20:00,【我省多种出版物获第八届中华优秀出版物奖】4月24日，中国出版协会发出《关于公布第八届中华优秀出版物奖评奖结果的通知》，正式公布了第八届中华优秀出版物奖评奖结果。100种图书荣获图书奖，30种音像电子出版物荣获音像电子出版物奖，30篇论文荣获出版科研论文奖。此外，99种图书、80种音像电子出版物荣获提名奖。我省多种出版物榜上有名。（记者 黄煌）我省多种出版物获第八届中华优秀出版物奖,0,0,0,,长沙,湖南,中国
2,4889744486173039,北京积水潭医院,2023-04-12 16:49:55,"“首都前沿学术成果”由北京市科学技术协会牵头进行遴选，主要遴选目标为北京学者发表在正式出版的具有国际标准连续出版物编号（ISSN）的国内外期刊上的热点、前沿、具有重大国际影响力和原创性的科技论文或科研成果。北京积水潭医院放射科程晓光教授团队发表于Metabolism: clinical and experimental的论文：CT-derived abdominal adiposity: Distributions and better predictive ability than BMI in a nationwide study of 59,429 adults in China（通讯作者：程晓光教授）入选“首都前沿学术成果”，代表着学术界同行对程晓光教授团队研究工作的高度认可和赞扬。",0,0,1,,北京,北京,中国
2,4876671747097063,我想换个头像哇,2023-03-07 15:03:30,"奥本大学作为研究教育和科研的综合性中心，为适应现代社会的变化，奥本开发一些研究项目。奥本大学主图书馆藏书24,000,000多册，23,000,000多件缩微资料，15,000,000件政府出版物及136,000件地图。期刊19,000多种，包括160种报纸。 ",0,0,0,北京,北京,北京,中国
3,4876615517211948,成都高性能纤维材料产业功能区,2023-03-07 11:20:05,【第八届中华优秀出版物奖获奖名单出炉！四川多部书入选】#四川城市服务台# 近日，第八届中华优秀出版物奖获奖名单出炉。本届获奖图书100种、提名奖100种；获奖音像电子出版物30种、提名奖80种；全国优秀出版科研论文30篇。其中，四川人民出版社《武则天研究》、天地出版社《青藏高原考古》（10册）、四川大学出版社《中国城市通史》（7册）、《重返狼群背后的故事》获图书奖，巴蜀书社《辑补旧五代史》（10册）获图书提名奖。（成都日报“锦观”）,0,0,0,,成都,四川,中国
3,4874768338128087,成都青白江,2023-03-02 09:00:03,【第八届中华优秀出版物奖获奖名单出炉！四川多部书入选】#四川城市服务台# 近日，第八届中华优秀出版物奖获奖名单出炉。本届获奖图书100种、提名奖100种；获奖音像电子出版物30种、提名奖80种；全国优秀出版科研论文30篇。其中，四川人民出版社《武则天研究》、天地出版社《青藏高原考古》（10册）、四川大学出版社《中国城市通史》（7册）、《重返狼群背后的故事》获图书奖，巴蜀书社《辑补旧五代史》（10册）获图书提名奖。（成都日报“锦观”）,108,100,101,,成都,四川,中国
3,4874209651589436,吉林日报,2023-02-28 20:00:01,【第八届中华优秀出版物奖评选揭晓！吉林省5件作品入选】  近日，由中国出版协会举办的第八届中华优秀出版物奖名单发布。中华优秀出版物奖设图书奖、音像电子出版物奖、出版科研论文奖三个子项奖。网页链接 ,0,0,0,,长春,吉林,中国
3,4874060963512928,书香上海,2023-02-28 10:09:12,【产业·公示】根据中央宣传部文件批复精神，由中国出版协会举办的第八届中华优秀出版物奖，于2023年2月22日评选揭晓。中华优秀出版物奖设图书奖、音像电子出版物奖、出版科研论文奖三个子项奖。其中，上海地区获奖图书7种、提名奖11种；获奖音像电子出版物1种、提名奖3种；全国优秀出版科研论文入围1篇。@中国新闻出版广电报 点击链接，查看详情。产业·公示｜第八届中华优秀出版物奖获奖名单在此，看看上海地区哪些作品入围吧,1,0,1,,上海,上海,中国
3,4865000185530750,一股红运,2023-02-03 10:04:54,公司的主要业务包含图书出版业务，期刊业务，出版物进出口业务和知识服务业务等。自成立以来，众多在中国科技发展史上留下光辉篇章的院士和学者，其重要的科研成果大多都是通过公司的图书和期刊来发表的，公司见证了新中国科学事业不平凡的发展历程，与新中国科学事业一路同行。#今日看盘# #投资# #财经# @一股红运,0,0,71,广东,韶关,广东,中国
3,4859055770702249,莫名其妙被封的人海危尘,2023-01-18 00:23:55,"ESI：Essential Science Indicators (基本科学指标)，是一个基于Web of Science 核心合集数据库的深度分析型研究工具。ESI可以确定在某个研究领域有影响力的国家、机构、论文和出版物，以及研究前沿。ESI涵盖全球12,000多种期刊的1,200万余篇文献资源。ESI数据为10—11年滚动数据，每两个月更新一次。Highly Cited Papers，高被引论文是指基于最近10年的引文数据，同学科同年度中发表论文的被引用次数由高到低进行排序，被引次数排在前1%的论文。高被引论文可帮助锁定某一学科领域中的突破性研究，并在Web of Science核心合集数据库中用来甄别最具影响力的学术论文。ESI‒Hot Papers，热点论文是指近2年内发表并且在最近2个月内受到引用的次数是其学术领域中最优秀的0.1%之列。因此，入选ESI‒Hot Papers可以看作是该领域被广泛认可、最重要的学术文章之一。Hot papers 从ESI的22个学科领域中选取。#科研数据库#",0,0,0,北京,北京,北京,中国
3,4843692562847876,德国巴伐利亚州大学BayChina,2022-12-06 14:56:00,#巴州科研# 拜罗伊特大学的环境研究员Martin Löder博士上榜分析公司Clarivate发布的 &quot;2022年高引用率研究人员&quot;。在该排名中，Clarivate确定了在2011年至2021年期间的科学出版物中被引用次数最多的研究人员。这位科学家是拜罗伊特生态与环境研究中心（BayCEER）和拜罗伊特大学的DFG合作研究中心1357 &quot;微塑料 &quot;的成员，自2014年以来，他一直在学校从事动物生态学教席I的教学和研究工作。信息来源：网页链接 图片来源：见下图，版权归原作者享有。,0,0,1,北京,北京,北京,中国
4,4827418580487194,天津市天津医院,2022-10-22 17:09:01,献礼#二十大# 天津医院举办“仁心筑梦 医路十载”照片展，回望十年征程➡️学科建设➡️ 编辑出版物 百花齐放  经过多年发展，天津医院已经形成以骨科为优势学科，其他学科全面发展的综合性医院。同时，在科研、教学、编辑出版物方面也取得突出成绩。（来源：宣传科） ,0,0,0,,天津,天津,中国
4,4824584702664070,永平法硕李志勇学长,2022-10-14 21:28:12,“综合能力”的载体是啥？#西南政法大学# 2023年硕士生推免复试通知里这句话，或能提示你：“获奖证书（校级及以上）、科研成果、出版物或原创性工作成果、社会实践等体现综合能力的材料。”,1,0,2,吉林,吉林市,吉林,中国
4,4823472427506426,SuperZhurio,2022-10-11 19:48:25,ETH的一个商科排名遭到了德国管理学会多年的抵制。看学会的意思是他们不满意ETH用期刊出版物作为排名的指标(具体我也没看是什么)。学会还不满ETH的数据保护措施。因此学会给我们每个成员发邮件，告知是可以主动退出这一排名的。我想了一下，又关我什么事呢，科研菜狗的我压根都不会被纳入排名哈哈哈哈，何来退出,0,0,0,德国,,德国,德国
4,4806649980392292,德国巴伐利亚州大学BayChina,2022-08-26 09:42:01,#巴州科研# 维尔茨堡大学天文学教席的研究员Dr. Thomas Siegert因其在反物质粒子的天体物理学方面的工作获得了天文协会的奖金表彰。Dr. Thomas Siegert在核天体物理学方面得到了国际认可，贡献了众多出版物，并作为欧洲航天局ES ESA的INTEGRAL/SPI仪器的数据评估专家而闻名，该仪器可测量银河系中物质被反物质破坏时产生的伽马辐射。每年，天文协会都会向杰出的年轻科学家颁发Ludwig Biermann奖，该奖项的奖金为3000欧元。详情请看：网页链接,0,0,3,北京,北京,北京,中国
