页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023349982101653,五谷孕婴,2024-04-15 09:10:27,【美国营养品牌诺希奥进军中国市场】  近日，美国高端营养品牌诺希奥宣布全面进军中国市场。该品牌成立于2019年，其产品线涵盖了基础营养补充、体重管理、运动恢复、特殊人群营养强化等多个领域，未来其将与中国本土科研机构合作，通过线上线下全渠道营销模式服务中国消费者。 ,0,0,0,吉林,长春,吉林,中国
2,5023347588992776,湖北省政府门户网站,2024-04-15 09:00:57,【首届全国地下水资源与生态环境大会在鄂举办】4月13日，首届全国地下水资源与生态环境大会在鄂举办。大会以“珍视地下水资源，保护健康生态环境”为主题，旨在促进地下水科学领域创新与科教产业融合，推动学术交流与合作。吸引了国内外多所高校、科研院所及相关行业单位的1200余名代表参加参会，包括7位中国科学院、中国工程院院士和百余位国家级高层次人才。网页链接,1,0,0,,武汉,湖北,中国
2,5023062729427341,导演王晟赫,2024-04-14 14:09:01,#间谍窃取我国杂交水稻亲本种子#可见，种业的重要性，我刚拍了一部关于种业的相关影视作品，里面涉及到种子被国外势力窃取的戏份，这些事情其实是在我采访我们几位种业院士的时候，他们讲到的真实故事，我们所谓的影视专家竟然提出来，这不利于对外开放和国际合作，我真是觉得这位专家得好好查一查，可真是对种业对国家的重要性一无所知！ #总体国家安全观主题宣传片护你安澜# #科研人员出卖核心机密被执行死刑# #发现间谍行为拨打12339#,440,430,5356,北京,北京,北京,中国
2,5023173425235950,赤道财经,2024-04-14 21:28:53,【#间谍窃取我国杂交水稻亲本种子#】亲本种子，一般是第一代用于杂交实验的种子，其留种不会产生性状分离，影响产量，是我国粮食安全领域重要的种质资源。国内某农业科技公司原总经理朱某某，为捞取个人经济利益，以“合作制种”名义，先后向境外间谍情报机关违规出售5种亲本稻种。获利后，他又创办农业科技公司，继续向境外大量出卖我国优质亲本稻种。今年1月，朱某某因“为境外非法提供情报罪”被判处有期徒刑1年6个月。国家安全机关还依法对其余17名涉案对象给予行政处罚。#科研人员出卖核心机密被执行死刑# 央视新闻的微博视频,10,11,172,,,,
2,5023345488430194,兴安日报,2024-04-15 08:52:36,【蒙东黑土地保护研究中心 蒙东盐碱地治理研究中心在兴安盟落成运行】4月14日，兴安盟与中国科学院东北地理与农业生态研究所、农业农村部环境保护科研监测所、自治区农牧业科学院、内蒙古农业大学战略合作项目——蒙东黑土地保护研究中心、蒙东盐碱地治理研究中心在兴安盟正式落成运行，这既是贯彻落实习近平总书记关于“切实加强耕地保护、抓好盐碱地综合改造利用”和“采取有效措施切实把黑土地这个‘耕地中的大熊猫’保护好、利用好，使之永远造福人民”的重要指示精神的具体行动，也是为现代农牧业发展赋能新质生产力的重要举措。网页链接,0,0,0,,兴安盟,内蒙古,中国
2,5023345390911690,鲁小迅3,2024-04-15 08:52:12,中国科研单位免费向全世界公布中国人的基因图谱数据，美其名曰全球合作，是多么的幼稚啊。这是将中国人的生命至于十分危险的境地，中国国安监察局，应该清醒地认识到，中国的敌人一旦得到这个人的基因组合，就会将中国亿万人民的生命至于危险之中。新冠病毒能在中国肆意传播，就是一个很好的例子， ,0,0,0,广西,玉林,广西,中国
2,5023270651036200,康钊,2024-04-15 03:55:14,这段时间够黑龙江联通总经理王传宝忙乎，这次中国联通成为哈尔滨亚冬会的主赞助商，却没有黑龙江移动和黑龙江电信的身影，他肯定很开心。据悉，这次中国联通正式成为哈尔滨亚冬会官方通信和云服务合作伙伴，不过，有家叫安恒信息的公司成为哈尔滨亚冬会官方网络安全和数据安全赞助商。哈尔滨冬亚会把云服务与网络安全拆分了赞助商，这也有意思，以往这都属于三大运营商的业务范畴。杭州亚运会都是中国移动和中国电信同时是赞助商，哈尔滨亚冬会却只有中国联通一个赞助商，黑龙江移动是否有点遗憾？黑龙江移动总经理刘刚还有机会去争取赞助商资格吗？#科研人员出卖核心机密被执行死刑#,1,1,0,加拿大,,加拿大,加拿大
2,5023193100194609,赵丽婚姻律师,2024-04-14 22:47:04,#科研人员出卖核心机密被执行死刑##间谍窃取我国杂交水稻亲本种子##律师说法#农业科技公司原总经理朱某某，为捞取个人经济利益，以“合作制种”名义，先后向境外间谍情报机关违规出售5种亲本稻种。获利后，他又创办农业科技公司，继续向境外大量出卖我国优质亲本稻种。今年1月，朱某某因“为境外非法提供情报罪”被判处有期徒刑1年6个月。现在，来自境外的渗透无孔不入，无处不在，波及各行各业。无论何时、身处何地，我们都应当守住底线，依法支持、协助国家安全机关工作，自觉维护国家安全。国家安全人人有责，一旦发现危害国家安全的可疑情况，应当立即拨打12339国家安全机关举报受理电话，另外，还可以登录国家安全机关举报受理平台或者通过国家安全部微信公众号进行举报。国家安全机关提示，个人在境外遇到间谍组织拉拢策反，一定要在思想上保持高度警惕，洁身自好，坚守底线。凡对组织活动的主办单位、活动内容、参加人员、场地情景不清楚时，不随便应邀；对于露骨的策反“不理睬、不答复、不上当”；如遇栽赃陷害不紧张、不害怕，弄清底细，妥善应对，并如实向我国驻外机构等有关部门报告；如被要求参加其间谍组织时，要以适当理由拖延或拒绝，并及时报告有关部门；遇有疑似间谍拉拢策反等情况，要在脱身后第一时间向我国驻外机构等报告，切不可隐瞒不报，否则会更加被动，甚至难以摆脱。如果在万不得已的情况下被迫加入间谍组织，应及时向中华人民共和国驻外机构如实说明情况，或者在入境后直接或通过所在单位及时向国家安全机关如实说明情况，并有悔改表现的可以不予追究。,0,0,0,北京,北京,北京,中国
2,5023187911311510,MonkeySo王杰,2024-04-14 22:26:26,MonkeySo｜时光垚 焕新“微”来·项目发布会  超级联盟，与专业偕行 超400项国家专利 近200家科研合作单位  十余所菌群库联盟 背靠权威，匠心科研  4月20日  以科技焕“微”来 #monkeyso|时光垚# ,0,0,0,河南,洛阳,河南,中国
3,5023184190969459,未来科技,2024-04-14 22:11:40,【#发现间谍行为我们如何举报# ？】#科研人员出卖核心机密被执行死刑# 4月15日，是我国第9个全民国家安全教育日。国家安全人人有责、人人可为，当我们发现有人非法获取、持有国家秘密；窃取、刺探、收买或者非法提供国家秘密；以“商业合作”名义接受间谍组织及其代理人任务；可疑窃密设备；通过网络开展窃密、渗透、破坏活动等一切可能危害国家安全的嫌疑人员或行为时，要立即举报，莫要犹豫。可通过以下七种方式举报：一是拨打12339举报受理电话；二是登录国家安全机关互联网举报受理平台网站（www.12339.gov.cn）；三是通过国家安全部微信公众号举报受理渠道举报；四是向国家安全机关投递信函；五是到国家安全机关当面举报；六是通过其他国家机关或者举报人所在单位向国家安全机关报告；七是其他可行方式进行举报。另外，因举报危害国家安全行为导致人身安全面临危险的，可以向国家安全机关请求保护。（国家安全部）,3,1,4,,北京,北京,中国
