页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022740098056676,三亚日报,2024-04-13 16:47:00,#三亚头条发布# 【涉及多所高校！一批学术不端案件被通报】近期，经国家自然科学基金委员会监督委员会调查审议、国家自然科学基金委员会委务会议审定，国家自然科学基金委员会对相关科研不端案件涉事主体进行了处理。现根据有关规定，将有关案情及处理结果予以通报。本次通报涉及北京建筑大学、华北电力大学、宁夏医科大学、杭州医学院、中南大学、等15所学校。（国家自然科学基金委网站）详情↓涉及多所高校！一批学术不端案件被通报,0,0,1,,三亚,海南,中国
2,5022699300323344,七点的交响曲,2024-04-13 14:04:52,我：老师我最近根据审稿人意见把论文改的差不多了，准备re-submit了。 导师：嗯！这篇论文在我看来已经是篇不错的论文了。 我：老师那我还需要做些什么吗？ 但是：嗯！要不你和wxx最近一起去趟雍和宫吧，顺便帮我把我最近申请的三个项目基金也拜一拜… (看看！做科研的哪有不疯的？？？？) ,0,5,5,北京,北京,北京,中国
2,5022654990124744,北京晚报,2024-04-13 11:08:49,【#国家自然科学基金委通报多起学术不端#】近期，经国家自然科学基金委员会监督委员会调查审议、国家自然科学基金委员会委务会议审定，国家自然科学基金委员会对相关科研不端案件涉事主体进行了处理。现根据有关规定，将有关案情及处理结果予以通报。 2024年不端行为案件处理结果通报（第一批次） ,2,1,5,,北京,北京,中国
2,5022629456511589,星太极-郭昌武,2024-04-13 09:27:21,复星基金会-太极公益星太极-太极拳辅助治疗帕金森病科研项目现在，跟朋友们聚餐时，有人说自己身边的人得了帕金森病“两三年后就一塌糊涂了，吃饭都送不到嘴边”，看到老朱的好状态会怀疑地说：“我看到的帕金森症不是你这样的嘛！”包括去医生那儿复诊时，看到他的变化，医生也惊讶地问他锻炼什么了能这么好？朱景强有些自豪地给我们说：“我讲我在星太极练。有其他帕友需要的话你找我好啰，医生也加了我微信。”朱景强的口头禅是“帕友帕友，要跟帕金森做朋友，与帕共舞，其乐无穷。”每年的复星公益“太极抗帕”春晚舞台上，他都会展示才艺；有了精气神，他还发展了很多兴趣爱好，比如抖空竹、乒乓球、跳舞，“但这些都离不开我的两条腿。腿有劲了，别的事情才有可能。腿怎么有力？就是星太极教我们的站桩——坚持站、每天站、不花钱、效果好！”抗帕吹号手的号声已响起，呼吁更多帕友们一起来受益于太极！@复星基金会 @星太极 @太极拳专委会 @微信时刻 @微信派帕金森综合症 星太极-郭昌武的微博视频,0,0,0,上海,上海,上海,中国
2,5022319500072460,庄随我动,2024-04-12 12:55:42,葛兰轻飘飘卸任了，走了，不带走A股的一片云彩。10年了，基金亏损234亿元人民币，10万基民血本无归。她是生物学硕士，却抛弃科研而选择替基民投资!她离职后，领了33亿的管理费，然后悠然养老。以前媒体把她吹成了神，我是搞不懂一个没任何投资经历的姑娘怎么就是股神呢?公墓基金有存在的必要吗?,15,42,684,上海,上海,上海,中国
2,5022500306291237,陈凯杰-ZJ,2024-04-13 00:54:09,2023年11月17日，随着大熊猫国家保护研究中心的正式揭牌，一个聚集全国大熊猫科研优秀团队的大熊猫科研合作交流世界级平台宣告成立。国家林草局、四川省林草局、成都市政府联合出资首期1.1亿元设立大熊猫保护研究基金，同步启动国家公园野生大熊猫种群与栖息地保护关键技术研究、圈养大熊猫种群遗传多样性保护关键技术研究两个重大联合攻关课题。自此，我国大熊猫的保护与研究进入了一个全新的时期。根据第四次全国大熊猫调查，我国目前共有野生大熊猫1864只。其中四川省1387只，甘肃省132只，陕西省345只。大熊猫国家公园泥巴山大熊猫廊道宣传保护管理站布设了红外相机232台，建立野生大熊猫遗传信息库，有效维护大熊猫野外种群的安全与持续发展，促进大熊猫野外种群总量已从上世纪80年代约1100只增长到近1900只。,0,0,1,广东,湛江,广东,中国
2,5022481070948708,某不知名的SNOW,2024-04-12 23:37:42,身先士卒9pa，呀呀纯血种（登记过的神秘学家）、类类超自然者（真成阴暗水鬼了）、岚岚安安含少量神秘学血统的人类（拉普斯拉斯科研人员/基金会外派调查组（是这名吗我忘了），咖忒哥哥原先人类后感染种（康复中心常客）呀呀技能关键词：中毒、爆发、输出。类类：辅助、削弱、净化。咖忒哥哥：驱散、辅助、回复。安安：输出（主打本源创伤）岚岚哥：额外行动、削弱、输出。,0,0,0,上海,上海,上海,中国
2,5022409365393656,王小亚,2024-04-12 18:52:47,更适合中国人的拼搭积木主题 还有对联横批是考公/法考/考研/中基金/科研发文 的版本 神仙也有关公/财神不同版本 ,2,12,57,上海,上海,上海,中国
2,5022448367440498,在等直到世界尽头陈楚生solo版,2024-04-12 21:27:46,被人说教不要在朋友圈发疯我想说行行行我不发疯可以只能说莫经他人苦莫劝他人善吧我细数下我为什么会发疯1.直博—没科研基础，我的错2.第一个小导师，不管不问不指导，一年半后因为没申请上自科基金直接拍拍屁股走人—不是我的错了吧3.入门老师给的题目需要大量问卷，当时许诺我问卷数量不用愁，随后不管—不是我的错吧4.博二下换题，自己找数据，自己学方法，自己成文—小导师没起到任何作用—不是我的错吧5.接连被拒稿，希望小导师帮我改下introduction和discussion，但从来没看过，我就差跪下了—不是我的错吧6.在香港开会，抱着试最后一次的心态投出，暑假家里出事，小导师发拒稿截图，没有任何表示，我崩溃，跟小导师微信发：放弃这篇吧，我重写或者先写第二篇，回我：嗯。这时小导师忙着在家照顾怀孕老婆，在此之前，因为其结婚、老婆怀孕，已经将近一学期对学生学术不管不问。—不是我的错吧7.我联系其他老师，和大老板表明，我想和人家合作，原因很简单，能指导我，大老板同意。8.开学后小导师让我重投二区期刊。好不容易结果出来，合作老师偏说和第一篇重合内容多，愤怒且表示换题重写。这个时候我已经熬了无数个夜，不熬夜也是失眠多年，真的失眠不是简单的睡不着，是你把自己熬的睁不开眼好不容易睡着，然后因为焦虑醒来，随后是无尽绝望的情绪。现在你和我说，我不可以发疯，我幼稚我不成熟，我要学会互利共赢，你说得对，但是我真的想说你要是经历多年失眠折磨，你不一定会比我坚强。行了，朋友圈屏蔽所有人好好跑数据，赶紧写大论文。,0,0,0,重庆,重庆,重庆,中国
2,5022428765883839,郭佳天天听故事,2024-04-12 20:09:53,关于导师boss，我有个夸张故事，故事的主角“老板”，高智商（不然也混不到核心科研部门，混不到带博士，混不到在几个大学辗转，带项目，拿基金）、行动力强、无耻且不以无耻为耻、成功（连续生了四个女儿，终于要到了儿子）。给我讲故事的，是一女博士，叫她小A吧，我相信她句句是真话。故事如下：有一天，我老板跟我说：小A，你给我生个儿子吧，我给你六百万，把你弄到美国去。我大吃一惊，我认识老板老婆，他们有两个女儿。过了几天，我跟老板说，我有男朋友，而且男朋友也是他的博士，这种情况下，给他生儿子，肯定不合适。我老板也没说啥，对我们还挺好。但我觉得恶心，我和我男朋友结婚后，就离开了所里，我老公也离开了。我们说：他那样的人，早晚会倒霉。后来，我们老板去了广州某大学，离了婚，又再婚，又生了两个女儿。再然后，他去了浙江的一个大学，没离婚，但和我师兄的老婆搞在一起，那女的拍了他们的视频，威胁他，他给了那女的一千万。郭老师，你说，那一千万是不是科研基金？不然，他哪里来那么多钱。这些年，我和我老公经常纳闷，他怎么还不倒霉。不仅不倒霉，他还风生水起。他刚刚拿了一个亿的基金，他还真又离了婚，又再婚。他的新老婆怀孕了，据说B超是个男孩。我们的群里，都在给老板祝贺呢！整个故事，最让我震惊的是，这个老板似乎从未试图遮掩自己的无耻，或假装自己是正人君子，他就那么光明磊落地无耻着。而他们的所谓群，也都视此为正常。这真的挑战了我的认知。另一个让我震惊而无语的是，女博士看着我，问：您说，他怎么还不倒霉呢，老天真的没眼啊……,3,17,9,北京,北京,北京,中国
