页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5006457257591430,科技日报,2024-02-28 18:24:48,#科技工作者牢记总书记嘱托#【黑龙江：为国打造战略科技力量】#全国两会之声# 2023年9月7日上午，习近平总书记在黑龙江考察时来到哈尔滨工程大学，了解学校发展历程和为我国国防科技事业作出的贡献，察看教学科研成果展示。习近平总书记强调，哈尔滨工程大学要发扬“哈军工”优良传统，紧贴强国强军需要，抓好教育、科技、人才工作，为建设教育强国、科技强国、人才强国再立新功。2024年全国两会前夕，科技日报记者回访见证总书记考察部署的亲历者，重温总书记的谆谆嘱托，讲述广大科技工作者为实现高水平科技自立自强实干前行、奋跃而上的生动实践。详情戳文↓↓（文字/科技日报记者 李丽云 朱虹 通讯员 霍萍，海报/ 岳靓 杨凯，素材来源：新华社、视觉中国） 黑龙江：为国打造战略科技力量,0,0,3,,北京,北京,中国
2,4994162761928418,嘉玺-,2024-01-25 20:10:52,#幻兽帕鲁# 科研成果展示，快到没朋友 ,0,6,0,四川,成都,四川,中国
2,4992405032143194,甜薯云齐,2024-01-20 23:46:17,最近的迷你科研成果展示：基本透明的夜光软胶 等我再改良一下后，将会被我用于制作尼禄摇尾巴狗狗玩偶的翼手（所以约了交换的老师们请稍等，我真的在做，只是想改得更好玩一点） 希望我能改得更柔软不易坏一些 甜薯云齐的微博视频 ,0,8,9,北京,,北京,中国
2,4991643197112685,机甲小狗战士,2024-01-18 21:19:00,#你好乌鲁木齐# 乌鲁木齐市“现代服务业产教融合”科技创新服务综合体设有科创教育区、校企公共实训（实验）区、商务配套共享服务区、产教融合联动区、小微企业孵化区、成果展示交易区等六大功能区，有效整合孤立、分散的创新要素和公共服务资源，进一步提升高校、科研院所科技成果转化能力，促进科技成果与产业发展需求有效对接，全力为推动社会发展提供科创引擎。,0,0,0,新疆,乌鲁木齐,新疆,中国
2,4989526855912896,闪电一分钟思考,2024-01-13 01:09:26,这是打了谁的“脸”，郑强教授卸任职务后不足半月就发表顶级期刊中国科技界的重要人物，实力派教授郑强刚刚宣布卸任，不到半月后他的最新研究成果在《Nature》上发表，再次引起公众关注。他的成果展示了中国科学家的实力和水平，也展示了中国科研环境的优秀和进步。郑强教授的成功不仅仅归功于他个人的努力，更彰显了中国科技界的潜力和探索精神。让我们共同期待他未来更加辉煌的成就。,17,42,670,广东,东莞,广东,中国
2,4988049394237812,披着狗皮的猫,2024-01-08 23:18:31,表面上看这是我家滨滨跟全国各省市热火朝天地礼尚往来，实际上是一场农业大比武啊。大家都借这个机会把自家这几年农业上的的科研成果展示出来。这些出其不意地出产于我国的农副产品，冲破了气候，环境等多重束缚结出硕果，正是科技全面提升的写照。原来，除了工业皇冠上的明珠，餐桌上的高端食材我们也悄摸地搂到不少啊！,0,0,1,广东,东莞,广东,中国
2,4987172826385543,中科联CN,2024-01-06 13:15:22,@华人头条   :中国磁能之父-王沈河院士 最新科研成果展示！科技创新，就像撬动地球的杠杆，总能创造令人意想不到的奇迹，科技创新是发展先进生产率提高社会生产力和综合国力的战略支撑。 ,0,0,1,山东,济南,山东,中国
2,4985693190753369,昆明市教育体育局,2024-01-02 11:15:49,#昆明教育新闻# 【科研赋能促发展 砥砺奋进谱华章 —— 2023年盘龙区教育科研成果展示交流培训活动圆满举行】为深入贯彻全国教育大会精神和《中国教育现代化2035》等文件精神，发展公平而有质量的教育，切实发挥“2022年基础教育国家级教学成果奖”在我区基础教育改革中的示范引领作用，深入推进教育教学改革创新。2023年12月25日下午，由盘龙区教育体育局主办，盘龙区教师进修学校承办的2023年盘龙区年教育科研成果展示交流培训活动在盘龙区教师进修学校报告厅举行。教育部西南基础教育课程研究中心主任西南大学基础教育研究中心主任宋乃庆教授、盘龙区教育体育局副局长袁蕾、盘龙区各公办学校（园）校（园）长、分管教育科研副校（园）长和教科室主任共150多人齐聚盘龙区教师进修学校，共享教育科研成果，共商教育科研创新模式，共谱盘龙区教育科研新华章。（信息来源：盘龙区教育体育局网页链接）,0,0,0,,昆明,云南,中国
2,4984757806960230,舒适体雕张凤余,2023-12-30 21:18:56,科技改变未来，塑造美丽，团队科研成果展示 ,0,0,0,福建,福州,福建,中国
2,4982144896336871,广州交通电台,2023-12-23 16:16:10,【海交会聚焦成果展示 新起点打造引才之门】在本届海交会的“新起点·广州”展区里，各区纷纷展示引才计划和创业环境，吸引海外人才回国创新创业，并实物展示和推介海外留学人才的科研成果，为高层次人才搭建起互联互通互融的平台。#广州身边事# 广州交通电台的微博视频 ,0,0,0,,广州,广东,中国
3,4980310439628375,论文发表---小段编辑,2023-12-18 14:46:41,《科技成果管理与研究》主管单位：科学技术部主办单位：中国科技评估与成果管理研究会 中国科学技术信息研究所出版周期：月刊国际刊号：1673-6516国内刊号：11-5433/N主要栏目科技管理 科技评估 科研交流 科技先锋 书评书荐 机构巡礼 成果展示 领域专题（双碳经济、大数据与互联网、农林科技等）,0,0,0,河北,张家口,河北,中国
3,4977803491018829,河北省人民政府,2023-12-11 16:44:58,【#这就是雄安的热度#】雄安新区是承接北京非首都功能集中承载地。今年以来，雄安举办央企对接活动200多场，1600家企业深入新区考察走访。央企已在雄安累计设立子公司及各类分支机构200多家。中关村千企雄安行、百所高校雄安行、百家科研院所雄安行陆续举办；雄安创新研究院、雄安科技成果展示交易和转化中心、雄安中关村科技园等创新载体扎实推进，雄安高校协同创新联盟成立……强载体、建机制，创新和产业要素加速培育聚集，雄安发展热度持续升温。@新华社 河北省人民政府的微博视频,3,0,0,,石家庄,河北,中国
3,4976781264687169,光明发布,2023-12-08 21:03:00,#聚焦光明#【好玩又好逛，就在首届儿博会光明科学城展位！】12月7日，首届儿童友好博览会拉开帷幕，本次儿童友好博览会主题是“城市与儿童”。光明区充分利用区内科研资源集聚优势，积极探索“儿童友好+科学+基础教育创新融合”新路径。光明区的展位内设置了“光明科学城+儿童友好城区建设成果展示”“儿童科技作品展示和科普体验问答”“科技模拟马马术体验”三大版块。戳视频↓一起看#科技对儿童更友好# 光明发布的微博视频,0,0,0,,深圳,广东,中国
3,4972645485642368,微宣平山,2023-11-27 11:08:53,#贯彻二十大辽宁在行动##振兴新突破辽宁杠杠滴# 群力教育集团承办全市教育科研成果展示现场会 #振兴新突破 聚力六个年# 平山  【平山传播】群力教育集团承办全市教育科研成果展示现场会 ,0,0,0,,本溪,辽宁,中国
3,4971198728376922,内蒙古综合新闻网,2023-11-23 11:20:00,【艺展风采 喜迎校庆】11月22日，观众在内蒙古美术馆参观呼和浩特民族学院美术学院“庆祝建校70周年”师生作品展。近日，为迎接呼和浩特民族学院建校70周年，该校在内蒙古美术馆举办“庆祝建校70周年”师生作品展。此次展览是面向社会的一次教学科研成果展示，作品讲述北疆文化故事，展示中华美育成果。 #我们的核心价值观# #北疆文化# （内蒙古日报）,0,0,0,,呼和浩特,内蒙古,中国
3,4970308931160051,白与木头人,2023-11-21 00:24:16,我蕊的科研成果展示！,0,0,0,江苏,南京,江苏,中国
3,4965459298617161,焦作市教育局,2023-11-07 15:13:33,【山阳区2023年市级课题中期成果展示塔南路小学分会场完美呈现】深耕细研踏歌行  中期汇报展新程  为扎实推进教科研工作的开展，提升课题研究质量，在山阳区教育局教科所统筹安排下，11月7日上午，山阳区2023年市级课题中期成果展示塔南路小学分会场完美呈现。  焦作市教育局的微博视频 ,0,0,0,,焦作,河南,中国
3,4962871127048949,三亚微生活,2023-10-31 11:49:05,【#300多个南繁水稻新品种亮相三亚#】10月30日，2023年海南南繁水稻新品种展示观摩会在三亚水稻国家公园内举行，来自全国各省市（县/区）种子管理部门、科研院所、企业等200余名代表走进田间地头，观摩这片南繁水稻育种新成果。园区分为南繁成果展示专区、“海南好米”金奖品种展示专区、特专型水稻品种展示专区、水稻种质资源展示专区、再生稻展示专区和企业专区6个特色展区，共征集来自广东、广西、福建、湖南、湖北、四川、安徽、江西、北京、河北、上海、浙江、云南、重庆、贵州、海南等16个省、市的水稻新品种320个，试验面积130亩，集中展示近年来南繁水稻育种新成果。 via.@三亚发布,0,0,0,海南,三亚,海南,中国
3,4962819944219373,FM1067私家车广播,2023-10-31 08:25:42,#1067喇叭花快报# ▲首届“一带一路”科技交流大会定于11月6日至7日在重庆举行。大会将围绕政府间科技合作、科技人文交流、产业创新发展、科研范式变革、未来医学、开放科学及大数据等议题，设置开幕式暨全体大会、“一带一路”科技创新部长会议、主题活动、圆桌会议及成果展示5大板块，10场主要活动。 ,0,0,0,,淄博,山东,中国
3,4962239598822056,北京怀柔,2023-10-29 17:59:37,#怀柔一家人# 【怀柔新闻】“科技遇见美好生活”雁栖顶秀乐活嘉年华开幕10月27日，“科技遇见美好生活”雁栖顶秀乐活嘉年华在顶秀美泉小镇欧洲风情商业街开幕，中国科学院力学研究所、物理研究所等9所在怀科研院所一同参与科研成果展示与体验，为广大市民和科技爱好者打造一场“科技遇见美好生活、邂逅欧洲风情”的“穿越”之旅。 北京怀柔的微博视频,0,0,0,,,北京,中国
4,4961036232034750,农林卫视,2023-10-26 10:17:52,【2023渔药科技创新与产业发展大会在郑州举办】近日，由中国水产学会主办的“2023渔药科技创新与产业发展大会”在河南省郑州市举办。大会以“绿色发展、质量安全、科技创新、产业升级”为主题，聚焦渔药的科研、生产、应用和监管等领域开展了广泛交流研讨，进行了新技术、新成果展示，促进政产学研推用紧密协作，助推渔药等水产养殖投入品行业科技进步和规范发展，助力渔业现代化建设。中国科学院院士、中国科学院水生生物研究所研究员桂建芳，中国工程院院士、湖南师范大学教授刘少军，农业农村部渔业渔政管理局相关同志出席本次大会。中国水产学会副秘书长、全国水产技术推广总站副站长胡红浪，河南省委农村工作领导小组办公室副主任、河南省农业农村厅党组成员、副厅长赵耕，上海海洋大学副书记、副校长宋敏娟出席大会并致辞。全国水产技术推广总站总工程师、中国水产学会渔药专业委员会主任委员李清主持大会开幕式。本次大会得到了农业农村部渔业渔政管理局、全国水产技术推广总站、河南省农业农村厅、中国水产学会渔药专业委员会、上海海洋大学、河南省水产技术推广站、河南省渔业协会投入品分会等39家单位的大力支持。来自水产科研教学单位、技术推广机构、渔药生产企业、水产养殖企业等单位的专家学者、管理人员、技术人员，以及在校研究生等400余人参加大会。胡红浪在致辞中指出，中国水产学会长期致力于创建我国水产学科领域最具影响力、最高水平、最具权威性的综合性学术交流平台，已初步形成范蠡学术大会、青年学术年会、专题学术会议三大学术交流平台；成功举办2021、2022连续两届渔药科技创新与产业发展大会，呈现出政策导向宣传有力、学术交流深入广泛、产学研对接效果显著的鲜明特点，对推动解决产业发展重大关键技术问题发挥了重要作用。本次大会聚焦新渔药的研发、现有国标渔药标准修订、水产养殖调水用品规范管理等亟待解决的问题难题，将为参会各方进一步把握当前渔药领域科学研究的最新进展和发展方向提供深入交流、学习研讨的平台，不断推进渔药等水产养殖投入品产业的科技创新、成果转化应用和健康高质量发展。会议邀请桂建芳院士、刘少军院士等18位专家围绕渔业转型升级与高质量发展、鱼类良种良养良销、新兽药注册法规与程序、水产养殖兽药现状及发展方向、渔药药效学研究技术指导原则、水产养殖投入品规范生产和使用、国标渔药终端使用现状及发展建议、渔用疫苗研究进展等主题做主会场报告。本次大会还设立了“新渔药研制开发与发展趋势”和“渔药实践应用与风险防控”两个专题分会场，26名相关领域专家围绕议题进行了专题交流。大会共交流报告62篇，编印论文摘要、收录文章近百篇，内容涵盖渔药等水产养殖投入品的监督管理、水产绿色健康养殖与科学用药、渔药科技成果转化与应用、新渔药开发及药物防控机理研究等多个方面。大会现场以“促进渔药产业健康高质量发展”为主题举办了企业沙龙活动。嘉宾代表们就当前渔药产业存在问题及建议，推进开展新渔药研究和申报，水产养殖调水用品团体标准制定和规范管理等相关问题，进行了热烈讨论和深入交流。大会还举办了产学研战略合作签约仪式，为促进渔药等水产养殖投入品科技成果转化应用提供了平台。河南省水产技术推广站与广州双螺旋基因技术有限公司、浙江省淡水水产研究所与上海莱慎生物科技股份有限公司分别签署了战略合作协议。为培养渔药研究领域青年才俊，增强科研后劲，大会设立了启明星学术论坛，为在读硕士和博士研究生提供交流平台，并组织专家对报告和会前征集的研究论文进行了评选，评出一等奖6名、二等奖9名，大会期间对获奖研究生颁发了证书。来源：中国水产学会,0,0,0,,西安,陕西,中国
4,4960329963145174,时间视频,2023-10-24 11:31:24,【#科技小院大赛陕西区赛收官# 西农、河科大、榆院收获一等奖】10月21日，中国研究生乡村振兴科技强农+创新大赛之“拼多多杯”第二届科技小院大赛陕西区赛在西北农林科技大学举行。来自陕西、甘肃、新疆、湖南、河南、江西6省、自治区的20支科技小院队伍，通过路演答辩与科研成果展示，比拼兴农之术。其间，担任评委的数位专家、学者就参赛项目提问，待团队解答后再从创新性、实效性、应用前景等维度对项目进行综合评审。  科技小院大赛陕西区赛收官 西农、河科大、榆院收获一等奖,2,1,4,,,北京,中国
4,4960311491168099,科学网,2023-10-24 10:18:00,#科研招聘# 【西北农林科技大学诚邀您共谋发展】西北农林科技大学国际青年学者论坛发起于2017年，目前已连续举办九届，共遴选邀请来自20多个国家和地区的800余名海内外优秀青年学者参会交流，现已成为学校为海内外优秀青年才俊提供的开展学术交流、成果展示和交流合作的优质平台。西北农林科技大学第十届国际青年学者论坛将通过线上线下相结合的方式举办。本次论坛坚持面向世界科技前沿、面向经济主战场、面向国家重大需求、面向人民生命健康，诚邀全球优秀青年才俊齐聚一堂，聚焦粮食安全、生态文明、人类健康与乡村振兴等领域的前沿与热点，开展学术交流，碰撞思想火花。同时，论坛也将通过介绍学校人才新政策、实地考察、座谈交流等方式帮助与会学者全面了解学校发展新态势，吸引更多的青年才俊来校干事创业，推动学校建设成为世界一流农业大学，助力世界旱区农业人才中心和创新高地建设。详情：优厚待遇+正式编制+全产权住房！“双一流”高校诚邀您共谋发展,0,0,6,,北京,北京,中国
4,4956309319582728,云现场Live,2023-10-13 09:14:48,【直播 | #2023中关村论坛#系列活动：巾帼科技论坛】#中关村论坛#系列活动——巾帼科技论坛，围绕人工智能领域，设置智汇未来、智话未来、智践未来、智望未来、智向未来等版块，通过前沿学术论坛、青少年论坛、项目互动体验、成果转化沙龙、科研成果展示等形式，邀请国内外专家交流前沿学术观点、形成科技创新共识、助推科技成果转化、促进科学知识普及。10月13日 9:30，敬请关注！@科技北京 @微博直播  云现场Live的微博直播 直播 | 2023中关村论坛系列活动：巾帼科技,1,1,3,,,,
4,4948738232025637,四川自然资源,2023-09-22 11:50:00,【省厅开展实景三维项目过程监督检查】9月20日，为加快推进实景三维省级项目建设，四川省自然资源厅到省地调院、省科研院开展了成都平原耕地保护、黄河干流水资源调查、矿山生态修复三个实景三维项目过程监督检查工作。通过与项目组交流、查阅文件资料、观看项目成果展示，详细了解数据生产、数据库建库、报告编制和成果应用等方面的情况，严格对照项目要求对实施进度进行评估，目前三个项目顺利推进，总体达到70%左右。同时，对项目实施存在的问题，提出意见建议。,0,0,1,,成都,四川,中国
4,4945189204920443,合著社-哈罗学姐,2023-09-12 16:47:26,在评职晋升中，作为科研成果的专著、教材总是不可或缺的重要一部分，然而依然有绝大部分评职者把论文作为科研成果展示的首选项。殊不知，出版专著、教材不仅能享受评职晋升的加分，还能有效提升自己的行业影响力，更重要的是，出版专著、教材更省钱！#职称# #学术出版#  还在嫌弃出版专著、教材贵？那是你打开的方式不对！ ,0,1,0,四川,成都,四川,中国
5,4945159655261712,应急管理部,2023-09-12 14:50:01,#第三届全国危险化学品安全生产应急救援技术竞赛#亮点回顾【危化救援先进技术装备展】竞赛期间，危化救援先进技术装备展示和“五小”科技创新和危化应急救援亟需技术装备“揭榜攻关”等科研成果展示活动，为现场人员搭建了互学互鉴、成果共享的交流平台。（中国应急管理报  记者庞舒月） 应急管理部的微博视频,3,2,4,,北京,北京,中国
5,4944489484650946,云南红河发布,2023-09-10 18:27:00,【时政微观察丨国将兴，必贵师而重傅】“过几天就是教师节，祝我们哈工程的全体教师，也祝我们全国的教师们，节日愉快！”9月7日，正在黑龙江考察的习近平总书记来到哈尔滨工程大学，了解学校发展历程和为我国国防科技事业作出的贡献，察看教学科研成果展示，并向全校教师、全国广大教师致以节日祝福。来源：新华网（点击链接查看原文）网页链接,0,0,0,,红河,云南,中国
5,4944157829501343,哈尔滨惠友,2023-09-09 20:29:07,【中国正能量网 | 第1视点｜习近平考察哈尔滨工程大学】9月7日上午，习近平总书记来到哈尔滨工程大学，了解学校发展历程和为我国国防科技事业作出的贡献，察看教学科研成果展示。......网页链接 ,0,0,0,黑龙江,哈尔滨,黑龙江,中国
5,4944107241996483,视听中国,2023-09-09 17:08:05,#视听里的中国#【时政现场说丨传承发扬优良传统 树牢科技报国壮志】7日上午，习近平总书记来到哈尔滨工程大学，了解学校发展历程和为我国国防科技事业作出的贡献，察看教学科研成果展示。总书记的到来，让哈尔滨工程大学的师生们备受鼓舞：“作为哈军工的传人，我们更深切地感到个人的命运、学校的命运都要和祖国的需要同频共振。”“以高水平的基础研究来支持国家重大需求，我想这是一个哈工程人的价值追求和使命担当。”“我们这一代青年人就是要守正创新、不忘初心，为我国实现高水平科技自立自强，贡献出我们的青春力量。”（央视新闻）#视听学习时# 视听中国的微博视频,1,0,10,,北京,北京,中国
5,4944104197459285,云南红河发布,2023-09-09 16:56:00,【时政现场说丨传承发扬优良传统 树牢科技报国壮志】7日上午，习近平总书记来到哈尔滨工程大学，了解学校发展历程和为我国国防科技事业作出的贡献，察看教学科研成果展示。  来源：央视新闻客户端 （点击链接查看原文）网页链接 ,0,0,0,,红河,云南,中国
5,4944091601438393,广西网络广播电视台GXNTV,2023-09-09 16:05:57,【时政现场说丨传承发扬优良传统 树牢科技报国壮志】7日上午，习近平总书记来到哈尔滨工程大学，了解学校发展历程和为我国国防科技事业作出的贡献，察看教学科研成果展示。网页链接 ,0,0,0,,,广西,中国
5,4943776818926155,人民日报,2023-09-08 19:15:07,【#习近平祝广大教师节日快乐#】9月7日上午，正在黑龙江考察的习近平总书记来到哈尔滨工程大学，了解学校发展历程和为我国国防科技事业作出的贡献，察看教学科研成果展示。习近平指出，再过几天就是教师节，向全校教师致以节日祝福，祝全国广大教师节日快乐。 人民日报的微博视频 ,558,372,2291,,北京,北京,中国
6,4943864071979327,哈尔滨工程大学,2023-09-09 01:01:49,#工程要闻#【习近平：发扬哈军工优良传统，紧贴强国强军需要，为建设教育强国、科技强国、人才强国再立新功】  中共中央总书记、国家主席、中央军委主席习近平9月7日上午来到哈尔滨工程大学，了解学校发展历程和为我国国防科技事业作出的贡献，察看教学科研成果展示。在哈工程全体师生中引起热烈反响,20,15,157,黑龙江,哈尔滨,黑龙江,中国
