页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4991106418738866,采蘑菇的小心心o,2024-01-17 09:46:03,昨天上午11点多接到通知，让我下午来分享一下比赛心得、对于就业指导课程、教研室的期望、建议等，于是中午没午休就在写，写了一千多字出来，但是感觉写的还是不好。每每这时，我总会安慰自己，写总比不写好。今天早上，来到办公室，我又把职称评定的文件拿出来看了看，发现应该把重心放到科研上，育人条件随着时间的积累肯定是可以达到的，而科研条件就很具体了，所以我决定调整每日输出的方向，不再漫无目的地写一些随感，而是要写一些论文，之前每天都是写了差不多500字呢，我为什么不把这500字写成论文呢。联合党支部的论文都一直没有时间写，现在不正好可以写了吗。说干就干，今天的500字写完了来打卡。,0,0,0,重庆,重庆,重庆,中国
2,4990914948238796,堪塔斯爱好者,2024-01-16 21:05:13,概括一下：被举报人及其部分“合作者”涉及大量伪造数据、抄袭、不当署名、掠夺学生学术成果等学术不端行为（pdf2-3的主体内容，条分缕析），同时部分文章发表涉嫌操纵同行评审环节，有通过造假数据等行为骗取国家科研经费的可能。在课程教学和研究生指导方面同样问题极大（pdf1和4）,2,0,1,黑龙江,,黑龙江,中国
2,4988686716108861,心语心愿real,2024-01-10 17:31:00,近日，高途集团与河南大学、河南师范大学等多所高校成功签署合作协议，开启全面合作新篇章。合作将涵盖在线教育平台建设、课程创新、实践教学与科研项目合作、人才培养与就业指导，以及社会服务与公益活动。这一合作旨在共同探索新型人才培养模式，为学生提供更优质的教育资源和实践机会。 新浪财经App社区,0,0,0,安徽,蚌埠,安徽,中国
2,4985034400073349,豆蔻梢头五月初,2023-12-31 15:38:01,今日年末，宜填写年度考核表，顺便总结：1️⃣今年承担了7门本科生课程、1门全英文硕士课程、1门研究生读书会（不计入课时），共计292课时，超课时量36课时。2️⃣获得校级教学比赛一等奖并入围市级比赛。3️⃣发表一篇CSSCI论文，主持1个科研项目，参与2个科研项目。4️⃣指导本科生8名+硕士研究生2名，担任本科生班主任和研究生班主任。5️⃣指导学生参赛得全国一等奖1项、二等奖1项、三等奖2项，另有初赛一二三等奖若干。6️⃣带领学生组织市级校级专业相关活动。7️⃣通过ITA培训和另外俩培训，保守估计花费300h+，并且得分都很优秀哦～8️⃣参与两场学术会议，在分会场汇报一次。9️⃣基地申报、培养方案修订、课程大纲修订、专业评估工作，一个都没落下我。🔟硕士生资格评审、开题答辩、中期考核都参加也就罢了，还被迫多次担任博士生和硕士生面试记录员、答辩秘书工作。↑所以今年为什么这么忙啊真是辛苦我了！得加钱！#我的2023年度总结#,0,6,11,上海,,上海,中国
2,4982868719699398,蚌埠市教育局,2023-12-25 16:12:23,【构建智慧课堂 培育核心素养——怀远县荆涂学校教育集团开展“教学开放周”交流研讨活动】@安徽省教育厅 为了有效落实新课程改革，怀远县荆涂学校教育集团坚持以“科研兴校，以研促教”为指导方针，扎实推进课堂教学改革，不断强化质量意识，加大教改力度，开放教学研讨，展示集团校师生的才华智慧，增进兄弟学校之间的交流，引领教师专业化发展，12月19日至21日，举行教学开放周活动。本次教学开放周，由怀远县教体局教研室参与指导，怀远县荆涂学校教育集团和蚌埠新城滨湖学校等多所学校共同开展联合教学研讨。同时，还邀请部分家长参加此次开放周活动，让家长能够亲身观察到学生在课堂上的学习情况和教师们的教学方法，形成学校、家庭、社会的良性互动，促进学校教育教学工作的和谐发展。此次9个科目40节教学观摩课的展示，亮点颇多，干货满满。开课老师各有各的风采，各有各的特色，不仅让人感受到了授课教师深厚的教学素养、富有创意的教学设计、精湛的教学技能、幽默的教学语言与独特的教学风格，更让人感受到了一线教师对教育的爱、对课堂的情。语文课堂妙语连珠，教师认真研读教材，精心备课上课，学生主动思考、观察、品味文章里的诗情画意，感受语言文字的美，体会生活中的真善美，听说读写能力得到很好的锻炼；数学课堂奇思妙想，情境创设生动有趣，教学步骤设计合理，学生主动观察、猜想、操作、验证，合作探究、体验分享，使学生的空间观念得到了更好的发展；英语、历史等学科课堂趣味横生；美术课堂妙笔生花教师灵活多变的新课导入，充满乐趣的游戏教学，加上课后的拓展训练，让学生乐学、爱学，轻松、快乐。观摩课结束后，各学科组及时进行了议课，大家交流经验，切磋技艺，增进感情，真可谓其乐无穷。经过三天的教学观摩，各位教师显示了各自丰厚的教学底蕴，他们或热情洋溢或幽默风趣或循循善诱，虽然教学展示的科目内容不一样，但他们对课堂、对学生的情怀却是一致的，深受家长和领导们的好评。此次活动的开展，全方位展示了荆涂学校教育集团的教育教学管理、课堂教学水平，为家长了解学校，老师了解家长、学生畅通了渠道，为下一步更好地办好有温度、有品质的优质教育打下了坚实的基础。,0,0,0,,蚌埠,安徽,中国
2,4953768883650674,北京科技大学,2023-10-06 09:00:00,【人工智能的探索者！马惠敏教授您好！】她是中国图象图形学学会会士，从业22年来致力于视觉认知与机器智能交叉学科研究，首次在国际上建立了图像认知心理测评智能系统。科研上，强调“科学家精神”，言传身教指导学生勇攀高峰、潜心研究；教学上，强调“立德立学”，将国家需求与课程基础知识相结合，激励学生突破卡脖子问题；管理上，强调“科学引导”，以激发学生主动性为抓手，帮助学生树立科学的人生观，获得“严谨治学、甘为人梯”，教书育人榜样荣誉称号。她就是计算机与通信工程学院教授马惠敏，下面我们一起走进马惠敏老师的先进事迹：人工智能的探索者！马惠敏教授您好！,1,0,1,,淄博,山东,中国
3,4951909619728402,坚恒勇毅,2023-10-01 05:51:57,【留学水硕的竞争力问题】 提醒在留学读研的同学，要积极掌握相关的科研素养，为将来申博奠定基础。毕竟国外的课程制硕士学制过短，缺乏相关的科研论文的指导和训练，和国内的985及211研究生相比，缺乏应有的竞争力，得自己额外安排相关的科研论文内容才能弥补欠缺，增强自己的竞争力。 ,1,0,4,辽宁,沈阳,辽宁,中国
3,4948188060452393,诗人李潇,2023-09-20 23:23:49,又是忙碌又忙碌的一天，有图为证。        今天上午、中午和晚上，参加了三个会，晚上还主持了一场课题汇报答辩和专家点评指导活动，午饭时还与教育学院科研部的两位老师共进午餐，并交流一下工作。晚上18:00—20:00，ESAIS跨学科课程高二年级医学项目各课题小组进行课题研究汇报，并回答专家提问。感谢上海市第一人民医院的专家教授和科创专家评委，感谢今晚所有参加活动的老师和同学们。         如果有一杯山顶咖啡，那该多美好呀。需要有人负重前行，也需要有人享受生活。 上海·松江二中,0,0,4,上海,上海,上海,中国
3,4947951706704210,ThinkGCD,2023-09-20 07:44:38,饭碗的几种方式之一:1、靠科研吃饭:成为科研站或者某大学的博后或者研究员，依靠科研工作付出来获取回报。2、靠教学吃饭:成为某大专或者职高或者高校的大学非科研型老师，依靠上课时间，课程任务获取薪资。3、靠施工单位员工吃饭:成为某施工单位员工，然后指导工地机械或者装备，或者安排生产周期，或者安排施工进度，靠出卖时间和体力获得工资。4、靠设计院，监理，等等工作来吃饭，这个过程也是一个非常长的时间。5、靠甲方，等等工作来吃饭。最难端的饭碗之一:科研型的饭碗，依靠不断地论文和专利产出才能获取吃饭的，实际上一旦没有了产出，就意味着这口饭不可能再吃下去了。最舒服的饭碗之一:甲方的饭碗，教学型老师的饭碗，工作没那么累，不需要持续产出才能获得一口饭碗。6、科研的饭碗很难端，智力和努力程度都非常人能及，里面个个都是名校985，这口饭异常难端，难以企及。7、至少到现在，关键是端饭碗，长期稳定的饭碗。至少看懂了，中国的小初高教师有上千万人，大学老师几百万，每个人都可以称之为老师，每个人都可以提建议，那你脑子也装不下那么多建议是吧，谁的建议可以听，谁的建议不要听，关键是取舍。8、就如同以前的那个老教授，大学不要去兼职，关键是努力追求分数，追求读博，然后研发一个新材料，然后资本就会有追求这个东西然后甚至买断，然后靠研发出一个新产品就可以赚钱了，但是你真的可以做到那个程度吗？你真的喜欢吗？我想这个也不一定。9、反驳的理由之一，就是科研虽然可以研发出新产品来赚钱，靠卖产品和卖专利赚钱，但是首先行情，行业，必须在材料方面有非常突出的认识，只在学校或者科研院所写论文是赚不了这个钱的。另外，必须在材料研究院，有专门赚这个钱的人，一般人都赚不了这个钱。10、所以综合来说，那个理由根本不成立，行业不需要，科研院所有专业的研究人员，我能搞个什么新材料出来，土木已经非常成熟了，不需要那么多的新材料新能源。11、画饼，就仅仅是一个庞大的饼而已，具体没有任何可操作性，但是我偏偏就是信了，试问实际上这个饼不是每个地方都适用或者适合的，可能在那个老师那里是适合的，但是在另外一个老师那里，却是不适合的。新材料，有专业的研究人员去搞，你以为你搞了别人就需要了？你搞了就一定能搞出来？你搞了就算需要别人需要吗？性价比高吗？不想给人提建议，建议够多了，不是每个人都可以听的完的。12、了解市场的价格吗？了解市场行情吗？了解市场究竟需要什么吗？所以我不再听他们的建议，因为这个社会上话太多了，不想每个人的都听，安静点专注点还舒服点。13、我一天吭哧吭哧的上个课，是你来求我上的，我有绝对的主动权，我也很累，我也需要挣钱，然后改善我的生活，你既然选择，那就是你的事情，互相而已。14、少听建议，少听别人说，判断什么样的人说话对自己的利益可以实现最大化和最大的性价比，多思考，多自己想。不一定老师的话一定要听，老师是基于自己的路给你提出建议，但是这个建议对你不一定有用，不一定适合你来走。15、这个年龄段，人生要选择放弃了，选择自己喜欢的，而不是去追求什么高大上，追求什么这样那样的东西。,0,0,1,湖南,湘潭,湖南,中国
3,4944825672007767,上海普陀,2023-09-11 16:42:52,【靠谱星光 | 五育融合，立德树人！看普陀这位教师如何以陶育人】雕刻时光，泥塑筑梦。树人亦如塑坯，教育，本就是一棵树摇动另一棵树，一朵云推动另一朵云，一个灵魂唤醒另一个灵魂。二十余载教学路，科研先导，首创陶艺指南，规范校外课程；扎实指导，远赴新疆西藏，辐射美育之光。一捧泥，一片心，以育人初心引导艺术实践，以师者重任谱写奋进诗篇。网页链接,0,0,2,,上海,上海,中国
