页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023390299852077,皮皮侠学术风向标,2024-04-15 11:50:40,【学术资讯】文科生也能成为科学家！95后一作收获“科研自信”18岁以前，杨婉男从未想过自己会成为一名科学家。原因是，她从小酷爱哲学，高中学的是文科，父母辈中也没有一个从事与科学沾边的工作。高中毕业后，杨婉男来到英国爱丁堡大学读生物学；大三时她对神经科学产生了浓厚兴趣，争取到美国麻省理工学院（MIT）神经科学实验室做实验的机会；大三结束后她成功从生物学转到神经科学专业；如今，这个曾经是文科生的“95后”女孩，来到美国纽约大学医学院神经科学系教授György Buzsáki的实验室，攻读神经科学博士。从文科跨界到生物学再到钻研神经科学，杨婉男的求学和科研经历达到了令人称奇的程度。近日，杨婉男更以第一作者身份在Science上发表论文，揭示了大脑选择性记忆的生理机制。值得一提的是，这是博士四年级的杨婉男首次以第一作者身份发表文章。“现在，我想为研究记忆奋斗一生，希望能成为一名优秀的科学家。”杨婉男说。杨婉男一直秉持着这一点：永远保持好奇，永远充满热情。#数据皮皮侠##学术资讯#,0,0,0,四川,成都,四川,中国
2,5023387627816874,幸运美丽南波万,2024-04-15 11:40:03,处理数据费时费力就算了，跑出来之后一回归结果还不显著和与之前的截然相反 不过现在能做到想开了，科研不顺是常态，科研顺利是运气好，没有一帆风顺的事 以及，想把不爱干净到身上有异味和诡计多端的男的豆沙了 ,0,1,0,天津,天津,天津,中国
2,5023154972137387,我是香港警嫂,2024-04-14 20:15:34,出賣國家機密的人真該死，但是他死了，機密數據也已經洩露出去了………【#科研人员出卖核心机密被执行死刑#】据@央视军事 报道：某间谍情报机关公开网站收到来自中国的投靠信息，同时还有一段中国军队使用的高级密码，发出信息的人是我国某涉密科研单位人员黄宇……因在单位改革末位淘汰中被通知待岗，黄宇认为领导在排挤自己，出于怨恨心理他决定出卖自己掌握的核心机密，以报复单位，同时攫取巨额利益。最终，黄宇被执行死刑。#间谍窃取我国杂交水稻亲本种子# 央视军事的微博视频,9,11,111,中国香港,,香港,中国
2,5023383065198759,Chaorm1o,2024-04-15 11:21:54,我学商科的同学也是，其实一般做过科研的都会接触数据分析，所以这个东西真的要做我觉得可以往大数据那种方向，hadoop 啥的,0,0,0,美国,,,美国
2,5023376166880121,SPSSAU,2024-04-15 10:54:31,姐妹们，这才是导师想看到的论文数据分析啊🌟 今天就来给大家揭秘一下，那些看似高深莫测的数据分析，其实也可以很亲民！😉📈 描述性统计分析这一步，就像是你对数据的“第一印象”。通过计算均值、标准差、频数分布等，我们可以初步了解数据的“长相”和“性格”。👀 比如，你的数据是偏胖还是偏瘦？是活泼开朗还是内向文静？这些都能从描述性统计分析中看出来哦！🆚 差异性分析这里就是开始对比啦！比如，你想知道男生和女生在某个数据指标上有没有差异，就可以用差异性分析来解答。通过T检验、方差分析等方法，我们可以找出哪些组别或类别之间存在明显的差异。🔍🌀 相关性分析想知道两个变量之间是不是“好朋友”吗？那就得靠相关性分析啦！通过计算相关系数，我们可以判断两个变量之间是正相关、负相关，还是根本没关系。🤝 这样，你就能更清楚地了解变量之间的“友情”深浅啦！🎯 影响关系研究最后一步，就是深入研究某个变量对其他变量的影响啦！这一步通常会用到回归分析、路径分析等方法。通过这一步，我们可以找出哪些变量是“关键先生”，对结果有着至关重要的影响。🎯💪 数据分析，虽然看似复杂，但只要掌握了SPSSAU的使用与分析，这些基本方法，就能轻松应对啦！希望今天的分享能对大家有所帮助，让我们一起在学术的道路上越走越远吧！🚀#spssau##spss##数据分析#科研问卷星学术期刊论文发表#回归分析##统计学#问卷星#毕业论文##论文发表##期刊论文#,0,1,0,北京,北京,北京,中国
2,5023368288405349,医晋升咨询,2024-04-15 10:23:12,【文章写作】论文初稿写完先别急，还有4个问题要自查作为科研人，写完初稿时的开心程度就不用多说了但是咱们开心归开心，论文初稿写完后还有4个问题要记得自查，保证文章水平更加在线哦！那么在写作论文初稿时，有两大方面需要格外注意，先来看看从哪两个方面入手吧：两大方面1、在数据应用方面写作初稿是根据所搜集的数据和抄录的笔记卡来进行，所以在撰写初稿前，一定要将这些数据按大纲的先后顺序整理好，以便写每一章、每一节时参考之用。有时为了节省时间，避免错误，可将影印数据剪贴于初稿之上，遇到有需要作附注的地方，应将附注的数码记在该记的位置，各附注的文字可用另纸书写。2、在文字应用方面学术论文的文字，有别于文学作品，应以简洁扼要的实用文为主，有些同学，为了表示典雅，想用文言文来书写，除非自信自己写文言的能力很强，否则请不要轻易作这种尝试，还是用白话文来书写比较好。1、规范性规范性包括2个方面。语言规范，即确保论文中没有用词不当、词不达意、自造词、错别字、不当使用标点符号等情况。格式规范，即按照相关要求对论文的格式进行调整，包括字体字号、图表的呈现形式、参考文献的标注形式等。2、完整性检查论文整体结构是否完整。一篇完整的论文包括题目、摘要、关键词、引言、方法、结果、结论、讨论、参考文献等，毕业论文还要有封面、目录、致谢等，这些结构缺一不可，需要在论文初稿完成后一一核对，并及时补充缺少的部分。3、一致性一篇论文工作量很大，难免会出现前言不搭后语的疏漏，因此需要对一致性进行检查和完善。4、原则性一篇论文无论质量如何，原则性问题不能有。如有概念性错误、常识性错误则需要立即改正。对于论文中的专业性问题，需要反复推敲，不容有误。#论文自查##论文##论文期刊#,0,0,0,广东,东莞,广东,中国
2,5023364590603846,知识分子,2024-04-15 10:08:31,"【#美国本地人不愿做博士后了吗# 在美国，本地人已经不愿意做博士后了？】根据美国国家科学基金会（National Science Foundation,NSF）的最新数据，在美国博士后这一学术界的中坚力量正在流失。一些PI表示现在博士后的招聘越来越难，科研项目不得不推迟，尽管经费在缩水，大学迫于压力仍开始考虑提高工资和福利待遇。根据美国国家科学基金会（NSF）近期发布的《2022科学与工程专业研究生及博士后调查》(Survey of Graduate Students and Postdoctorates in Science and Engineering, GSS)数据，2022年秋季，美国机构雇佣的科学、工程和健康（Science, Engineering and Health，简称SEH）领域博士后人数为62,750人，比前一年下降了约1%。这个变化看起来不大，但美国博士后人数从2019年达到顶峰之后，已经出现连续多年的下滑。2020年至2021年间，NSF此项调查涉及的机构博士后人数一共下降了2,353人，下降幅度达到3.6%。自2019年以来，博士后人数减少了2,033人，下降幅度达到5.2%。一旦按照国籍对博士后群体进行分类，其间的差异便显得尤为突出。从2021年到2022年，美国公民和永久居民选择做博士后的人数从29,755人下降到27,289人，下降了8.3%，这一降幅是自1980年该调查开始以来年度降幅最大的一次。与此同时，持临时签证的博士后人数却上升了5.6%，从33,573人增加到35,461人，与2020年的水平大致相同。对于有出路有选择的美国本地人来说，博士后似乎在成为一个越来越没有吸引力的选项。Science的一项调查，从研究人员的角度印证了博士后流失的现实。当时他们联系了100多位美国研究人员——他们在科学协会的招聘网站上发布了博士后职位的招聘广告。有37位研究人员回复了Science记者，其中四分之三都表示在招聘方面遇到了挑战。“今年的情况让我很难接受：……我们的招聘信息完全没有得到回应。”其中一位写道。“申请人数比 2018到2019 年少了10倍。”另一位写道。这些遇到招聘困难的学者涉及 STEM各领域，包括生物医学、化学、环境科学、人类学、物理学和计算机科学。一些学者表示，不仅博士后申请数量不足，申请质量同样下降了。一位学者写邮件给Science表示他已经做了两轮招聘，花了半年时间才招到合适的候选人，而过去他只需要用一个月的时间。详情戳下方链接查看↓↓在美国，本地人已经不愿意做博士后了？#博士后##美国#",8,1,10,,上海,上海,中国
2,5023354468434837,offer播报酱,2024-04-15 09:28:17,#酱酱帮问time#香港中文大学 211大数据均分85申港三有机会吗？211大数据专业，均分85，雅思6.5，GRE315，有两段科研，一篇论文，一篇论文发表中，一个专利发表中，两段科研，一个北京数模二等奖，三段实习，还有篮球和乒乓球的三级裁判证。。。第一批早申的话，有机会申请到港三的数据或者计科专业吗 （如果考多一个中级软件工程师呢）  网页链接,0,0,54,天津,天津,天津,中国
2,5023348230193908,威海日报,2024-04-15 09:03:30,【#国家安全机关公布5起典型案例#】国家安全机关14日公布5起典型案例，呼吁全社会提高国家安全意识，共筑反间防谍的钢铁长城。①境外企业窃取我稀土领域国家秘密；②境外间谍情报机关窃取我稻种及制种技术；③境外间谍机构非法搜集我气象数据；④某高校学生出于猎奇落入陷阱；⑤境外驻华机构雇员阻碍国家安全机关执法。详戳→网页链接 #科研人员出卖核心机密被执行死刑##发现间谍行为拨打12339# （新华社）,4,4,5,,威海,山东,中国
3,5023345390911690,鲁小迅3,2024-04-15 08:52:12,中国科研单位免费向全世界公布中国人的基因图谱数据，美其名曰全球合作，是多么的幼稚啊。这是将中国人的生命至于十分危险的境地，中国国安监察局，应该清醒地认识到，中国的敌人一旦得到这个人的基因组合，就会将中国亿万人民的生命至于危险之中。新冠病毒能在中国肆意传播，就是一个很好的例子， ,0,0,0,广西,玉林,广西,中国
