页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023168227443238,高山论,2024-04-14 21:08:13,发布了头条文章：《科研人员出卖核心机密被执行死刑》 #科研人员出卖核心机密被执行死刑# 科研人员出卖核心机密被执行死刑高山论  科研人员出卖核心机密被执行死刑 ,0,0,0,陕西,西安,陕西,中国
2,5023142558304401,老王谈改革,2024-04-14 19:26:14,现在电脑上网下载粘贴、抄拼写文章和出书的人多如牛毛，根本对文字不过脑。本人给科研人员改文章时，遇上“黄河长46公里”之类的事多了。//@张宏杰://@蘸盐:（2002年《关于正确使用涉台宣传用语的意见》，建议把“解放后”改为“中华人民共和国成立后”“1949年后”。,3,1,5,广东,惠州,广东,中国
2,5022863906047923,好运_羊GoooooodLuck,2024-04-14 00:58:58,！终于让我又等到了它！！感觉就像老天又给了我一次机会！！！求求了！我不会再犹豫了！！让我进面试上岸吧！我以后一定不再怀疑自己了！坚定自己！正确的珍惜机会！珍惜所有！！我一定专心科研，多多研究多多文章！！努力为国家做贡献啊啊啊啊！！！求求了🙏🙏 ,0,2,1,江苏,盐城,江苏,中国
2,5022863301542148,沉迷科研的小马,2024-04-14 00:56:33,什么是有意义的科研… 太抽象了，等哪一天学术圈不再为了高分文章和评职称而发愁就实现了吧 我只能说热爱科研心无旁骛别无他求致力于解决自然科学难题的科学家真的值得敬佩… ,0,0,1,北京,北京,北京,中国
2,5022835364070939,特地暮云开17,2024-04-13 23:05:33,写文章的确可以帮助理顺科研思维 因为要不然根本不知道下一步要干啥 ,0,0,1,北京,北京,北京,中国
2,5022806628630704,细胞饲养员,2024-04-13 21:11:21,我再说一遍，那些以讲科研思路以及如何发文章的人骗骗刚入行的小硕士就行了，别把自己骗了真觉得自己讲的好。在泳池里被淘汰的旱鸭子上岸了觉得自己成顶级教练了真的搞笑。街头花式篮球还想碰瓷职业运动员是吧笑死 ,0,0,0,美国,,,美国
2,5022760253002494,乐乐要开心-克勤左腿上的护膝,2024-04-13 18:07:05,今天看到陕西省优秀毕业论文的其中一个评选结果，是我研究生单位的一位二级教授指导的学生，与我还有点渊源，大二的时候大创完全踩着人家的毕业论文摸着石头过河，当时就被他文章中的致谢感动，桃李不言，下自成蹊，他现在博后即将出站了，希望他科研顺利！ ,0,0,0,陕西,西安,陕西,中国
2,5022707408441215,chysurvive,2024-04-13 14:37:06,打开网页发现某网红科研博主也没发什么好文章嘛，爽了 ,0,0,0,上海,上海,上海,中国
3,5022536671428754,攻君哦,2024-04-13 03:18:39,三点多改文章只是想睡，但三点多做实验只有想死所以说搞科研和当牛郎有什么区别，都要消耗我的精神和夜晚 ,0,1,0,天津,,天津,中国
3,5022488209659081,傻眼猫咪和海盐奶糖,2024-04-13 00:06:05,最近托凯老师的福，看了很多高分文章虽然有点口出狂言，但是觉得为了那仨瓜俩枣的消耗身体真的不值。科研只是大家谋生的一个途径罢了，做出来什么东西大家也心知肚明吧。实在没必要赋予更多的意义。 ,0,0,0,广东,广州,广东,中国
3,5022485724793002,乌云汇合再生泥河,2024-04-12 23:56:13,太喜欢做科研了，就喜欢这种累死累活写不出文章失眠脱发精神不正常的生活✌️ ,0,0,7,北京,北京,北京,中国
3,5022319458386917,菇鲜王,2024-04-12 12:55:32,德国皮套还鼓吹过卖淫合法化 随便搬个文章就能说是权威科研成果，证明大麻危害轻微，实在太坏。当年在知乎上这个傻x就大型吹嘘自己在德国的性经历，跟德国金毛未成年上床之类的。当时我和朋友就人肉出来了北边某个海洋研究所读博的傻x冯穆。现在是变本加厉地坏,19,8,31,德国,,德国,德国
3,5022474745942773,夏天都在吃西瓜,2024-04-12 23:12:35,这个世界宠幸一下我吧，求求了边缘人本来就够痛苦了发现本来排后面同学能加好多分拼爹的时代 爹是我们院的领导老项目都拿给他 直接拿去打比赛 内容都不用改拿俩省金 大创也是现有成果  拿给他去申了国家级 半年就结题了 文章挂他 专利给他 科研分直接加满期末考还挂过 但是补考过了就不算挂科 依旧能参与保研竞争相比较 另一位同学我就比较佩服是后面从别的院转来的虽然爹是其他院的院长 也给了他一些资源但是他是年级第一 他是真的很牛 每门课都能拿高分我的老天 求你今年也扩招 我真的很想保啊,0,0,0,四川,成都,四川,中国
3,5022460817181503,虾米妈咪,2024-04-12 22:17:14,#才知道医学生不用写毕业论文# 话题很有误导性，医学本科生的毕业论文好像是可写可不写的，但研究生阶段硕士博士的毕业论文，A4纸打印出来约一个指节到两个指节的厚度，科研型发不出好文章还要延期 ,2,1,12,上海,,上海,中国
3,5022404247816449,仲夏霜序,2024-04-12 18:32:27,不得不说，有些文章能发到《管理世界》真的是有过硬实力的 这可能是每一个科研er的追求 我只想顺利完成周日的组会，给妍妍老师一个好印象 ,0,0,0,天津,天津,天津,中国
