页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4932852276532773,回忆--过往,2023-08-09 15:44:53,cpci和ei会议哪个好？目前国际学术会议出版的会议论文集有两种收录方式，一是cpci数据库收录，另一个是ei数据库收录，那么两者都是会议论文，哪个好一些?下面学术顾问在这里做出全面的分析，帮助作者能够选择到适合自己的会议论文。EI(CA)与CPCI收录文章的状况都是评价单位和科研人员的成绩、水平的重要依据之一，除了各高校、科研院所的特殊评价标准，从事工程领域研究的学者，更认可EI(CA)，人文社科则更倾向于CPCI。其实不论是EI(CA)还是CPCI，如果作者选择发表会议论文，要重点关注下学术会议的选择，会议的水平直接关系到论文的发表是否有价值，是否能在个人发展中发挥一定作用，所以要尽量选择一些水平较高的学术会议，两者不能简单的说一个好，一个不好，只能是作者结合自己的需求选择，适合自己的会议论文才是最好的。EI是工程索引，以收录工程技术领域的文献全面且水平高为特点，它主要收录生物工程、运输、计算机、物理、电子和通信、材料、航空和汽车工程等工程领域的国际会议，具有综合性强、资料来源广、地理覆盖面广、报道量大、报道质量高、权威性强、检索方便等特点。但是，EI不收录纯基础理论方面的论文。CPCI可收录工程技术、应用科学、社会科学、人文艺术等多领域的国际会议。与SCI/SSCI同属美国科学情报研究所旗下产品，只是收录文献类型不同。,0,1,1,陕西,西安,陕西,中国
2,4910637182877844,爱思唯尔科研医学服务,2023-06-09 08:30:01,"重磅！CiteScore™ 2022 发布！#CiteScore# #科研# #论文投稿# CiteScore™ 引用分指标免费、全面、透明、实时。它基于Scopus可信赖的数据源中，来自7000多家出版商的28,100多本活跃出版物，覆盖333个学科，能够协助科研工作者分析、评估期刊、丛书、会议论文集和行业杂志等系列出版物，并已广泛的得到科研人员、图书馆员、期刊编辑出版人员，以及作者的认可和应用，为科研工作者提供决策依据，提高决策质量与效率。它能够帮助：· 科研人员发现、评估期刊，确定在哪发表论文、在哪读论文。· 图书馆员和信息专家分析图书馆馆藏中更多系列出版物的引文影响，分析某项科研结果出版于何处，并辅助制定出版物管理策略。· 机构领导和科研基金资助方了解研究成果地展示、制定评估研究策略。· 出版社监测某期刊或期刊群的表现，同时监测竞品的出版趋势; 评判出版物发展及影响力。CiteScore 2022指标及其过往表现：请点击下方链接查看文章详情以及Scopus来源出版物页面, 或Scopus API可免费查询或下载Excel文件：重磅！CiteScore™ 2022 发布！",1,0,0,江苏,南京,江苏,中国
2,4907697469915610,赵德峰鸡宝宝肉鸡养殖,2023-06-01 05:48:40,【禽病大会】国内经常有单位或组织牵头筹备所谓的禽病大会，规格很高，专家、教授很多，每个人只给30分钟露露脸，展示一下所谓的最新科研成果，出本论文集，然后吃吃喝喝皆大欢喜，岂不知那些帮衬着参会的养殖户大都是一头雾水，一脸懵逼。没有疫苗、没有药物、没有方案，那还不如让专家教授开闭门会议，免得劳民伤财，败坏了业内风气。,0,0,1,山东,潍坊,山东,中国
2,4894787666707423,顺德图书馆,2023-04-26 14:49:43,#顺德地方文献#【探索心声：干部教师论文集】徐玉勤主编（索书号：*G63-53/0021）。本书展现了碧桂园学校在教学、教研、科研三位一体，全体干部、老师在实践中勇于探索，在探索中坚持教研、科研，而探索的成果又进一步用于指导教育、教学和管理的实践的过程。全书共分为“管理工作论文”、“德育工作论文”、“语文教学论文”、“数学教学论文”、“英语及双语教学论文”、“文科、理科、信息技术及艺体教学论文”、“幼儿教育论文”、“国际教育论文”等8大章节。欢迎前来顺德图书馆五楼地方文献阅览厅查阅！本馆长期对外征集顺德地方文献，征集热线：22808607 22808621,0,0,0,,佛山,广东,中国
2,4892674081686625,中广核研究院,2023-04-20 18:51:05,【25篇！中广核研究院学术论文获EI集中收录】2023年4月18日，国际知名出版社SPRINGER刊出由中国核学会主办的第23届太平洋地区核能大会论文集，所有论文均被EI收录。其中包含中广核研究院发表的25篇论文，涉及热工水力、堆芯物理、安全分析、放射化学、软件开发和多物理场耦合等多个领域，充分展示了研究院的科研实力。#科研##论文# @中国广核集团 25篇！中广核研究院学术论文获EI集中收录,2,1,4,广东,佛山,广东,中国
2,4871898591399094,yiqieokde,2023-02-22 10:56:42,护理考研有没有吉林大学滴姐妹，接辅导，个人相关中英文自我介绍+个人简历+常规中英文面试题答案准备+多轮模拟面试专业相关专业课内部重难点讲义+知识点笔记梳理+历年院校复试真题集+模拟面试科研相关相关出题导师的期刊文章及论文集+会议分享录屏+文献阅读与面试汇报指导其他指导导师选择指导+其他你需要解决的问题,0,5,4,吉林,长春,吉林,中国
2,4866849861012462,没有我找不到的电子书,2023-02-08 12:34:51,科研人下文献全文必备的网站Sci-Hub，数据库收集了 88343822 份研究文件，全部免费下载。大约80%的文件是发表在期刊上的研究论文 6%是会议论文集（conference proceedings）中的论文，5%是书籍的章节 剩下的就是其他种类的文件了。Sci-Hub上能查询到的文件中，77%发表于1980年到2020年 36%发表于2010年到2020年。所有主要科学出版社的覆盖率都在95%以上。Sci-Hub数据库的总规模约为100TB。这个网站由哈萨克籍女研究员珊德拉·艾尔巴金(Alexandra Elbakyan)于2011年9月5日，本着劫富济贫、学术无价，为研究经费少的机构与国家提供参考资料的崇高情怀而创建的。自它创建以来，代表大众发出了觉得出版社不应该向作者和读者双向收费的声音，可也正由于此番义举引来多方出版社的“追杀”，所以不得不经常更换域名……希望大家能登得进去。地址1：sci-hub.se地址2：sci-hub.st地址3：sci-hub.ru,87,8,79,浙江,杭州,浙江,中国
2,4857043221483934,南大社·折射集,2023-01-12 11:06:46,《南大日本学研究》是以日本语言文学、社会文化为主，兼顾历史学、经济学等其他日本学研究领域的中文学术论文集。依托南京大学日本学研究中心（筹），吸收中心主办或承办各类学术会议的优秀论文，亦收录国内外学者、科研人员关于日本语言文学和日本社会文化研究的优秀学术成果。重点关注的议题包括：日本国语史研究、日语语言学研究、中日比较文学研究、日本社会文化研究、区域与国别研究等。本辑《南大日本学研究：日本文学中的城市书写》共收录13篇学术论文、1篇名人访谈，既有2020年11月由南京大学外国语学院主办的“日本文学中的城市书写”国际学术研讨会的会议论文，也有很多活跃在日本研究第一线的科研人员的优秀成果。作者包括日本权威学者财前谦、南京大学荣休教授何慈毅等资深学者，也有一部分在国内外获得博士学位、走上独立科研道路的青年学者。文章分为“日本思想文化”“特辑：日本文学中的城市书写”“比较文学”“日本法学”“融通论坛”5个专题，从丰富的角度展现了当代日本学研究的优秀成果。#日本研究##日本文化#,0,0,8,江苏,南京,江苏,中国
2,4840932241051517,瓶瓶淇淇que,2022-11-29 00:07:29,研究生文献互助 想问下今年11.8举行的ACM会议获奖论文是已经发表过的吗？一直没找到原始文献，还是录入ACM论文集后才能找到呀（科研小白 实在不懂 ,0,0,1,江苏,南京,江苏,中国
3,4832245351450223,A_Mininvincible,2022-11-05 00:48:53,在王静康论文集自序中有这样一段话：“我和我的先生许锡恩都是张建侯教授的弟子。我是张建侯1960级研究生。1961年许锡恩毕业留校，被张建侯选为助手。在我眼里，我的先生许锡恩身上有着父亲的影子及导师的精神，是个酷爱教学与科研的才子，又是个心无旁骛的工作狂人。我们曾相约事业第一、生活第二的家庭理念。我们夫妇俩在几十年科学生涯中，始终铭记着导师张建侯教授的教诲：独立创新、顽强拼搏，才能成功，是我们终身前进的座右铭。”,0,0,0,上海,上海,上海,中国
