页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023059981632021,观泉州,2024-04-14 13:58:06,#泉州医高专学校附属人民医院被处罚#4月14日据信用中国（福建）官方网站公布信息显示泉州医学高等专科学校附属人民医院因存在“串换诊疗项目”行为被泉州市医疗保障局处罚。泉州医学高等专科学校附属人民医院是一所集医疗、教学、科研、预防、保健为一体的公立二级甲等综合性医院，是福建省全科医师培训基地，福建中医药大学教学基地。泉州 via:海峡导报大泉州 泉州,7,11,17,福建,泉州,福建,中国
2,5023345488430194,兴安日报,2024-04-15 08:52:36,【蒙东黑土地保护研究中心 蒙东盐碱地治理研究中心在兴安盟落成运行】4月14日，兴安盟与中国科学院东北地理与农业生态研究所、农业农村部环境保护科研监测所、自治区农牧业科学院、内蒙古农业大学战略合作项目——蒙东黑土地保护研究中心、蒙东盐碱地治理研究中心在兴安盟正式落成运行，这既是贯彻落实习近平总书记关于“切实加强耕地保护、抓好盐碱地综合改造利用”和“采取有效措施切实把黑土地这个‘耕地中的大熊猫’保护好、利用好，使之永远造福人民”的重要指示精神的具体行动，也是为现代农牧业发展赋能新质生产力的重要举措。网页链接,0,0,0,,兴安盟,内蒙古,中国
2,5023155997118804,坦荡的山雀,2024-04-14 20:19:38,#科研人员出卖核心机密被执行死刑#如果他是科研项目的主要研发人员，升 G 加薪没他的事，就会失去理智报复，这种情况太多了，有关系后台钩名钓誉的什么也不干却能升 G 发 C，国家需要重视一下这种情况#国安机关披露境外企业窃取我稀土秘密# 坦荡的山雀的微博视频 ,10,25,91,宁夏,吴忠,宁夏,中国
2,5023331430696575,小肉干爱学法,2024-04-15 07:56:45,西南政法大学  各位备考2025年西政考研的小伙伴们，大家早上好！一、基本情况2019年以客观题206分，主观题133分通过法律职业资格考试。2019年9月开始备考考研，上岸西南政法大学，获得新生奖学金、研究生综合奖学金，有市级科研项目1项、校级2项，2023年上岸西政博士研究生，已经连续辅导3年，经验丰富。二、辅导内容公共课：计划，方法，答疑，检测，抽背，模拟考试专业课：知识点精讲（是什么，原理，怎么考，怎么记），真题讲解（怎么读题，怎么解题，怎么调动知识，怎么组织答案，怎么规范化作答）价格比同等低很多，有意私聊,0,0,0,四川,,四川,中国
2,5023324382167950,南开发布,2024-04-15 07:28:44,【南开大学梨棠春荟开幕】昨日，南开大学第八届梨棠春荟开幕。作为该校开展文化育人、服务育人的重要载体和品牌项目，本届梨棠春荟共设6个板块、70余个活动内容，包含中华优秀传统文化体验、社团文体活动、科研创新创业、师生成长服务等多个方面。众多师生欢聚该校津南校区梨树园，踏春、赏花、游园，“沉浸式”体验校园“文化大餐”，共赴这场春日的盛会。网页链接,0,0,0,,天津,天津,中国
2,5023308741871045,未来科技,2024-04-15 06:26:35,#国家社科基金青年项目女性申请年龄放宽#【国家社科基金青年项目女性申请年龄放宽至40岁】#打破女性科技工作者科技创新的年龄壁垒# 近年来，女性学者35岁的这道坎不时引发讨论，这与女性生育周期密切相关。从拿到博士学位，到教学、科研、发表论文，一个女性学者在职业阶梯上“最难熬的10年”往往是她们的最佳生育年龄。日前，全国哲学社会科学工作办公室就2024年国家社会科学基金年度项目申报工作发布公告。其中明确，青年项目放宽女性申请人年龄要求至40周岁。 本次受理申报的国家社会科学基金年度项目包括一般项目、重点项目、青年项目和西部项目。其中青年项目旨在加强对青年人才的扶持和培养，发挥青年学者优势，推进知识创新、理论创新、方法创新和应用创新。（澎湃新闻）,4,4,4,,北京,北京,中国
2,5023244866290355,呓语着梦到星星,2024-04-15 02:12:46,我笑死 别人玩游戏：风景！情缘！战斗爽！ 男主玩游戏：双倍时间，两个时间线的大佬可以问问题，可以同时进行两个项目缩短科研时间  我直呼内行 改名叫劝学好了哈哈哈哈 ,0,0,0,浙江,温州,浙江,中国
2,5023230484283514,商兔子是素的,2024-04-15 01:15:36,#winky诗[超话]#哥，大半夜不睡逛超话是在视察科研项目吗。 ,0,8,9,江苏,苏州,江苏,中国
2,5023225929794408,想要减肥但又喜欢喝奶茶的细毛毛,2024-04-15 00:57:31,都研究生了我踏马还晚上十点才下课。学校要求的学分很多很多，基本每门课程都要做pre或者写课程论文。课程任务还不是我的主要任务，我的主要任务是搞科研，要写论文写项目，还有一些杂活。一边上课一边上班实在是太累了，怎么又周一了又要上课了？周末两天我没写多少论文，睡了一个懒觉、上了一上午课、审了一篇论文，怎么就过去了？,0,0,2,北京,,北京,中国
2,5023198506910684,脆弱房间和摇晃派对,2024-04-14 23:08:33,2024.04.14 工作日志 立项目搞科研的一天，哦，还有写作业 ,0,1,0,上海,,上海,中国
3,5023187911311510,MonkeySo王杰,2024-04-14 22:26:26,MonkeySo｜时光垚 焕新“微”来·项目发布会  超级联盟，与专业偕行 超400项国家专利 近200家科研合作单位  十余所菌群库联盟 背靠权威，匠心科研  4月20日  以科技焕“微”来 #monkeyso|时光垚# ,0,0,0,河南,洛阳,河南,中国
3,5023147640489914,维柏盛全屋定制厂罗少燕,2024-04-14 19:46:26,《香港汇》2024年的龙年甲辰龙年香港的国家HONGKONG有哪些发展经济和科技教育是有国家地位和国家旅游留学的项目成果和博弈技术。科研电子开发和我们今天聊到的旅游留学包括专业开发一项技术成熟，获得在展望科学技术尖端都同时具备2000年香港领域主导先天优势，据今在国际社会发展有长达11年以上的主导形势发展香港滙率和股市政策发表，以及以上的我们由香港倡导发展房地产和房地产商在滙率钻研数据的基础参谋地香港，技术科研和旅游开发包括人才培养有优秀国家发展地位。[作者：罗少燕] 汕头·谷饶镇,0,0,0,广东,汕头,广东,中国
