页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5020121708366992,苏州新闻,2024-04-06 11:22:27,【#清明追思•家国永念#为强国“铸舰” 一生向深蓝】 去年10月，中国工程院院士、舰船领域专家潘镜芙因病医治无效逝世，享年93岁。青少年时期，潘镜芙院士曾在苏州度过自己的中学时代。《清明追思•家国永念》系列报道，一起追忆这位献身科研、一生尽瘁的“斗士”。 苏州新闻的微博视频 ,1,0,3,,苏州,江苏,中国
2,5019702608528059,我本立俭,2024-04-05 07:37:06,百度文库根据国家科技成果鉴定规范，在迷信研究领域的项目鉴定过程中，应该由承担该课题的相关研究人员——如项目负责人、技术骨干以及其他科研人员——来提供相关工作报告、技术报告以及经济效益分析等内容，并接受专家的质询与评估。专业的迷信研究项目应当由相关领域的专业人士来进行鉴定。         反迷信的代表人物陈独秀、鲁迅、理查德·道金斯等人，他们在迷信领域是外行，并不是专业的科学家。他们的 反迷信是错误的。       因为，没有经过内行专家鉴定的结论，他们就通过自己的著作和影响力推动大众反迷信，把中华民族师徒代代相传，重复验证几千年，最先进的理论和技术结晶，给斩草除根了。 这种打击中国科技进步的野蛮行为，给中华民族造成的损失，几万亿黄金也买不回来。 这种外行干涉内行的行为，正是美国打压中国进步想做也做不到的愚蠢行为！,0,0,0,山东,菏泽,山东,中国
2,5019212912002265,西人马官方微博,2024-04-03 23:11:13,国家发改委项目专家组视察西人马3月28-29日，国家发改委项目专家组一行十多人莅临西人马（FATRI）泉州生产基地考察。考察中，项目专家组参观了西人马传感器生产线，重点考察了西人马压力和流量传感器的研发和生产，对西人马在压力和流量传感器领域的科研攻关和自主知识产权成果给予了高度肯定。西人马联合测控（泉州）科技有限公司创立于2017年，同年10月，西人马建成第一条高端传感器生产线。经过数年发展，西人马已经成长为国家级高新技术企业，中国MEMS十强企业，在工信部传感器芯片IDM企业中排第一，其多款高端工业传感器已在各领域头部企业实现量产应用，给国内物联网市场应用端厂商带来了国产化替代的新选择。目前西人马已经拥有了超过500项专利，并以每年30%的速度快速递增。发展至今，公司已经发布多项MEMS 、模拟IC、MCU 等芯片产品，加上公司自研的数据采集器，可以迅速形成传感器驱动模组，为客户构建一站式感知芯片应用解决方案。作为传感器领域的新兴领军企业，西人马的愿景是致力于以敬畏生命的态度研发和制造用于改善人类环境、健康、安全的先进技术和产品。同时西人马以科技报国为己任，致力于自主知识产权科技创新，以舍我其谁的承担精神，积极攻关，解决国家“缺芯”挑战，致力于成为智能化时代引领者和核心硬件供应商，成为中国乃至世界顶尖的传感器芯片企业。西人马于本月下旬刚刚完成最新一笔亿元战略投资，进入全新的可持续发展阶段。下列图片均为国家发改委项目专家组成员视察西人马现场情景。图1、西人马董事长聂泳忠先生为项目组领导介绍公司概况。图2、项目组专家参观压力传感器和微流控芯片样品。图3、项目组专家团队参观西人马传感器芯片生产线黄光车间。图4、聂泳忠博士用显微镜向专家组展示微流控芯片。图5、项目组专家参观压力传感器芯片样品。图6、项目组专家在生产线实地考察。图7~图10、项目组专家和西人马团队就压力和流量传感器进行深入沟通交流。,1,0,1,福建,泉州,福建,中国
2,5018848119756012,廖斌的耳机,2024-04-02 23:01:40,在这次抗击新冠肺炎疫情阻击战中，我国再次发挥新型举国体制在应急科研攻关方面的重要作用，将制度优势转化为治理效能。疫情发生后，科技部门迅速组织由多个领域顶级专家组成的科研公关组，确定临床救治和药物、疫苗研发、检测技术和产品、病毒病原学和流行病学、动物模型构建等五大主攻方向，组织跨学科、跨领域的科学科研团队。科研、临床、防控一线相互协同，产学研各方紧密配合，短时间内就取得积极进展，为统筹推进疫情防控和经济社会发展提供了有力支撑，做出了重大贡献。放眼未来，不论是加快提高疫病防控和公共卫生领域战略科技力量和战略储备能力，还是完善平战结合的疫情防控和公共卫生科研公关体系，都更加需要我们不断用好和完善新型举国体制这个独特优势。,0,0,0,福建,泉州,福建,中国
2,5018658319368762,汕头日报,2024-04-02 10:27:28,【我市举办产学研“面对面”先进医疗专场对接会】3月30日下午，我市在汕头迎宾馆举办了产学研“面对面”先进医疗专场对接会，来自中山大学、国家超级计算广州中心的专家学者和我市医疗卫生机构、企业互动交流，探讨医疗卫生领域前沿科研经验，助力我市大健康产业高质量发展。加快构建创新型健康医疗服务模式 ,0,0,0,,汕头,广东,中国
2,5018382210436918,江苏交通广播网,2024-04-01 16:10:19,【第六届全国大学生可再生能源优秀科技作品竞赛（南方赛区）在南京举行】       （记者 张千）3月30日、31日“中国中车杯”第六届全国大学生可再生能源优秀科技作品竞赛（南方赛区）在南京河海大学举行，来自科研院所、高校、企业的行业专家与参赛选手齐聚南京，共同探讨可再生能源领域的科技发展趋势。来听本台记者张千发来的报道     全国大学生可再生能源优秀科技作品竞赛是由中国可再生能源学会主办的一项具有导向性、创新性的全国性大学生课外科技作品竞赛，本届竞赛吸引全国326所高校2624支队伍报名，完成作品提交1953项，在参赛队伍规模、覆盖院校数量等方面创历届新高。     来自厦门大学能源学院的2022级硕士研究生邓翊和团队在本次大赛中，以“辐照接枝技术制备新一代功能化隔膜”为题提交了参赛作品。设计目的就是通过改进储能电池里正负极隔膜这一小部件，增加电池的持久性和安全性：“改进隔膜后，电池的快充能力在实验室阶段，大概能够提升20%~30%。比如说我们可能原来可以正常的冲上个200圈，它就衰减到80%，但我们现在可以提升到240，250这样子，还有80%或者甚至更高能量。”       中国科学院院士、中国可再生能源学会副理事长、浙江大学教授杨德仁指出，以风、光、氢、储为代表的可再生能源及新能源产业，已经成为我国重点发展的战略性新兴产业。举办全国大学生可再生能源优秀科技作品竞赛，目的是引导大学生把创新激情与国家重大战略结合起来，推进我国可再生能源领域技术创新与变革，助力我国能源结构转型与生态文明建设。       河海大学副校长郑金刚教授表示，通过高校与企业的深度合作，推动综合性、创新性人才培养，促进高校可再生能源产教融合等方面，做出有益的探索和贡献。河海大学在常州新校区成立了新能源学院，一方面强化新能源科学与工程，国家一流本科和交叉学科博士点的建设，努力培养新能源领域的高层次拔尖创新人才。另一方面将加强和中国中车、华能集团、金风科技等头部企业的合作，建设风力发电技术创新中心，水风光互补，可以科技研发平台，通过有组织的科研和国际的交流合作，开展风能、太阳能储能和智慧能源的核心关键技术攻关。立足新能源之都常州，服务全国，拥抱世界，为创造新能源领域的新质生产力提供必要的科技支撑和人才保障。        据了解自第六届起，中国中车将连续五年冠名承办该项赛事，支持竞赛向更大范围、更深层次、更高水准持续发展，激发大学生科技创新活力，为我国可再生能源领域培养更多优秀人才。本届竞赛增加了复赛环节，南、北赛区复赛胜出者将晋级在厦门大学举办的总决赛，角逐竞赛一等奖和特等奖。此次南方赛区竞赛，由中车戚墅堰机车车辆工艺研究所股份有限公司、河海大学共同协办。,0,0,1,,南京,江苏,中国
2,5018287031452682,光与爱3954,2024-04-01 09:52:06,乡村振兴在农业领域，为什么农民普遍信任有实践经验的土专家，而不是那些挂着很多头衔美誉的专家教授？为农民提供完好的一线服务，确实要有解决实际问题的能力。在农民的面前如解决不了真问题，拥有再多的书本知识和所谓的头衔真的一文不值，但用来申报所谓科研项目骗骗政府补贴倒是没有任何问题，因为某些科研项目的门槛要求及含金量很低，否则在国家层面不会每年白烧那么多科研经费……#乡村振兴##农业##三农#,0,0,0,湖南,益阳,湖南,中国
2,5017616777743494,超级岳亮,2024-03-30 13:28:45,【布莱顿】布莱顿位于英格兰南部海滨城市，标志性建筑是英皇阁(RoyalPavilion)，布莱顿以其密布鹅卵石的海滩而著称。布莱顿大学是英国实力最强的大学之一，学校的科研达到了国际先进水平，其中许多科研工作者都是该领域公认的国际级专家。 ,0,0,0,广西,,广西,中国
2,5016960267715749,BIGDROP大水滴,2024-03-28 18:00:01,#美丽觉醒计划# 【熬夜肌实验室专家访谈 | 90后配方师如何打造出700w+瓶销量的爆品】大水滴携手熬夜肌实验室，深耕熬夜肌护肤领域的科研探索成果。近期，《氧化锌-壳聚糖复合生物膜在祛痘产品中的研究与应用》刊登于《日用化妆品科学》。氧化锌壳聚糖原位成膜技术更通俗的名字——扒痘技术，运用于3点祛痘精华2.0产品中。戳视频↓↓听配方师分享更多3点祛痘精华升级背后的故事  BIGDROP大水滴的微博视频,1,1,7,湖南,长沙,湖南,中国
3,5015873664583257,抗衰老细胞科研基地,2024-03-25 18:02:15,我们是谁？“细胞科学研发（广州）基地”是中国抗衰老促进会在国内成立的唯一细胞科研实验室，基地以促进会为主导、以抗衰老为主题、以专家团队为主力，以造福民众为目的，进行细胞相关领域的知识普及、科研合作和产品转化，推动中国抗衰老产业科学健康的发展，实现科学抗衰、主动抗衰、有效抗衰。中国抗衰老促进会是在民zheng部登记注册的具有跨行业、多部门、宽学科等特点的，全国性、学术性、非营利性的一级社团组织。我们有哪些产品？1、干细胞干细胞具有多向分化潜能等多种特性，应用于数百种疾病治疗、组织功能修复、亚健康调理、美容抗衰老等领域。2、免疫细胞免疫细胞在免疫调节、抗感染、抗肿瘤等方面，具有重要的应用潜力。应用于免疫力快速提升，防癌抗癌，清除体内衰老细胞及病毒，恢复免疫细胞调控机制，达到整体抗衰老的效果。3、外泌体细胞外泌体内含有多种蛋白质、RNA、核酸等，应用于皮肤修复、敏感肌调理、促进胶原蛋白生成和毛囊再生等领域。基地实验室有哪些亮点？·GMP实验室·3000㎡GMP标准研发实验室·国际一流3D细胞培养系统·独创的“黄金体”培养技术·14位院士组成专家委员会我们的使命？以人类健康为核心，通过科学手段和综合干预，对抗人体的衰退和老化。以增强机能，促进健康，提高生命质量，延长预期寿命。,0,0,0,广东,广州,广东,中国
