页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023582402904152,月亮害怕我,2024-04-16 00:34:00,明天还要考试…该死我是不是不应该这么热情？？我是不是应该当个每天和老列聊天的人…虽然一个⭕️我退了但是试图入另一个立刻就放弃了 该死我不会搞东西 其实本来也有很大勇气进去那个地方现在搞的我有点社交恐惧症。 ,0,0,0,上海,上海,上海,中国
2,5023569220470139,yy中考日记,2024-04-15 23:41:38,明天体考今天心情不太好 压力很大 恐惧害怕幻想幸好 回家收到了小老弟的惊喜礼盒 回房间看到地上有个玩具盒 刚想骂 拿来一看里面是吃的 一问 果然是给我准备的惊喜 虽然他不知道明天我要考试但是很巧的给我了惊喜哈哈 还有妈妈给我的面包啥的 我希望顺利吧 如果没有满分 我可能。。会哭 但是青春只有一次  哭了又怎样 还不是轰轰烈烈的 青春就是这样啊  不过还没发生的先别管啦 就像图四🐒说的啦 相信自己哈哈 雨天怎么不能跑满分？？？加油加油加油！！！,0,1,0,浙江,金华,浙江,中国
2,5023562079405945,降香和光,2024-04-15 23:13:16,焦虑是因为想要的太多 实践的太少  双子就是广而不精 月双就是  所以实践起来 事情万物其实都没那么痛苦  恐惧练琴进阶 卡住很久 恐惧考试 所以不敢向前 恐惧失败 所以躺在泥坑里  恐惧意味着接受和面对 ,0,0,0,贵州,贵阳,贵州,中国
2,5023546876888847,偷坐飞船太空狗,2024-04-15 22:12:51,感觉我在20号之前都不会好了。。。每天都睡不踏实 闹钟没响我就醒了 未知的恐惧比考试这种明牌的恐怖多了 ,0,0,0,韩国,,韩国,韩国
2,5023546680279086,sonwooday,2024-04-15 22:12:03,睡不好睡不好 每天都是半梦半醒的状态 吃饭吃饭少吃点 想到五六月份的考试 好想见小狗 希望时间快点 又感到恐惧 赶紧放假 我需要睡个好觉 ,0,2,0,江西,南昌,江西,中国
2,5023544312337367,此号网络死尸存在只为卧底,2024-04-15 22:02:40,流逝的时间带走了我面对的勇气，即将到来的考试，不确定的结果这一切都让我无比迷茫，对自己充满怀疑，又或许是我从来都没学会面对吧，我想现在的我无比恐惧 ,0,1,0,河北,沧州,河北,中国
2,5023540657525278,阿佘佘啦,2024-04-15 21:48:08,我今天去考科目二（是的我终于有时间并且克服恐惧去学车了），结果设备周末被雷劈坏了，修到下午三点才开始陆陆续续有人考试，我从早上八点等到晚上八点，一整天没吃饭，手机还没电，是考场今天最后一个考试的人，而且考场居然！没有！路灯！于是我在等了一天心态爆炸、完全看不到右后视镜、清晰度巨低、几乎摸黑的情况下，用qtmd的心态，飞速一把考过了，甚至一脚油门冲到的终点，没想到锂离子还久违的有饭吃，太不容易了,0,6,10,湖南,常德,湖南,中国
2,5023519493063976,来福淘气蛋,2024-04-15 20:24:02,上学以来大大小小的考试就是peer pressure的具象化，我在一场场考试中浮浮沉沉好给自己贴上个不掉节奏的标签，我恐惧它、厌恶它、向往它、又有点离不开它 ,0,1,5,山东,菏泽,山东,中国
2,5023504483485250,星星的小够,2024-04-15 19:24:24,现在总会对高中有种恐惧感考试 对题 还有成绩太恐惧了我现在听高中熟悉的歌都有种恐惧感不知道为什么就是害怕 幸亏当初有我朋友吧没有我的朋友我都不敢想象我的高中会怎么过下去 过的得多么艰难 我讨厌高中 哪里都讨厌 老师 试题 还有各种各样的规矩 厌恶至极 到了大学一样 各种各样有威胁的规矩 恶心至极 到了那个阶段都想逃避 考完试逃不掉 好想去别的地方看看 不想束缚自己太多 但是总是忍不住束缚 想起自己还有爱我的爸爸妈妈 有感觉现在的想法对不起他们 肯定对不起他们啊好好向前看吧 让自己动起来 人总是到了没有目标的时候容易迷失自己 让自己动起来动起来…别这样麻木自己了…,0,0,0,山东,滨州,山东,中国
2,5023443936086991,汪汪队的饲养员,2024-04-15 15:23:48,刚刚，我被抽中当着几十快百陌生人在讲台上答题，关键还正好是我请假去考试所以没听的那个题型，答着答着快碎掉了从小学开始国旗下的演讲，到现在已经大学毕业了，还是克服不了在人前表达的恐惧 ,0,5,2,湖南,,湖南,中国
3,5023359561632927,盘面要对照,2024-04-15 09:48:32,获利最丰厚的地方就是有色，所以这个方向调整的时候，也就是迎来考试的时候。小考中，不过最大的地缘事件已经告一段落，早盘资金这么干就是在放大恐惧，不要怕，不要慌，此刻是情绪跟风，等下就好。,0,9,25,浙江,宁波,浙江,中国
3,5023339083207394,咬一口芒果Mango_,2024-04-15 08:27:09,闹钟响了躺在床上 今天请了半天假 要去做一件很重要的事情 教资现场认定  一直没有想好要不要当老师 感觉自己能力不足 有一种恐惧感 这个考试伴随了我大概四年的时间 中间因为疫情拖沓了好久 好些次都想要放弃 但最后还是坚持了下来 即使在上班很累 也还是坚持了 不管怎么样 努力过了 也收获了 继续加油吧,0,0,0,山东,青岛,山东,中国
3,5023329700545255,鱼鱼鱼风_,2024-04-15 07:49:52,好喝好吃 好饱 好困💤 疯掉的考试周 谁来救救我呀 不想考试 现在都开始社交恐惧症了 不想和别人交流 也不想别人注意我 又很渴望别人在意我 ,0,3,0,广东,肇庆,广东,中国
3,5023223787815972,Violetbulegreen,2024-04-15 00:49:01,不想读研的欲望越来越强烈。觉得上大学简直就是一场无解的骗局，手机上推送的是各类精讲课冲刺班模拟卷报名，学校里到处贴的是留学申请雅思托福集训，不断激发着中国学生内心中最恐惧的那个声音：啊啊啊这要是没学上可咋办呀？升学考试中衍生出的蓬勃产业链形成了闭环，从这产业链走出的人又转过头去收割着下一批学生和家长，源源不断，无限循环。而付出了大量时间精力金钱后得到的回报却是十分有限的。整个本科阶段对我来说具有启发性作用的或者说是可以称得上有意义有收获的课程一共不超过三个，大多数的专业知识我更愿意自己去看书或者找网络资源自学。而社会上真正需要的能力恰恰是在学校里学不到的，如何去思考一个问题，如何去表达一个观点，如何去处理人与人之间的关系…这些不应该远远比那些空话重要的多吗？我想早点就业，真不想一再推迟进入社会的年龄，学校这个象牙塔我已经待够了！,0,0,1,湖北,武汉,湖北,中国
