页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023367447184656,叙州之窗,2024-04-15 10:19:52,【#北京最高规格职业技能大赛今起报名#：共140项竞赛】#北京技术人员月平均薪酬中位值超1.2万元#4月15日，据北京市人力资源和社会保障局，北京市第六届职业技能大赛正式启动。此次大赛是本市规格最高、规模最大、影响力最广的综合性技能盛会，大赛分三大赛道140个竞赛项目，今天起面向全社会接受报名。 ,1,0,0,,宜宾,四川,中国
2,5023364869002916,形象顾问王静,2024-04-15 10:09:37,服装零售终端的店长导购职业技能的考评完善，是跨时代的，具有历史意义。这个职业技能的具体化，岗位等级考核以及岗位职称和工资薪酬都相应的落地。一步步走向职业化、专业化、能力化、标准化。2024鄂尔多斯西安站《风格&amp;体型》@QQ浏览器  网页链接,0,0,1,山西,太原,山西,中国
2,5023364193716896,旺聚晨职业教育,2024-04-15 10:06:56,"国家人力资源和社会保障部这几年对职业技能等级企业人力师，劳动关系协调员，物流服务师等考试做了很多政策调整，逐级申报，考试方式改革，提升申报年限，去年严厉打击违规跨级,不符合条件等行为，处理机构，吊销已发证书。不难看出国家对考试重视程度，即将实行的全国联考，使得职业技能认定规范化，严格化，从而提高考试证书的含金量，早考早受益，避免走弯路。",0,0,0,北京,北京,北京,中国
2,5023355986247747,时间财经,2024-04-15 09:34:18,【#北京最高规格职业技能大赛今起报名#：共140项竞赛】#北京技术人员月平均薪酬中位值超1.2万元#4月15日，据北京市人力资源和社会保障局，北京市第六届职业技能大赛正式启动。此次大赛是本市规格最高、规模最大、影响力最广的综合性技能盛会，大赛分三大赛道140个竞赛项目，今天起面向全社会接受报名。凡16周岁以上、法定退休年龄以内，在本市学习或工作满1年以上的，均可报名参赛。其中，世赛项目参赛选手要求年龄在22周岁以内（机电一体化项目在25周岁以内）。参加国赛项目选手应为相应职业从业人员。,0,0,3,,北京,北京,中国
2,5023353553552710,顺义人社,2024-04-15 09:24:39,人社资讯 | 北京市第六届职业技能大赛正式启动 ,0,0,0,,北京,北京,中国
2,5023352632640641,天津市总工会,2024-04-15 09:21:00,【姜亚男：“金牌月嫂”呵护母婴健康】姜亚男用她的专业知识和贴心服务得到了客户的一致好评，获得2023年全国最美家政人荣誉。2016年9月，姜亚男取得高级母婴护理师证，工作中她不断加强专业理论知识学习，取得营养师（高级）、催乳师（高级）、小儿推拿师（高级）等多项职业技能证书，2018年8月考取金牌月嫂。作为一名新就业形态劳动者，姜亚男在工作中尽职尽责，不断提升自己的业务水平，用真心、诚心、爱心感动每一位客户。#劳模风采# （来源：天津工人报）,0,0,0,,天津,天津,中国
2,5023349938063219,中国社会报,2024-04-15 09:10:17,#全国民政行业职业技能大赛# 【湖南：鼓舞更多民政领域服务人才钻研技能、提高技能】近日，湖南省民政厅、省人力资源和社会保障厅、省总工会、省妇联联合举办民政行业职业技能大赛。来自全省14个市州的137名选手使出“看家本领”和“拿手绝活”，呈现了一场精彩的技能视觉盛宴。本次大赛设置了养老护理员、遗体火化师、公墓管理员、假肢装配工、矫形器装配工等5个竞赛项目，是湖南民政行业竞赛规格最高、竞赛职业最多、影响力最广的综合性赛事。通过理论知识和操作技能竞赛比拼，最终评选出一等奖7名、二等奖14名、三等奖20名。据了解，本次大赛对获得竞赛综合成绩第一名的选手，经省人力资源和社会保障厅核准后将按程序授予“湖南省技术能手”。对符合条件的养老护理员综合成绩第一名，按程序向省总工会申报推荐“湖南省五一劳动奖章”。对综合成绩第一名、符合条件的女性选手，按程序报请省妇联认定为“湖南省巾帼建功标兵”。湖南省民政厅有关负责人表示，培养数量充足、素质优良、技能精湛的高水平、高标准、高素质的民政技能人才直接关系到可知、可感、可得的服务供给，是推进民政事业高质量发展的重要保障。此次大赛充分体现了全省民政工作者为民爱民的服务理念、精益求精的工作态度和专业精湛的技能水平，扩大了民政行业的社会影响力。各级民政部门要充分发挥大赛的引领作用，鼓舞更多民政领域服务人才钻研技能、提高技能，努力为广大民政服务对象提供更加优质、高效、专业的服务。 （记者  王铭  通讯员  蒋鑫）,0,0,0,,北京,北京,中国
2,5023346775295904,淄博人社,2024-04-15 08:57:43,人社政策知多少丨职业技能培训与专业技术人员继续教育篇网页链接 ,0,0,0,,淄博,山东,中国
2,5023345273471741,FM1067私家车广播,2024-04-15 08:51:45,#1067喇叭花快报# ▲记者从淄博市人力资源和社会保障局了解到，近日我市公布了2023年度“淄博市技术能手”名单。122名竞赛优秀获奖选手通过“以赛代评”方式从职业技能竞赛中脱颖而出，被选拔为“淄博市技术能手”。 ,1,1,1,,淄博,山东,中国
2,5023310165574751,河南省总工会,2024-04-15 06:32:15,　　开封市第二届职业技能大赛举行　　4月12日至14日，开封市第二届职业技能大赛举行，来自开封市10个县区和部分职业（技工）院校的20个代表团、638名选手同台竞技，纷纷亮出绝活，展现出了扎实的技术功底和精益求精的工匠精神。据悉，这是开封市目前规格最高、赛项最多、规模最大的综合性职业技能竞赛活动。　　本届大赛以“勇做技能人才先锋，绽放开封工匠风采”为主题，由开封市人民政府主办，开封市人力资源和社会保障局承办。大赛采取“1个主赛场+3个分赛场”模式组织，主赛场设在开封技师学院，分赛场设在河南化工技师学院、河南医药健康技师学院、开封市文化旅游学校。大赛围绕“六大片区”建设、重点领域职业（工种）、技能岗位用人需求等方面，遴选设置了70个竞赛项目。其中，世赛选拔项目40个，国赛精选项目30个。这些比赛项目具有较强的通用性、广泛性、引领性，所有比赛项目均服务于实体经济，近三成为先进制造业项目，超六成的赛项为战略性新兴产业项目。（记者 王静）,0,0,0,,郑州,河南,中国
