页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022650324485230,脆花小骨肉,2024-04-13 10:50:16,#跑步日记#累死做了个摸底十公里，不考虑心率也不过如此了。我发现人只要曾经取得过成绩，就很难正确评估自己当前的实力诶，开始几公里进7分，后面累成狗，摸底对于自我评估纠正非常有必要！本来想7点起来跑步，但瞌睡实在香，由于意志过于强烈，导致我迷迷糊糊梦到自己去跑步了，还遇到个跑步明星，不过一低头，发现没涂防晒，该醒了。跑完最强烈的感受是，我需要冰水，我就像是沙漠里走了20天那么需要冰！至于为什么这么晚顶着烈日跑，我想是为了做耐热训练（本人很擅长自我宽恕）。,0,1,1,四川,成都,四川,中国
2,5022639261221422,OpenHotels,2024-04-13 10:06:19,开酒店：消费与投资，虽同是花钱，却蕴含着不同的逻辑。消费，重点在于自我满足，只要喜欢，无需顾及他人眼光，钱花得开心就好。而投资，则是期望今天的花费能在未来带来更多回报。在投资时，我们必须深思熟虑，思考未来谁会成为我们的买家，理性客观地评估每一分钱的投入是否会受到未来客户的喜爱。切勿仅凭个人喜好进行投资，误以为消费者的口味会与自己相同，这种天真的想法可能导致未来的投资失败。若因个人决策失误而蒙受损失，切勿责怪他人，应自行承担后果。,0,0,1,广东,广州,广东,中国
2,5022588869280221,Rose0591,2024-04-13 06:46:04,读书小来早晚安心语  卡罗尔·德韦克（Carol S.Dweck），美国心理学家，率先提出“成长型心态”理论，该理论鼓励学童积极评估及发展自己的潜能，在教育界影响深远。代表作有《终身成长》《自我理论：它们如何影响动机、人格与发展》《努力的意义：积极的自我理论》等。 ,0,0,0,上海,上海,上海,中国
2,5022565950816347,恒悯恒悯,2024-04-13 05:15:00,面对更多考验的时候，还要时时提醒自己内心的平衡、处事的从容、心地的大度和情怀的宽阔。能够更客观的自我评估、自我定位、自我反思和自我优化，培养自己一个更良好的内心情怀和行为表达。分享一组盛开的油菜花。#不一样的中国节气##随手拍禅意# ,1,1,1,河北,沧州,河北,中国
2,5022433918847860,Niko爱化妆,2024-04-12 20:30:21,自我评估：你的脸型适合长头发还是短头发？。。 . 发型  测评   脸型测试。 . ,0,12,0,,,,
2,5022413232276101,babyonemonth,2024-04-12 19:08:09,一个自我价值感高一点的人 他可能夸张一点 是什么表现呢 嗯 不夸张的表现就是这个人在生活中 他是能够客观的认识自己 能够正确的评估自己 嗯能够看清楚真相是什么 能够不被自己的经验所局限 嗯 能够相信自己本身就是值得被爱 值得被重视的 就是一种很强烈的值得感 这就是一种自我价值嗯，世界是孤独的，但我也认为我是有价值的,0,1,0,广东,肇庆,广东,中国
2,5022392999216814,异次元的城市,2024-04-12 17:47:45,网页链接  搞得我又期待又害怕，说自己以后要拍科幻电影那肯定是剧拍的自我评估还不错吧是的吧？别给家人们拉托大的 ,0,0,0,美国,,美国,美国
2,5022381616139818,心理健康小白,2024-04-12 17:02:31,MBTI是一种人格类型理论模型，是一种迫选型、自我报告式的性格评估测试，用以衡量和描述人们在获取信息、作出决策、对待生活等方面的心理活动规律和性格类型。MBTI测试有助于更好的了解自己和实现职业目标，更深入自己的优点缺点。可以帮助做出更明智的选择和决定，更好地与他人沟通，建立更友好的关系。测试入口：网页链接,1,0,0,河南,郑州,河南,中国
2,5022380984369534,Chiri有7个哩,2024-04-12 17:00:00,有些兴趣，我先自我评估一下//@成伤MK2:Repost,4,0,1,日本,,日本,日本
2,5022359428533835,非主流教育专家刘博士,2024-04-12 15:34:21,我的马甲是 @大熊湖的春天   请自我评估一下你享用的教育资源：  1.中国的教育资源一共18级别，你的孩子上的中国第几级别的学校  2.你孩子的班主任是什么学历  3.孩子的班主任拿正眼看你吗  4.在学校以外的地方，你的孩子能接触到多少博士（看病时遇到的医生除外） ,1,0,2,上海,,上海,中国
