页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023142659752636,舒克dy,2024-04-14 19:26:38,昨日南京城市记忆民间纪录团第695期活动“山·风情”系列“雨花行”之二，继续聽原雨花台区文旅局局长朱向东先生的《华台高座·诗行雨花》讲座第二讲，雨花区域内的考古发现与人文研究，大家收获满满，纷纷赞扬并感谢朱局的研究成果与分享…… ,0,0,0,江苏,南京,江苏,中国
2,5023118429523962,广州市白云区图书馆,2024-04-14 17:50:21,#阅读活动# 4月12日-14日，白云区图书馆组织开展“绘沙画 阅世界”、亲子绘本故事会、“世界之窗”、应急科普讲座、“鉴古今，阅中国”系列观影活动等5场活动。 沙画艺术体验活动通过以沙绘画的形式，向读者分享阅绘999推荐书目《飞船升空了》，让孩子了解到航天事业的发展，培养孩子对航天科学知识的兴趣，激发孩子们崇尚科学、探索未知、敢于创新的热情；亲子绘本故事会用幽默风趣的语言与读者分享《当死神遇到鸭子》，带领读者一同探索生命的奥秘，感悟生命的意义，促进亲子间的关系；应急科普讲座从癫痫、脑卒、心绞痛、哮喘等常见急性病的发病症状，向读者科普使用肾上腺素笔对患者的急救方法，培养了读者的急救意识，提高其应急水平；“世界之窗”通过互动、游戏等方式向读者们介绍了四首情感基调各不相同的英文歌及其优秀作者，教导读者树立面对困难，积极抗争的价值观；“鉴古今，阅中国”系列观影活动通过演绎文物背后的故事与历史，让读者了解文物所承载的文明和中华文化延续的精神内核。活动形式多样，内涵丰富，深受广大读者的喜爱。区图书馆将继续以群众喜闻乐见的形式，推广普及全民阅读文化，营造“爱读书，读好书，善读书”的浓厚书香氛围。,0,0,0,,广州,广东,中国
2,5023113758902798,幻化成风薇Kelly在线吃瓜看戏,2024-04-14 17:31:48,有大神再讲讲鸦片战争开始到结束吗？从第一次鸦片战争开始讲，弄个系列讲座，发各平台，谢谢。俺喵星人必须要帮大神转赞评。俺喵星人觉着有必要重复回顾一下那段屈辱的历史。 ,0,0,0,山东,,山东,中国
2,5023113427288080,触电新闻湖南,2024-04-14 17:30:28,【#48套绝美粤剧戏服亮相广州#！带你“沉浸式”体验非遗文化魅力】2024年4月13日，“粤剧文化推广季”在广州市文化馆中心阁拉开帷幕。本次“粤剧文化推广季”系列活动，持续时间长达4个月，不但有48件套璀璨精美的粤剧戏服展览，还将举办20多场粤剧专题讲座和10多场主题表演，让游客沉浸式体验粤剧魅力。网页链接 广东台触电新闻的微博视频,0,0,0,,广州,广东,中国
2,5023102944415323,十三豆女士,2024-04-14 16:48:49,最近上海图书馆举办了系列讲座“何以上海”今天是第五讲，复旦大学研究者和写作者张伟国先生的“近代海派大学的校园特征和文化传承”整个讲座以复旦大学的前世今生为例，中间穿插了百年来围绕当时的文化，社会，办学理念讲述了海派文化的形成基础，海派文化的创新与包容，海派文化与社会名流的关系，正是当时上海以包容的胸怀接纳了社会的各种思想，各种做派，各种人物，才形成了今天海派文化的独具特色。才有蔡元培，徐志摩，辜鸿铭，李登辉，毛言文，马相伯，李权时，陈望道，靳以，刘海粟，于佑任等等，各具特色的人物，使海派文化得以发展，壮大，形成自己的特点，开放包容，多元创新，规则契约是百年来海派文化的灵魂和特点。也是上海一百年来从一个小县城发展成为国际大都市的文化根本。讲座结束后自由提问环节，我问了张老师一个问题:海派文化未来发展前景如何？张老师回答到:尊重历史，保留历史，希望政府领导到校园去，到知识分子中去，多听听专业人士的呼声，以世界主义的广阔胸怀，摒弃狭隘的民族主义，包容历史，包容不同，包容未来，海派文化才能发扬光大，真正引进中国的未来。 是啊，一个国家，一个城市和一个人的人生是何等相似，只有多元并举，才能色彩斑斓，只有铭记历史，展望未来，才能走的更远更好，只有不断吸收个各民族，各个国家的精华，摒弃糟粕，才能发展壮大，所向披靡。愿海派文化永远有自己的鲜明特色！,0,4,1,上海,,上海,中国
2,5023052905317445,凃志初,2024-04-14 13:29:59,📣📣📣#讲座预告#2024“藏龙计划”- 藏龙讲坛系列讲座 |视觉艺术设计学院｜《数字时代：多感官体验》主讲：Ronnie Deelen 英国皇家艺术学院 信息体验设计（IED）研究生导师、音乐艺术家，讲座时间：2024.4.15(周一）下午14:00，讲座地点：@湖北美术学院 藏龙岛校区A9-207 @湖北美院设计系 #观念思考#@靳叔_靳埭强@肖勇设计@韩湛宁 @杨一峰-@杨超设计@Hello狮先生@设计老铁 @工艺志@最美字体 #设计美学# 凃志初的微博视频,3,0,3,湖北,武汉,湖北,中国
2,5023020993219235,乐生活在贵州,2024-04-14 11:23:11,#贵州移动健康黔行# 【名医问诊面对面 数智健康零距离——贵州移动“健康黔行”名医讲座】为积极推动“健康中国行”活动深入贵州，全面助力“银发康养数智化”生态发展，贵州移动特举办“移动爱家·健康黔行”系列公益活动。4月13日，活动第一期《心脑血管疾病知多少》名医讲座在贵阳开讲。 名医问诊面对面 数智健康零距离——贵州移动“健康黔行”名医讲座,0,0,0,贵州,贵阳,贵州,中国
2,5022982945374247,广东广播电视台城市之声,2024-04-14 08:51:58,“粤剧文化推广季”系列活动启动 广州市文化馆邀你共赏粤韵璀璨风华“粤剧文化推广季”系列活动在广州市文化馆开幕。本次“粤剧文化推广季”将持续到8月底。在此期间，广州市文化馆将推出30余场粤剧主题相关活动，包括粤剧传统服饰展览、粤剧主题讲座、情景式展演、粤剧基本功展示、非遗在校园成果演出等，多角度展现粤剧文化及其在当代的传承发展情况，为市民游客带来丰富多彩的粤剧文化盛宴。开幕式活动上，一场别出心裁的粤剧传统服饰秀让现场观众大饱眼福。《刘金定斩四门》中的刘金定、《杨梅争宠》中的杨玉环、《白蛇传》的法海……来自广东舞蹈戏剧职业学院粤剧学院的学生装扮成经典粤剧中的人物，通过服饰秀展示了20多种粤剧传统服饰。来源：金羊网微博编辑：王枬“粤剧文化推广季”系列活动启动 广州市文化馆邀你共赏粤韵璀璨风华,0,0,2,,广州,广东,中国
2,5022962972099542,山东省历山监狱,2024-04-14 07:32:37,为充分发挥中华优秀传统文化在罪犯改造中潜移默化、攻心治本的作用，近期，历山监狱举办“新美大讲堂”春季文化教育系列讲座，收到良好效果。以文化人 春暖新生 ,0,0,0,,淄博,山东,中国
2,5022838415165942,雄安发布,2024-04-13 23:17:41,【明智化城市规划——学习新加坡经验系列讲座开讲】#雄安发布# 为深入贯彻落实雄安新区2024年工作会议精神，进一步增强新区干部“世界眼光”，4月12日，“雄才大学堂”举办学习新加坡经验系列讲座第一讲，特邀新加坡著名规划大师刘太格先生、新加坡墨睿设计事务所董事欧克男女士，以“明智化城市规划”为主题进行授课。雄安新区党工委副书记、管委会副主任李涛主持讲座。雄安新区党工委委员，雄安中院院长、雄安检察分院检察长、新区公安局局长，雄安集团领导班子成员参加此次培训。 明智化城市规划——学习新加坡经验系列讲座开讲,0,0,0,,石家庄,河北,中国
3,5022461991060678,文史令官,2024-04-12 22:21:54,复旦佛学系列讲座 | 张文良：大乘佛教与生死学构筑！ 文史令官的微博视频 ,40,2,22,陕西,延安,陕西,中国
