页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022417342962100,襄城县新华书店,2024-04-12 19:24:29,襄城县新华书店“最美读书声”朗读志愿服务队走进库庄镇刘庄中心小学开展“绿色点亮生活健康护佑生命”主题实践入校服务活动，给孩子们上了一堂生动有趣的“趣味学农”课程，课堂上孩子们踊跃发言与老师互动，增涨了对农业的科普知识，收获满满#襄城县新华书店##最美读书声##入校服务##研学# 襄城县新华书店的微博视频,7,60,5,河南,,河南,中国
2,5022390230188361,学院奖,2024-04-12 17:36:44,#学院奖2024春季征集大赛##创意星球大讲堂##有情有趣不止一套# 春日邂逅浪漫春城🌸 杰士邦今日抵达云南民族大学👩🏻🏫线下课堂开讲啦📣📣 品牌代表现场解析命题，创作灵感持续加码📈 场外高颜值互动专区解锁互动新花young @杰士邦官方微博 @健之佳 ,50,5,189,,南京,江苏,中国
2,5022389165097577,安庆经开公安,2024-04-12 17:32:31,4月12日，@安庆经开公安 菱北派出所民警走进辖区幼儿园开展“国家安全 一路‘童’行“国家安全教育日主题活动。课堂上，民警通过播放视频和互动游戏的方式，用通俗易懂的语言向孩子们讲解了什么是国家安全，以及防拐骗、交通安全常识，让小朋友们更直接、更生动地了解安全的重要性，使小朋友从小树立法制观念。@安庆公安,0,0,0,,安庆,安徽,中国
2,5022308512564021,进击的蛋挞超人,2024-04-12 12:12:02,特别害怕课堂互动 秒变i人 ,0,0,0,浙江,杭州,浙江,中国
2,5022305686129752,河南青年时报,2024-04-12 12:00:48,【家校共育，#郑州西流湖小学开启首届家长开放日#】春意盎然，爱意绵长。郑州市中原区西流湖小学迎来了首届家长开放日。4月10日上午，家长们带着期待与好奇，踏入了充满爱与智慧的校园。课堂上，孩子们聚精会神地听讲，与老师们积极互动，展现出对知识的渴望和对学习的热情。家长们坐在教室后排，感受着轻松活泼的课堂氛围。作业展上，孩子们的作品创意无限。家长们欣赏着孩子们的作品。在阳光的照射下，孩子们整齐有序地来到操场进行课间操活动。午餐时间，家长参观了完整的配餐过程，感受到了学校对孩子们饮食健康的用心。在互动交流环节，家长们认真填写意见反馈单，对学校发展提出宝贵意见，校长付景洋和家长代表共同探讨孩子的成长之路。这一刻，家校之间建立了深厚的联系，共同为孩子未来助力。（记者 弯文奎）W,0,0,0,,郑州,河南,中国
2,5022300358838678,马鞍山警方,2024-04-12 11:39:38,#普法课堂# 【勤宣讲  重防范】4月12日，@含山警方  昭关派出所联合交管大队组织民警进社区，与环卫工人面对面“零距离”开展普法宣传教育活动。通过观看普法宣传视频、互动问答等形式，积极宣讲交通安全、反电诈、防范经济犯罪、禁毒等知识，给广大群众送去安全防范“大礼包”，着力提升群众防范意识。,7,7,5,,马鞍山,安徽,中国
2,5022299197276537,新疆反走私,2024-04-12 11:35:01,【科普进校园  “童”心守国门】近日，龙吴海关关员走进上海市长宁区哈密路小学，开展国门生物安全进校园活动。活动中，海关关员通过国门生物安全知识小课堂、知识竞答等互动小游戏，为学生们科普国门生物安全知识。海关发布的微博视频 ,0,4,5,,乌鲁木齐,新疆,中国
2,5022297935317898,海关发布,2024-04-12 11:30:00,【守护国门，童心同行】4月9日，沈阳海关关员走进沈阳市浑南区第九小学，举办“国门生物安全小课堂”。通过现场讲解、动画演示、标本展示、互动问答等多种形式，普及生物安全法、出境旅游传染病防控、外来物种入侵防范和“异宠”危害等知识。 海关发布的微博视频 ,1,0,0,,北京,北京,中国
2,5022290456873288,Susan教英语,2024-04-12 11:00:17,在家开口309 开口神器3步法。 搞定语法，发音，复述，演讲，以及和英语启蒙相关的一切 准备好具体问题来现场互动哦，无回放#微博课堂#  Susan教英语的微博直播 ,2,8,11,北京,北京,北京,中国
2,5022289248913210,三锅是拿来回忆的,2024-04-12 10:55:29,合生元百分妈妈课堂#小合育儿日历#高需求宝宝如何呵护？ 回应宝宝的需求，尤其是哭声，及时给予关爱和安慰，有助于构建宝宝的安全感，对其心理健康发展至关重要。同时，积极的情感互动能够促进宝宝的社会情感技能发展。 ,0,0,0,四川,南充,四川,中国
