页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023165147251583,人生书香引,2024-04-14 20:56:00,樊登今天看了马云的“重回课堂”教育演讲。心力、脑力、体力；眼光、胸怀、实力；情商、智商、爱商；儒家、佛家、道家。儒家讲究改变自我，适应社会。佛家注重养心，世界这么乱，把自己的心养好。道家寻求万事万物的规律。体育：运动的参与，孩子们能够学会团队精神，学会如何有风度的竞争，如何面对失败。下棋：孩子能够学会格局和取舍。绘画：不是画的非常像什么，而是孩子敢于想象。音乐：能够启发人的灵感。书法：培养人的定力。每一个孩子都是与众不同的、独特的，优秀的老师、优秀的领导者，能够发现下属或者学生他们自己都不知道的自身优点。,0,0,0,甘肃,,甘肃,中国
2,5023015522537687,橘园除虫防害卫士,2024-04-14 11:01:26,#鞠婧祎千香引# jjy#鞠婧祎姜黎非# 【0414🌞小课堂】血脂是指血浆中的胆固醇、甘油三酯和类酯如磷脂的总称。与临床和疾病密切相关的血脂成分主要是胆固醇和甘油三酯，其他的还有磷脂以及与白蛋白结合的游离脂肪酸。血脂是人体必需的营养物质，参与机体新陈代谢，其中甘油三酯是能量的主要来源，而胆固醇则主要用于合成细胞膜、类固醇激素和胆汁酸，磷脂亦是细胞膜的主要组成成分。血脂不能溶于水，必须与特殊的蛋白质（载脂蛋白）结合形成脂蛋白，才能溶于血液并运输至组织进行代谢。,834,2634,1572,江苏,苏州,江苏,中国
2,5023126113747891,温柔坚定刘小满,2024-04-14 18:20:53,我们团队的少儿财商公益课堂已经举办到第十二期啦，目前深圳，长沙，杭州，北京，郑州，洛阳都有我们的少儿财商桌游线下举办活动，每周一期，以上城市的宝妈宝爸们想参加的话，可以私聊小满给你分配合适的团队参与喔 ,0,0,0,广东,深圳,广东,中国
2,5023060461617863,常州网,2024-04-14 14:00:01,【金坛中小学生综合实践基地开启“元宇宙”课堂】4月13日上午，一场神奇的“元宇宙”探索体验课在常州市金坛中小学生综合实践基地开讲。华罗庚实验学校小学部、儒林实验学校小学部、五叶小学五年级部分学生共120人参与体验课程。课堂上，孩子们佩戴上VR交互设备置身于数字世界。他们有的化身潜水员去深海观察动植物和矿物，有的来到航天发射场近距离观摩火箭发射全过程，有的走进原始森林参与生物多样性收集实验……丰富多彩的课程单元，虚实结合的奇幻体验让孩子们惊叹不已。金坛中小学生综合实践基地开启“元宇宙”课堂,0,0,0,,常州,江苏,中国
2,5023049869692272,任丘司法行政,2024-04-14 13:17:55,#普法课堂# 【微电影｜爱情“防线”】青年技术员王明在学术论坛偶遇女性“大牛”，一见钟情、心生好感，殊不知她真实目的竟是王明参与的保密项目数据。王明在铸成大错前悬崖勒马，主动拨打12339举报，不仅未构成间谍行为，还被公司给予了奖励……国家安全无小事，每个人都应该擦亮双眼、识别套路、守住防线，成为国家安全的宣传者和践行者。#间谍窃取我国杂交水稻亲本种子##全民国家安全教育日# 最高人民检察院的微博视频,0,4,4,,,河北,中国
2,5022836098077546,白鹿my宣控令,2024-04-13 23:08:28,🚩宣有话要说‼️【科普】‼️今天我们开始茸鹿课堂的第二课吧～什么叫鉄粉？宣控发的【快速冲鉄9999+】是什么意思？如何🐏鉄？明明互动了却不显示鉄粉怎么补救？当你与白鹿多次产生互动时，你会有一个【鉄粉】后缀。当10个鹿茸在白鹿的微博下互动时，会显示【此条微博有10个鉄粉参与互动】。鉄粉显示的上限是9999，超过这个上限，就会统一显示【9999+】我们的目标是提高速度，半小时内达成【9999+】我们需要做的是:1⃣️白鹿发微博，迅速评论增加鉄粉数2⃣️切耗评论，能者多劳3⃣️多多补耗，提升速度简单来说：了解定义、重视速度、贡献鉄粉#白鹿#,21,53,136,江苏,宿迁,江苏,中国
2,5022835947604590,君子和而不同999,2024-04-13 23:07:52,平等和开放的英国剑桥大学。课堂上同学可以直呼教授名字，还被鼓励质疑和探索。如果学生对教授的观点持反对或批评意见，可以大胆提出来，不用担心受到指责。教授们是知识的引导者和讨论的参与者，而不是权威的象征。教育不是单方面的灌输，而是思想的自由碰撞，是传承智慧和知识之地。 君子和而不同999的微博视频,10,7,31,辽宁,葫芦岛,辽宁,中国
3,5021641110718362,MonashUni澳大利亚蒙纳士大学,2024-04-10 16:00:01,📖在蒙纳士英语课程中，释放你的英语技巧潜能！你将开启一段适应不同英语水平且极具变革性的语言学习之旅，并为你提供升读世界排名前50大学的最佳途径*。✏️蒙纳士英语课程的核心是文化沉浸。我们为学生提供一个全新的视角以及参与课堂内外社区活动的机会，增强你的语言学习体验。我们的课程帮助你开拓一条在教育和职业生涯脱颖而出的新道路，你将收获对所选学科领域内在学习和工作方面的信心。🌳不要错过在澳大利亚顶尖校园中学习的机会。我们的校园设施、环境、科技、图书馆和社交活动都享有赞誉。在全球排名第四的最佳留学城市——墨尔本开启你充满活力的学习生活吧！*2024年QS世界大学排名第42位。2022-23年《美国新闻与世界报道》全球最佳大学排名第37位。点击链接了解蒙纳士英语课程的更多详细信息：网页链接 MonashUni澳大利亚蒙纳士大学的微博视频,9,4,66,上海,上海,上海,中国
3,5022640771435043,君兒要紧握林的手,2024-04-13 10:12:19,有幸参与2.5巡，有幸加入张老师的教学小课堂，我们三巡见，永远保持热爱,0,0,0,广东,东莞,广东,中国
3,5022418730485983,云南平安高速,2024-04-12 19:30:00,#高速交警微课堂#【交通法规小课堂——严禁货车超载】  货车超长、超高、超宽载货都极易造成严重的交通事故，对自己和其他交通参与者的出行安全都带来极大的隐患，请广大驾驶人切勿抱有侥幸心理，别让“载货”成了“载祸”！晚安 ,2,607,385,,昆明,云南,中国
