页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4925523979671359,Annie后花园,2023-07-20 10:24:51,#2023年阅读记录# 《王东岳东西哲学启蒙课》 王东岳的观点很新奇，比如老子是白化病患者，第一次听说。感觉自己历史方面的欠缺，对于理解课程造成了一定的障碍，急需补课。另外，对我个人而言，听书的效果不如看书，尤其这种严肃课程，看的过程就在消化，而听书不留神就错过了关键信息，要反复拉进度条确认。,0,0,0,北京,北京,北京,中国
2,4921362630837112,汉字淘古,2023-07-08 22:49:07,比如说，你有10元钱，你没有用来买某商店的货物，你声明这笔买卖不成并不是要商店倒闭。一样。咱们在学校里没有逻辑课，所以，难理解西方的逻辑。看来，学校的课程安排的不科学，的确对咱们的科技进步构成了障碍。,0,0,0,广西,南宁,广西,中国
2,4916813421085722,笨笨熊573220271,2023-06-26 09:32:12,任朝彦老师《专业客户沟通技巧与客诉应对能力提升》课程圆满完成！        企业的价值链其实是客户链，如何与客户链上的供应商、客户、合作者进行有效的沟通决定企业日常工作的效率，也决定了企业的绩效。本课程让学员克服对外沟通过程中的障碍、掌握客户需求的正确理解和把握方法以及应对客户投诉与不满的处理方法。,0,0,1,广东,东莞,广东,中国
2,4907339150263089,我是江湖夜雨,2023-05-31 06:04:50,怎么破除知道和掌握存在的障碍，让你的生活发生变化，往好的方向发展？这里提供一种方法，我是从公众号我是路之上看到的。结合我的理解，把这方法分享给你。这种方法，有五个步骤。我就把它叫做五步法。什么是五步法。让我一一道来。第一步，多读书多上课程。书本或课程，是作者几年几十年，人生经验的总结，他们把他们对人生的思考，通过文字的形式，展现在我们的眼前。我们只要花几个小时的时间，就可以经历一遍别人几年几十年经历过的事，看到他们的心路历程，看到他们的思想成长之路。我们在短时间内，就可以学到很多新的知识，新的思想。,0,2,0,福建,龙岩,福建,中国
2,4889685031916093,我还是开了秘密花园,2023-04-12 12:53:40,四六级 来咯，昨天晚上直播看了智鸣哥语法课。语法，永远的障碍，但跟着学就还好可能也有点以前的基础，但还是有些从句的要点没理解的得等会儿再看课程回放打点那补充知识了。 其实一看还蛮好，后面就走神了一下就乱了，只有定从比较了解#四六级一笑而过##四六级# ,0,1,1,广东,广州,广东,中国
3,4881868280041401,凌波力,2023-03-21 23:12:41,today 2011。在佛州时候大学课程里美术课是我听力障碍最严重的，不知道老师在说什么透视之类的，根本听不懂，但也是最容易理解老师意思的课。现在可能还真不一定画得出来比例不那么失真的透视了,0,0,0,上海,上海,上海,中国
3,4873078523302296,永远想不出要起个什么名字好,2023-02-25 17:05:20,昨天上课，老师问为什么九几年的时候只有中度障碍学生的课程标准，没有轻度和重度的。没有轻度的很好理解，程度轻的都去普校了。那重度的呢？大部分被家人用铁链拴在家里。因为最近上课老是思绪胡乱飘所以我就突然想起来小时候镇上有一个“傻子”，大家都叫他“康傻子”我只知道他名字好像是叫“康小明”。现在一想，这不就是我现在专业面对的对象吗他家和我家离得还挺近，在一条街上。他妈妈智力也有点问题，不过可以正常生活，交流，还有一个哥哥，智力没有问题。瘦削的脸，脸上也是脏脏的（听说他妈妈总是让他洗脸，但是他不愿意洗）很凌乱但是会时不时剪短的头发，不合身的黑到包浆的衣服，里一层外一层的叠穿着，手里总是拎个塑料袋，放着他的“收获”，笑的时候总是会露出那几颗不齐全牙，走道的时候拖拉拖拉的。他白天就在大街上到处走，谁家办酒席他就去要点吃的，每天都“呵呵”的笑，但我很清楚的记得，我看见过他哭，也看见过他很沉默的时候。有的时候他也会被一群小孩欺负，我是怕他的，不敢靠近他。我也是后来才知道原来他还有家，还离我家挺近。冬天他每天都会回家，夏天的时候会偶尔很多天自己在外边睡觉。他是一个“流浪汉”但是他每晚回家我站在院子里都能听到他大声的敲门喊“妈妈开门”后来，我突然有一天想到了他，问了之后才知道，他已经去世了。,0,0,0,江苏,南京,江苏,中国
3,4870270253273367,十一点自由,2023-02-17 23:06:16,学生面对文本一目了然间或文字上有某些障碍，求助于注解或者工具书也不费事，语文就和教数理化或者英语课程不同。课本上的那些难点、疑点，如果教师不加阐释，学生不可能凭着自发的感性理解悟透彻。自然科学或者外语教师的权威，建立在新学生从不懂到懂，从未知到已知，而语文教师却没有这样的便宜，他们面对的不是惶惑的未知者，而是自以为是的已知者，如果不能重启已知中揭示未知，指出他们感觉和理解上的盲点，将已经转化为未知，再雄辩地揭示深刻的奥秘，让他们恍然大悟。—孙绍振,0,0,0,浙江,金华,浙江,中国
3,4868753697804656,医视频,2023-02-13 18:40:01,#临床医学课程# 认知障碍与痴呆#长期缺觉痴呆风险高# #早生白发可能是对抗痴呆症#  由病程缓慢的进行性大脑疾病所致的综合征。特征是多种高级皮层功能紊乱，涉及记忆、思维、定向、理解、计算、判断、言语和学习能力等多方面。意识清晰，情感自控能力差、社交或动机的衰退，常与认知损害相伴随，但有时可早于认知损害出现。特别会影响到记忆、注意力、语言、解题能力。严重时会无法分辨人事时地物。最常见的痴呆症种类是‎‎老人痴呆症 (即阿兹海默氏症)。其典型之起始症状为记忆障碍。病人会遗忘刚刚发生的事 (短期记忆差)，而较久以前的记忆 (长期记忆) 则相对在发病初期不受影响。由于大部分的痴呆症患者可能会有精神错乱症状。尽管混乱症状可能可以由密切照顾、改进居住环境与饮食获得缓解；精神科药物也能协助稳定情绪、减少幻觉妄想、或者冲动控制。但目前药物尚未能减缓脑部的退化。痴呆症患者也常伴随忧郁症，最好由专业医疗人员诊断治疗。年龄是痴呆症最主要的危险因子。根据流行病学研究，65岁以上的人有5% 有失智症，85岁以上则增加到20%。 医视频的微博视频,4,0,7,北京,北京,北京,中国
3,4854611896178524,聚趣德语,2023-01-05 18:05:33,🇩🇪德国留学 | 零基础学德语到出国留学，大概要花多长的时间？根据欧标的要求，德语欧标从入门到精通大致有6个级别：A1，A2，B1，B2，C1，C2。一般来说，出国留学德语要达到C1水平，即可以阅读并理解难度较大的长篇文章，能清晰有逻辑的表达自己的观点，和母语者沟通基本没有障碍。从零基础开始到拿C1证书，大概需要花57周（14个多月）。#留学##德国##留学生##线上课程#德语,0,0,2,湖南,,湖南,中国
