页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022393653791506,Real佩姐,2024-04-12 17:50:21,#ucb mban就读体验分享# 佩姐好，分享一个ubc mban的就读体验： 课程快但是学的不深入，大部分内容感觉都是本科水平。作业多但是给分都很宽松。学生水平背景年龄都参差不齐。学校career service比较努力，提供很多资源，但是温哥华市场太小了，找工作还是很困难。目前找到暑假实习的应该是30%左右。（虽然说是市场确实很不好，但我也觉得找不到的是准备的不够多 不够早）,0,0,2,北京,,北京,中国
2,5022296236623648,快困薯i,2024-04-12 11:23:15,寄拍 想做副业的宝贝们 可以来找我 有拍照课程 团队提供资源 保障在平台接的每一笔单子的安全 有兴趣的滴滴我或➕我❤️ ,0,2,0,辽宁,大连,辽宁,中国
2,5022239411930148,环球网,2024-04-12 07:37:27,【津巴布韦《先驱报》：#津巴布韦学校推广养鱼文化#】津巴布韦《先驱报》4月8日文章，原题：学校推广养鱼文化 为了从小向儿童灌输养鱼文化，津巴布韦渔业和水产养殖资源部最近在马佐韦区的顶尖初级学校启动了“学校养鱼”试点项目。#津巴布韦将养鱼纳入小学和高等教育课程#渔业和水产养殖资源部依据“总统社区渔业计划”推出了该项目，将养鱼纳入小学和高等教育课程，除了涵盖中小学，还将覆盖农学院、医院和监狱。目前已确定129所拥有功能性池塘的学校在本季开始放养。土地、农业、渔业、水利和农村发展部副部长戴维斯说：“尽管鱼类消费对健康有诸多好处，但与南部非洲发展共同体的其他成员国相比，津巴布韦的鱼类消费量相对较低。为了解决这个问题，该项目鼓励人们每周吃一次或两次鱼。”顶尖初级学校校长伊梅尔达女士表示，为了给不断增长的人口提供营养食品，鱼类养殖发挥着至关重要的作用。政府推出的学校养鱼项目是对可持续性营养食品生产环境的回应。学校将在渔业和水产养殖资源部的帮助下管理池塘。她说：“鱼类养殖项目为学生提供了动手学习体验，帮助他们以实用且引人入胜的方式了解生物学、生态学和环境可持续性的原理。他们有机会观察水生综合体的平衡生态系统和不同鱼类的发育。”“该项目符合学校对‘教育5.0计划’和环境保护的承诺”。伊梅尔达表示，通过实施高效用水和负责任的废水管理等可持续做法，学校正在向学习者灌输责任感，并鼓励他们成为地球的管理者。渔业和水产养殖资源部主任马昆贝先生认为，学童对于国家推动提高水产养殖技能以促进学校发展，以及在学校建立水产养殖作为加强粮食和营养安全的关键组成部分非常重要。戴维斯说，通过水产养殖确保了社区营养蛋白质的稳定供应。该项目旨在将水产养殖作为一项业务，不仅为学校提供鱼种，还将水产养殖部门所有养鱼户的能力建设培训纳入其中。这些培训对于确保学校水产养殖实践的连续性和可持续性至关重要。（环球时报4月12日文章 作者菲尔达·瓜蒂，刘长煌译）,7,3,32,,,北京,中国
2,5022288749268792,王秋wangqiu,2024-04-12 10:53:30,#CPA[超话]# 诚收东奥课程，报考了会计、财管、经济法！ （要的是东奥课，最好是个人买的课，如果不是能保证完整资源就算了，谢谢 ,0,11,0,四川,成都,四川,中国
2,5022265315691723,江西教育电视台官方微博,2024-04-12 09:20:23,#校家社协同育人##这里是江西# 【紧密对接社会资源 强化课程育人功能】江西师范大学附属小学秉持家校社三方协同育人理念，从人与人、人与社会、人与自然三个维度，建立起以社会参与为主要形式的“3+3+N”课程体系，将学习与真实的生活情境相结合，推动“三全育人”落实见效。网页链接 江西教育电视台官方微博的微博视频,0,0,0,,南昌,江西,中国
3,5021987842294074,SCUT魏剑峰,2024-04-11 14:57:48,其实10年前网上就有各种免费大学公开课程了，质量还非常高，唯一的问题是没有人看。注意力和自驱力是稀缺资源。//@月弓城:这就是我在b站上大学么  ,63,3,86,广东,广州,广东,中国
3,5022118544147649,凛松春雪一壶茶,2024-04-11 23:37:10,CV南9_是9不是娇  Day105：浪荡了两个月，又回到了这个小树洞。扒了扒资源，并没有扒到心仪的课程，雅思单课时800+一节，雅思7分以上1W5打底……行叭，打卡今日份自欺欺人。 ,0,2,1,北京,北京,北京,中国
3,5021771322885006,一拳大榴莲,2024-04-11 00:37:26,中级会计资源分享  1.2024中级会计VIP全程班 2.2024中级会计押题班 3.2023各机构中级会计同步班课程  #中级会计# 【🔗见评】 ,8,10,26,江苏,徐州,江苏,中国
3,5022063893678476,中国教育报,2024-04-11 20:00:00,【山东莱阳引入校外机构拓展优质课资源 “课程超市”促课后服务扩容提质】本报讯（记者 魏海政 通讯员 卢鹏 李杰）“孩子参加校内课后服务时段的‘机器人创客编程’课程，动手和想象能力都得到了较大提高。”近日，山东烟台莱阳市盛隆小学学生家长于虹告诉记者，“在校内参加这类课程，不仅节省了一大笔费用支出，还省去了接送孩子的时间。”    这得益于莱阳建立的非学科类校外第三方培训机构遴选引入机制。2022年3月起，莱阳市高标准引入非学科类第三方机构优质课程资源，为学生提供“订单式”课后服务，满足学生个性化发展需求，推动课后服务有“温度”“热度”。    “参与课后服务，与中小学合作开展科技创新教育，一是解决了学校科技类课程开设形式单一、资源不足等问题，二是解决了家长经济负担重的问题，三是解决了我们机构平常生源少的问题。尽管校内收费远低于校外，但校内学生多，总体收入还是比较可观的，实现了学生、家长、学校和机构的共赢。”莱阳市比特人工智能培训学校负责人罗小丽表示。    在莱阳市西关小学的操场上，一群正在踢足球的学生个个精神焕发。“学校成立课后服务足球俱乐部，聘请第三方机构的足球教练对孩子们进行专业训练，并且每学年举办一次‘校长杯’足球赛，现已成为学校的亮点。”西关小学体育教师王学广说。    截至目前，莱阳市55所义务教育阶段学校的课后服务学生参与率达100%，实现了义务教育学校和有需求学生两个全覆盖。29所非学科类校外培训机构有序参与，惠及在校生1.5万名，减轻了家长经济负担，也扩充了服务渠道，丰富了服务内容，提升了服务质量，为学生全面发展创设了优良环境。    莱阳市教育和体育局总督学赵海燕介绍：“莱阳市重拳整治和纠正校外培训机构逐利化、资本化倾向，通过公开遴选非学科类校外培训机构，建立校内‘课程超市’，完善政策设计、打通资源渠道，完善资质要求、严格入校门槛，筑牢监管防线、保障服务质量。”    在完善政策设计、打通资源渠道方面，莱阳出台课后服务经费保障办法及公开遴选非学科类校外培训机构参与中小学校内课后服务的方案，通过学校代收费的方式予以保障。在完善资质要求、严格入校门槛方面，明确设置了办学资质、师资力量、课程设置、信用信誉、资金监管等7项标准。在筑牢监管防线、保障服务质量方面，定期开展学生和家长课后服务满意度问卷调查，对满意率低于80%的服务项目，学校可提出更换服务人员等相应要求，仍旧不达标准的可终止合作。    “今后，我们还将持续深入拓展课后服务内容，丰富完善‘课程超市’，助推课后服务活动多样化，推进素质教育的实施，促进青少年的健康成长。”莱阳市教育和体育局局长纪旭东说。,2,0,1,,北京,北京,中国
3,5022062758331697,设计周id,2024-04-11 19:55:30,这个世界上免费的东西才是最贵的，人也不会关注自己没有付费的东西。  只有自己付费了才回去关注，去投入精力时间成本，课程如此，社群如此， 产品如此～  互联网时代信息垃圾太多，想要获得高效的信息，就得筛选出有效的资源，目前来说付费是最快捷高效的方式～ ,0,0,1,浙江,杭州,浙江,中国
