页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022758688525423,美美小兔子,2024-04-13 18:00:52,争风吃醋是把父母当成资源拥有者及支配者，我们家不存在这个问题，资源共享，各取所需//@woxianxinziji:兔总的三个孩子好像都没有争风吃醋过，怎么做到的,1,11,86,中国香港,,香港,中国
2,5023110791693339,北京卫视向前一步,2024-04-14 17:20:00,#北京经开区中小学体育文化等场馆节假日开放# 【赞！经开区中小学体育、文化公共场馆节假日开放！】为进一步促进学校场地设施资源共享，丰富学生课外生活，满足学生在节假日期间体育锻炼及学习需求，北京经开区区内中小学体育、文化等公共场馆于国家法定节假日、休息日及寒暑假期间向本校师生、家长开放。目前北京经开区8所学校的32个场馆已实现开放，周六、日上午8:00至下午5:00开放场馆包括学校运动场、足球场、篮球场及图书馆等体育、文化公共场馆。 京视频的微博视频,0,0,0,,,北京,中国
2,5022824873855552,薄荷糖337,2024-04-13 22:23:52,💚❤️🐶🐱 【存图专用贴】资源共享 持续更新中…..   图片来源网络见水印（有问题请私我）    抱图吱 ,1,203,54,海南,海口,海南,中国
2,5023046070962586,乔茗星,2024-04-14 13:02:50,《永福路52号Mr&amp;Mrs R. Buchan》图片为上海电影制片厂。城市除了公园拆墙透绿，我们更需要生活在自然美好的生态里。多少年没有拍过电影的企业就像十几年不下蛋的老母鸡，和最漂亮的老建筑圈养在那里一点不觉得难为情。历史风貌建筑对外打开，对市民来说是最好的资源共享。2021年华政长宁校区拆除了围墙，人们可以亲历早年的圣约翰大学遗留的27处文物建筑群，可以沿着苏州河散步于两岸公共空间。2022年音乐学院淮海路校区也拆除围墙。作为城市公共资源拆除围墙打开大门，把原本那些被锁起来的绿意和空间，真正还给市民的同时也会带来商业效率。Mr&amp;Mrs R. Buchan：《中国行名录》上海街道名录:52Rue duPere HuC古神父路52号，登记住户Mr&amp;Mrs R. Buchan盘根夫妇和C·S·Tung董生同的华人。 1941年盘根夫妇离开上海回国。和董生同一样，以后的著录中再也没找到相关记录，他们就这样消失在了历史的云烟中。古神父路上有故事的建筑，远不止永福路52号这一栋：68号(良友公寓)、200号(雍福会)、244号和181 号(英、德领馆)…上海电影制片厂：1949上影厂成立，共设有5个摄影场，以摄制故事片为主要业务，同时兼顾美术片、科教片和译制片的摄制工作。1953年公私合营长江昆仑电影制片厂，联合七家私营电影厂组建而成上海联合电影制片厂，并入上海电影制片厂1957年上影厂下设3个故事片分厂，分别为江南电影制片厂、海燕电影制片厂和天马电影制片厂。原属上海电影制片厂的上海美术片组、译制片组和洗印部门，分别改组扩建为上海美术电影制片厂、上海电影译制厂和上海电影技术供应厂。至此，一个大型电影生产基地已经在徐家汇地区形成。20世纪90年代，52号为永乐电影电视集团公司所在地。建筑上海电影,0,0,4,上海,上海,上海,中国
2,5023023283571494,Ustinian_Cjl,2024-04-14 11:32:17,古典文献学资源共享求《清代诗文集珍本丛刊》。 ,0,3,0,安徽,合肥,安徽,中国
2,5022993737057483,兴义市融媒体中心,2024-04-14 09:34:52,#2024贵州旅发大会##第十八届贵州旅游产业发展大会# 【全国旅行商大会：共商行业发展趋势 共享旅游发展红利】 -  4月12日，全国旅行商大会在义龙新区云屯公园举行。会上，约200名国内重点旅行商负责人、专家学者等齐聚兴义，共商行业如何资源共享、优势互补，聚力打造世界级旅游目的地。网页链接,0,0,1,,黔西南布依族苗族自治州,贵州,中国
2,5022779692291317,隐泉先生,2024-04-13 19:24:20,#先生加持我# 任何不耗费巨大心力，脑力，以及提供稀缺价值的事情，都不会让你赚到钱。因为你没有跟这个世界产生交互，产生价值交换。什么是产生价值？比如你为别人指条明路，你为别人提供情绪价值，你和别人合作进行资源共享，别人实实在在得到好处和利益。---说白了就是“你被需要”。当你小到社交圈，大到领域圈，你成为了一个“被需要”的人，那么你的价值属性就被标签化，你的自我价值和存在的意义就被托举出来了。联想一下，如此你还担心赚不到钱吗？大厂的“螺丝钉”是一个极其形象的隐喻，同样生动的诠释了什么是工作，什么是事业。什么是贡献价值，什么又是提供价值，甚至是稀缺价值。当你只能每天机械化的“打螺丝”，实际上是在提供一些价值，可价值也区分普遍和稀缺，你真正要好好去思考一番的是，你提供的价值，别人是否“需要”，别人需要的迫切程度有几何。顺带提一句，你能提供的价值，其实本质上讲就是提供“能量”，你所能提供能量的属性与你的“人生剧本”也有极强的关联性，所以可要选择好了！慎重！#情绪价值提供站#玄学#玄学#,0,1,0,新疆,和田,新疆,中国
2,5022758498471931,cjyhnlsxjy,2024-04-13 18:00:07,嘀嗒太好了 我爱嘀嗒 完美匹配我对交通方式在灵活简单实惠高效方面的需求，还有种资源共享带来的心理舒适感。如果我是车主，我也一定嘀嗒。 ,0,0,0,上海,上海,上海,中国
2,5022755617245197,Massie-,2024-04-13 17:48:40,老4他们挖出来的红薯像洗干净后埋进去的…那色儿看着不太对…我不是很欣赏老7这个交易意识，虽然专家说很聪明但我觉得这适用于陌生人之间算聪明，因为陌生人之间没有信任依据，但是大哥你们是一个团的，用资源共享、物资互换这些词不好么？用这些词还能定位到互帮互助上，把自己定位到交易上只会显得你锚铢必较，真是情商低到爆想借锅直接跟老马说，我觉得他不会拒绝的，还非要拿水去换，就你聪明？闲的上岛之前搞个中插还不那么出戏，都上岛开始玩生存游戏了搞个中插出来特别出戏啊，无语了,0,0,0,北京,北京,北京,中国
3,5022620714274680,专业戳轮胎熊律师,2024-04-13 08:52:37,考试考傻了的……//@张忆安-龙战于野:骗子都是资源共享的。//@万能的大熊:连续性的网炸啊//@史老柒:哈哈哈右边说的不对，这能是红名单吗？这得是VVVIP红得发紫名单//@秋来也秋去zqwzjq:哥  你一定在内部红名单里面,124,120,746,上海,上海,上海,中国
3,5022692523114556,溟均朝雨落蝉月,2024-04-13 13:37:56,到场的还有一堆同学。一帮医学生，还都是老乡。导师喝多了吧，说要组建一个平台资源共享什么的，都是同乡什么的，还让我妈说他们那边潮州商会。说到最后我只感觉他们在谋划什么同乡党派，粤党登上党争舞台,0,0,1,广东,广州,广东,中国
3,5022657158578464,财经章布庭,2024-04-13 11:17:25,"最近，又有一批企业更新了战略或达成了战略合作，具体如下：1.索普集团与江苏大学战略合作，此次双方携手深化合作，共同聚焦创新这个“关键变量”，通过成立联合研发中心，将索普集团成熟的生产管理经验与江苏大学丰富的科技人才资源相结合，协同创新、资源共享，更好地打通基础研究、技术开发、成果转移与产业化通道，促进学科、人才、技术、资本与产业的深度融合，转化为产业强市的“最大增量”。2.中信证券与首创集团签署战略合作协议，推动金融与实体经济协调发展。3.焦点科技与苏州市商务局达成战略合作，为落实合作，加快构建“苏州制造”出海新模式，焦点科技旗下中国制造网将针对苏州重点产业集群，如机械设备、智能家电、纺织服装等，运用互联网技术协助搭建苏州数字产业基地，以产业带整体形象展示给全球采购商，帮助企业精准获取订单，推动“苏州特色”跨境电商产业带建设。4.地上铁与宁德时代签署全面深化战略合作协议，根据协议，双方将在城市配送车辆电动化、创新产品开发、商业模式创新、市场品牌等方面开展深度合作，同时在海外业务拓展、区域电动化、车辆保险、创新金融、售后服务等方面进行深度协同。5.茅台基金战略投资星赛生物，携手推进单细胞分析技术发展。6.稳健医疗与京东健康达成战略合作，双方将在未来全面深化合作，作为国内大健康龙头企业的稳健医疗和京东健康跨领域携手，是对医疗健康消费创新业务增长的积极探索。7.固德威与台湾日山能源科技有限公司签署战略合作协议。日山能源董事长林山城表示，2016年开始相关主管单位积极推动能源转型，目标在2025年提高再生能源发电占比到20%，太阳光电装置量将提高到20GW。8.天融信与汉王科技达成战略合作，双方将在人工智能等技术创新应用、产品方案合作研发、市场拓展和品牌共建等多维度展开深层次合作，开启“AI+”合作发展模式。9.百度智能云与毕马威签署战略合作，根据协议,双方将强强联合,依托毕马威各行业多年的咨询和产品交付经验,以及百度智能云在人工智能、大数据和物联网等领域丰富的资源和优势,在大模型服务、AI智能化服务、安全合规等领域展开深度合作….",0,1,212,广东,韶关,广东,中国
3,5022654939794745,五谷孕婴,2024-04-13 11:08:37,【皇氏集团与宏桂集团达成战略合作】  近日，皇氏集团股份有限公司与广西宏桂资本运营集团有限公司签订战略合作框架协议。双方将整合产业优势资源，促进双方在产品、供应链、技术、市场等方面的资源共享和互补，开展多层次、多领域的全面合作。 ,0,0,0,吉林,长春,吉林,中国
