页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,正负情感,子类目,总类别
2,4.98912E+15,中山日报,2024/1/11 22:10,1月11日，中山籍中共四大代表阮章的照片在中共四大纪念馆上墙展示。阮章是中国共产党第二次全国代表大会召开前入党的早期党员之一。心系国家命运，投身早期工农运动！中共二大前入党的香山人经考证已有9名 ,0,0,0,,深圳,广东,中国,,,
2,4.98697E+15,上海虹口,2024/1/5 23:52,“这是1925年1月的上海，元旦刚过，冬天的第一场雪还未消融，邻近淞沪铁路天通庵站的东宝兴路上，出现了一些陌生面孔……”来自中共四大纪念馆小红花宣讲团的李陈静依同学以《你好，广吉里》为题，生动地讲述了中共四大召开的历史过程，流利的表达，沉稳的台风，11岁的小李同学决赛中表现优异，并最终荣获二等奖。 上海虹口的微博视频,0,0,0,,上海,上海,中国,,,
2,4.9868E+15,上海金山检察,2024/1/5 12:41,生在红旗下 长在春风里|“未”爱守心 厚植童心爱国情2024年1月1日，“弘扬爱国情 践行报国志”金山区“国旗下成长”爱国主义教育主题活动在中共四大纪念馆举行，上海市金山区检察院“金港湾”未成年人检察办案团队负责人施翀受邀作为校外辅导员作国旗下的讲话。 通过解读《中华人民共和国爱国主义教育法》，检察官给孩子们内心播下了热爱祖国、勇于奋斗、感恩奉献的种子。,0,0,0,,上海,上海,中国,,,
2,4.98617E+15,绿色上海,2024/1/3 18:35,【虹口新增一条高颜值“红色纽带”！来这个特色街区走走？】#绿容播报# 如何在提升景观效果的同时更加注重文化的传承与融入？虹口区创造性地以中共四大纪念馆为核心努力打造文化特色明显的主题街区。接下来，让我们一起去看看改造效果吧～虹口新增一条高颜值“红色纽带”！来这个特色街区走走？ ,0,0,0,,上海,上海,中国,,,
2,4.98588E+15,寻美虹口,2024/1/2 23:38,#寻美上海# #寻美虹口# 【这里的“颜值”up up！】深耕细作，打造轨交下的多功能活力空间。记者从区绿化市容局景观所获悉，日前，中共四大纪念馆周边深耕项目已完成建设，进一步提升了区域环境品质和市民的生活体验。 ,0,0,1,,上海,上海,中国,,,
2,4.98566E+15,上海金山教育,2024/1/2 9:08,新年第一天，我们和天安门国旗在一起！1月1日上午，“弘扬爱国情 践行报国志”金山区“国旗下成长”爱国主义教育主题活动在中共四大纪念馆举行。全国雷锋学校大联盟校外辅导员王芳，金山区教育工作党委副书记、教育局局长郑瑛，武警上海市总队原副政委、上海市拥军优属志愿服务总队总队长张长东，金山区教育工作党委委员、教育局副局长黄萍，共青团金山区委员会副书记张鹏等出席，金山区学生联合会代表、红领巾理事会理事代表、学校国旗护卫队代表、金山小记者代表、中小学家长代表等150多人参加活动。今天，我们和天安门国旗在一起！,0,0,0,,上海,上海,中国,,,
2,4.9854E+15,寻美上海,2024/1/1 16:04,#寻美上海# #寻美中国# 万物冬藏，肃穆寂静，寒冷的日子里不妨给冬天加点“颜色”，用缤纷色彩打破冬日沉闷，来虹口，在中共四大纪念馆、上海邮政总局大楼、北外滩友邦大剧院 、音乐之门……开启一场色彩美学之旅。,0,0,0,,上海,上海,中国,,,
2,4.98512E+15,高原蓝1960,2023/12/31 21:10,中共四大纪念馆#随手拍##遇见美好##带着微博去旅行# 上海·中国共产党第四次全国代表大会纪念馆 ,0,0,0,上海,,上海,中国,,,
2,4.98501E+15,上海虹口,2023/12/31 14:08,【跨年倒计时！这些文旅活动别错过～】为满足市民游客的假日文化旅游新需求和新期待，虹口通过多方联动、线上与线下互动等形式，不断丰富文化旅游产品供给。5A级景区中共四大纪念馆优化场馆布局、完善便民设施，整合馆内图书资源，利用内部连廊区域打造全新文化共享空间“四时美好”书廊对外开放，并联合虹口区书法家协会策划推出同名品牌书画文化沙龙活动。,0,0,1,,上海,上海,中国,,,
2,4.984E+15,中共一大纪念馆,2023/12/28 19:10,12月，中共一大纪念馆党委依托中共一、二、四大场馆管理委员会平台，与中共二大会址纪念馆签署党建共建协议并开展主题教育联组学习活动。未来，中共一大纪念馆将与中共二大会址纪念馆通过共建的合作平台，从展陈提升、学术研究、人才共育等多途径出发，进一步探索联合机制，发挥联动职能。 ,0,0,1,,上海,上海,中国,,,
3,4.98031E+15,龙华英烈,2023/12/18 15:00,#龙华展讯# 今年，是胡也频诞辰120周年，为了缅怀这位革命烈士，上海市龙华烈士陵园（龙华烈士纪念馆、上海市烈士纪念设施保护中心）联合中共四大纪念馆（左联会址纪念馆），共同举办《奔向光明的灵魂——胡也频烈士事迹展》。 ,0,0,9,,,上海,中国,,,
3,4.97936E+15,张贤蛋,2023/12/15 23:56,前天，一楼遇到dior。 dior：上海有什么好玩的推荐一下吗？ 我：那肯定是要去参观一下中共一大会址！那里是…… dior：我去过了 我：…… （5s后） 我：没关系！还有中共二大！中共四大纪念馆！那几个会议都是在上海开的。你都可以去参观一下。 ,0,5,2,湖北,武汉,湖北,中国,,,
3,4.97934E+15,katis219,2023/12/15 22:27,到过的博物馆：中共四大纪念馆 ,0,0,0,上海,上海,上海,中国,,,
3,4.97893E+15,贾楠楠V,2023/12/14 19:19,今日好天气，单位组织参观中共四大纪念馆，追随红色足迹，铸就淬炼忠诚。 上海·中共四大纪念馆 ,0,0,0,上海,,上海,中国,,,
3,4.9745E+15,上海虹口,2023/12/2 14:10,【又一公共绿地完成提升改造！】记者日前获悉，经过一个多月的施工，邢家桥南路东宝兴路公共绿地景观改造项目完工。在区绿化市容局的支持下，四川北路街道通过绿化和景观元素的构筑，向市民展现一个集休闲娱乐、绿化观赏和文化展示交流等多功能于一体的活动停留空间，进一步助力中共四大纪念馆周边“15分钟社区生活圈”建设。,0,0,2,,上海,上海,中国,,,
3,4.97423E+15,寻美虹口,2023/12/1 20:13,#寻美上海##寻美虹口# 虹口区和杨浦区新的阶层联谊会共同开展主题教育共建交流活动。双方会员们一起参观了中共四大纪念馆，深入了解了中国共产党成立的历史背景、过程和意义等。并来到国旗教育展厅，观看国旗的发展历程和国旗文化的宣传片。通过这些展览和视频，双方会员们深刻感受到中国共产党的革命精神和爱国主义情怀，更加坚定了为人民服务的信念。座谈会上，双方代表分别介绍各自工作特点，分享困难和挑战，以及对于未来发展和规划的思考。座谈中，每一位会员都结合自身工作进行了深入交流。,0,0,1,,上海,上海,中国,,,
3,4.97421E+15,寻美杨浦,2023/12/1 18:37,#寻美上海##寻美杨浦##寻美虹口# @寻美上海 @寻美虹口 11月30日，由杨浦区委统战部、虹口区委统战部指导，杨浦区新联会、虹口区新联会主办的“凝心铸魂强根基、团结奋进新征程”主题教育暨结对共建活动在中共四大纪念馆举行。 杨浦区、虹口区新联会联合举行“凝心铸魂强根基、团结奋进新征程”主题教育暨结对共建活动 ,2,1,1,,上海,上海,中国,,,
3,4.97246E+15,奉贤青村,2023/11/26 22:37,#参观学习# 申隆一村组织村内党员前往中共四大纪念馆参观学习。 ,0,0,0,,,上海,中国,,,
4,4.97237E+15,金牛在田,2023/11/26 16:35,头回来中共四大纪念馆，接受一下党史教育。 上海·中共四大纪念馆 ,0,0,0,上海,上海,上海,中国,,,
4,4.97056E+15,我怕时光倒流,2023/11/21 17:09,#赓续红色血脉，传承奋斗精神#【信念-在张太雷的家书中感受家国情怀】在张太雷短暂的一生中，留下的文字资料并不多。在中共四大纪念馆的代表展区，有一件特殊的展品——张太雷家书（复制件）。这封唯一保存下来的张太雷《家书》，是他在1921年初第一次赴苏俄前夕，面对疾病缠身的母亲、新婚两年的妻子和尚在襁褓中的女儿所写下的一封长信，原件存于中国国家博物馆。#寻美中国# 此次，中共四大纪念馆的“小红花”讲解员们共同诵读这封家书的节选，缅怀英雄烈士，重温英烈初心。 青春上海的微博视频,0,0,0,江西,九江,江西,中国,,,
4,4.96956E+15,Bubble3ooooO,2023/11/18 22:43,今天出去玩儿真的好开心啊！好喜欢一个人瞎逛瞎拍上海邮政博物馆去了?外白渡桥去了?乍浦路桥去了?外滩去了?中共四大纪念馆去了?鲁迅故居去了（但没买上票甜爱路去了?（心心念念的心形红绿灯看到了愚园路去了?（好多圣诞????静安寺去了?陆家嘴去了?滨江大道去了?上午把被单被罩和衣服洗了晒了，中午11点多开始出发，玩到晚上8点半，超满意！,0,2,0,上海,上海,上海,中国,,,
4,4.96879E+15,中共一大纪念馆,2023/11/16 20:00,#长三角文博会#今日，中共一大纪念馆展区现场举办了多项活动，包括中共一?二?四大场馆联名款文创首发仪式，以及第四届长三角文博会主题论坛·“兴业讲堂”第五期活动等，引起众多关注。此外，现场还呈现了“数字一大”的多款创新技术应用，“初心之旅”VR互动体验让观众体验“红色+科技”魅力，更有纪念馆虚拟形象“库宝”“德妹”与大家一起唱响“党的诞生地”主题曲《初光》。欢迎前往国家会展中心7.2馆H-03感受上海的城市文脉和红色底蕴，探索更多令人惊喜的红色文化之旅。,0,0,2,,,上海,中国,,,
4,4.96737E+15,上海虹口,2023/11/12 21:47,【上海工程技术大学高职学院的“小螺钉”有大能量】“在担任中共四大纪念馆志愿者期间，提升了我的思想境界和吃苦耐劳的品质，对我的学习和现在的工作都有很大的帮助。”程梦媛是上海工程技术大学高职学院2019级学生，目前就职于三菱电机自动化（中国）有限公司。 ,0,0,0,,上海,上海,中国,,,
4,4.96612E+15,中国文明网,2023/11/9 10:52,【#文明中国# · 上海丨在家门口就能上“大学必修课”，是一种什么体验】截至2023年3月，招募2000余名志愿者，服务时长超2.5万小时。这是中共四大纪念馆开馆以来的志愿服务成果。志愿者中，最小的7岁，年长的已过九旬。他们来自各行各业，但都有一个共同的名字——中共四大纪念馆“力量之源”志愿服务总队。在家门口就能上“大学必修课”，是一种什么体验丨文明中国·上海,210,5,7,,北京,北京,中国,,,
4,4.96463E+15,教师纪大华,2023/11/5 8:32,上海四川北路的红色旅游——鲁迅纪念馆、鲁迅公园、多伦路名人文化街瞿秋白柔石等、中共四大纪念馆 ,0,0,0,上海,上海,上海,中国,,,
4,4.96337E+15,用户6909401288,2023/11/1 21:02,首次看到中共四大纪念馆，上海真是我党起家的宝地。 ,0,0,0,上海,上海,上海,中国,,,
4,4.96218E+15,小狗积极拥护者,2023/10/29 14:20,周泽楷 ??粥粥的生日月家乡打卡——虹口篇?  大致路线是:鲁迅公园——甜爱路——上海邮政博物馆——苏州河虹口段——外白渡桥——北外滩码头——中共四大纪念馆  还有中途路过的新康里、虹口救火会旧址也临时起意拍了照嘿嘿！ ,0,0,14,上海,,上海,中国,,,
5,4.96044E+15,中共一大纪念馆,2023/10/24 18:31,10月23日下午，第三期“#格物弘源#”文物藏品鉴研会以“顶天立地 力量之源——呈现中共四大召开前后历史的革命文物探究”为题，在中共一大纪念馆初心教室顺利举行。下一场您想细看哪些文物？是否有相关文物跨域联动？是否有感兴趣的研究主题？请将合作意向、意见建议等发送至中共一大纪念馆藏品保管部邮箱：ydcpbgb@163.com（记得留下姓名、单位及联系方式哟～）我馆将根据实际情况继续探索提升。让我们细心守护珍贵文物，创新合作联动研究，下一场见！详情点击格物弘源合作篇丨“顶天立地 力量之源”第三期文物藏品鉴研会回顾及新主题征集,0,0,0,,上海,上海,中国,,,
5,4.96039E+15,金彩庄行发布大厅,2023/10/24 15:25,#安监环保大队、财政所联合开展活动#10月24日，安监环保大队团支部、财政所团支部联合开展“青春红途 向前一步”红色大寻访活动。我们所走的线路为“寻找文化的血脉”，从鲁迅纪念馆、李白烈士故居到中国左翼作家联盟会址纪念馆再到中共四大纪念馆。探寻着红色文化的同时，感受着党如何带领人民在革命、建设、改革过程中锻造的革命文化和社会主义先进文化。学习老一辈革命家精神风范，我们年轻干部也要“在真学真信中坚定理想信念，在学思践悟中牢记初心使命”,0,0,0,,上海,上海,中国,,,
5,4.95954E+15,三桂不分家,2023/10/22 7:16,"在苏州河上四川路桥，却误以为人在“法师”桥上。昨天周六，我大概走了23,000多步吧。沿着北四川路，把中石化第一加油站、上海邮政博物馆、1925书局、中共四大纪念馆、鲁迅和内山书店、峨眉路上的航海邮局、今潮8弄的鲁迅文创市集，颇有深度地游览了一遍，当然该盖的纪念章一个都没落下。出租火山的乍浦桥被称为“法师”桥，因为这里可以把上海大厦、人民英雄纪塔、乃至陆家嘴的东方明珠和“三件套”，都尽收镜头之中。所以手拿肩背大小镜头的摄影老法师们都会选择此处安营扎寨。昨天我有点迷糊了，站在四川路桥寻觅陆家嘴三件套的踪迹，尽管拍得比较勉强，但心中还是有些欣喜，“法师桥”上充法师……直到回到家整理美化照片，在制作专题海报过程中仍未意识到错误所在，待海报完成后才觉得哪里不对劲……那就将错就错呗！#上海苏州河畔最美加油站# 上海·骏华苑",0,0,1,上海,,上海,中国,,,
5,4.95943E+15,上海虹口,2023/10/21 23:36,【“四大TALK”第一季来了！青少年和老外讲述中国故事】在10月21日举办的第十一届北外滩财富与文化论坛开幕式上，“讲好中国故事·四大TALK”国际传播短视频节目正式亮相。该短视频节目由中央广电总台国际在线、中共上海市委党史研究室、中共虹口区委宣传部指导，中共四大纪念馆、上海市青少年活动中心共同推出。第一季以“中共四大”召开时的英文补习班为线索，凸显城市、历史、文化、精神四大元素，以青少年和外国留学生的视角，讲述他们眼中的中国、心中的上海，让国内外观众感受新时代下中国的奋进发展、历史文脉和城市精神。,0,0,0,,上海,上海,中国,,,
5,4.95741E+15,上海普陀生态环境,2023/10/16 9:58,为深入开展学习贯彻习近平新时代中国特色社会主义思想主题教育，重温光辉历程，汲取奋进力量，10月12日下午，区生态环境局理论学习中心组（扩大）围绕“不忘初心担使命  砥砺奋进新征程”主题，赴中共四大纪念馆、曹杨新村村史馆开展集中参观学习和专题研讨。 更多详细情况，请点击链接网页链接,0,0,0,,上海,上海,中国,,,
5,4.95451E+15,王-西-瓜,2023/10/8 9:54,国庆打卡系列： ??国旗教育展示厅 ??中共四大纪念馆 ,0,0,0,上海,上海,上海,中国,,,
