页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4970444173611936,文化虹口,2023-11-21 09:21:40,李白烈士故居挂起新牌 上海新增全国机要密码系统革命传统教育基地红色基因是上海城市最鲜亮的底色，今天上午，李白烈士故居挂起一块新牌。“电波不逝 信念永存——李白烈士故居‘全国机要密码系统革命传统教育基地’揭牌仪式”。活动由中共上海市委机要局与中共虹口区委在故居联合举办。详情请戳链接：李白烈士故居挂起新牌 上海新增全国机要密码系统革命传统教育基地,0,0,0,,上海,上海,中国
2,4970212480778469,上海虹口,2023-11-20 18:01:00,【李白烈士故居“全国机要密码系统革命传统教育基地”揭牌】为了颂扬李白烈士光辉战斗的一生，缅怀他的英勇事迹和伟大情怀，丰富“学思想、强党性、重实践、建新功”主题教育学习内容，11月20日上午，中共上海市委机要局与中共虹口区委在故居联合举行“电波不逝 信念永存——李白烈士故居‘全国机要密码系统革命传统教育基地’揭牌仪式”。,1,0,1,,上海,上海,中国
2,4967547206370498,江湾市场监督管理所,2023-11-13 09:30:09,11月8日，江湾所党支部组织全体党员和入党积极分子参观李白故居。通过序厅影视效果展示以及场景复原，大家切身体会到了李白烈士生前战斗和生活的情景，引发大家爱国主义情怀的深刻共鸣。 ,0,0,0,,上海,上海,中国
2,4967029482194928,王-西-瓜,2023-11-11 23:12:54,打卡系列之鲁迅纪念馆，李白烈士故居。 ,0,0,2,上海,上海,上海,中国
2,4960388866639170,金彩庄行发布大厅,2023-10-24 15:25:28,#安监环保大队、财政所联合开展活动#10月24日，安监环保大队团支部、财政所团支部联合开展“青春红途 向前一步”红色大寻访活动。我们所走的线路为“寻找文化的血脉”，从鲁迅纪念馆、李白烈士故居到中国左翼作家联盟会址纪念馆再到中共四大纪念馆。探寻着红色文化的同时，感受着党如何带领人民在革命、建设、改革过程中锻造的革命文化和社会主义先进文化。学习老一辈革命家精神风范，我们年轻干部也要“在真学真信中坚定理想信念，在学思践悟中牢记初心使命”,0,0,0,,上海,上海,中国
2,4959580214001846,酸菜goodnight炖粉条,2023-10-22 09:52:09,#exlibris# 《永不消逝的电波》🌟🌟🌟🌟，四颗星给男主好帅，剧情像是古早版概括版的《潜伏》。  Mark  有机会去看资料馆的彩色修复版 上海李白烈士故居、陵园瞻仰。 ,0,0,1,北京,,北京,中国
2,4955762257035307,有1位朋友,2023-10-11 21:00:57,今天参观了李白烈士故居、左翼作家联盟纪念馆、内山书店、鲁迅故居。 ,0,0,0,上海,上海,上海,中国
2,4951812119988280,湖南旅游广播,2023-09-30 23:24:32,9月30日，李白烈士“第十九封家书”在湖南浏阳、上海虹口同时展出。长沙岳麓蓝天救援队队长谭章 以电波传递这种方式，把家书的内容发往位于上海的李白烈士故居，传承一封家书的红色记忆❤️ 纪念缅怀李白烈士。#第十九封家书##第十个烈士纪念日# 湖南旅游广播的微博视频 ,0,0,0,,深圳,广东,中国
2,4951754644130420,话匣子FM,2023-09-30 19:36:09,【纸短情长 更有家国大爱】9月30日，李白烈士“第十九封家书”在湖南浏阳、上海虹口同时展出，“第十九封家书”抵达上海后，保存在上海李白烈士故居内。上海虹口区教育学院实验中学“李白中队”和湖南浏阳张坊初级中学“李白中队”共同感悟红色家书，发出《青春宣言》，追寻永不消逝的红色精神...... 话匣子FM的微博视频,0,0,1,,上海,上海,中国
2,4951609927799371,警民直通车-上海文保,2023-09-30 10:01:06,"#缅怀革命先辈,弘扬爱国精神# 第10个国家烈士纪念日来临之际，文保分局刑侦大队、治安大队、七科共同前往李白烈士故居缅怀、瞻仰参观，学习李白烈士赤胆忠心的爱国精神，坚忍不拔的革命精神，不怕牺牲的斗争精神@警民直通车-上海 @上海长安网 警民直通车-上海文保的微博视频 ",0,0,0,,上海,上海,中国
