页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5024261590749968,老八路求助记,2024-04-17 21:32:52,这难道就是为革命无私奉献者的下场？这难道就是组建湖北省委、省政府的元老求助党组织的下场？这难道就是老英雄为解放全人类一不怕苦、二不怕死创建的新政权给与的回报？应该思考一下，党的先进性在哪里？党的领导力在哪里？ ,0,0,0,山西,晋中,山西,中国
2,5023732034176803,vipjiangshi,2024-04-16 10:28:36,李拓联系方式18264192900高校名师；党史党建、管理一、政治类《“核心”与两个维护》《共产党的历史与理论》《中国特色社会主义理论与实践》《习近平新时代中国特色社会主义思想》《党的重要会议决议及其精神解读》二、管理类：《全面提升领导力与执行力》《领导干部的素质与能力提升》《创新思维与管理实践（含案例）》《战略思维与领导决策（含案例）》《提升执行力理论与实践》《团队建设与组织力提升》《聚焦主题教育根本任务务求扎实取得实效》学历：2000年北京大学政治学博士毕业；高校职称：中央党校（国家行政学院）教授，科学社会主义教研部中国特色社会主义教研室主任、博导；个人特色：曾获得中央党校（国家行政学院）教学一等奖，科研优秀奖，独立主持三个国家哲学社会科学基金项目，发表专著书籍8部，合著7部，论文90多篇，多次参与中央和国家级重大咨询项目咨询工作,0,0,0,山东,济南,山东,中国
2,5022275290267838,中国教育报,2024-04-12 10:00:00,【以集中性学习教育推进党的自我革命】习近平总书记强调：“在全党开展集中性学习教育，是我们党推进自我革命的重要途径，也是一条重要经验。”建党百余年来，经过一次次党内集中教育，全党思想上更加统一、政治上更加团结、行动上更加一致，党的政治领导力、思想引领力、群众组织力、社会号召力显著增强，党的自我净化、自我完善、自我革新、自我提高能力不断提高。    以集中性学习教育锤炼坚强党性。结合党在一定历史时期的任务，通过开展党内集中教育，提高党员干部特别是领导干部的思想政治水平，解决党内存在的突出问题，是我们党加强自身建设的一个行之有效的方法。一次次党内集中教育活动，都是对无数党员思想的“再充电”、精神的“再补钙”。延安整风运动是一次全党范围内的马克思主义思想教育运动，开创了党内集中教育活动的先河，经过延安整风，大批农民、小资产阶级出身的新老党员得到了锻炼和改造，转变了世界观，“成了真正的无产阶级先锋战士”。新中国成立后，我们党陆续开展了多次党内集中教育，内容和形式虽不同，但在具体活动中，都注重用党的创新理论统一思想、统一意志、统一行动，推进党的自我革命，保持党的先进性和纯洁性。党的十八大以来，以习近平同志为核心的党中央直面新形势、新任务、新挑战，推动党内集中教育环环相扣、次第展开，分别开展了党的群众路线教育实践活动、“三严三实”专题教育、“两学一做”学习教育、“不忘初心、牢记使命”主题教育、党史学习教育和学习贯彻习近平新时代中国特色社会主义思想主题教育。如今，全党党纪学习教育正在开展。党内集中教育都以思想教育打头，用党的创新理论武装全党，教育引导党员干部从思想上正本清源、固本培元，不断筑牢信仰之基、补足精神之钙、把稳思想之舵，切实提升马克思主义理论水平。每一次集中教育，都是一次自我革命的生动实践。历经百年苦难与辉煌的中国共产党，以彻底的自我革命精神，不断凝聚起引领中华民族伟大复兴的磅礴力量。    以集中性学习教育守护党的肌体健康。批评和自我批评是保持党内关系健康发展的重要途径，也是开展党内集中教育的重要手段。毛泽东同志创造了通过批评和自我批评进行思想教育的整风形式，并形象地把批评和自我批评比喻为牛头上的两只角，指出：“牛为什么要长两只角呢？牛之所以长两只角，是因为要斗争，一为防御，二为进攻。我常跟同志讲，你头上长‘角’没有？……我看，还是长两只‘角’好，因为这是合乎马克思主义的。马克思主义有一条，叫做批评和自我批评。”邓小平同志指出：“批评的方法要讲究，分寸要适当，不要搞围攻、搞运动。但是不做思想工作，不搞批评和自我批评一定不行。批评的武器一定不能丢。”江泽民同志强调，领导干部要“带头开展批评和自我批评，及时纠正各种不正确的思想和行为”。胡锦涛同志提出要“大兴批评和自我批评之风”，永葆共产党人政治本色和浩然正气。习近平总书记以解决大党独有难题为主攻方向，指出“批评和自我批评是清除党内政治灰尘和政治微生物的有力武器”，“用好批评和自我批评武器，持续净化党内政治生态”。开展批评和自我批评是党内集中教育的关键环节和重要举措，不仅能够有效实现自我纠错的目的，而且进一步营造了党内民主氛围，极大提高了党内集中教育的质量。我们党保持刀刃向内的勇气，一次次拿起批评和自我批评这把锋利的“手术刀”，革除病灶、摧毁毒疮，以彻底的自我革命精神推动党的建设新的伟大工程向纵深发展。    以集中性学习教育砥砺党的初心使命。习近平总书记强调：“开展主题教育活动，说一千道一万，可以概括为一句话，那就是中国共产党必须始终为中国人民谋幸福、为中华民族谋复兴。做好了这件事，中国共产党就能长期执政，国家就能长治久安，中国人民就能不断地迈向更好生活，中华民族就一定能够实现伟大复兴！”百余年来党开展的历次党内集中教育，都将为谁立命、为谁谋利作为一个根本性、方向性问题。延安整风运动和1947—1949年的整党运动，都注重督促党员干部坚持并践行群众路线，不断提高为人民服务的本领，也使党员干部更加明白一个真理，那就是要把老百姓的事搞好。社会主义革命和建设时期的整风整党运动，以提高党员干部的思想水平和政治水平、密切党群关系为重点，纯洁了党的组织，增强了党的战斗力。改革开放和社会主义现代化建设新时期的党内集中教育，以让人民群众满意为重要标准，从实际出发解决广大人民群众关心的问题，提高了党组织和党员服务人民群众的积极性和坚定性。党的十八大以来，我们党开展的一系列集中学习教育，一个重要目的就是教育引导全党牢记中国共产党是什么、要干什么这个根本问题，始终保持党同人民的血肉联系。我们党来自人民，党的根基和血脉在人民。为人民而生，因人民而兴，始终同人民在一起，为人民利益而奋斗，是我们党立党兴党强党的根本出发点和落脚点。习近平总书记要求全党始终牢记，“我们的航船行驶在人民群众的汪洋大海上，水可载舟亦可覆舟，永远不要失去民心”。新的赶考之路上，全党必须始终站稳人民立场、树牢群众观点，把人民放在心中最高位置，走好新时代党的群众路线，提高做群众工作的本领，用心用情用力解决群众急难愁盼问题，不断增强人民群众的获得感、幸福感、安全感，让老百姓过上更好的日子，这是我们既宏伟又朴素的奋斗目标。   （作者：赵恺 单位系四川大学马克思主义学院）,3,0,3,,北京,北京,中国
2,5016545526810572,青浦组工,2024-03-27 14:31:59,#“两新”党建# 夏阳街道坚持以习近平新时代中国特色社会主义思想为指导，全面学习贯彻党的二十大精神，围绕推动新兴领域党建高质量发展为目标，把坚持思想领航、提升覆盖质量、推动融合发展、融入基层治理作为工作重点，不断增强党在新兴领域的政治领导力和思想引领力。详见→【“两新”党建】夏阳街道：党建领航向未来 推动发展赋“新”能 ,0,0,0,,上海,上海,中国
2,5013561354749342,美丽四团,2024-03-19 08:53:57,#以“心”融“新”#为进一步强化新业态、新就业群体党建工作，不断增强党的政治领导力、思想引领力、群众组织力、社会号召力，用心用情做好服务保障，以暖心服务彰显城市温度，四团镇党群服务中心开展“阳春三月龙抬头 暖‘新’关爱不停歇”暨四团镇“新业态、新就业群体四季行之迎春篇”活动。 ,0,0,0,,上海,上海,中国
2,5011588870308432,天津人社,2024-03-13 22:16:00,【#津彩人社# 经开区：首期“走进华为”数字化领导力提升研修班成功举办“津”彩人社 | 经开区：首期“走进华为”数字化领导力提升研修班成功举办】为贯彻落实党的二十大精神和市委市政府“十项行动”，进一步提升人才自主培养水平，促进企业数字化改革，加快实体经济与数字经济融合进程，3月7日至3月9日，天津经开区人社局组织区内19名企业家代表，赴深圳开展为期三天的“走进华为”数字化领导力提升研修班活动，旨在提升企业领导者的数字化思维与管理能力，高度重视并加大数字人才培育。本次培训是近年来经开区人社局组织的首次携企业“走出去”培训项目。,0,0,0,,天津,天津,中国
2,5008505330731013,陕西环保集团,2024-03-05 10:03:07,#陕西环保集团# 3月4日，水环境公司召开专题会议，认真传达学习集团2024年党建暨纪检监察工作会议精神。会议要求，一是以责为先，进一步加强党的政治“领导力”。以习近平新时代中国特色社会主义思想为指导，持续巩固拓展主题教育成果，围绕集团“13571”发展思路，坚持稳中求进、以进促稳、先立后破，以高质量党建引领保障企业高质量发展，确保业务工作的“弱点”在哪里，党的组织建设就覆盖到哪里；业务工作的“重点”在哪里，党的组织力量就下沉到哪里；业务工作的“难点”在哪里，党的组织保障就跟进到哪里，实现“有形”覆盖和“有效”覆盖相统一。二是以学为基，进一步提升党的思想“引领力”。始终把思想政治引领作为首要任务，严格落实“第一议题”制度，深入学习贯彻习近平新时代中国特色社会主义思想，党的二十大精神和习近平总书记历次来陕考察重要讲话重要指示，做到常学常新，引导广大党员干部进一步筑牢信仰之基、补足精神之钙、把稳思想之舵。三是以做为要，进一步巩固党的组织“战斗力”。持续强化党建与业务融合促进，真正把党的政治优势转化为企业的发展优势和竞争优势，要全面推动党建工作提质增效，不断激活“党建+”模式，打通“党建+质量”“党建+安全”“党建+经营”三条主干道。四是人才为要，进一步拓展党的事业“发展力”。坚持“党管人才”原则，创新思路、多措并举，做好人才招录、引进工作，积极搭建干部交流平台，真正为公司发展建好一支队伍、培养一批人才、创造一套理念。五是以严为纲，进一步增强党的纪律“约束力”。压实责任链条，坚持以严的基调强化正风肃纪，深入开展清廉国企建设，推动集团党委巡察反馈问题整改走深走实，持之以恒纠“四风”、树新风，真正做到敢管敢严、真管真严、常管常严，引导干部职工树立讲纪律、守规矩、重廉洁的思想认同、情感认同和行动自觉。（叶皎）,0,0,0,陕西,西安,陕西,中国
2,5002707746685460,用户7460378095,2024-02-18 10:05:35,主题教育圆满收官在党的历史长河中，每一次教育活动的举办，都是对党员精神面貌的一次洗礼和重塑。近期，我们党圆满完成了主题教育任务，这是一次深刻的思想觉醒和精神提升，不仅彰显了党的坚定信念和强大领导力，更为全体党员指明了前进的方向。回顾这次主题教育，其深远的意义和丰富的内涵令人印象深刻。首先，它是对全党的一次深刻的思想武装。在主题教育中，各级党组织和广大党员干部深入学习贯彻习近平新时代中国特色社会主义思想，不断增强政治意识、大局意识、核心意识、看齐意识，确保全党在思想上、政治上、行动上同党中央保持高度一致。这一过程中，广大党员干部的思想得到了洗礼，精神得到了升华，为实现党的历史使命提供了强大的精神动力。其次，主题教育是加强党的自身建设的重要举措。在这次教育中，各级党组织和广大党员干部紧密结合实际，深入查找自身存在的问题和不足，切实做到了边学边查边改。这不仅提高了党员干部的自身素质和能力，更为党的自身建设注入了新的活力和动力。再次，主题教育为推动高质量发展提供了有力保障。在主题教育的推动下，广大党员干部深入贯彻落实新发展理念，以更加饱满的热情和更加务实的作风投入到工作中去，为推动高质量发展提供了有力保障。同时，通过主题教育，广大党员干部也深刻认识到了自身在推动高质量发展中的责任和使命，为今后的工作和学习指明了方向。主题教育的圆满收官，不仅是对过去一段时间工作的总结，更是对未来工作的展望和期许。展望未来，我们要继续发扬主题教育的精神，不断巩固和拓展教育成果，推动全面从严治党向纵深发展。具体来说，我们要做到以下几点：一是要持续深化学习教育。广大党员干部要继续深入学习贯彻习近平新时代中国特色社会主义思想，不断提高政治站位和思想认识，确保在思想上、政治上、行动上同党中央保持高度一致。二是要切实强化责任担当。广大党员干部要深刻认识到自身在推动高质量发展中的责任和使命，以更加饱满的热情和更加务实的作风投入到工作中去，为实现中华民族伟大复兴的中国梦贡献自己的力量。三是要不断加强自身建设。各级党组织和广大党员干部要深入查找自身存在的问题和不足，切实做到边学边查边改，不断提高自身素质和能力水平，为党的自身建设注入新的活力和动力。总之，主题教育不仅为我们党的发展注入了新的活力和动力，更为全体党员指明了前进的方向。我们要珍惜这次难得的学习机会，将所学所得转化为推动工作的强大动力，为实现中华民族伟大复兴的中国梦而努力奋斗！,0,0,0,河北,保定,河北,中国
3,4999175635472813,正义的小六,2024-02-08 16:10:14,【#人民观点# 充分发挥党总揽全局协调各方的领导核心作用（人民观点）】［#新时代中国特色社会主义的伟大成就#②］一系列重大论断，深刻阐明了坚持党的全面领导的重大意义、方向原则、体制机制、方式方法等重大问题。中国共产党具有无比坚强的领导力、组织力、执行力，是团结带领人民攻坚克难、开拓前进最可靠的领导力量。 充分发挥党总揽全局协调各方的领导核心作用（人民观点）,0,0,1,山西,阳泉,山西,中国
3,4998364443444108,何荔黛秋勤芸,2024-02-06 10:26:50,#全国组织部长会议##组工干部# 全国组织部长会议中提到，突出增强党组织政治功能和组织功能，提升党建引领基层治理水平。基层是最小治理单元，要把党的领导贯穿基层治理全过程、各方面，推动基层党建与基层治理的深度融合，强化政治引领、组织引领、能力引领，着力提升对基层治理的领导力、引领力、组织力、执行力，确保党始终总揽全局、协调各方，成为基层社会治理的“主心骨”,0,0,0,湖南,邵阳,湖南,中国
