页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5025962410902374,赵新羽1981,2024-04-22 14:11:19,问题在于，我们党的一些领导者犯了对人、对党员、对工作人员漠不关心的毛病。不但如此，他们不考察党员，不知道他们如何生活，如何成长，他们根本不了解工作人员。因此，他们不是分别对待党员、党的工作人员。正因为他们在评定党员和党的工作人员时不是分别对待，所以他们通常是随便乱搞，或者是笼统而没有分寸地夸奖他们，或者是笼统而没有分寸地打击他们，成千成万地把他们开除出党。这样的领导者一般都是力求考虑几万人，不关心“个人”、个别党员，不关心他们的命运。—— 斯大林《论党的工作缺点和消灭托洛茨基两面派及其他两面派的办法 • 结束语》（1937年3月3-5日）,0,0,0,广东,广州,广东,中国
2,5025925427104993,用户7880962368,2024-04-22 11:44:22,在各次错误路线统治时期，和党的任何其他历史时期一样，一切为人民利益而壮烈地牺牲了的党内党外的领袖、领导者、干部、党员和人民群众，都将永远被党和人民所崇敬， ,0,1,0,河南,郑州,河南,中国
2,5019161565336132,海阔心无界山高人为峯,2024-04-03 19:47:11,#追忆英烈事迹 文明敬献哀思#王尽美（1898年-1925年8月19日），原名王瑞俊，山东省莒县大北杏村（今属诸城市）人，中国共产党创始人之一，无产阶级革命家 ，山东党组织最早的组织者和领导者，在党的创建和早期革命活动中，做出了卓越贡献。,0,0,0,山东,济南,山东,中国
2,5018275854158750,小张不能吃西柚,2024-04-01 09:07:41,《怎样做一个好的领导者》1、要估计环境及其变动，并找出此时此地的特点；2、要以此与党的总任务联系起来，确定一时期的任务和方针；3、要以此方针，规定当前适当的口号和策略；4、然后据此定出合乎实际的计划和指示；5、这一切必须经过最实际的调查研究，并使这些基于实际的材料与党的原理原则联系起来；6、还要在斗争中验证理论和原则是否适合当下。,0,0,0,湖北,武汉,湖北,中国
2,5014682050232917,斯库里,2024-03-22 11:07:11,#网飞三体# 马赛克：什么时候能敞开了说（文革）？——————————什么才叫敞开了说？在《关于建国以来党的若干历史问题的决议》里面，对其的定义是：&quot;文化大革命&quot;是一场由领导者错误发动，被反革命集团利用，给党、国家和各族人民带来严重灾难的内乱。嗤，这肯定不能叫“敞开了说”对吧。——————————咱们就随便说说，因为不能敞开了说。在谈及影视化之前，先说说文学方面。有个专有名词，叫“伤痕文学”。小孩子对此已经很陌生了，这类文学，是指专门描写文革段时期的文学作品。在现如今，写“伤痕文学”那些人，不少人成了“反贼”。（莫言在其中真的排不上号，无论是文笔或者内涵。）要知道，伤痕文学在上世纪的八九十年代，火爆过好多年。正式的出版物，正规期刊……满坑满谷。相关的影视改编作品也是层出不穷。那可真是敞开了说的一个时代。但不是每个创作伤痕文学的人，最后都是“反贼”，还有更多的伤痕文学作家进了作协呢。现在听不到他们的声音，是因为那套东西退流行了。就这么简单。——————————当年那么多作品看下来，我有个感受。无产阶级文化大革命是由人来参与的，只要是有人掺和在里面，那就必然是复杂的、多变的。里面有人性的黑暗，也有人性的闪光。包含这所有一切的，才是“文革年代”——————————每个人的视角，每个人的经历都不同。伤痕文学里面写的——那只是作者眼睛里看到，耳朵里听过的文革。当然也有他们亲身经历过的文革。其他的也一样。歌曲《村里有个姑娘叫小芳》是不是文革？相声《如此照相》是不是文革？电影《芙蓉镇》是不是文革？电视剧《小井胡同》是不是文革？法国电影《解放军在巴黎》都是文革。网飞三体里拍的那点子东西，真不算什么。我再说一遍——甚至拍得比《三体》原著都收敛许多。《三体》原著在国内可是卖了两千九百万册，足够台湾人人手一本，还得积压六百万册呢。那可是全国都参与了的一场“浩劫”。按面积来说，比侵华日军到过的范围都广。（对，在那会儿，文革也输出到日本了，日共可兴奋呢。没想到吧。）——————————最后，随便讲个小故事。当年破四旧。老红卫兵前面抄家，北京文物局的人跟在后面哭。官窑的瓶子摔了，德国蔡司镜头砸了，第一版定军山的黑胶唱片掰了……哎？摔碎的官窑瓶子里滚出一卷钱，红卫兵捡起来交给户主。破四旧是“破除旧思想、旧文化、旧风俗、旧习惯”不是侵占你家的财产。这种仅仅在文革前期才会发生的事情，能拿来代表文革全部，掩盖中后期的混乱和疯狂吗？不能啊。什么事儿都有个过程的。文革也一样。问问家里老人，假如他们愿意，肯定有各种各样的故事能讲给你听。把水电煤气网费先结清，关好门，保险链儿上好了，小锁头儿拧紧，你们敞开了说呗。 ——————————马赛克: 啊对对，不是侵占财产。直接全家土飞机是吧嗤，全家土飞机你觉得就够了？还有把右派诬陷送入牛棚，再霸占人家闺女儿的呢。人性的黑暗，在秩序丧失的时候，你根本想象不到其下限有多么深不可测。——————————,137,231,1004,北京,,北京,中国
2,5014740147634210,yingguang_001,2024-03-22 14:58:02,读书：吴敬琏《当代中国经济改革教程》邓小平1980年“八·一八”讲话论党和国家领导制度的改革1980年8月18日，邓小平在中共中央政治局扩大会议讨论党和国家领导制度的改革问题时，对政治改革发表了纲领性意见。他指出，由于中国长期的封建专制主义的影响，由于共产国际时期各国党的工作中领导者个人高度集权的传统，也由于长期认为社会主义制度必须对社会实行中央高度集权的管理体制，在共产党和国家现行的领导制度中存在不少的弊端：首先，在党和国家的政治生活中广泛存在着官僚主义现象。它的主要表现和危害是：高高在上，滥用权力，脱离实际，脱离群众，好摆门面，好说空话，思想僵化，墨守陈规，机构臃肿，人浮于事，办事拖拉，不讲效率，不负责任，不守信用，公文旅行，互相推诿，专横跋扈，徇私行贿，贪赃枉法，等等。“这无论在我们的内部事务中，或是在国际交往中，都已达到令人无法容忍的地步。”,0,0,0,福建,福州,福建,中国
2,5013922717368995,装裱匠毛哥,2024-03-20 08:49:53,【历史上的今天】毛泽东成为中共的真正领导者。遵义会议后，毛泽东成为中共中央领导核心的重要成员。红军长征到达陕北，特别是党的六届六中全会后，毛泽东作为中国共产党的领袖地位已得到全党的公认，并且也为国内其它党派和国际舆论所公认。到了1943年，随着整风运动的开展，调整中央领导机构的问题，提上了议事日程。1943年3月16日至20日，中共中央在延安举行政治局会议，讨论调整及精简中央领导机构、加强中央的集中统一领导等问题。3月20日，中共中央政治局通过了《关于中央机构调整及精减的决定》，推举毛泽东任中央政治局主席、中央书记处主席，正式确立了毛泽东在中共的核心领导地位。,1,1,0,吉林,通化,吉林,中国
2,5010368999460974,PeteButtigieg中文推,2024-03-10 13:28:40,"历史将以今天的领导者如何应对气候危机来评判他们。尽管面临来自两党的反对声音，拜登总统还是采取了世界历史上最重大的气候行动。他的政策将在2030年之前将我们的碳排放量减少一半。History will judge today's leaders on how they responded to the climate crisis. Despite unanimous opposition from across the aisle, President Biden has taken the most significant action on climate in world history. His policies will cut our carbon emissions in half by 2030.2024/3/10·Secretary Pete Buttigieg",0,0,0,北京,,北京,中国
2,5005819391508776,上书房行走---,2024-02-27 00:10:09,毛主席的战略决策就这么一句话，非常重要啊，说领导者的责任归结起来就是出主意和用干部两件事儿，一切计划、决议、命令、指示都是出主意，出主意就是决策，决策正确与否是事业兴衰成败的关键。所以毛泽东强调正策和策略是党的生命。哎呀，这句话非常重要。政策和策略是党的生命。什么叫政策？政策？邓小平说政策就是区别，例如深圳叫什么区？特区为什么叫特区？政策不一样，就是有区别，政策就是区别。那什么叫策略？就是怎么给这个区别。政策和策略是党的生命，政策和策略是任何组织的生命。,0,0,0,河北,唐山,河北,中国
2,5005026752466935,用户7722931538,2024-02-24 19:40:29,群体腐败具有很强的危害性。首先，群体腐败的关键是这个领导集团的主要领导即“一把手”的腐败，这就预示着这个群体的运行方面与党的路线、方针、政策背道而驰，发展下去，将在某一局部发生质的变化，成为我们党健康肌体上的一块疖疮。其次，群体腐败是这个群体领导者个体腐败的集合，它反转过来又掩护个体腐败，助长个体腐败，使这个群体中的腐败现象愈演愈烈。由于常常打着为本单位群众谋利益的幌子，所以具有很大的欺骗性。第三，群体腐败行为往往是领导集团一班人集体研究、“集思广益”的结果，他们瞄准政策的空子，巧立名目，具有很强的周密性。,0,0,0,湖南,娄底,湖南,中国
3,5002390603042121,黑历史通缉令,2024-02-17 13:05:22,1974年6月，88岁的朱德被康克清告知，他唯一的儿子朱琦，在10天前就已经去世了。朱德听到这一噩耗后沉默了很长时间，张嘴说了一句话……在中国共产党的历史中，朱德司令的地位举足轻重，他是党的杰出领导者之一，也是抗日战争的伟大战士。然而，朱德的个人生活同样充满了坎坷和挑战。他唯一的儿子朱琦的一生，就是这种艰辛生活的缩影。朱琦是朱德司令与第一任妻子萧菊芳唯一的孩子。他的一生注定了充满坎坷和困难。在朱琦的童年时期，他失去了母亲。幸运的是，朱德的第二任妻子陈玉珍成为了他的亲密伴侣和母亲般的存在。陈玉珍对待朱琦就像对待自己的亲生孩子一样，倾注了全部的爱与关怀。在她的呵护下，朱琦度过了充满艰辛的童年。长大后，朱琦深受父亲的影响，决定加入中国共产党，并成为一名勇敢的战士。他在抗日战争中立下了赫赫功勋，然而在一次激战中，朱琦不幸被手榴弹打伤腿部，不得不接受截肢手术，从此离开了前线的战火。尽管经历了战争的创伤，朱琦并没有被击垮，他投身教育事业，希望通过培养新一代的人才，为共产主义事业贡献力量。在这个过程中，他邂逅了生命中的另一半，赵力平。两人一起度过了许多美好的时光，互相扶持着迎接未来的挑战。然而，朱琦的人生并没有迎来长久的光明。退伍后，他被派到铁路局基层工作，这是一个艰苦而繁重的工作。在火车上工作已经成为他的日常，在长期暴露在煤烟中的工作环境下，朱琦的容貌被煤石熏得沉黑，他的脸上充满了煤灰。仍然战斗在国内建设的最前线，朱琦始终坚守着自己的岗位。1974年的某个早晨，他坚持工作，带着黑脸上火车，驾驶着那一片诞生了自己血汗和辛勤付出的舞台。赵力平为他准备了早餐，忙碌地之后奔向工作。此刻没有人预见到，这份早餐会成为朱琦与赵力平永远的离别。当天上午，赵力平在工作中感到心神不宁，忍不住提前请假回家。她来到家门口迎接朱琦回家的场景，亲眼目睹着医生宣布朱琦在床上离世的消息，她无法接受这个打击。朱琦的离世让她痛不欲生，她整个人都陷入了沉重的悲伤之中。朱德也流下了惋惜的泪水。他懊悔自己从未得知儿子的病情，并为不能早点发现进行有效治疗而自责。他对儿子的早逝感到深深的悔意。此刻，他意识到人生中的珍贵时刻如同飞逝的烟尘，来不及追寻和珍惜。朱琦的一生注定有着苦难与挣扎。从失去亲生母亲，到战火硝烟中丧失了一条腿，再到从事艰苦的基层工作，他一直在各种挫折和困境中奋力求存。然而，他倔强而勇敢地迎接一切挑战，带着失望中的希望，坚守着自己的信仰和责任。他将自己生命中的每一个重要人物，尤其是他亲爱的父亲朱德，视作激励和力量的源泉。尽管他的人生有着诸多遗憾与不菲的辛酸，但在农民、战士、教育家和铁路司机的身份交织中，朱琦展现了坚韧不拔的毅力和奉献精神，彰显了共产主义事业的崇高意义。参考资料：1. 《朱德传》，作者：戴锦华，中国青年出版社2. 《中国近代史》，作者：张纪中，北京大学出版社,2,4,24,北京,北京,北京,中国
3,5001588978222066,网信东洲,2024-02-15 08:00:00,#追寻先烈足迹辽宁在行动# 九一八事变爆发时，他率领部队与日军连续激战，是当时唯一没有实行蒋介石“不抵抗主义”的队伍。他就是黄显声，东北义勇军的缔造者之一，也是东北军高级将领中最先接受党的领导者。1949年11月27日，黄显声在重庆白公馆监狱英勇就义。这一生，黄显声始终将国家、民族、人民置于首位，为理想和信念努力奋斗直至牺牲！ 铁西发布的微博视频,1,0,0,,抚顺,辽宁,中国
3,4990158660704829,生活在辽宁,2024-01-14 19:00:00,#追寻先烈足迹辽宁在行动#九一八事变爆发时，他率领部队与日军连续激战，是当时唯一没有实行蒋介石“不抵抗主义”的队伍。他就是黄显声，#东北义勇军的缔造者#之一，也是东北军高级将领中最先接受党的领导者。1949年11月27日，黄显声在重庆白公馆监狱英勇就义。这一生，黄显声始终将国家、民族、人民置于首位，为理想和信念努力奋斗直至牺牲！央视国家记忆的微博视频,17,4,4,辽宁,沈阳,辽宁,中国
3,4978760551762272,苍龙飞天79,2023-12-14 08:07:59,解放军国防大学金一南老师在评价毛泽东主席时说过这么一段话，毛泽东是党的上一位领导指定接班的吗？不是。他是共产国际看好的吗？也不是，共产国际从来没看好他，毛泽东长期处于中共中央的边缘。中国共产党从1921年建党，到1935年遵义会议选择毛泽东，历经14年。这期间我们经历了多位领导者，陈独秀、瞿秋白、向忠发、李立三、王明、博古等，按照马克思主义一般理论，苏俄革命基本经验指导中国革命。可以说，中国共产党撞得鼻青脸肿，磕得头破血流，1935年遵义会议对毛泽东的选择，不是山头平衡的结果，不是利益集团妥协的结果，是中国共产党对胜利的选择。因为14年实践所证明，只有毛泽东的把马克思主义与中国实际相结合的道路，才是中国革命胜利的唯一道路。就像小平同志讲的，中国革命如果没有这个人，可能我们至今还在黑暗中模索。毛泽东的名字，永远与中国共产党，中国人民解放军，中华人民共和国紧紧相连。本条信息来自@花眼巴图MGL 如侵权，请联系本人删除。,57,25,316,江苏,宿迁,江苏,中国
3,4974204707144138,中山广播电视台,2023-12-01 18:24:41,8月30日，是中国共产党早期重要领导人之一、坚定的无产阶级革命家、著名的工人运动领袖、党的早期军事工作的重要领导者和情报保卫工作的重要开拓者之一杨殷烈士逝世94周年纪念日。视频通过介绍杨殷在革命期间用过的手提箱，来表达我们对杨殷烈士深切的怀念和崇敬之情。 中山广播电视台的微博视频 ,0,0,0,,中山,广东,中国
3,4974091248076148,黑米九说美国,2023-12-01 10:53:50,BLM领导者罗德岛州 BLM联合创始人马克·费舍尔 (Mark Fisher)，支持川普，反对民煮党的种族政策，说我们不傻 ,2,6,47,加拿大,,加拿大,加拿大
3,4973735449203550,大学生时事与政治研究会,2023-11-30 11:20:01,#江泽民逝世一周年# 逝者如斯，唯愿安息。江泽民同志是我党我军我国各族人民公认的享有崇高威望的卓越领导人，伟大的马克思主义者，伟大的无产阶级革命家、政治家、军事家、外交家，久经考验的共产主义战士，中国特色社会主义伟大事业的杰出领导者，党的第三代中央领导集体的核心，“三个代表”重要思想的主要创立者。愿阵阵清风带着问侯，寄托我们对革命先辈的无限思念；愿滴滴细雨带着敬意，寄托我们对革命先辈的无限缅怀！您永远活在我们心中！,0,0,1,湖南,娄底,湖南,中国
3,4972597952646490,央视国家记忆,2023-11-27 08:00:01,【74年前的今天#黄显声英勇就义#】九一八事变爆发时，他率领部队与日军连续激战，是当时唯一没有实行蒋介石“不抵抗主义”的队伍。他就是黄显声，#东北义勇军的缔造者#之一，也是东北军高级将领中最先接受党的领导者。1949年11月27日，黄显声在重庆白公馆监狱英勇就义。这一生，黄显声始终将国家、民族、人民置于首位，为理想和信念努力奋斗直至牺牲！#国家记忆# @央视国家记忆 央视国家记忆的微博视频,38,8,93,,,北京,中国
4,4972838186912287,文明昌都,2023-11-27 23:54:37,#文明昌都# 【74年前的今天#黄显声英勇就义#】九一八事变爆发时，他率领部队与日军连续激战，是当时唯一没有实行蒋介石“不抵抗主义”的队伍。他就是黄显声，#东北义勇军的缔造者#之一，也是东北军高级将领中最先接受党的领导者。1949年11月27日，黄显声在重庆白公馆监狱英勇就义。这一生，黄显声始终将国家、民族、人民置于首位，为理想和信念努力奋斗直至牺牲！#国家记忆# @央视国家记忆 央视国家记忆的微博视频,0,0,0,,昌都,西藏,中国
4,4972765301180272,叶建勛,2023-11-27 19:05:00,#透过窗口看中国#【74年前的今天#黄显声英勇就义#】九一八事变爆发时，他率领部队与日军连续激战，是当时唯一没有实行蒋介石“不抵抗主义”的队伍。他就是黄显声，#东北义勇军的缔造者#之一，也是东北军高级将领中最先接受党的领导者。1949年11月27日，黄显声在重庆白公馆监狱英勇就义。这一生，黄显声始终将国家、民族、人民置于首位，为理想和信念努力奋斗直至牺牲！中国#国家记忆# @央视国家记忆 央视国家记忆的微博视频,1,0,1,浙江,金华,浙江,中国
4,4962934272298183,龙华英烈,2023-10-31 16:00:00,#龙华展讯# 在中国共产党的百年奋斗历程中，有这样一位年轻的文人和报人，在恰同学少年、风华正茂的年纪，甘为“火种”，为共青团组织的发展呕心沥血，为号召青年在党的领导下救国救民而发声、献身，他就是中国共产党早期青年运动的领导者之一、左翼作家李求实。 ,1,0,5,,上海,上海,中国
