页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4903782809338833,用户7580369760,2023-05-21 10:33:12,28日上午，山根幸夫打车陪同去千叶县市川市须和田，送至挂有“郭沫若故居”木牌大门前，郭老第四子郭志鸿接待，山根幸夫告辞。故居是日本旧式木板房，一排四间成“L”字形，因重新装修过，不全是当年的原样。1955年12月，郭老访日时还于5号回到此旧居，受到昔日近邻友人热情欢迎，作五言古诗《别须和田》。郭志鸿介绍现在接待的大间，是当年郭老的写作室，许多著述在此写成。屋前有近一亩地的花园，绿树成荫花草遍地，种有蔬菜。郭志鸿介绍：郭老当年在园中除种花草树木外，还种蔬菜和小麦，监视的刑士不时还帮助耕种，可知时光太长，他们也闷得慌，要找点事做。,0,0,0,河南,平顶山,河南,中国
2,4893698954889452,巴黎的风202303,2023-04-23 14:43:34,#香城宝地 新都等你# 位于成都北郊新都区的桂湖公园，面积4万平方米，湖面约2万平方米，相传为明代著名学者杨升庵的旧居，以环湖遍种桂花树而得名。 门匾“桂湖”及对联“桂蕊飘香美哉乐土，湖光增色换了人间”，是郭沫若于1963年中秋题写。@川派好风光 ,0,0,0,四川,绵阳,四川,中国
2,4893407875697870,Lumos_Angelina,2023-04-22 19:26:55,在多伦路的闲逛日记： p1茅盾故居 p2戏剧人物展 p3鲁迅故居 p4p5内山书店 p7孔家公馆（孔祥熙旧居） p8多伦路某书店（忘了叫啥） p9p10郭沫若旧居 p11左翼作家联盟会址 p12p13大上海 上海·多伦路文化名人街 ,1,4,7,上海,上海,上海,中国
2,4881489449976133,婉柔0023,2023-03-20 22:07:20,郭沫若旧居，巴蜀会馆，白象街，二厂文创公园，峨岭公园拍花花。今天真像重庆一日游了，像这样的工作赏心悦目，轻松愉快，十分有趣，文学与游历并重，十分体现，艺术来源于生活重庆 ,0,0,1,重庆,重庆,重庆,中国
2,4872378976834335,枳花驿,2023-02-23 18:45:35,今日份第二个行程:  齐白石旧居纪念馆其实我只是想找一个可以给游客参观的老北京四合院梅兰芳故居、郭沫若故居、茅盾故居、老舍纪念馆，只打算参观一个 。首选老舍纪念馆，因为《想北平》，结果闭馆维修 好吧再看看 。选了在南锣鼓巷的茅盾故居。拖着行李箱跟着地图一路磕磕绊绊到后圆恩寺胡同，好家伙也闭馆并且从21年11月就开始闭馆 还好我还有一个选择，一路走过来路上有看到雨儿胡同有个齐白石旧居。幸好，看了下离今天关门还有半小时，抓紧时间去看看吧 如愿以偿了，这次在北京的最后一个行程，参观老北京四合院。圆满！看到人家手上的吉事果，一冲动没忍住买了一份，卖相是很好，可是它是冰淇淋啊 初尝味道很大，虽然冷了点，我还是蛮兴奋的。吃到后面腻了，但是不能浪费啊 硬着头皮吃完我居然吃冰淇淋，我有罪  太腻了，我急需一点咸味的东西来中和一下，于是又来了一个手抓饼，其实我很饱了。,0,6,3,北京,北京,北京,中国
2,4867988199835557,哈哈哈liu,2023-02-11 15:58:12,二月新一轮巡查开始：黄位贤烈士墓、顺昌铁厂烟囱、郑家院子（鸿恩寺公园外）、较场口六五隧道惨案、郭沫若在马蹄街的旧居、国民参政会旧址（解放碑）。 小程序增加“随手拍”，这样巡查的范围就扩大了，走到哪里先查询目的地是否有文保建筑。完成任务很有成就感。#文保有方# 哈哈哈liu的微博视频 ,0,1,2,四川,成都,四川,中国
2,4858257079014395,上品SP,2023-01-15 19:30:12,14.国民政府军事委员会政治部第三厅暨文化工作委员会旧址（重庆郭沫若旧居） ,0,0,0,重庆,重庆,重庆,中国
2,4857814574700416,中国网文化,2023-01-14 14:11:51,#小年#春节至元宵节期间，#十个北京历史文化名人探访点#推出一系列活动，分别为：中国共产党早期北京革命活动纪念馆、徐悲鸿纪念馆、詹天佑纪念馆、鲁迅旧居、北京郭守敬纪念馆、中国现代文学馆、郭沫若纪念馆、李四光纪念馆、福州新馆、京报馆旧址。#博物馆之城过大年# ,3,0,1,,北京,北京,中国
3,4845923161345306,恒旅网,2022-12-12 18:39:37,乐山潮·文博派｜听乐山文物故事——郭沫若旧居博物馆@四川文旅 @乐山文旅  为推动乐山博物馆事业高质量发展，讲好文物故事，充分发挥博物馆在传承弘扬中华优秀传统文化中的重要作用。恒旅网重磅推出“乐山潮·文博派”“听乐山文物故事”系列主题宣传 乐山潮·文博派｜听乐山文物故事——郭沫若旧居博物馆 ,0,0,0,,乐山,四川,中国
3,4840034966177810,上海虹口,2022-11-26 12:42:01,【北外滩影像日志——郭沫若溧阳路旧居④】1994年2月15日，上海市人民政府公布郭沫若溧阳路旧居为上海市优秀历史建筑；2003年12月16日，虹口区人民政府公布其为虹口区等级不可移动文物。 ,0,0,1,,上海,上海,中国
3,4828941200923217,赵所生,2022-10-26 21:59:22,【“故居”改“旧居”】1961年刘少奇参观韶山毛泽东故居，对门匾“毛泽东同志故居”凝视了一会，建议把“故”字改为“旧”。不久湖南省委办公厅请郭沫若先生题写了“毛泽东同志旧居”匾额，换下了原匾。“故、旧”都有旧的、以前的之义，但“故”还含去世义。当年毛主席健在，“故”改“旧”显然更好。 ,13,15,57,江苏,南京,江苏,中国
3,4812495417771015,我那糟粕的头发,2022-09-11 12:49:42,郭沫若旧居… 中秋昨天才开始重新营业 来得正是时候… 重庆·重庆郭沫若旧居 ,0,0,0,重庆,重庆,重庆,中国
3,4797181016671712,风雨途中的刀客,2022-07-31 06:35:44,重庆抗战名人郭沫若旧居是小青瓦园林建筑它记载了其奋斗与成长历程 重庆·重庆郭沫若旧居 风雨途中的刀客的微博视频 ,0,0,0,重庆,重庆,重庆,中国
3,4794112798621861,渝中区图书馆,2022-07-22 19:23:43,渝中深度游丨走进七星岗的人文与历史，你有多久没来过郭沫若旧居？ 渝中深度游丨走进七星岗的人文与历史，你有多久没来过郭沫若旧居？ ,0,0,0,,重庆,重庆,中国
3,4791185593340499,渝中文旅,2022-07-14 17:32:04,#重庆# #渝中# #七星岗# #通远门# #郭沫若旧居# #渝中深度游# 渝中深度游丨走进七星岗的人文与历史，你有多久没来过郭沫若旧居？渝中区作为重庆母城，可算是将山城的特色演绎得淋漓尽致：飞跨两江的大桥、蜿蜒回旋的步道、依势造就的楼宇……而位于渝中中部的七星岗，更是一个连名字都充满故事的地方，属于这里的神秘传说，总是在人们不经意的闲聊中被提及。一段古城墙、一座英雄冢、一条老街巷，便是这漫漫时光的信标，将悠长的历史往事述说……渝中深度游丨走进七星岗的人文与历史，你有多久没来过郭沫若旧居？,0,0,0,,重庆,重庆,中国
3,4783605944944865,星宝日报Zoe,2022-06-23 19:33:15,旅游星宝家庭咖啡馆重庆周边可以旅游的地方系列推荐👉重庆郭沫若旧居暨国民政府军事委员政治部第三厅和文化工作委员会旧址，位于重庆市沙坪坝区西永镇香蕉园村（全家院子），面积10190平方米，建筑风格为清晚期四合院，穿斗结构，小青瓦屋面，斜山式屋顶。值得参观。很不错，免费，只需身份证登记。 重庆·西永,0,2,1,重庆,重庆,重庆,中国
4,4781052855848618,婕儿6212128823,2022-06-16 18:28:11,如梦之梦，致敬曾经的中国戏剧前辈 今天去郭沫若先生旧居参观，感慨良多，重庆真的是不缺故事不缺历史沉淀的一座城市！看到前辈们在那个烽火交加的时代用戏剧去传递爱国主义思想，传承民族精神，不卑不亢支持中国革命，把中国的戏剧艺术带到祖国各地，用艺术激发国人的抗战精神，一部电影拍两年，风餐露宿，只为呈现最好的片子！感慨，#肖战# 他一定是传承了先辈们的思想，在这个阶段沉淀下来出演话剧，不管未来会怎样，我相信他一定会成为最好的肖战，他也感染着年轻的一代人努力为艺术为身边的人带来更多正能量！祝福你肖战师弟#如梦之梦# 大家一起入梦 绿洲,0,0,0,重庆,重庆,重庆,中国
4,4780615201981135,被爱着的霂恩一家,2022-06-15 13:29:06,#游记# 寻找老城门又一次脚都走肿的暴走之行。原计划从通远门走到东水门，无奈中途找南纪门耽误了时间（后来才知道已经没有城门了），还剩三个门没来得及走，留到下次。通远门-鼓楼巷-打枪坝-兴隆街（走到幼儿园后门以为没路了， 没想到还可以走居民楼里的楼梯，下完楼梯又到了另一条街）-郭沫若旧居-领事巷-山城巷（仁爱堂和沿江栈道是惊喜）。美食： 琳香麻辣串、花市豌杂面、茶百道。,0,2,2,重庆,重庆,重庆,中国
4,4779101007381572,阿康815,2022-06-11 09:12:13,重庆旅游 【重庆•九龙/渝中】「新华春天、郭沫若旧居、九龙半岛」掠影。 重庆 阿康815的微博视频 ,0,0,0,重庆,重庆,重庆,中国
4,4764346083707136,两个奔四的大叔,2022-05-01 16:01:26,红岩联线一日游，带爸妈从冯玉祥旧居-张治中旧居-郭沫若旧居，从阴雨连绵逛出了蓝天白云。 ,0,23,28,重庆,重庆,重庆,中国
4,4761452961334684,活生录记象印,2022-04-23 16:25:12,今日访#全国重点文物保护单位#1、盛新中学与佑贞女中旧址，现北京四中，不能入。2、郭沫若故居，20元，上世纪初建筑，牡丹正艳。3、辅仁大学旧址，现北京师范大学。建于上世纪二十年代，现代与传统结合，精美，可惜无法入内。4、梅兰芳旧居，10元。清末庆亲王府一部分。过白塔寺北，腿至鲁迅纪念馆，居然每日四点闭馆，只能下次再探,0,0,3,,,,
4,4761405142861326,小糖葫芦甜呐,2022-04-23 13:15:11,#翻开一本书的第23页第4行# emmmm微信读书算吗？？ 最近在看讲李清照的《才女之累》 第四行是郭沫若写的诗： 一代词人有旧居，半生漂泊憾何如！ 冷清今日成轰烈，传诵千秋是著书。 ,0,0,2,,,,
4,4760482231879839,小熊是谁啊,2022-04-21 00:07:52,郭沫若旧居 重庆·重庆大学城 ,0,1,1,,,,
4,4757548844190284,请修改昵称丫,2022-04-12 21:51:38,重庆寄宿考研二战考研 学习的地方就还在景点郭沫若旧居旁边 重庆·好老师考研培训基地 ,0,0,1,,,,
4,4749399840000196,用户7748002564,2022-03-21 10:10:24,山阴路独栋老洋房，溧阳路:著名建筑有郭沫若故居，鲁迅存书室，解放前上海总工会，曹聚仁故居，金仲华旧居等，以花园洋房建筑群最为出名 上海 用户7748002564的微博视频 ,0,1,0,,,,
5,4737628422020962,江南太子李苏荷,2022-02-16 22:34:59,今天难得的休息！！ 去看了刚好在附近的郭沫若旧居 一个劲儿地把脸凑到玻璃柜子上看看是不是真迹 接下来也要加油～ 重庆·重庆郭沫若旧居 ,0,0,0,,,,
5,4735365511119847,-谢易懒,2022-02-10 16:42:59,走进语文课本  绝了呀家人们，爬了我一身汗，结果因为疫情郭沫若旧居暂时不对外开放误打误撞走到了领事巷，旅游的小惊喜大概就是这样 重庆·重庆郭沫若旧居 ,0,4,6,,,,
5,4733519177977768,新角9574,2022-02-05 14:26:19,郭沫若旧居 国民军事委员会政治部文化厅旧址 老郭在新旧政府都管文化 重庆 ,0,0,0,,,,
5,4715300585473577,美哉新县,2021-12-17 07:52:08,重庆#山城巷# 有一条马蹄街 马蹄街旁边有座郭沫若旧居 重庆·马蹄街与山城巷交叉口 ,0,2,1,,,,
5,4710410349187829,三江都市报,2021-12-03 20:00:05,#乐山文旅#【“追寻郭沫若足迹”川渝行活动在沙湾区启动】11月30日，“追寻郭沫若足迹”川渝行活动启动仪式暨文艺惠民演出在乐山市沙湾区举行。现场，四川省沫若艺术院、乐山沙湾郭沫若纪念馆、重庆渝中区郭沫若旧居、重庆沙坪坝区郭沫若纪念馆签订川渝四馆交流合作战略协议。下一步，川渝四馆将在展览展演、学术研究等方面开展广泛深入合作，建立成渝文化艺术高层次、多方位、宽领域的战略合作关系。四川省文艺志愿者协会的志愿者为观众带来丰盛可口的“文艺大餐”，鼓舞《盛世鼓舞》、竹板对打《表哥表弟》、四川清音《米香粉香》、四川扬琴《黄荆树》等精彩纷呈的节目让人直呼过瘾。记者了解到，除文艺惠民演出外，此次“追寻郭沫若足迹”川渝行活动还将在川、渝两地开展艺术名家讲堂、沫若主题创作笔会、沫若主题讲座等系列活动，借此进一步弘扬和发掘沫若文化。“沫若文化”作为四川重要的文化名片，也是乐山特色文化的重要组成部分。一直以来，我市着力挖掘“沫若文化”内涵，不断丰富国家历史文化名城“名山、名佛、名城、名人”的内涵。此次“追寻郭沫若足迹”川渝行活动既是在成渝地区双城经济圈建设中切实发挥文艺先行作用，推动文艺被纳入成渝地区双城经济圈建设宏大构想的一体推进，用好用活两地历史文化资源，也将进一步深化川渝两地文艺界交流合作。（刘君 记者 杨心梅  素材：杨心梅 后期：毛雪玉)“追寻郭沫若足迹”川渝行活动在沙湾区启动,1,2,3,,,,
5,4698761400419108,没头脑小小小姐,2021-11-01 16:31:19,这次走到我和小夏都特别喜欢的「马蹄街」 一条街都是老街，菜家古堡，小店铺，郭沫若旧居，小朋友的嬉戏打闹，老奶奶的聊天，吆喝声，人间烟火气，最抚凡人心呐！ 第四次来重庆，越来越喜欢这座城市！ 成都 ,0,0,1,,,,
5,4696929093815088,阿仲的世界,2021-10-27 15:10:23,随郭沫若女儿平英大姐参观夏衍旧居和草婴书房(2021.10.26) 上海·古北 ,0,0,0,,,,
5,4691466276570631,隆离托尔斯虎,2021-10-12 13:23:06,参观郭沫若旧居博物馆。不多介绍了，鲁迅是新文化的导师，郭老是新文化的主讲，能在国共两党都混出名堂，非常人能及。看完了郭老的自传，再看博物馆的介绍，对郭老实在太佩服。这么说吧，鲁迅的杂文和郭沫若的诗歌，可以并列双雄，时代产物。郭老还在中国古代历史、甲骨文以及铭文研究，颇多贡献，尤其是中国古代史和通史研究，具有开拓作用。 重庆·重庆郭沫若旧居,1,1,0,,,,
5,4689250275033645,蜡笔小新阅读会,2021-10-06 10:37:29,若无松柏志，超越不为高——郭沫若郭沫若，本名郭开贞。中国现代作家、历史学家、考古学家。位于重庆市沙坪坝区西永镇的香蕉园村是他在抗战时期进行抗日宣传工作的主要阵地。其旧居占地面积多达10190平方米，建筑风格采用的是当今罕见的清晚期四合院风格，具体表现在香蕉园村的穿斗结构、小青瓦屋面以及斜山式屋顶这些方面。当游览者身临其中，不仅能感受到它蕴含的浓重历史感，同时对郭沫若同志也能有更加深入的了解。热忱欢迎大家前去参观，感悟文化与历史，自然与科技的多重体验。旅行 重庆·重庆郭沫若旧居,0,0,1,,,,
