页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4904894098052622,今日闵行,2023-05-24 12:09:04,【闵行这处遗迹，曾是通往解放上海的西南大门】#闵闵分享# 因玉兰花盛名在外，来闵行文化公园的人多数是为了踏青赏花，鲜有人特意去园内的碉堡遗迹处追思过往，缅怀英烈。这多是因为大部分人不了解七号桥碉堡的历史，也未曾听说过关于它的那些人和事，就算是影视剧，留给我们的也只是一些片段回忆。即便如此，那些历史——关于七号桥碉堡的往事不应该被忘记。 闵行这处遗迹，曾是通往解放上海的西南大门,118,4,8,,,,
1,3767344373392738,申哥_看大上海風情,2014-10-19 11:12:35,【七号桥 - 碉堡】— #老上海故事# 今日上午，专程前往 @上海闵行 漕宝路七号桥，拍摄了这座在 1949年（1949.5.12 - 27）解放战争中留下的 #碉堡# 。如今在上海，象这样的完整被留存保护下来的 碉堡 已经是不多见了（碉堡，就在七宝古镇东侧、闵行文化公园里面）。 ,93,33,13,,,,
1,4533057971818108,警民直通车-上海,2020-08-01 10:25:03,"#深入学习四史,坚守初心与使命# 【缅怀革命烈士，学习革命精神】今日上午，上海市公安局闵行分局团委组织青年民警代表前往漕宝路七号桥碉堡，对革命烈士进行祭扫，缅怀他们的光荣事迹。青年民警代表表示一定会坚守初心，将革命精神融入到公安工作中。警民直通车-闵行的微博视频 ",1,1,12,,,,
1,4955551916098104,govil,2023-10-11 07:05:09,闵行区博物馆虽然偏僻，但工作日人也很多。拿出“珍藏多年的乐高文物”（自己建模3d打印）来对比一下，吓别人一跳，哈哈我不是机器猫。金丝翼善冠我想了好久了，可惜不是原品。上博休整期里闵行区博物馆也是个好去处。天气变冷，旁边七号桥碉堡没去可惜了。 ,0,2,1,上海,上海,上海,中国
1,4924060779418125,Amy和Judy的麻麻,2023-07-16 09:30:37,八点钟集结完毕，暑期爱国主义教育从七号桥碉堡开始。 ,0,0,2,上海,,上海,中国
1,4911162145115931,梁生活委員衡,2023-06-10 19:16:03,漕宝路七号桥碉堡，扼守西郊进入上海市区之处，为汤恩伯所建 上海·闵行文化公园-碉堡遗址 ,0,0,2,上海,上海,上海,中国
1,4904939425891670,闵行新虹,2023-05-24 15:09:11,【闵行这处遗迹，曾是通往解放上海的西南大门】#闵闵分享# 因玉兰花盛名在外，来闵行文化公园的人多数是为了踏青赏花，鲜有人特意去园内的碉堡遗迹处追思过往，缅怀英烈。这多是因为大部分人不了解七号桥碉堡的历史，也未曾听说过关于它的那些人和事，就算是影视剧，留给我们的也只是一些片段回忆。即便如此，那些历史——关于七号桥碉堡的往事不应该被忘记。  闵行这处遗迹，曾是通往解放上海的西南大门,1,0,5,,上海,上海,中国
1,4904219888323852,龙华英烈,2023-05-22 15:30:00,@龙华英烈 邀请新青年关注《#回顾解放上海战役不忘红色初心#丨解放上海战役区》系列专题在上海闵行区七宝镇漕宝路上，一直矗立着一座巨型碉堡。碉堡高三层，蘑菇状，由钢筋水泥筑成。这座碉堡，曾是解放上海战役中拖住了解放军进攻步伐，使他们足足鏖战三天三夜的“七号桥碉堡”。1949年1月，国民党上海守军为了固守上海，在近郊修筑了大量防御工事。据统计，仅七宝地区就有34座碉堡，七宝地区的碉堡易守难攻。七号桥碉堡就是该时期的建筑之一。,0,0,3,,上海,上海,中国
1,4898434449937372,奉贤柘林,2023-05-06 16:20:44,#柘林资讯# 【#廉洁润初心 铸魂担使命#丨柘林镇城建中心党支部赴闵行开展廉政教育活动】为扎实推进党风廉政建设和反腐败工作，不断推动全面从严治的纵深发展，柘林镇城市建设管理事务中心党支部联合红色物业开展“廉洁润初心、铸魂担使命”主题党日活动，赴闵行廉政文化馆、七号桥碉堡进行参观，进一步引导党员、干部们切实做到讲政治、守纪律、懂规矩，营造风清气正、干事创业的良好政治生态。网页链接,0,0,0,,上海,上海,中国
1,4887261680764817,清茶猪猪,2023-04-05 20:24:08,闵博看展——漢·無極 感叹2000年前中华文化之灿烂 佩服先人的智慧 闵行文化公园——七号桥碉堡 缅怀先烈，珍惜美好生活（应个景） #马王堆文物展##闵行博物馆##中华文化##清明##致敬英雄缅怀先烈# ,0,0,2,上海,上海,上海,中国
1,4862047479661099,申哥_看大上海風情,2023-01-26 06:31:54,漕宝路 七号桥碉堡。@欣喜而建  @朴尔敏2012,7,1,2,美国,,美国,美国
1,4857970154275508,不愿醒来的小老虎,2023-01-15 00:30:04,机缘巧合，造访千年古镇。 从七号桥碉堡了解上海红色历史，致敬先烈。 癸卯年小年， 第一次收听动车列车员因天气原因晚点的告知广播。 ,0,0,0,天津,天津,天津,中国
1,4854958068860281,高参88,2023-01-06 17:01:07,【闵行文化公园战争遗物“碉堡”】闵行文化公园战争遗物“碉堡”七号桥碉堡位于上海市漕宝路七号桥。“一轴”指吴中路入口景观轴，包括入口建筑、景观长廊、绿坡广场、大香樟、... 网页链接 ,0,0,2,上海,上海,上海,中国
