页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5008567586786816,河北新闻广播,2024-03-05 14:10:30,【#建议依法打击黄牛抢票倒票行为#】今年全国两会，全国政协委员、上海科技馆馆长倪闽景建议开展文博场馆、科技场馆黄牛抢票倒票治理。对于代购机构利用他人身份证信息进行大规模抢票退票、人为造成票源紧张的行为，由公安部门查实后，应视为符合《刑法》第227条规定，属于构成犯罪，应予以打击。网页链接,0,0,0,,石家庄,河北,中国
2,5008567577086437,白嫖的科普,2024-03-05 14:10:28,上海人真的有自己的沪币，就这个物价，财神爷来了也得光着腚回去 白嫖的科普的微博视频 ,0,0,0,安徽,阜阳,安徽,中国
2,5008567570010045,蛋蛋蛋蛋炒范,2024-03-05 14:10:26,#浙江队vs上海海港# you did it 1stwe make it 15th.....#上海海港#,0,0,0,上海,,上海,中国
2,5008567562141810,Yuuki_mkt,2024-03-05 14:10:23,我靠真的求求了那台switch对我来说特别特别重要求求一定帮我找找啊….我现在特别想死特别崩溃……求求了….粉色壳的ns掉在女厕所里了真的谁帮我找到我命都是谁的 我磕头下跪了忙我找到啊那些游戏对我来说和我的生命一样重要求求了 有个69-98登机口招牌过去的第一个厕所 好像是第二个还是第三个厕所位置放在台子上的 求求了万能的网络求你们一定忙我找到啊有偿500元谁帮我找到我一定给钱绝对不会骗人 是要帮我找到什么都好说拜托了拜托了我真的好想哭现在 打电话给失物招领他们说我报的位置不够准确上海浦东国际机场2号航站楼上海浦东机场 上海·上海浦东国际机场,0,0,0,上海,上海,上海,中国
2,5008567545366372,新浪财经,2024-03-05 14:10:20,【#惠民保如何优化##建议惠民保优先纳入医保没有的药品种类#】同类型国产药大幅降价进入了医保，但价格高出数倍的进口药却成为了各地惠民保特药目录中的明星产品，从而造成特药理赔成本和参保人的经济负担。针对相关现象，2024年全国两会，全国政协委员、复旦大学上海医学院副院长吴凡拟提交《关于明确惠民保功能定位，完善惠民保特药目录规制的建议》，建议惠民保与基本医保形成差别定位、互补功能，制定惠民保特药目录“有进有出”的动态调整机制，形成合理价格，提升惠民保特药保障的公平性和有效性，减轻患者负担，降低惠民保理赔压力。所谓“惠民保”产品，多是由地方政府指导、保险公司承保的“一城一策”定制型商业医疗保险，普遍具有保障高、保费低、投保门槛低等特点。吴凡在调研中发现，当前惠民保特药目录制定缺乏与基本医保的有序衔接，各地惠民保特药目录的纳保规则不清晰、不透明，且惠民保特药目录缺失有效的“调进调出”动态机制。吴凡建议对惠民保的功能定位及特药目录纳保规则进行修正和完善。首先，进一步明确惠民保的定位与功能，与基本医保形成差别定位，发挥互补功能。同时，在传统医疗赔付之外，增加预防、健康管理的服务内容，增加惠民保对于年轻、健康人群的吸引力，成为撬动健康服务业发展的支点。其次，出台惠民保的纳保基本规则，根据各地的主要健康问题，优先纳入基本医保目录尚未覆盖的药品适应症和药品种类；制定惠民保特药目录“有进有出”的动态调整机制，提升惠民保特药保障的公平性和有效性。第三，参照“国谈药”的价格形成机制，指导制定惠民保特药谈判规则，形成合理价格，进一步减轻患者负担，降低惠民保理赔压力，保障惠民保可持续发展。（澎湃新闻）,0,0,0,,北京,北京,中国
2,5008567484810028,被淹没在繁星,2024-03-05 14:10:06,换个地方过年而已，和在上海待着有区别吗？一年到头行程少了吗？为了cw来回飞的时候和平常工作的状态有什么区别？真要算下来也就年后休息了二十来天而已，难得空闲和家人待一段时间也惹到你了？你会不会太关注私生活了某些“好歌迷”棉花看了可能都会觉得自愧不如，发癫的时候拿这个出来说只会让人觉得你有病。,0,0,2,江苏,宿迁,江苏,中国
2,5008567473799933,王葱匆聪丛,2024-03-05 14:10:03,上海速度 ,0,0,0,上海,上海,上海,中国
2,5008567441294029,浙商宏观,2024-03-05 14:09:55,为什么大家看病都喜欢往上海北京跑？@邸邸: 我姐家孩子在石家庄儿童医院看了两年，孩子摇头，眨眼睛，每周去，做心理治疗，吃的治精神病的药，花了五万多，没好，去北京挂号费三百，医生说时鸡蛋过敏，别吃鸡蛋了，就好了@687158863448259: 我亲戚家孩子在老家说是白血病别治了，治也是人财两空，去北京儿童医院一查胸膜炎，七天出院了@🍒 落落🍓: 我舅舅儿子黑色素瘤，郑大一附院让住院化疗，去北京肿瘤医院检查直接说回去吧没得治，很快没了@陈猿猿: 我认识的人担架抬着去的，结果一检查不是癌症，自己坐高铁回来的。前后三天时间的变化，谁不去啊@我有故事。░: 小时候双腿没知觉站不起来，在老家医院看了半年没啥用，每天挂水吃药。来北京挂了一个专家号打了一个两块五的针治好了[流泪]，打完两块五的针立马就能走了，我爸爸扶着墙泣不成声@687158863448259: 我亲戚家孩子在老家说是白血病别治了，治也是人财两空，去北京儿童医院一查胸膜炎，七天出院了@水易轩府: 我的客户，男性，系统性红斑狼疮综合肾病，在本地省级医院看的说随时准备后事，媳妇背着病历去北京协和医院，医生一看说离死远着呢，开了一些药，回来吃吃都上班几年了@依然饭特稀🤔: 看了这么多，终于理解了北京户口多难迁房价多高也有好多人挤破头的想去北京了，享受的资源不是盖的@Immortal: 我妈在我们这的肿瘤医院拍片说是骨转移，到北京说是炎症，不干活就好了，然后就真好了。从癌症晚期到没事人，你说吓人不吓人@ 苗苗 : 我家三岁小孩鼻窦炎，省医院检查做了一大堆，让做手术全麻切掉，去北京手电筒照一下，200块药好了#委员建议女性可带薪育产假达2年#@璞玉浑金: 我爸咽喉疼，在北京郊区小县城医院花了5000多看了好几次都说是咽喉炎还没治好，去了北京市区医院看说是返流性食管炎花了100块钱治好了！伙伴骑摩托摔了去我们这医院上来就要截肢，去了积水潭住一个月治好了，腿恢复正常了,0,0,0,浙江,温州,浙江,中国
2,5008567428186358,枫叶知秋0808,2024-03-05 14:09:51,门牙有一颗外突很厉害，其余牙齿整齐，想在上海正畸，@Zoe的牙套经，集美你帮我看下上海牙齿矫正经验丰富审美好的医院医生有哪些推荐呀？ ,0,0,0,四川,成都,四川,中国
2,5008567415342838,博客天下,2024-03-05 14:09:49,#王一博民国妆造##王一博首部谍战剧#    王一博领衔主演#电视剧长风破浪# 首发剧照！1930年代的上海滩，一场波诡云谲的金融战局即将展开。 ,0,1,4,,北京,北京,中国
