页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4881989788502322,叶大鹰,2023-03-22 07:15:31,96年前的今天，1927年3月21日， 上海工人在陈独秀、罗亦农、赵世炎、汪寿华、尹宽、彭述之、周恩来、萧子暲参加的中央特别委员会领导下举行第三次武装起义，经过两天一夜共30小时激战，打败军阀部队，占领上海（外国控制的租界除外）。『“特委会”——上海工人第三次武装起义成功的密钥』 网页链接4&amp;sharer_shareid=ad233911cc01cfa04b728ae4d546ac2c&amp;from=timeline&amp;scene=2&amp;subscene=1&amp;clicktime=1679440506&amp;enterid=1679440506&amp;sessionid=0&amp;ascene=2&amp;fasttmpl_type=0&amp;fasttmpl_fullversion=6599710-zh_CN-zip&amp;fasttmpl_flag=0&amp;realreporttime=1679440506749&amp;devicetype=pad-android-29&amp;version=28002151&amp;nettype=WIFI&amp;lang=zh_CN&amp;countrycode=CN&amp;exportkey=n_ChQIAhIQCU6Syi3EwTQBpOdeSOsZkBLnAQIE97dBBAEAAAAAACIjAHeJmeUAAAAOpnltbLcz9gKNyK89dVj0yAHTX%2BM%2FAjLqNnpebZE4D0P5FB9cyJXEpn2NvhKUReV8alH4bQikuwaaSccsixgVuei%2BVGIJJYPyt5WQubm7DyevFwZ4Z6SDdEr19JbDO01EoqX%2BEOXnIBoxZAUgsbY8I%2BMLhsRrqS4eYqlq6oumvsMgXJ2wep33lFc%2FC4TJLmUzcImQE%2BYQfZKy6UOeKIOVxfzp2qdlTa7qP3IR7Vbv%2BRCcW3SrYjQlRpLCi9Xgd0phRuFGas991PYQM8Jip77xww%3D%3D&amp;pass_ticket=l18pbrq9%2BhAPlIJ0OSx7uPnXLRz1G0xgdZsMJiyyfCG05goOIWfUM%2F%2BDFMYxR%2F1N1u8ZET9J8iX8ITt9Q5Dhzw%3D%3D&amp;wx_header=3,7,0,53,北京,北京,北京,中国
2,4881320872513362,上海规划资源,2023-03-20 10:57:29,【西成里：上海工人第三次武装起义发布命令地点旧址】# 档案# 上海市黄浦区自忠路361号（原西门路西成里173号），是一处沿街石库门建筑。九十六年前的春天，1927年3月21日，上海工人第三次武装起义的命令从这里发布，传向申城的四面八方。详情点击【档案】西成里：上海工人第三次武装起义发布命令地点旧址 ,1,0,2,,厦门,福建,中国
2,4881263666923227,江江bot,2023-03-20 07:10:10,#历史上的今日#  1987年3月20日，上海市各界人士在闸北区（今 静安区）沪北电影院集会，纪念上海工人第三次武装起义60周年。芮书记、江市长等出席，并参观在闸北公园举办的上海工人第三次武装起义图片展览。 ,1,1,39,海南,,海南,中国
2,4876599642294105,上海虹口,2023-03-07 10:17:00,【传承英烈精神 讲好虹口故事， 他们“启航”了】近日，北外滩唐山居民区“启航”宣讲团正式成立，并为首批宣讲员颁发聘书。糜文浩侄孙糜强担任宣讲团团长。糜文浩1924年加入中国共产党。1927年，他参与了上海工人第三次武装起义准备工作，组织上海总工会和工人纠察队，负责枪械弹药和其他军需物品的筹集和供应，又直接参加了南市区的战斗。同年5月11日，糜文浩在上海枫林桥刑场英勇就义，牺牲时年仅26岁。糜强表示：“革命先烈的伟大精神永远激励着我们！宣讲团不仅要讲好红色故事，还要讲好虹口故事。我们将积极学习宣传贯彻党的二十大精神，讲社区涌现的先进事迹，讲身边的动人故事，树新风、树正气、树信心，为创建美好社区、助力北外滩开发建设贡献力量。”,0,0,1,,上海,上海,中国
2,4862632321094336,唐巴马,2023-01-27 21:15:51,《敢把皇帝拉下马》这首歌是上海工人第三次武装起义时的民歌，看起来激情澎湃，斗志昂扬。这次起义成功，是在周恩来的周密部署下才能成功的。他们赶走了驻守上海的北洋军阀部队，取得武装起义的胜利，并建立了上海特别市临时市政府。这次起义，是中国共产党独立领导武装斗争的一次成功的尝试，在中国工人运动史上写下了光辉的一页。,1,0,4,广西,,广西,中国
2,4837471974589034,仲子锁麟,2022-11-19 10:57:37,巴黎公社万岁！中国工农红军万岁！中华苏维埃共和国万岁！陈独秀领导上海工人第三次武装起义，初步勾勒了一幅以巴黎公社为愿景的中国共产主义革命蓝图1926年3月18日，广州各界万人集会，隆重纪念巴黎公社55周年。其间，毛泽东发表的讲演，促进了巴黎公社革命精神的广泛传播；对巴黎公社的系统认知，亦成为其投身革命运动的行动指南。国民党中央宣传部主管的《广州民国日报》对纪念活动的发起、筹备及现场情况作了详实的全方位报道，并刊发了系列纪念文章。当日，该报刊登《巴黎公社纪念特号》，指出了这次纪念活动的目的：　　在此东方民族革命运动急亟进展当中，我们纪念巴黎公社是要从这一天向民众普遍地宣传，使他们成为有力量有组织的群众，建立一个统一独裁的革命机关，继承巴黎公社事业。一面尽量地研究巴黎公社失败的原因，从这些原因当中得到许多教训做我们革命的指南针。纪念日当天，毛泽东在国民党政治讲习班上发表了纪念巴黎公社的讲演。在这篇原题为《纪念巴黎公社应注意的几点》的讲演中，毛泽东开篇即指出，这次纪念活动与当下中国革命的转型有关：“因为中国从前的革命，是少数人包办的，及到革命潮流渐渐增涨，革命运动才跟着由少数人扩张到多数人，到现在已有多数的农工民众参加，并且有左派的国民党党员作指导，有工农阶级专政的国家苏维埃俄罗斯作模范，所以中国民众才知道有今日的纪念，才能有今日的纪念”。毛泽东还明确把巴黎公社和十月革命联系起来：“巴黎公社是开的光明的花，俄国革命是结的幸福的果——俄国革命是巴黎公社的继承者”。花与果的比喻，不仅恰如其分地说明了巴黎公社与十月革命之间的关联，同时也明示品尝下一个“幸福的果”的将是中国。1926年，广州各界于纪念巴黎公社55周年之际万人唱响《国际歌》,1,0,0,山东,济南,山东,中国
2,4807559929664543,葫芦岛市检察院,2022-08-28 21:57:50,红色烙印——革命文物的故事：上海第三次工人武装起义中 工人使用的宝剑 红色烙印——革命文物的故事：上海第三次工人武装起义中 工人使用的宝剑 ,0,0,0,,沈阳,辽宁,中国
2,4804987505610786,吉林共青团,2022-08-21 19:35:56,#青春向党奋斗强国#【吉团团带你学党史第487期】今天和团团一起了解大革命时期的一次伟大壮举——上海工人第三次武装起义吧！#和团团一起来学习# 吉林共青团的微博视频 ,2,0,2,,长春,吉林,中国
3,4787285898301883,上海虹口,2022-07-03 23:16:04,【夜读北外滩 | 北四川路为什么会成为先进文化的摇篮？（下）】在原北四川路越界筑路区，密集分布着50多处重要的旧址遗址。其中，既有中共四大、上海工人第三次武装起义等重要历史事件的发生地，也有中共中央宣传部、中共上海区委（江浙区委）、中共江苏省委、上海总工会等党的重要机关办公场所。（c） 夜读北外滩 | 北四川路为什么会成为先进文化的摇篮？（下）,0,0,0,,上海,上海,中国
3,4785799587171480,上图历史文献中心,2022-06-29 20:50:00,#上海文化地标#上海工人第三次武装起义工人纠察队总指挥部遗址位于宝山路584号（原宝山路东宝兴路口），原是东方图书馆所在地。东方图书馆建造于1924年，原是一幢五层楼钢筋水泥结构建筑。上海工人举行第三次武装起义后，工人纠察队在3月22日攻克了敌人盘踞的商务印书馆俱乐部，即东方图书馆。工人纠察队受命协助北伐军维持全市治安，并在东方图书馆内设立上海工人第三次武装起义工人纠察队总指挥部。原址在1932年“一·二八”淞沪抗战中炸毁。1960年11月，该址被公布为上海市文物保护单位。1977年12月7日，该址被上海市革命委员会公布为上海市级纪念地。1987年3月，上海市文物保管委员会立“上海工人第三次武装起义工人纠察队总指挥部旧址”纪念碑。2014年4月4日，重新调整公布为上海市文物保护单位。,0,0,6,上海,上海,上海,中国
