页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4938973914598141,何不迟,2023-08-26 13:10:05,《觉醒年代》看了两遍，张晚意演得深入人心，建党百年还有幸和编剧龙平平前辈在上海当面请教过。,0,0,0,辽宁,沈阳,辽宁,中国
2,4932353489634107,陆秀红1,2023-08-08 06:42:53,山海情，大别山与上海。六安市与松江区结对，开展了不少活动。去上海看看红色，百年前左右，蒋光慈，许继慎、杨溥泉、王绍虞、王逸常等在上海大学任教或学习，许等由该校进入黄埔军校，虞从该校回家乡六安首建党组织。上海行，红源旅。 六安 ,0,0,0,安徽,六安,安徽,中国
2,4924051808321721,抗战史记2019,2023-07-16 08:54:57,#建党百年庆# 1952年4月13日，薄一波在致中央关于上海“五反”运动第二阶段问题的报告中，特别提出五点意见：“（1）对违法资本家工厂企业的处理问题。许多违法资本家，其盗窃国家资财已接近或超过其工厂企业资产总值，许多同志希望把这些工厂企业全部拿过来。但这样做对我极为不利。一管不了；二容易造成恐慌，政治上不利。因此决定采取如下办法：除对大投机商人和完全有害无益的投机分子的工厂企业予以清理整垮外（数目不大），只准备在理由十分充足，社会十分同情的情况下，接收极少数的有垄断性的或在生产上占极重要地位的工厂企业（这数目也不很大）。其余则一律采取由资本家退财补税，现款偿还。在资本家无力偿还现款，要求出让时，再接受其要求，实行公私合营（但公私合营太多政治上亦不利），或只收买其股份，而不宣布公私合营。在资本家不愿出让而又无力偿付现偿时，还可让资本家写下欠约，分期偿还，国家派人监管。此外，还有一个罚款问题，对严重违法或完全违法户，根据中央法令除退补外，尚应处罚。我们认为处罚的户数不宜太多，只要其能彻底坦白，立功赎罪，一般可以退补不罚，罚了拿不出，徒负虚名，对我不利”；“（2）加工订货问题：五反对加工订货提出了新问题。比如有的工厂企业其资产与负债已经相等，甚至超过。有的五毒俱全，是严重违法户或完全违法户。这些生产企业工业部和贸易部是不愿意对他们进行加工订货的。经研究，在工厂企业设备较好，技术较进步，生产量大，工人多并保证不挪用原物料定金和加工费的条件下，可以而且应该实行加工订货，但须有工会作保证，这就自然提出工人监督生产的问题。拟采用劳资协商会议形式，或采用新创的加工订货保证委员会的形式来实行监督。总之，要工人代表，高级职员和资本家共同签，共同负责”；“（3）隐匿敌伪财产必须有明确界限，否则很易搞乱。经验证明，明显地隐匿敌伪财产，股票，黄金，外币，房地产，订货款，加工物料，隐匿敌伪归还的超过其原来设备的设备，隐匿敌伪占据其工厂后加扩充的设备，这是没有争论的。而日本投降以后资本家用各种方法落入自己手中的工厂完全无损的，则纠纷甚多，其中有些是经过合法手续用低价购得的，许多同志想整这一部分，我们认为理由不充足，以不搞为宜”；“（4）上层资本家303人已在不同程度上保护过关，若按其盗窃国家资财的数目来说，大部须列入严重违法户或完全违法户，但这样做到以后继续团结使用将会发生困难，应根据其政治态度及其企业的设备，技术，产量，工人等情况，从轻处理，一般给以守法户，基本守法户或半守法半违法户的通知书”。“（5）上海五反开始后，从3月21日起，到现在为止，抓起严重违法，抗拒运动及人缘不好的资本家共40余人。经验证明抓多了好处不多。准备在整个运动中抓人数目控制在250人左右。加上三反中已抓起来的280人，则其有500余人。准备要杀的人，现只选择对象和准备材料，预定为5到15人，俟中央决定总的办法后，再规定具体进行的步骤”（1）。对此中央中央回复同意上海五反运动第三战役的部署和五个问题的处理意见。特别强调要毫不迟疑的贯彻工人监督。（2）来源：（1）四川省档案馆藏：《薄一波关于上海市五反运动第三战役部署的报告》1952年4月13日，建康/1/2481/47-51。（2）四川省档案馆藏：《中央同意上海市五反第三战役部署电》1952年4月116日，建康/1/2481/46。#建党节##追寻党史百年记忆#历史人物,1,0,0,广东,深圳,广东,中国
2,4923101806071786,天津西青,2023-07-13 18:00:00,【党史上的今天#建党百年#】#往年今时# 1924年7月13日，北京学生联合会等50余团体，在北京中央公园召开反帝国主义运动大联盟成立大会，规定以打倒帝国主义的侵略政策、废除一切不平等条约为宗旨。上海、武汉、湖南、山东、天津、各界亦纷纷组织反帝大联盟。该联盟倡议定9月3日至9日为“中国人民反对帝国主义运动周”，得到全国各进步团体的拥护。,0,0,0,,天津,天津,中国
2,4920464666793744,社科视窗,2023-07-06 11:20:57,解码伟大建党精神②｜践行初心、担当使命：百年奋斗历程，贯穿这条主线丨为庆祝中国共产党成立102周年，弘扬伟大建党精神，7月1日起，由中共上海市委党史研究室制作的4集短视频《精神之源 力量之基——解码伟大建党精神》在上观新闻“思想汇”栏目播出，带领我们探寻伟大建党精神的思想伟力。该短视频也是一次浓缩的“上海红色文化深度游”，在众多红色地标、旧址遗址中，找寻中国共产党人初心和使命的历史源泉。今天播出第二集《践行初心、担当使命》。解码伟大建党精神②｜践行初心、担当使命：百年奋斗历程，贯穿这条主线,0,0,0,,上海,上海,中国
2,4919564243042504,书香上海,2023-07-03 23:42:58,【好书·书单】上海是党的诞生地、初心始发地，也是伟大建党精神的孕育地。今天，让我们回到1921年，感受百年前的“七月热风”，探寻中国共产党人的初心密码。@上海人民出版社 一起读书~ 好书·书单 | 上海人民出版社“七一”主题书单 ,0,0,0,,西安,陕西,中国
2,4918986209232536,盱眙法院,2023-07-02 09:26:05,【直播！#庆祝建党102周年#】今天，@央视新闻 带你重回上海中共一大会址、浙江嘉兴南湖红船、井冈山革命博物馆、遵义会议会址、北京大学红楼，探寻百年征程；到深圳新兴科技产业园、云南白鹤滩水电站、浙江“未来乡村”，感受#奋进的中国砥砺前行#。看↓祝福党，祝福祖国！  央视新闻的微博视频 ,5,2,11,,淮安,江苏,中国
3,4918750131786718,梅河口发布,2023-07-01 17:48:00,【仲音：弘扬伟大建党精神，在新的赶考之路上踔厉奋发】走进上海中共一大会址，重温入党誓词；瞻仰嘉兴南湖红船，追忆红色足迹；参观北大红楼，感受百年前的“青春热血”……在党的102岁生日之际，广大共产党员回望党的奋斗历程、重温党的初心使命、赓续党的红色血脉，在新的赶考之路上坚定奋楫再出发的意志、砥砺奋斗正当时的豪情。百年成就无比辉煌，新的征程催人奋进。党的二十大擘画了全面建设社会主义现代化国家、以中国式现代化全面推进中华民族伟大复兴的宏伟蓝图，明确了新时代新征程党和国家事业发展的目标任务。习近平总书记强调：“无论风云如何变幻，无论挑战如何严峻，我们都要弘扬伟大建党精神，铭记生于忧患、死于安乐的古训，常怀远虑、居安思危，紧密团结、艰苦奋斗，继续把中华民族伟大复兴的历史伟业推向前进！”伟大建党精神是中国共产党的精神之源，是中国共产党人的安身之魂、立身之本。奋进在充满光荣和梦想的新征程上，推进着前无古人的开创性事业，只要大力弘扬伟大建党精神，永远保持赶考的清醒和坚定，务必不忘初心、牢记使命，务必谦虚谨慎、艰苦奋斗，务必敢于斗争、善于斗争，我们就一定能够战胜一切困难挑战，继续创造令人刮目相看的新的奇迹。仲音：弘扬伟大建党精神，在新的赶考之路上踔厉奋发,0,0,0,,通化,吉林,中国
3,4918707279106313,延边发布,2023-07-01 14:57:43,【仲音：弘扬伟大建党精神，在新的赶考之路上踔厉奋发】走进上海中共一大会址，重温入党誓词；瞻仰嘉兴南湖红船，追忆红色足迹；参观北大红楼，感受百年前的“青春热血”……在党的102岁生日之际，广大共产党员回望党的奋斗历程、重温党的初心使命、赓续党的红色血脉，在新的赶考之路上坚定奋楫再出发的意志、砥砺奋斗正当时的豪情。仲音：弘扬伟大建党精神，在新的赶考之路上踔厉奋发,0,0,0,,延边朝鲜族自治州,吉林,中国
3,4918616077894822,央视新闻,2023-07-01 08:55:19,【直播！#庆祝建党102周年#】今天，@央视新闻 带你重回上海中共一大会址、浙江嘉兴南湖红船、井冈山革命博物馆、遵义会议会址、北京大学红楼，探寻百年征程；到深圳新兴科技产业园、云南白鹤滩水电站、浙江“未来乡村”，感受#奋进的中国砥砺前行#。看↓祝福党，祝福祖国！   央视新闻的微博视频 ,563,495,2404,,北京,北京,中国
3,4918648278094565,海峡都市报,2023-07-01 11:03:16,#庆祝建党102周年#【红色故地忆初心】从一叶扁舟到巍巍巨轮，我们迎来中国共产党102周年华诞。百年成大道，鉴往以知来。跟随@直播中国 ，走近上海中共一大会址、嘉兴南湖红船、古田会议会址、红军长征第一村、延安宝塔山，重温党的光辉奋斗历程，汲取宝贵精神滋养，牢记初心，以昂扬奋发的姿态向着更加宏伟的目标砥砺前行。  海峡都市报的微博直播,1,0,89,,福州,福建,中国
3,4918637499256033,立晓信声,2023-07-01 10:20:26,#建党节##党的生日#  百年征程波澜壮阔，百年初心历久弥坚。 图源/王馨艺 上海立信会计金融学院 上海·上海立信会计金融学院松江校区 ,0,0,1,上海,上海,上海,中国
3,4918100648007143,上海长宁,2023-06-29 22:47:11,【愚一小学的“红领巾”坐上铛铛车寻访上海红色文化】 倡导安全出行，寻访红色地标，6月28日下午，20路公交迎来了一群活泼的小学生：愚园路第一小学与20路公交公司携手开展庆祝建党102周年主题活动，孩子们与百年公交和沿线历史故事来了一场特殊的对话。 愚一小学的“红领巾”坐上铛铛车寻访上海红色文化 ,2,0,0,,上海,上海,中国
3,4917540432642401,寻美浦东,2023-06-28 09:41:05,#寻美上海##寻美浦东# 第一楼茶园位于新场大街424号，上海市文物保护单位，始建于清同治末年，曾为当地最高建筑顾称“第一楼”。30年代起开设书场和饭店，1941年新场镇的共产党员顾梦花，在茶馆一楼开了“洪福桥饭店”，作为中共地下党联络站。如今的第一楼，摇身一变成了“人间剧场”，上线建党百年主题电影展，凯司令咖啡馆、平安大戏院、绿屋夫人时装沙龙、第一楼书场、潘玉良画室等8大电影场景，品一杯香茗，听一曲评弹，浮生半日闲里，恍然走过百年。,510,4,2,上海,上海,上海,中国
3,4913216897943842,传媒茶话会,2023-06-16 11:20:54,#郑保卫：建党百年新闻学术研讨会论文集序#为庆祝党的百年华诞，教育部社会科学委员会语言文学、新闻传播学和艺术学学部和广西大学新闻与传播学院，经与中国人民大学、中国传媒大学、复旦大学、清华大学、北京大学、武汉大学、华中科技大学、上海交通大学、暨南大学等全国31个省市自治区60余所高校的新闻与传播学院和研究机构协商，于5月22-23日在南宁共同举办了“中国共产党百年新闻思想与新闻实践学术研讨会”。我们希望通过学术研讨与经验交流，为深化中国共产党新闻思想与新闻实践研究，推动马克思主义新闻观中国化作出新的贡献。 郑保卫：建党百年新闻学术研讨会论文集序,1,0,2,四川,成都,四川,中国
4,4906073544461564,抗战史记2019,2023-05-27 18:15:46,#历史故事# 1927年4月，国民党赴莫斯科代表邵力子（奉中共之命脱党）回国前，斯大林已经得到蒋介石拒绝共产国际和中共缴械命令，并解除上海工人纠察队的消息。他在接见邵子力说：“如果蒋介石真的解除了工人自卫队的武装，我却把自己的照片送给他，工人们会怎么看我？”4月23日，邵力子在中国海参崴得知消息后，便立即将斯大林等人照片退回共产国际。回国后，在上海住了几天，到南京见蒋介石。蒋仍要邵当秘书长，以保持与共产国际，中共的秘密联系，邵称：“我不能再当秘书长，不离开你就是了。但希望停止杀戮青年，并不要叫我写关于反共的文字”。来源：《文史资料选辑》第60辑载邵力子《出使苏联的回忆》。#建党百年庆##历史真相#历史,0,0,0,广东,深圳,广东,中国
4,4902830081843542,上海电视节,2023-05-18 19:27:24,【白玉兰奖征片盘点丨感悟峥嵘岁月中的信仰力量】近两年，围绕“建党百年”这一重大主题创作的革命历史题材电视剧，以宏大的历史叙事、细腻的细节刻画以及触及灵魂的共情共鸣，让理想和信仰之光持续闪耀荧屏，它们成为了本届电视节白玉兰奖中国电视剧单元中浓墨重彩的一笔！《啊摇篮》讲述延安保育院守护红色血脉的革命历程；《百炼成钢》借助经典歌曲串联百年党史的恢弘篇章；《大决战》全景式展现辽沈、淮海、平津三大战役的辉煌历史；《大浪淘沙》回望早期共产党人投身时代洪流救亡图存的伟大历史；《光荣与梦想》重温革命先辈从建立红色政权到抗美援朝取得伟大胜利期间的一系列历史壮举；《理想照耀中国》记录建党百年以来不同历史时期代表人物的闪光故事；《破晓东方》聚焦共产党人依靠人民群众解放和治理上海的历史成就；《数风流人物》还原五四运动到新中国成立这段历史时期的诸多曲折和细节；《香山叶正红》再现新中国成立前夕中共中央在香山的运筹帷幄；《信仰》揭秘解放战争时期地下隐蔽战线的暗流涌动和生死博弈；《血战松毛岭》刻画红军战士坚守阵地、鏖战七天七夜视死如归的英勇形象；《中流击水》追溯中国共产党初创到井冈山胜利会师的历史进程……#上海电视节# #白玉兰奖# 白玉兰奖征片盘点丨感悟峥嵘岁月中的信仰力量,6,94,592,,天津,天津,中国
4,4902805129664363,江苏影视频道,2023-05-18 17:48:15,近两年，围绕“建党百年”这一重大主题创作的革命历史题材电视剧，以宏大的历史叙事、细腻的细节刻画以及触及灵魂的共情共鸣，让理想和信仰之光持续闪耀荧屏，它们成为了本届电视节白玉兰奖中国电视剧单元中浓墨重彩的一笔！你最期待哪部主旋律影视作品获得白玉兰奖？#光影世界因你精彩##上海电视节#  网页链接,0,0,9,,南京,江苏,中国
4,4899908983720002,天津西青,2023-05-10 18:00:00,【党史上的今天#建党百年#】#往年今时# 1924年5月10日－15日，中共中央执行委员会扩大会议在上海召开。会议肯定了国共合作五个月以来的成绩，指出了国共合作实现以后共产党内出现的右倾偏向，认为“只有发动工人参加斗争，防止资产阶级的妥协性，民族解放才能彻底”。这次中央扩大会议提出共产党员在国民党内外的复杂环境中，要认识巩固党的重要性。会议强调要坚持国民党一大宣言中的革命政纲，以这个政纲作为标准来正确对待国民党左右派之间的斗争，以经常地普遍地宣传和实行这个政纲来扩大国民党组织，加强左派，削弱右派，并批评前一段工作中对两派采取调和政策的错误。,0,0,0,,天津,天津,中国
4,4895964290092282,綺聿,2023-04-29 20:45:12,当年我去上海和同学一起看建党百年外滩表演时，亦是如此,0,0,0,河南,,河南,中国
4,4895455203562992,三明网微博,2023-04-28 11:02:16,#沪明情 向未来# 【沪明两地密切财政合作交流】4月16日，市财政局组织党员干部前往上海中共一大会址和纪念馆开展“砥砺建党初心，深化沪明合作，谱写财政新篇”主题党日活动。百年党史、历久弥坚，传承基因、坚定信念。市财政党员干部驻足于一件件珍贵史料前，聆听了一个个感天动地的红色故事，从“党的诞生地”到“红军长征出发地”实现交汇，大家纷纷表示，要传承中国共产党人的精神特质，坚定政治立场，始终保证财政工作的正确方向。三明日报社出版,0,0,0,,三明,福建,中国
4,4895155633785129,上海孙宋文管委,2023-04-27 15:11:53,【悦听・光影说孙宋】（五）宋庆龄留学护照一百多年前出国清单上的必备物品是什么？没错，就是护照。今天要给大家介绍的护照可是大有来头。它是中华人民共和国名誉主席宋庆龄1907年出国留学时所使用的，建党百年之际还被选入上海市第一批革命文物名录。1907年，14岁的宋庆龄通过清政府的考核，与年仅9岁的妹妹宋美龄一同赴美国留学，成为近代中国首批公费留美女学生之一。当年的7月31日，清政府江南海关道道台签发给宋庆龄留学美国的护照。这份护照为纸质，编号为“新字第三百二十四号”，长47厘米，宽28.7厘米，为一页双面，正面是中文，背面是英文。护照记录有宋庆龄的中英文姓名、出生日期、身高、体貌特征。有些遗憾的是护照下方被剪去的一角恰好是宋庆龄的“证件照”。护照上的信息显示宋庆龄于1907年8月28日（清光绪三十三年七月二十六日）在华盛顿州汤生港（Port Townsend Wash.）入境。由于尚未成年，宋庆龄来到了位于新泽西州萨密特镇的波特温学校学习，这是她抵美后进入的第一所学校。在经过一年的语言补习后，宋庆龄于1908年9月考入威斯里安女子学院文学系就读。宋庆龄在美国读书时，父亲宋耀如经常写信并寄剪报去，让她及时了解祖国的现实状况和发展变化，时刻记住自己是一个中国人，培养她的民族自尊心和爱国之情。这也促使她在学成之后回国报效祖国。宋庆龄曾在一篇文章中写道，中国人出国留学的目的应该是，“把一切有价值的、好的东西学到手”，以便带回国去“解决中国当前存在的各种重大问题”。护照原存清政府驻美国大使馆，后为美籍华人周谷保存。1990年9月，周谷专程来沪捐赠，现收藏于上海宋庆龄故居纪念馆。@上海宋庆龄故居 @国家名誉主席宋庆龄陵园 @上海孙中山故居纪念馆 上海孙宋文管委的微博视频,2,0,0,,上海,上海,中国
4,4892322104613968,布衣评论,2023-04-19 19:32:27,参观为纪念建党百年新建的“上海一大纪念馆”……布衣微游记 ,0,0,0,浙江,嘉兴,浙江,中国
4,4889781153301199,一直在路上向阳而生,2023-04-12 19:15:36,#王一博##王一博长空之王#《长空之王》 是上海市“建党百年”“全面小康”主题首批重点文艺创作项目之重点电影项目之一，牛 ,0,1,1,上海,上海,上海,中国
5,4846643579195869,中共一大纪念馆,2022-12-14 18:22:18,#伟大建党精神专题展# 2022年12月12日上午，“伟大精神铸就伟大时代——中国共产党伟大建党精神专题展”全国巡展之粤港澳大湾区首发站开幕仪式在南科大举行。该展览由中共一大纪念馆、上海图书馆、南方科技大学联合举办。观展师生表示，通过参观学习，在回顾伟大建党精神引领下党和人民百年奋斗历程的同时，更加珍惜今天来之不易的美好生活。,1,0,0,,上海,上海,中国
5,4845918237756103,上海国资发布,2022-12-12 18:20:03,#国企资讯#【红色印迹 | 上海公交百年变迁，见证城市发展】为深入贯彻市第十二次党代表大会精神，弘扬伟大建党精神，市国资委党委联合市委党史研究室、中共一大纪念馆、新民晚报社等共同开展“红色文化进国企——上海国资系统红色资源挖掘传播与开发”活动，深入挖掘上海国资国企具有历史价值、教育意义、纪念意义的物质资源和精神资源，讲好上海国企发展中的红色故事，发扬红色传统，传承红色基因。这一期我们精选了久事集团选送的2组红色物件，分别是上海公交照片和公交月票贴花，这些照片见证了上海公共交通的发展变化。详见↓ 红色印迹 | 上海公交百年变迁，见证城市发展,0,0,1,,上海,上海,中国
5,4834671618428264,凌霄爱生活,2022-11-11 17:30:00,海内外49家顶级画廊，共同呈现的500+件艺术作。今年是邀请制，第一天vip日人也一如既往的多……十一月的艺术上海，我爱了❤️中华五千年国人应有的文化自信，建党百年之世界大变局的关键点，要好好呆在上海感受国家的崛起！（可惜不在北京，应该气味更浓郁～）希望更多国家民族品牌借此良机成为世界顶级品牌，也梦想自己能成为其中的一份子。plog#西岸艺术与设计博览会##艺术##plog日记# 上海·西岸艺术中心,0,0,2,上海,上海,上海,中国
5,4834012020868205,中国青年网,2022-11-09 21:49:00,#中国人的故事#【二十大代表风采|杨宇：携手双向奔赴 共寻百年大党“青春密码”】“2004年7月23日，我光荣地加入了中国共产党，那天真是热泪盈眶，因为那正是一大开幕的日子！从上海石库门来到北京天安门，从讲述党代会到成为党代表，我觉得，这是对一个来自党的诞生地、初心始发地、伟大建党精神孕育地的工作人员最深的嘱托和最好的肯定。”党的二十大代表、中共一大纪念馆宣传教育部主任杨宇说，“我们深入开展党史学习教育，就是要不断引导观众坚定理想信念、传承红色基因、赓续红色血脉、弘扬伟大建党精神。”#发现最美 你评我论# #慷慨十年# 二十大代表风采 | 杨宇：携手双向奔赴 共寻百年大党“青春密码”,5,0,3,,北京,北京,中国
5,4833562446006767,深圳商报,2022-11-08 16:02:33,【厚植文化沃野 秣马文艺深军】日前，中宣部第十六届精神文明建设“五个一工程”获奖公示结束，深圳纪录片《柴米油盐之上》、广播剧《南海榕》、歌曲《少年（建党百年版）》由广东省委宣传部报送获优秀作品奖。此外，限于报送名额，深圳会同上海市委宣传部共同推出的电影《奇迹·笨小孩》，会同澳门有关方面共同推出的电视剧《湾区儿女》，会同新疆维吾尔自治区党委宣传部共同推出的歌曲《可可托海的牧羊人》，由其他省市报送，分别获奖。此前，在2022年广东省第十二届精神文明建设“五个一工程”评选中，深圳已有电影《熊出没·重返地球》等11部原创作品获奖。网页链接,1,0,6,,深圳,广东,中国
5,4816094437836504,张小雅82,2022-09-21 11:10:54,中国电信上海公司“建党百年城市策展”荣膺IAI国际广告奖全场大奖！  链接:网页链接 ,0,0,0,北京,北京,北京,中国
5,4813644900598642,IT时报,2022-09-14 16:57:20,【“初心之地，电波永传”凭什么高票获得“全场大奖”？】9月7日，在中国广告行业权威大奖2022 IAI 传鉴国际创意节上，中国电信上海公司的《初心之地，电波永传——上海电信建党百年城市策展》在海内外917家企业的3672件参赛作品及案例评选中，以全场最高2977分遥遥领先，一举斩获2022 IAI传鉴国际广告奖案例类全场大奖。这已是上海电信近年来第三次夺得广告行业大展中的最高奖项——“全场大奖”，这在国内企业中是极为罕见的一幕。与此同时，《初心之地，电波永传—上海电信建党百年城市策展》还拿下了2022 IAI 传鉴国际创意节公关和内容营销两大组别金奖。上海电信始于初心之地，立于时代潮头，在党的百年诞辰之际，通过遍布全城的电话亭，声色俱佳地讲好上海红色通信历史故事，娓娓展开了一场城市级文化策展，和广大市民一起回顾这座英雄城市的红色历史，让街头的电话亭变身成了大家党史学习、爱国教育的展厅。 “初心之地，电波永传”凭什么高票获得“全场大奖”？,0,0,1,,上海,上海,中国
5,4813475937779750,用户6328312897,2022-09-14 05:45:55,最高票！上海电信“建党百年城市策展”荣膺IAI国际广告奖全场大奖！  链接:最高票！上海电信“建党百年城市策展”荣膺IAI国际广告奖全场大奖！ ,0,0,0,上海,上海,上海,中国
5,4805317924488579,我是希尔瑞思,2022-08-22 17:28:53,这是上海白玉兰广场，去年办了场AR灯光秀，庆祝建党百年，看视频更震撼。 查看图片,0,0,0,上海,上海,上海,中国
6,4801213642311234,神秘观众,2022-08-11 09:39:57,#终于等到王一博长空之王# 真的期待可以在国庆档见面啊，在之前的贴片预告中就看得出是大制作！已经不能用震撼来形容了…简介：由国家发话制作的首部空军&quot;试飞员&quot;题材，上海市“建党百年 全面小康”主题首批重点文艺创作项目，歼20首次亮相于电影屏幕，以“海南岛事件”为历史背景的电影 神秘观众的微博视频,1006,152,1263,河南,郑州,河南,中国
6,4793787253525078,解放日报,2022-07-21 21:50:08,【纪念首部党章通过100周年，上海市委和中央党史文献研究院联合举办座谈会】上海市纪念首部党章通过100周年座谈会今天举行。上海市委书记李强在会上强调，上海是党的诞生地、初心始发地、伟大建党精神孕育地，也是首部党章诞生地，这是这座城市无上的荣光。踏上实现第二个百年奋斗目标的新征程，我们要深入学习贯彻习近平总书记关于党章的重要论述，大力弘扬伟大建党精神，更加自觉地学党章、用党章，做学习贯彻党章的忠实践行者，让初心薪火相传、把使命永担在肩，加快建设具有世界影响力的社会主义现代化国际大都市，以实际行动迎接党的二十大胜利召开。中央党史和文献研究院院长曲青山出席并讲话。上海市委副书记、市长龚正主持会议。网页链接,8,0,4,,上海,上海,中国
