页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4964030375005865,快乐源于内心简约,2023-11-03 16:35:31,上海邮政总局大楼：欧洲折衷主义建筑形式，意大利风格的巴洛克式穹顶。二楼营业大厅宽敞明亮，有“远东第一大厅”之称。 上海·上海邮政博物馆 ,0,0,0,上海,上海,上海,中国
2,4963403649779997,洛父-,2023-11-01 23:05:08,《建筑可阅读｜上海邮政总局大楼：折衷主义风格浓缩中国邮政史》上海邮政总局大楼是全国邮政系统唯一拥有百年历史且建成后一直在使用、并独具特色的标志性建筑，漫步其中，就如同翻开一部中国邮政史。网页链接   一定去看看。 ,0,0,0,山东,青岛,山东,中国
2,4960055416590124,上海规划资源,2023-10-23 17:20:27,【苏州河畔，百年邮政：上海邮政总局大楼】#档案# 上海邮政总局大楼位于上海市虹口区北苏州路276号，矗立在四川路桥北堍。大楼于1924年建成，英商思九生洋行设计，华商余洪记营造厂承建，钢筋混凝土框架结构，具有19世纪末至20世纪初流行于欧美的折衷主义建筑风格。大楼建造时耗费银元320万元，被誉为当时上海的十大建筑，与近在咫尺的外滩万国建筑群遥相呼应。详情点击【档案】苏州河畔，百年邮政：上海邮政总局大楼,0,1,0,,上海,上海,中国
2,4959768291050300,三桂不分家,2023-10-22 22:19:31,一入“盖”帮深似海，为不留集章遗憾走了不少弯路！我昨天“充军”，哦，不！按现在时髦的说法是特种兵式旅游，沿四川北路走了足足两万多步。上海邮政博物馆，原名上海邮政总局，小时候老爸带我来过这里，那时没有快递，邮政和电讯还属于邮电一家，这里分外忙碌，我清晰地记得，那时的投寄信箱，大得来，一个大胖子也妥妥地装得下。现在的上海邮政博物馆，仍然履行着部分邮政局的业务。所以周六来参观是最合适的时机。没错，一入“盖门”深似海，为多敲几个纪念章，我容易吗？之后我去了中共四大纪念馆以及峨眉路上铁将军把门的航海邮局，才知道原来中共四大也设置过邮局，在四大纪念馆，工作人员在我追问下告诉我，他们都移到峨眉路上的航海邮局了，我屁颠屁颠跑到峨眉路也找到了航海邮局，但他却铁将军把门，一张告顾客书说这里的业务都移到上海邮政博物馆了。上海邮政博物馆的建筑设计方案是比稿招标来的，今天他俨然成为一个经典，但窃以为这跟当初招不招标没有必然联系。#上海邮政博物馆##上海苏州河畔最美加油站# 上海·乾溪小区,1,0,0,上海,,上海,中国
2,4950649601003230,小田木c,2023-09-27 18:25:06,上海 邮政博物馆。申城是中国近代邮政的发祥地之一，原址为1924年修建的上海邮政总局大楼。#上海邮政博物馆# 上海·上海邮政博物馆 ,0,1,0,上海,,上海,中国
2,4947070568108105,ZBZ89,2023-09-17 21:23:18,国保巡礼-272 上海邮政总局（国四） ,1,0,0,江苏,南京,江苏,中国
2,4944585023291746,黑敀,2023-09-11 00:46:38,上海的匆匆一日 由于没怎么规划，所以随便去了些地方，一座外向包容的城市，和北京完全是两种感觉 行程：国际饭店→龙华塔→龙华寺→龙华革命烈士纪念地→徐家汇天主堂→徐光启墓→上海交通大学早期建筑→真如寺大殿→上海博物馆→上海外滩建筑群→上海邮政总局→四行仓库抗战旧址 ,30,53,223,北京,,北京,中国
2,4941885921559650,觅旧影老照片,2023-09-03 14:01:22,上海邮政总局，摄于民国。 #老照片##上海# ,0,0,1,福建,漳州,福建,中国
2,4939453501280410,扁豆鸡毛,2023-08-27 20:55:48,从北苏州路到滇池路 寻访一些上海近代建筑 图2：百老汇大厦（上海大厦） 图3：上海邮政总局（上海邮政博物馆） 图4、5：外白渡桥 图7：东方汇理银行大楼 图8：横滨正金银行大楼 图9：仁记洋行 ,7,3,6,上海,上海,上海,中国
2,4932877667534442,艳子3246923480,2023-08-09 17:25:47,上海邮政总局大楼&amp;上海邮政博物馆 上海·上海邮政博物馆 ,0,3,1,上海,上海,上海,中国
3,4930298540200794,蠢蠢欲動de尛凱西,2023-08-02 14:37:15,带小宝参观上海邮政大楼总局 上海·上海邮政博物馆 ,0,0,0,上海,,上海,中国
3,4926946545501413,-悠悠空尘-,2023-07-24 08:37:37,#全国重点文物保护单位#全国重点文物保护单位#上海#带着微博去上海#上海邮政博物馆##中国邮政# 2023访古第九站：上海邮政总局（上海邮政博物馆）（第四批全国重点文物保护单位）位于：虹口区北苏州路276号大楼由英商思九生洋行设计，余洪记营造厂承建，1922年12月奠基，1924年11月竣工。大楼总建造费用约合银元320万元，建筑面积25294平方米。上海邮政总局大楼为欧洲折衷主义建筑形式的代表作。钢筋混凝土框架结构，地下一层，地上四层。U型平面，东南转角圆形，为构图中心。两侧均为主立面，有通贯三层的简化科林斯巨柱式列柱。转角处顶部为钟塔，冠17世纪流行的意大利风格的巴洛克式穹顶。钟楼两侧各有一组三人组成的群雕。一组是每人各执交通工具和通讯电缆模型，象征铁路、海运及邮电通信等交通通信事业的发展。另一组居中者为罗马神话中的商神墨丘利，在神话中是上帝的信使，体现邮政通信。其左右两侧是爱神，寓意邮政通信为人们沟通情愫。邮政大楼二楼营业大厅面积1200平方米，宽敞明亮、富丽堂皇，素有“远东第一大厅”之称。上海邮政总局大楼是中国目前仍在使用的、规模最大、最早邮政标志性建筑。不仅是中国邮政史的见证，同时也为中国现代邮政事业的发展创造了良好的物质条件。现该处设有邮政博物馆。,3,2,3,陕西,咸阳,陕西,中国
3,4914019356118223,饶峻源,2023-06-18 16:29:35,#就爱旅行##建筑摄影# 上海邮政总局大楼，1924年11月竣工，曾列为当时上海十大建筑之一，现为上海邮政博物馆。外立面是贯通三层的古罗马建筑风格列柱，塔楼为意大利巴洛克风格 上海·上海邮政博物馆 ,1,1,3,广东,广州,广东,中国
3,4913006788220288,老照片收藏家,2023-06-15 21:26:00,1939年，上海，四川路桥北堍的上海邮政总局大楼。 ,0,0,2,江苏,无锡,江苏,中国
3,4911349015248936,谭晓鸣2012,2023-06-11 07:38:35,上海邮政大楼，原名上海邮政总局，记录了上海邮政的前世今生。这里是中国近代邮政的发祥地之一，历经了海关邮政、大清邮政的几度沧桑。上海邮政总局大楼是欧洲折衷主义建筑学的代表作曾列为当时上海十大建筑之一它融合了罗马式的大型科林斯立柱和巴洛克式钟楼整体具有很浓郁的英国风情。 ,0,0,0,湖南,长沙,湖南,中国
3,4903523542370011,瑞哥RYAN,2023-05-20 17:22:58,周末亲子游参观上海邮政博物馆（原上海邮政总局），从晚清至今已有百年余的历史，这座欧式老洋房简直是建筑艺术精品！#上海邮政博物馆# 上海·上海邮政博物馆 ,0,1,2,上海,上海,上海,中国
3,4900664877256626,菲丶Q,2023-05-12 20:03:39,📍上海邮政总局上海邮政总局建于1924年，由英商思九生洋行设计，本埠的余洪记营造厂负责营建，属折衷主义风格建筑，平面呈“U”字形，地上四层、地下一层，立面施列柱。大楼的标志是耸立于东南角正门之上的钟楼和塔楼。钟楼高13米，镶嵌直径达3米的大钟。塔楼高17米，旁设希腊人物雕塑群像（图9）。大楼的大理石门厅、旋转式楼梯及邮件滑梯等设计工艺精湛，二楼营业大厅（图7）曾有“远东第一大厅”的美名。现为上海邮政博物馆。关闭许久的上海邮政博物馆已于今年二月恢复开放，博物馆内展品很普通，但建筑内景极具特色。阴天造访，外景效果不佳「上海·虹口区·上海邮政总局|国保·第四批」 上海·上海邮政总局,1,16,62,上海,上海,上海,中国
3,4897945936200639,画堂春万卷书万里路,2023-05-05 07:59:33,#上海# 上海邮政博物馆，北外滩地标建筑，1996年第四批全国重点保护文物。民国十一年（1922年）12月，由英国建筑师思九生、史滨生设计的上海邮政总局的新大楼在四川路桥北动工，大楼钟楼塑像（图4）手里分别是火车头、飞机和电缆，象征着20世纪初中国交通和通信刚刚生长。 上海 ,1,0,0,浙江,绍兴,浙江,中国
3,4897604377250227,古美兵子,2023-05-04 09:22:19,#申城撷英# 上海郵政博物館·原為上海郵政大樓·歷經海關郵政-大清郵政-上海郵政總局·郵政文物展示 ,1,0,0,上海,上海,上海,中国
4,4896879328625001,侠客游士,2023-05-02 09:21:13,上海邮政博物馆，原名上海邮政总局，上海市中国近代邮政的发祥地之一，全国重点文物保护单位名单，上海“第二批中国20世纪建筑遗产。位于上海市苏州河畔、北苏州路250号。民国十一年（1922年）12月，由英国建筑师思九生、史滨生设计，华商余洪记营造厂总承包建造。每周三、四、六、日免费开放。旅游集邮爱好者的打卡之地。 上海,0,0,0,上海,上海,上海,中国
4,4887803316407626,老艺术家ds_,2023-04-07 08:16:24,2023年4月1日上海邮政总局寄出 2023年4月5日投筒 2023年4月6日武康大楼邮局寄出 #寄出记录# ,0,0,0,上海,上海,上海,中国
4,4875199566579476,川口塔,2023-03-03 13:33:36,大城市转转，苏州河这边倒也是看三件套的好地方，还有这座上海邮政总局大楼，各个角度看都显得气质非凡，猛然想起以前一个包车走阿里萍水相逢的朋友，她到那里旅游都要到当地邮局盖个邮戳，相忘于江湖已经十多年了。 ,1,0,3,上海,上海,上海,中国
4,4867193416191618,乐游上海,2023-02-09 11:20:00,#第二批中国20世纪建筑遗产#上海邮政总局大楼即日起对外开放！#魔都美好打卡地# 步入大楼，一眼可见门厅大理石、双面旋转式楼梯、宫廷式弯曲吊灯、被称为“奶油蛋糕”的粉红粉绿色石膏板吊顶……处处凸显着这幢建筑的精致和富丽堂皇。大楼内设的上海邮政博物馆十分精美，陈列了各种邮用和邮运工具，和文化底蕴深厚的邮票。大楼外部的群雕，也吸引了不少游客往来拍照打卡，成为苏州河畔一道靓丽的风景线。地址：虹口区北苏州路276号预约方式：参观需提前通过“上海邮政”微信公众号进行实名制、分时段预约,3,0,10,,上海,上海,中国
4,4864245532985021,章鱼哥R,2023-02-01 08:06:11,光绪二十九年（1903年）三月， 上海邮政总局松江支局在县城建立 ,0,0,0,江苏,南京,江苏,中国
4,4862694106072215,postcard爱好者,2023-01-28 01:21:22,上海邮政总局大楼开建一百周年邮资机宣传戳首日实寄片，销上海邮政博物馆纪念戳，实寄浙江宁波。 ,0,0,1,浙江,宁波,浙江,中国
4,4854140221787993,老艺术家ds_,2023-01-04 10:51:17,2023年1月1日跑戳记录 上海邮政总局和外滩邮政支局 #跑戳日记##我在人间记录# 上海·上海邮政博物馆 ,0,0,2,上海,上海,上海,中国
4,4847715438304719,浅OO夏,2022-12-17 17:21:29,上海邮政总局，1924年建成，一楼大厅现在看上去略小，想必当年应该是蛮气派的，二楼大厅空间非常大，没想到当年邮政业务量会那么大，最令人惊叹的是大楼中间是阳光房顶，美极了 ,0,0,0,上海,上海,上海,中国
5,4826263200469754,城市CityHigh,2022-10-19 12:37:57,#上海老建筑# 上海邮政总局,2,0,1,上海,上海,上海,中国
5,4822238308075225,闵行-华漕,2022-10-08 10:04:28,【苏州河畔的“中国之最”，“讲述”一段“车马慢、书信远”的悠远辰光】#探索上海#2022年金秋，上海又有一批“海派城市考古”新发现，带你发现上海与众不同的风景、体验这座城市独特的魅力。本期，让我们来一起去探索——上海邮政总局大楼。大家可能都不了解，最先在上海经营邮政业务的，竟然是海关。1878年，上海江海关在原先兼办邮递业务的基础上，开始试办邮政，并在外滩海关大楼后院设立了对外经营邮政业务的江海关书信馆，两年后改称江海关拨驷达局，后又改名为上海大清邮政局。@乐游上海  苏州河畔的“中国之最”，“讲述”一段“车马慢、书信远”的悠远辰光,9,7,8,,,云南,中国
5,4821984519128991,上海虹口,2022-10-07 17:16:00,【“远东第一”烙上老字号——走进上海邮政总局大楼】竣工后即被誉为“中国之一大建筑”；继1915年天津车站邮政大楼和1922年北京天安门广场邮政大楼之后全国第三座邮政大楼，而前两座已不复存在；是至今保存最为完整的我国早期自建的邮政大楼；因它靠近外滩，被列入上海外滩建筑群记载。1989年9月，被市府确认为优秀近代建筑，列入市级文物保护单位，跻身当时本市仅有的13处全国重点文物保护单位。（c）,0,0,0,,上海,上海,中国
