页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4941120981434649,最简单的生活最真实,2023-09-01 11:21:45,City walk No.18/30 上海 小雨朋友推荐的衡山路红色之旅，一个人慢悠悠的走在永嘉路上（行走路线：嘉澜庭（统战文化广场） → 中共江苏省委机关旧址（王尧山旧居） → 新四军驻上海办事处旧址 → 钱壮飞旧居  → 南国艺术学院旧址 → 张澜旧居 → 中共秘密电台旧址(建国西路) → 夏衍旧居/草婴书房）景点更多的只剩下门牌号，沿着永嘉路一直走到永嘉庭，再到衡山路1号线老地方结束🔚，继续1号线地铁回家。用一份安静的心体验这个城市留下的那份历史印记，心情很好👌下周继续..#带着边框一起拍#,0,0,2,上海,上海,上海,中国
2,4929175075423142,上海虹口,2023-07-30 12:13:00,#爱上北外滩# 【北外滩影像日志|1927年中共江苏省委旧址 03】1926年，中央党校设在此处。1927年，陈延年奉中共指示，来沪设立办公机关，底层作会客室，二楼作会议室，三楼为地下交通员住处。 ,3,0,8,,上海,上海,中国
2,4922606039335912,徐州市场监督管理,2023-07-12 09:10:00,【2023年全省计量检定校准人员技能大赛在徐州举办】为激发广大计量技术人员学技术、练技能、钻业务的热情，近期，由江苏省市场监督管理局、中共江苏省委省级机关工作委员会、江苏省总工会、共青团江苏省委、江苏省国防科学技术工业办公室、徐州市人民政府共同主办，徐州市市场监督管理局承办的2023年江苏省计量检定校准技能竞赛在徐州举办。（信息来源：市局计量处 审核发布：市局应宣处 ）,0,0,0,,徐州,江苏,中国
2,4918733019287514,泰州发布,2023-07-01 16:40:00,#泰州消息#【可查成绩了！】6月30日，中共江苏省委组织部发布《2023年江苏省省级机关公开遴选和公开选调公务员公共科目笔试成绩公告》，详情点击图片查看↓↓↓ ,0,0,1,,泰州,江苏,中国
2,4918668213617270,爱启东,2023-07-01 12:22:29,#友情提醒##  注意，可查成绩了！#中共江苏省委组织部发布《2023年江苏省省级机关公开遴选和公开选调公务员公共科目笔试成绩公告》详情如下↓↓↓2023年省级机关公开遴选和公开选调公务员公共科目笔试阅卷工作已经结束，报考人员可于7月1日9:00起登录报名网站查询个人成绩及排名。公共科目笔试合格分数线为60分。遴选机关将于7月3日至7月5日对进入面试、职位业务水平测试或适岗评价的初步人选进行资格复审，职位业务水平测试、适岗评价的时间和地点由遴选机关另行通知相关人员。面试人选名单将于7月18日公布。,2,1,3,,南通,江苏,中国
2,4918414927727119,扬帆手机频道,2023-06-30 19:36:01,【2023年扬州市公开遴选和选调公务员笔试成绩公告【扬帆】】1、2023年江苏省省级机关公开遴选和公开选调公务员公共科目笔试成绩公告2023年省级机关公开遴选和公开选调公务员公共科目笔试阅卷工作已经结束，报考人员可于7月1日9∶00起登录报名网站查询个人成绩及排名。 中共江苏省委组织部　　　　2023年6月30日2、2023年扬州市市级机关公开遴选公务员公共科目笔试成绩公告2023年扬州市市级机关公开遴选公务员公共科目笔试阅卷工作已经结束，报考人员可于7月1日9∶00起登陆报名网站查询个人成绩及排名。网页链接（分享自@扬帆手机频道）,0,0,0,江苏,扬州,江苏,中国
2,4910239226266357,禹王台市场监管,2023-06-08 06:08:42,#狮戬商学院##每天学点党史#1941年6月8日　@新华日报 （现中共江苏省委机关报）发表周恩来写的代论《论敌寇两面政策》。文章指出：敌人对我除军事进攻之外，还使用政治进攻的法宝，企图以诱降和分化来动摇我们的抗战意志，瓦解我们抗战的力量，以便利其征服中国，这就是敌人侵华的两面政策。我们的对策是针锋相对，敌人以军事的进攻和“扫荡”来，我们以各线出击和破击战回答他；敌人以政治的诱降和分化来，我们以反对投降和巩固团结回答他；敌人以军事政治双管齐下来进攻我们，我们便以团结抗战来回答他。,0,0,0,,开封,河南,中国
2,4902674510123499,滚动的石头--,2023-05-18 09:09:13,中共江苏省委组织部发布《2023年江苏省省级机关公开遴选和公开选调公务员公告》。公开遴选职位为省级机关内设机构或直属单位一级主任科员及以下职级职位。公开选调职位为四级调研员职位 ,0,0,0,江苏,苏州,江苏,中国
2,4902477956126931,如皋发布,2023-05-17 20:08:11,#皋城百事通# 【公开遴选、选调！】5月17日，中共江苏省委组织部发布2023年江苏省省级机关公开遴选和公开选调公务员公告。公开遴选、选调！ ,2,1,1,,南通,江苏,中国
3,4894350376961866,武汉革命博物馆,2023-04-25 09:52:05,#我在红巷讲党史#首届中央监委成员巡礼——以身许党杨培森杨培森（1883—1927），又名杨培生，江苏川沙（今上海浦东）人。1927年，杨培森在中共五大上当选为中央监察委员会候补委员。会后，他改名杨嫩枝，秘密返沪，参与恢复上海工人斗争，负责上海总接洽处机关，担任新成立的中共江苏省委执行委员。1927年6月，杨培森在参加上海总工会各区工联组织员会议时被捕。在狱中，杨培森受尽严刑折磨，始终坚贞不屈，1927年7月1日壮烈牺牲。,0,0,1,,武汉,湖北,中国
