页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4650562186908537,闵行梅陇镇,2021-06-21 16:24:51,【梅陇镇民建村组织参观中国共产党代表团驻沪办事处——周公馆】近日，民建村党总支组织党员及入党积极分子等30余人参观了中国共产党代表团驻沪办事处——周公馆。在讲解员的带领下，大家从周公馆的一楼参观至三楼。讲解员向大家讲解了周恩来同志、董必武同志等人在此工作与生活的场景，生动地描述了中国共产党在国民党的监视下与进步人士保持联络的场景，进一步激发了大家向老一辈无产阶级革命家学习的热情。,19,1,34,,,,
2,4640762698137944,上海住房城乡建设管理,2021-05-25 15:25:10,【全长7.1公里！这条红色经典步道将14处红色建筑“串珠成链”】#黄浦区# 正着力打造“红色露天博物馆”。中共一大纪念馆、中国共产党发起组成立地（《新青年》编辑部）旧址、又新印刷所旧址、中国共产党代表团驻沪办事处纪念馆（周公馆）等14处红色点位，被串联在一条7.1公里长的“红色经典步道”上。“一大”会址周边的红色遗迹遗址将串珠成链、编织成网。详见↓全长7.1公里！这条红色经典步道将14处红色建筑“串珠成链”,0,0,0,,,,
2,4636814327943217,上海黄浦,2021-05-14 17:55:46,【黄浦江畔的党史故事｜思南路上的雾海明灯——中共代表团驻沪办事处纪念馆(周公馆)】#黄浦播报#思南路73号一幢一底三层的西式花园楼房在闹市中显得尤为幽静。这里曾是抗日战争胜利后国共谈判期间中国共产党代表团在上海设立的办事机构。【“在未来国防军一百个师的编制里，我党原先要求的的四十八个师已经减为二十个师。我们在江南的八个解放区也可以让出来。希望我党的妥协和让步能够有助于政治协商会议的召开”】《双十协定》后，周恩来同志率领中共代表团继续与国民党进行和谈。一九四六年六月，中共代表团在沪设立办事处。由于国民党的阻挠，对外只能用周恩来将军寓所的名义作为掩护，因此又被称为“周公馆”。,0,0,1,,,,
2,4515402259129917,话匣子FM,2020-06-13 17:07:33,上海思南路73号是中国共产党代表团驻沪办事处纪念馆（周公馆）所在地，从挂牌第一天起，这幢建筑和这里进出的人就如一座雾中的灯塔，在国民党统治下的上海传播着中国共产党的光与亮。《博物·在看》系列直播第五集，走进中共代表团驻沪办事处纪念馆（ 周公馆），重温“雾海明灯”。#hey!博物馆!#  话匣子FM的微博视频 .,0,1,1,,,,
2,4482055653823853,绿色青浦,2020-03-13 16:40:03,【中共一大会址纪念馆恢复开放：瞬时限流50人、暂停团队讲解】#长三角战疫观#今天，中共一大会址纪念馆、中国共产党代表团驻沪办事处纪念馆（周公馆）恢复对外开放。馆方表示，目前阶段实行实名制参观，暂停指纹取票。据介绍，为切实做好新冠肺炎疫情防控工作，纪念馆实行实名制限流参观。其中，一大会址纪念馆每日接待量限额1000人次，瞬时接待量不超过50人；周公馆每日接待量限额400人次，瞬时接待量不超过20人。#上海加油##上海战疫#（东方网）中共一大会址纪念馆恢复开放：瞬时限流50人、暂停团队讲解,0,0,1,,,,
2,4420185727872255,上海发布,2019-09-24 23:11:03,【周公馆基本陈列展厅改造提升完成，下周一重新免费开放！】#追梦70年##青春中国#中国共产党代表团驻沪办事处纪念馆（周公馆）基本陈列展厅改造提升已全面完成，将于2019年9月30日（星期一）恢复开放。以周恩来为代表的中国共产党人，为了和平建国，不畏艰险，在周公馆与国民党反动派斗智斗勇。为生动展示周公馆门前发生的监视与反监视的历史场景，馆方创新设计了剪影动画，让观众通过触摸屏，直观了解故事细节。生动别致的插画、透着灯光的周公馆、开动的汽车，带给观众身临其境的观感。详情↓,15,1,21,,,,
2,4403058308206039,青春上海,2019-08-08 16:52:47,#红色大寻访# 周公馆，暨中国共产党代表团驻沪办事处，坐落于上海市思南路73号，是一幢一底三层的西式花园楼房，建于二十世纪20年代。其设立于1946年6月，是抗日战争胜利后国共谈判期间，中国共产党代表团在上海设立的办事机构，1959年被列为上海市市级文物保护单位，1979年修复建立纪念馆。 ,0,0,1,,,,
3,4394649009811866,上海黄浦,2019-07-16 11:57:14,【公告 | 中共上海办事处（周公馆）基本陈列展厅将于近期施工停止开放】#黄浦播报#注意啦！7月15日，中国共产党代表团驻沪办事处纪念馆（周公馆）发布闭馆施工公告。因施工原因，基本陈列展厅于2019年7月18日—9月29日停止开放 ,0,0,4,,,,
3,4361279836163644,乐游上海,2019-04-15 10:00:04,#看大戏，游上海#上海市文化和旅游局近日向广大市民游客发布，深度感受上海发展成果的4个主题40条精彩旅游线路。线路串起了上海16个区的特色资源，邀请您一起“看大戏，游上海”！线路十：田子坊→上海琉璃艺术博物馆→思南公馆→中国共产党代表团驻沪办事处旧址（周公馆）→兴业太古汇→中国大戏院（黄浦 静安）推荐游览时间：一日游交通：田子坊至思南公馆之间建议步行，周公馆也在步行区域内。随后可乘坐地铁13号线到南京西路站，游玩兴业太古汇和丰盛里,9,5,5,,,,
3,4283480982300471,中共一大纪念馆,2018-09-12 17:35:12,周公馆部分展示区域暂停开放公告我馆将于2018年9月25日进行临时展览的搭建布展，为确保工程顺利进行和游客人身安全，经上级部门批准，届时将仅开放旧址展区，陈列展厅及周恩来铜像瞻仰区域暂停开放一天。由此带来的不便敬请谅解！特此公告。中国共产党代表团驻沪办事处纪念馆（周公馆）2018年9月12日,1,0,7,,,,
