页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4983957349204889,涡阳检察,2023-12-28 16:18:12,#全国检察机关双先表彰#【全国检察机关队伍建设工作会议暨第十次“双先”表彰大会召开】12月20日，全国检察机关队伍建设工作会议暨第十次“双先”表彰大会在京召开，深入总结检察队伍建设成效，隆重表彰全国检察机关先进集体和先进个人，部署加强新时代新征程检察队伍建设工作。中共中央政治局委员、中央政法委书记陈文清出席会议并讲话，在会前接见受表彰代表。最高人民检察院党组书记、检察长应勇主持会议并强调，持续锻造忠诚干净担当的检察铁军，努力以检察队伍建设新成效奋力推动检察事业开创新局面，为强国建设、民族复兴贡献更大检察力量。#聚焦全面深化人才强检#全国检察机关队伍建设工作会议暨第十次“双先”表彰大会召开,0,0,0,,亳州,安徽,中国
2,4983677290811825,抚州人大,2023-12-27 21:45:21,市人大常委会机关党组理论学习中心组学习会议召开12月27日，市人大常委会机关党组理论学习中心组学习会议召开。市人大常委会秘书长、机关党组书记尧宇斌同志主持，机关党组成员参加会议，各专工委主要负责同志及机关主题办负责同志列席会议。会议传达学习了习近平总书记在中共中央政治局召开专题民主生活会上和中央经济工作会议上的重要讲话精神、习近平总书记近期其他重要讲话精神以及全省立法工作会议精神。各专工委主要负责同志围绕学习贯彻习近平总书记关于以人民为中心重要论述，推动树立和践行正确政绩观作了研讨发言。会议指出，党的十八大以来，习近平总书记就坚持以人民为中心，树立和践行正确政绩观作出了一系列重要论述，深刻阐明了“政绩为谁而树、树什么样的政绩、靠什么树政绩”等重大理论和实践问题，为党员干部立身处世、干事创业指明了前进方向、提供了根本遵循。会议强调，要坚持人大机关是政治机关的第一属性，认真学习贯彻落实好习近平总书记关于正确政绩观的重要论述。结合正在开展的主题教育，坚持用习近平新时代中国特色社会主义思想武装头脑、锤炼党性，筑牢正确政绩观的思想根基。不断强化全心全意为人民服务的宗旨意识，坚持以人民为中心的发展思想，充分理解“为民造福是最大政绩”，树牢正确政绩观的价值取向。坚持立法工作“汇民智”，监督工作“顺民心”，代表工作“合民意”，切实发挥好为民履职的重要作用，为实现人民群众对美好生活的向往而不懈努力。（供稿:市人大监察司法委办公室  周光明）,0,0,0,,抚州,江西,中国
2,4982200007924559,漳县检察,2023-12-23 19:55:09,【陈文清：建设忠诚干净担当的新时代检察铁军 为强国建设、民族复兴作出新的更大贡献】全国检察机关队伍建设工作会议暨第十次先进集体先进个人表彰大会20日在京举行。中共中央政治局委员、中央政法委书记陈文清在会上强调，要坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻习近平法治思想，努力建设一支忠诚干净担当的新时代检察铁军，为强国建设、民族复兴作出新的更大贡献。 陈文清：建设忠诚干净担当的新时代检察铁军 陈文清：建设忠诚干净担当的新时代检察铁军,0,0,0,,定西,甘肃,中国
2,4981753064456231,辽阳市城郊地区检察院,2023-12-22 14:19:09,全国检察机关队伍建设工作会议暨第十次“双先”表彰大会召开人才兴则国家兴，人才强则国家强！12月20日，全国检察机关队伍建设工作会议暨第十次“双先”表彰大会在京召开，深入总结检察队伍建设成效，隆重表彰全国检察机关先进集体和先进个人，部署加强新时代新征程检察队伍建设工作。中共中央政治局委员、中央政法委书记陈文清出席会议并讲话，在会前接见受表彰代表。最高人民检察院党组书记、检察长应勇主持会议并强调，要坚持以习近平新时代中国特色社会主义思想为指导，深入贯彻习近平法治思想和习近平总书记关于政法队伍建设的重要论述精神，牢牢把握检察队伍建设的根本要求，一体加强党的政治建设、领导班子建设、人才队伍建设、专业能力建设、职业保障建设和纪律作风建设，持续锻造忠诚干净担当的检察铁军，努力以检察队伍建设新成效奋力推动检察事业开创新局面，为强国建设、民族复兴贡献更大检察力量。全国检察机关队伍建设工作会议暨第十次“双先”表彰大会召开,0,0,0,,长春,吉林,中国
2,4981483816882983,大庆检察,2023-12-21 20:29:16,【检察日报社论：以更高履职要求锻造新时代检察铁军】干事创业，关键在人。12月20日，全国检察机关队伍建设工作会议暨第十次“双先”表彰大会隆重召开。中共中央政治局委员、中央政法委书记陈文清出席会议，就深入贯彻落实习近平法治思想，进一步加强政法队伍建设、检察队伍建设提出明确要求。随后，应勇检察长就贯彻落实陈文清书记重要要求、持续推进新时代检察队伍建设作出部署。各级检察机关要深入学习领会，牢牢把握新时代新形势下检察队伍建设的根本要求，一体抓好落实。@最高人民检察院 @黑龙江省人民检察院 @中国长安网 @黑龙江-平安黑龙江 @萨尔图检察院 @龙检新媒 @让胡路检察 @大庆大同检察 @红检微博 @大庆高新区人民检察院@杜蒙检察 @肇州检察 @肇源检察@林甸检察 网页链接,0,2,5,,大庆,黑龙江,中国
2,4980721414572112,赛罕区机关事务服务中心,2023-12-19 17:59:45,坚定不移推进全面从严治党 持续深化正风肃纪反腐近日，中共中央政治局召开会议，分析研究2024年经济工作；听取中央纪委国家监委工作汇报，研究部署2024年党风廉政建设和反腐败工作；审议《中国共产党纪律处分条例》。中共中央总书记习近平主持会议。会议强调，纪检监察机关要深入学习贯彻习近平新时代中国特色社会主义思想，坚定不移推进全面从严治党，持续深化正风肃纪反腐。一系列重要要求和具体部署，为纪检监察机关在新征程上忠诚履职尽责指明了方向、提供了重要遵循。全面建设社会主义现代化国家、全面推进中华民族伟大复兴，关键在党。党的二十大报告对坚定不移全面从严治党，深入推进新时代党的建设新的伟大工程作出全面部署、提出明确要求。习近平总书记在中央纪委二次全会上强调，把全面从严治党作为党的长期战略、永恒课题，始终坚持问题导向，保持战略定力，发扬彻底的自我革命精神，永远吹冲锋号，把严的基调、严的措施、严的氛围长期坚持下去，把党的伟大自我革命进行到底。纪检监察机关是推进全面从严治党的重要力量，使命光荣、责任重大。党的二十大以来，在以习近平同志为核心的党中央坚强领导下，中央纪委国家监委和各级纪检监察机关扎实开展学习贯彻习近平新时代中国特色社会主义思想主题教育和全国纪检监察干部队伍教育整顿，深入推进党风廉政建设和反腐败斗争，持续推动健全全面从严治党体系，严管严治锻造纪检监察铁军，纪检监察工作高质量发展取得新进展新成效。全面从严治党永远在路上，党的自我革命永远在路上。我们党作为世界上最大的马克思主义执政党，要始终赢得人民拥护、巩固长期执政地位，必须时刻保持解决大党独有难题的清醒和坚定。我们解决了党内许多突出问题，但党面临的“四大考验”将长期存在，“四种危险”将长期存在。实践一再告诫我们，管党治党一刻也不能放松，必须常抓不懈、紧抓不放，决不能有松劲歇脚、疲劳厌战的情绪。要深刻认识党风廉政建设和反腐败斗争的长期性、复杂性、艰巨性，深刻认识“四风”问题的顽固性、反复性，永远保持赶考的清醒和谨慎，持续发力、纵深推进正风肃纪反腐，驰而不息推进全面从严治党，推动百年大党在自我革命中不断焕发蓬勃生机。不松劲、不停步、再出发，纪检监察机关要始终坚守党的初心使命，忠实履行党章和宪法赋予的职责，在新时代新征程上坚定不移推进全面从严治党，持续深化正风肃纪反腐。要强化政治监督，推动全党深刻领悟“两个确立”的决定性意义、坚决做到“两个维护”，坚定有效捍卫党的团结统一。要持续发力、纵深推进反腐败斗争，对比较突出的行业性、系统性、地域性腐败问题进行专项整治，严肃查处群众身边的“蝇贪蚁腐”，坚持受贿行贿一起查，深化源头治理，加强新时代廉洁文化建设，坚决铲除腐败滋生的土壤和条件。要重拳纠治“四风”顽疾，强化监督检查，严格纪律执行。要加强纪检监察专责监督与其他监督的贯通协同，实现无缝监督、合力监督，提升监督效能。要以彻底的自我革命精神锻造高素质专业化纪检监察队伍，努力做自我革命的表率、遵规守纪的标杆。奋进新征程、建功新时代，纪检监察工作任重而道远。要更加紧密地团结在以习近平同志为核心的党中央周围，沿着党的二十大指引的方向，弘扬伟大建党精神，自信自强、守正创新，踔厉奋发、勇毅前行，以一往无前的奋斗姿态、永不懈怠的精神状态履职尽责，不断取得全面从严治党、党风廉政建设和反腐败斗争新成效，为强国建设、民族复兴不懈努力。来源：中央纪委国家监委网站,0,0,0,,呼和浩特,内蒙古,中国
2,4978059285890788,廉洁青白江,2023-12-12 09:41:24,【坚定不移推进全面从严治党，持续深化正风肃纪反腐】近日，中共中央政治局召开会议，分析研究2024年经济工作；听取中央纪委国家监委工作汇报，研究部署2024年党风廉政建设和反腐败工作；审议《中国共产党纪律处分条例》。中共中央总书记习近平主持会议。会议强调，纪检监察机关要深入学习贯彻习近平新时代中国特色社会主义思想，坚定不移推进全面从严治党，持续深化正风肃纪反腐。一系列重要要求和具体部署，为纪检监察机关在新征程上忠诚履职尽责指明了方向、提供了重要遵循。网页链接,0,0,0,,成都,四川,中国
2,4976709571450521,财联社APP,2023-12-08 16:18:07,【中共中央政治局：要持续发力、纵深推进反腐败斗争，对比较突出的行业性、系统性、地域性腐败问题进行专项整治】财联社12月8日电，中共中央政治局12月8日召开会议。会议强调，纪检监察机关要深入学习贯彻习近平新时代中国特色社会主义思想，坚定不移推进全面从严治党，持续深化正风肃纪反腐。要强化政治监督，推动全党深刻领悟“两个确立”的决定性意义、坚决做到“两个维护”，坚定有效捍卫党的团结统一。要持续发力、纵深推进反腐败斗争，对比较突出的行业性、系统性、地域性腐败问题进行专项整治，严肃查处群众身边的“蝇贪蚁腐”，坚持受贿行贿一起查，深化源头治理，加强新时代廉洁文化建设，坚决铲除腐败滋生的土壤和条件。要重拳纠治“四风”顽疾，强化监督检查，严格纪律执行。要加强纪检监察专责监督与其他监督的贯通协同，实现无缝监督、合力监督，提升监督效能。要以彻底的自我革命精神锻造高素质专业化纪检监察队伍，努力做自我革命的表率、遵规守纪的标杆。#2024年经济工作#,9,9,28,,上海,上海,中国
2,4976684338254125,上海反邪教,2023-12-08 14:37:51,【陈文清主持召开会议专题研究公正司法工作时强调 全面推进公正司法 促进社会公平正义】中共中央政治局委员、中央政法委书记陈文清近日主持召开会议，继专题研究科学立法、严格执法之后，专题研究公正司法工作。会议强调，政法机关要贯彻落实习近平法治思想和习近平总书记关于“努力让人民群众在每一个司法案件中感受到公平正义”的重要指示精神，全面推进公正司法，促进社会公平正义。会议指出，党的十八大以来，政法机关以深化司法体制改革为牵引，以落实司法责任制为抓手，推进公正司法取得新成效。新时代新征程，政法机关要坚持司法为民、公正司法，不断满足人民群众对公平正义的更高需求。会议强调，全面推进公正司法，既要遵守法律，又要遵循规律。要坚持权责统一，全面准确落实司法责任制，严格落实办案责任，完善问责惩戒机制，既要“让审理者裁判”，更要“由裁判者负责”。要坚持权力制约，规范司法权力运行，强化制约监督。要坚持公开公正，以公开促公正，以透明保廉洁。要坚持尊重程序，落实好依法回避、证据裁判等原则，实现实体公正和程序公正相统一。推进公正司法要以严格依法办事为基础，对刑事案件做到不枉不纵、宽严相济，对民事案件做到案结事了、定分止争，对行政案件做到政通人和、取信于民。,2,0,1,,上海,上海,中国
3,4976079216839145,中国长安网,2023-12-06 22:33:19,【陈文清主持召开会议专题研究公正司法工作时强调 全面推进公正司法 促进社会公平正义】中共中央政治局委员、中央政法委书记陈文清近日主持召开会议，继专题研究科学立法、严格执法之后，专题研究公正司法工作。会议强调，政法机关要贯彻落实习近平法治思想和习近平总书记关于“努力让人民群众在每一个司法案件中感受到公平正义”的重要指示精神，全面推进公正司法，促进社会公平正义。 陈文清主持召开会议专题研究公正司法工作时强调,436,74,112,,太原,山西,中国
