页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4984671982586155,私域王厂长1,2023-12-30 15:37:54,历史上的黄河路由上海公共租界工部局越界修筑于1887年，取名东台路。1899年划入公共租界。1904年改名派克路(Park Road)。1943年汪精卫国民政府接收租界时改名黄河路。1990年代末曾是黄河路作为美食街的巅峰时期。#魔都 #悠游秘境 #黄河路 #繁花 #王家卫 ,0,0,0,浙江,杭州,浙江,中国
2,4976546574238213,鐊梅女孩,2023-12-08 05:30:26,【苏报案】《苏报》创刊于1896年，1903年连续发表大量文章，“放言革命”，揭露清王朝的反动本质，引起了清政府的恐惧。1903年6月29日，上海公共租界工部局应清政府要求，以鼓吹革命的罪名拘捕钱允生、陈吉甫、陈叔畴、章炳麟、邹容、龙积之等6人，发生了震动一时的“苏报案”。 ,0,0,0,广西,,广西,中国
2,4972952460984349,哦哟喂哎,2023-11-28 07:28:41,“石头房子”·上海公共租界工部局（Shanghai Municipal Council）旧址：由公和洋行特纳设计，华商裕昌泰营造厂承建，钢筋混凝土框架结构，1913-1922年建造（“一战”停工）。英国新古典主义风格兼巴洛克装饰，外墙石砌，环成内院🏛️ 上海·公共租界工部局 ,0,2,5,上海,上海,上海,中国
2,4972258592031670,历史小破站,2023-11-26 09:31:31,上海工部局乐队，全称为上海公共租界工部局乐队，简称工部局乐队，是19世纪中后期到20世纪初期，上海公共租界工部局所设立的一个交响乐团。该乐团在1930年代和1940年代期间，以其在东方首屈一指的音乐品质和演奏水平，成为当时上海乃至全中国最负盛名的交响乐团之一。工部局乐队在1930年代和1940年代期间，演奏了大量的古典音乐作品，包括交响乐、室内乐、协奏曲等。他们的演奏风格既有欧洲古典音乐的传统，又融入了中国文化的元素，具有独特的东方韵味。工部局乐队在当时的上海拥有广泛的听众群体，他们的音乐会常常座无虚席。许多中国的音乐家和音乐爱好者都曾慕名前来欣赏他们的演出。同时，工部局乐队还经常与当时的中国音乐家合作演出，促进了中西音乐的交流与融合。,1,0,3,四川,德阳,四川,中国
2,4967930925418974,悠游老爷,2023-11-14 10:54:55,茂名北路是位于上海市静安区的一条道路，南北走向，南起延安中路接茂名南路，北至南京西路。1910年至1917年，上海公共租界工部局修筑此路，命名为慕尔鸣路(Moulmein Road)。1943年，汪精卫国民政府接收上海租界，收回租界时重新起名字。茂名路，改名时是动过些脑筋的，“茂名”两个字的发音，和“慕尔鸣”多少有些相近。距今路两旁的居民区改成新海派商业街，成为魔都市中心年轻人打卡必游之地 #压马路##手机摄影##citywalk##悠游秘境# 上海·茂名北路 悠游老爷的微博视频,1,1,1,上海,上海,上海,中国
2,4966804679820149,冰曦微语,2023-11-11 08:19:37,【张晓虹：西洋音乐传播与近代上海城市声音景观的变迁】西洋音乐从上海开埠之初外侨自娱自乐式的音乐活动，随着上海城市的发展而逐渐传播到社会各个阶层。尤其是工部局乐队在将其音乐会打造成租界地区公共文化产品后，西洋音乐成为近代上海城市的标志性声音景观。西洋音乐的传播及其对近代上海城市声音景观的形塑，透视出在近代上海租界地区的殖民特性的基底下，近代民族主义和国际政局对城市文化演变走向的影响。本文利用大量档案、报刊、地图等历史文献资料，复原了开埠以后至一九四九年间西洋音乐在上海传播的时空过程，在此基础上分析西洋音乐对近代上海城市声音景观演变的影响。西洋音乐传播与近代上海城市声音景观的变迁,4,2,1,浙江,湖州,浙江,中国
2,4963933597204660,琉璃厂人,2023-11-03 10:10:57,可口可乐饮料摊与广告牌，上海，1947年。陕西北路旧名“西摩路”，由公共租界工部局筑于1905年，路上多为高档住宅。 ,4,6,29,北京,北京,北京,中国
2,4962486957641078,卓别林的后花园,2023-10-30 10:22:32,上海市提篮桥监狱，坐落于华德路117号（今长阳路147号），原是外国殖民主义侵略中国，侵犯中国司法主权的产物。这座监狱最早由上海公共租界工部局始建于1901年，由英国驻新加坡工程处设计中标，当年年底动工兴建，启用于1903年5月。 ,0,0,0,湖南,长沙,湖南,中国
3,4961769447227813,用户7731149503,2023-10-28 10:51:23,"上海电力公司。简称&quot;上电&quot;。美国摩根财团垄断旧上海电力事业的机构。前身是上海公共租界工部局电气处。1882年（光绪八年）英商在上海设&quot;上海电气公司&quot;（亦译上海电光公司）。1888年改组为&quot;新申电气公司&quot;。1893年由上海公共租界工部局收买，成立电气处，并另建新电厂。1907年安装汽轮发电机。1913年杨树浦新电厂建成发电。随着上海工商业的发展，规模不断扩大。到1929年，设备容量已达121,000，全年售电量超过五亿度，当时被称为远东最大火力发电厂。1929年3月，电气处的产业为美国摩根财团的电气债券股份有限公司所属美国及国外电力公司收购，改组为&quot;上海电力公司&quot;。摩根财团收买&quot;上电&quot;，系采用在中国发行优先股和公司债的方式，大量吸收和利用华资。仅1930-1935年间，&quot;上电&quot;曾发行股票和债券七次，总共约合八千四百万银两，因此，该厂不断扩充。在旧上海它所控制的供电总量达百分之八十以上。解放后结束。上海地皮章程，即《上海租地章程》。",0,0,0,吉林,,吉林,中国
3,4957210314539842,澄净大地,2023-10-15 20:55:01,康定路，东西走向，东起泰兴路，西至万航渡路，长约2.85公里。原名康脑脱路（Konnaught Road），由上海公共租界工部局修筑于1906年，1943年改名康定路。沿路历史建筑有涵仁里（1935年）、日本住友银行旧址（图4，1935年，培进中学，上戏附中）、春江别墅（1926年）、康定别墅（图3，1923年，又称“张园”，颜料大王张发文旧址），华隆中医院沪西分院旧址（1940年）、陕康里锡克教堂（图2）、国立暨南大学旧址 （图8，1938年迁入）、朱公馆（1926年）等。泰兴路往东就是康定东路，迎面一幢坐北朝南的英式砖木结构洋楼图5），曾经是康定东路第一小学，我就读的第一个小学，最为明显的标志就是有着连续的拱形穹廊和钟楼，洋楼的北面紧邻苏州河。现在这里成了静安区少年儿童图书馆了，但记忆中的钟楼不见了，不知道现在这个少儿馆是在原来的洋楼基础上改造的，还是根本就是推倒重来新建的？,0,0,0,上海,上海,上海,中国
