页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4680945154920781,上海黄浦,2021-09-13 12:35:55,"【黄浦区部分红色场馆临时闭馆通知】#黄浦播报#受台风“灿都”影响,为确保市民、游客的安全,中国共产党发起组成立地(《新青年》编辑部)旧址、中共中央政治局机关旧址（1928-1931年）、又新印刷所旧址、中共上海区委党校旧址、复兴·颂将于9月14日（周二）临时闭馆，9月15日（周三）正常闭馆。已通过网络预约9月14日参观的团队观众，将有工作人员与您电话联系。",0,0,1,,,,
2,4676625809541804,黄浦区科协,2021-09-01 14:32:23,红色经典始发地，不忘初心再出发——黄浦区科协举办党史学习教育主题活动 8月30日上午，黄浦区科协举办党史学习教育主题活动，全体机关干部赴又新印刷所旧址和中共上海区委党校旧址参观学习。 网页链接 ,0,0,0,,,,
2,4672343613376379,中共一大纪念馆,2021-08-20 18:56:27,中共一大纪念馆的建筑外墙上挂着12块带有 #红色里弄# 名称的铭牌，你都知道是哪里吗？今天给大家介绍的是“成裕里”，这里是又新印刷所旧址。1920年8月，第一本由陈望道翻译的《共产党宣言》中文全译本在这里印刷出版。我馆基本陈列“真理的味道”展项呈现了一个三折的LED屏幕，其中《信仰的力量》讲述又新印刷所出版《共产党宣言》，推动马克思主义广泛传播的故事。,0,0,3,,,,
2,4665648472917339,勤君飞扬,2021-08-02 07:32:22,"发表了博文《参访又新印刷所旧址》我曾无数次途经这里的石库门,却是第一次知道它曾有过的那一段非凡的过往------星星之火,最终足以燎原。参访又新印刷所旧址 ",0,0,0,,,,
2,4663658531263928,恋影恋樱,2021-07-27 19:45:03,#打卡我的大中国#【#AR步行导航打卡上海红色景点#】全长7.1公里的上海首条红色经典步道25日落成。红色经典步道以中共一大会址周边的13条市政道路为纽带，串联起中共一大纪念馆、《新青年》编辑部旧址、又新印刷所旧址等14个红色景点。相关道路的地砖嵌入了红色经典步道的标识，路边增设了导览图等设施。“红色经典步道AR导览平台”同日启用，平台融合了地图导航、线上讲解和实景展示等功能，便利游客打卡游览。 新华社的微博视频,1,0,1,,,,
2,4658436132835717,DHU赴上海实践团,2021-07-13 09:53:06,@爱东华爱实践 爱东华爱实践爱东华爱实践 Day2 社会实践第二天，成员们已抵达又新印刷所旧址，开始了本次任务，希望一切顺利！！！！ ,0,0,1,,,,
2,4654491880655934,青羊服务,2021-07-02 12:40:03,【印刷《共产党宣言》首个中文全译本的又新印刷所旧址试运营开放】6月25日，印刷《共产党宣言》首个中文全译本的又新印刷所旧址，修缮布展后试运营开放。新华网的微博视频 ,0,0,1,,,,
2,4654180834478495,上海体育发布,2021-07-01 16:04:04,#百年初心映党旗#【上海首条红色经典步道启用 串联起14个红色景点】日前，以“一大”周边13条市政道路为纽带的上海首条“红色经典步道”建成。通过这条步道，市民游客以中共一大会址为起点，可以漫步到中国共产党发起组成立地（《新青年》编辑部旧址）、又新印刷所旧址等14个红色景点。一起来打卡吧！（来源：@上海发布 ） 上海首条红色经典步道启用 串联起14个红色景,12,9,53,,,,
2,4653790761061075,上海女性shwomen,2021-06-30 14:14:03,【上海首条！7.1公里步道带你一次打卡14个景点，太值啦】上海首条“红色经典步道”近日亮相——通过这条步道，市民游客以中共一大会址为起点，可以轻松漫步到中国共产党发起组成立地（《新青年》编辑部旧址）、又新印刷所旧址等14个红色景点→上海首条！7.1公里步道带你一次打卡14个景点，太值啦 ,2,0,3,,,,
2,4652806902383313,上海黄浦,2021-06-27 21:04:33,【永恒的灯塔｜首部《共产党宣言》中文全译本在这里诞生】#黄浦播报#又新印刷所旧址曾位于黄浦区复兴中路221弄（原辣斐德路成裕里）12号，是一幢砖木结构的旧式里弄建筑。1920年7月，陈独秀在此建立了一个小型印刷所，取名又新印刷所，寓意“日日新，又日新”。同年8月，又新印刷所承印《共产党宣言》中文全译本初版1000册，9月，再印1000册，后续还承印了《共产党》《新青年》等进步刊物和各种小册子和传单。1921年2月，因承印《新青年》《正报》等进步刊物被迫关闭。,0,0,1,,,,
3,4652472389338192,青春菏泽,2021-06-26 22:55:18,“永恒的灯塔”！早期马克思主义传播阵地——又新印刷所。网友：这是信仰起始的地方！  #共产党宣言首个中文全译本印刷所旧址##致敬1921# （上海黄浦） 青春山东的微博视频 ,0,0,1,,,,
3,4652346493112918,新华网,2021-06-26 14:35:03,#共产党宣言首个中文全译本印刷所旧址开放#【印刷《共产党宣言》首个中文全译本的又新印刷所旧址试运营开放】6月25日，印刷《共产党宣言》首个中文全译本的又新印刷所旧址，修缮布展后试运营开放。 新华网的微博视频 ,339,161,3651,,,,
3,4648284850755679,新昌路第一小学,2021-06-15 09:35:32,中共上海区委党校、又新印刷所旧址初探 ,0,2,2,,,,
3,4640762698137944,上海住房城乡建设管理,2021-05-25 15:25:10,【全长7.1公里！这条红色经典步道将14处红色建筑“串珠成链”】#黄浦区# 正着力打造“红色露天博物馆”。中共一大纪念馆、中国共产党发起组成立地（《新青年》编辑部）旧址、又新印刷所旧址、中国共产党代表团驻沪办事处纪念馆（周公馆）等14处红色点位，被串联在一条7.1公里长的“红色经典步道”上。“一大”会址周边的红色遗迹遗址将串珠成链、编织成网。详见↓全长7.1公里！这条红色经典步道将14处红色建筑“串珠成链”,0,0,0,,,,
3,4635909888672000,新昌路第一小学,2021-05-12 06:01:50,黄陂南路街头新景 又新印刷所旧址、上海市区委早期党校旧址、黄浦区党建服务中心（黄陂南路575号文物保护点）、瑞华坊和街头绿地。 ,0,4,2,,,,
3,4630238590143512,上海住房城乡建设管理,2021-04-26 14:26:08,【学党史 · 读建筑 | 永恒的灯塔！又新印刷所旧址】 在#黄浦区# 梧桐成荫的复兴中路黄陂南路口，有一幢不起眼的石库门小楼，它就是又新印刷所旧址，《共产党宣言》第一个中文全译本就在这里出版，由此遍及大江南北。 【学党史 · 读建筑】永恒的灯塔！又新印刷所旧址 ,1,1,1,,,,
3,4611394979496454,上海松江发布,2021-03-05 14:28:20,【打响红色文化品牌，让红色根脉厚植人心】上海复兴中路上，一幢旧式砖木结构石库门里弄建筑正紧锣密鼓地修缮。去年11月，该建筑完成平移，将于今年5月交付，7月1日前对外开放。这里，是又新印刷所旧址。网页链接 ,10,1,1,,,,
3,4428693629370148,启天娱乐,2019-10-18 10:38:25,如今的又新印刷所旧址空空荡荡，当时为了革命抛头颅洒热血的英雄先辈也已经不在，但在这里得以传播弘扬的真理影响了千千万万有志青年。陈望道等革命者启民智、倡真理，为中国的革命事业指明了方向，致敬#闪亮的名字#！#真理的味道是甜的#东方卫视闪亮的名字的微博视频 ,0,0,1,,,,
