页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4362436851020370,珍妮刘919,2019-04-18 14:37:38,昨天游全国排名第八的上海同济大学！参观了大学的博物馆和校史馆，校院美如花园！耒晚了，同济大学的樱花已谢了，要看明年请早！🌸🌸🌸 上海·好食同乐(余姚路) ,0,1,8,,,,
2,4296420640514398,馆章华明,2018-10-18 10:32:48,昨天下午在同济大学校史馆巧遇西南民族大学青年教师张劲，他说：我外公名叫刘继宗，是李庄同济大学学生。最早读的医学系，后来转到造船系。 ,1,0,4,,,,
2,4238072293622460,南溪发布,2018-05-10 10:17:17,#南溪快讯# 【同济大学校史馆到南溪寻找“同济迁川”历史痕迹】日前，同济大学校史馆馆长章华明率队，在李庄查看“同济大学附职校感赠罗南陔”木匾后，风尘仆仆的赶到南溪区档案局，寻找同济大学迁川的历史痕迹。同时，章华明及通行三位专家林松、程如心、王玉秋受聘为南溪区历史文献研究顾问。 ,0,1,0,,,,
2,4133898314945244,Xiao_洵美,2017-07-26 23:07:05,第三天，上午参观了复旦大学，同济大学校史馆，海洋探测馆，下午去了科技馆，晚上去看了金茂大厦夜景，看来宝贝今天玩得很开心，打电话都听出他的兴奋和激动！小孩，你是让妈妈越来越安心了！（不过话说咱是有多爱这件衣服？已经三天了，带了那么多衣服，你倒是换换呀！馊了没？！😂） ,0,0,3,,,,
2,4108885613182653,梁靖Designer,2017-05-18 22:35:31,努力数月的@同济大学校史馆 110周年更新设计今天顺利开幕！感谢每一位为此而努力的小伙伴！大家无私的付出、奉献令人感动[憨笑]。特别感谢慎馆长带领的校史馆团队一直以来的信任理解！“我们完成啦！”同天策展设计的@同济大学博物馆 110周年同济的永续贡献特展开幕！感谢每一位支持、包容我们的领导和朋友。谢谢大家！重新回归工作，加油加油！！@同济大学 110岁生日快乐！🎂 上海·同济大学,2,2,22,,,,
2,4083869211050540,馆章华明,2017-03-10 21:49:17,今把《致青春……同济大学工农预科（1952～1964）》序素材发给吴启迪校长，供她参考，并得到确认；今天上午修改该书稿绪论，接待原上海铁道大学教务处处长巫锡畴遗孀，后介绍给收集指导室；下午电话几个老领导，请他们审读校史展览文案。校史馆没有一个行政干部真的不行。 ,0,0,2,,,,
3,3933390430411918,微兰的心,2016-01-20 16:00:20,“行迹上海”小队活动：1933老场坊与同济大学校史馆。跑男曾经到过的1933老场坊原来是个屠宰场，融汇东西方建筑特色，大气却不张扬，同学们非常喜欢，相约下次来捉迷藏。 ,0,0,0,,,,
3,3913776140856057,JinFujun,2015-11-27 13:00:08,发表了博文《参加“抗战时期的中国高等教育”研讨会暨首届“华东地区校史论坛”》11月19日，我和王向田老师赴杭州参加了有中国高等教育学会校史研究会主办、浙江大学档案馆/校史研究室承办、同济大学校史馆协办网页链接 ,0,0,0,,,,
3,3862717930452228,上海杨浦,2015-07-09 15:33:03,【杨浦举办第三届科普夏令营活动】近日，第三届科普夏令营活动在同济大学校史馆前开营，小朋友们一起参观了同济大学校史馆，参与了同济大学物理实践工作站力学、振动波动、电磁学、光学四个探索室的互动实验，动手动脑，做个科普知识实践“小达人”。 ,1,0,1,,,,
3,3833777300553292,馆章华明,2015-04-20 18:53:19,纪念王三川烈士牺牲70周年座谈会将由浦东新区党史办、同济大学档案馆（校史馆）联合举行。——博文片段来自同济一章华明：纪念同济大学校友王三川烈士牺牲70周年 纪念同济大学校友王三川烈士牺牲70周年  ,0,0,0,,,,
3,3833405919755827,夏后氏之民,2015-04-19 18:17:35,同济大学医学院迁汉后新建仅存的一栋建筑。原建于1952年的化学生物楼，现为校史馆。 武汉·华中科技大学同济医学院 ,0,2,1,,,,
3,3832065717661177,香山匠人鸣武,2015-04-16 01:32:06,回复@司图博行 对博文【同济大学校史馆&amp;综合楼】的评论：&quot;我感觉现代化一些呢，老房子可能我没有深入去看，校园的建筑很同济，，，//@司图博行 回复 @雕刻匠人鸣武 :同济的校园建筑还是很不错滴&quot;查看原文：网页链接 ,0,0,0,,,,
3,3829975691572687,用户1315902487,2015-04-10 07:07:05,发表了博文+《甲午国庆魔都游&amp;#9312;&amp;#9318;同济大学·校史馆》+-++甲午国庆魔都游&amp;#9312;&amp;#9318;同济大学·校史馆 ,0,0,0,,,,
3,3817055864186795,樊建川,2015-03-05 15:28:18,抗战军兴，同济大学西走避难，跋涉中收到电报：“同大迁川，李庄欢迎，一切需要，地方供给”。烽火连天中，李庄张开双臂，接纳了同大，为国为族延续了一支文脉。值此抗战胜利七十周年，李庄将建设同济医学院、工学院旧址陈列馆，我参与策展，聊尽一份力量。今，参观同大校史馆、档案馆，了解峥嵘岁月。 ,147,45,88,,,,
3,3773631463550746,郭磊daguo2000,2014-11-05 19:35:14,同济大学校史馆里有不少旧时笔记，相当高大上,1,0,0,,,,
4,3759758445666653,馆章华明,2014-09-28 12:48:49,发表了博文《2013年，同济大学校史馆接待参观个人计20882人次，团队共1906批》【校史馆概况】2013年，据不完全统计，校史馆接待参观个人计20882人次，团队共1906批。培训讲解员53人，实2013年，同济大学校史馆接待参观个人计20882人次，团队共1906批 ,2,1,3,,,,
4,3732716295994912,王士周,2014-07-15 21:52:58,步入同济大学校史馆，端庄厚重的气流边迎面袭来。一张张泛黄的照片将过去艰苦的岁月投映在我们面前，我们不但了解了同济大学的历史与传统，一幅幅的图片，一座座的奖杯，一具具的模型，生动而形象地为我们展示了同济大学诞生的全过程；是它们见证了同济的历史，也是它们造就了今天同济大学的辉煌！ ,0,0,0,,,,
4,3725221838359741,花漫漫里晒太阳的ADA子,2014-06-25 05:32:40,同济大学，风格也许真的不同于复旦。印象最深的，一个大高个，扛着相机给一群人拍照，艺术气息。参观校史馆，德国人开办。 ,0,0,1,,,,
4,3723909024989256,山东省青岛第九中学,2014-06-21 14:36:01,【中国前驻德国大使马灿荣先生一行参观青岛九中校史馆】6月21日，中国前驻德国大使马灿荣先生、同济大学德语系主任朱建华教授、德国跨文化日耳曼语言专家Eva Numberger女士、德国汉堡大学气象学院教授Hans von Storch先生等一行访问青岛九中。网页链接 ,2,1,1,,,,
4,3695280228656315,钢铁熊Alex,2014-04-03 14:35:24,🐻【参观同济大学校史馆有感】@同济经典设计 企业基因是【生而不凡】，不仅因为设计规划是我们基础强项，更让客户生活品质因我们而不凡 。今夏公司将派出公司去年十佳设计师去同济大学中意学院的意大利米兰理工分院进修，感受起源欧洲的同济精髄…。作好同济在全国家装业的表率，是本份，也是使命。 ,0,0,1,,,,
4,3691995824184818,馆章华明,2014-03-25 13:04:21,发表了博文 《同济大学校史馆临时展览征集启事》 - 同济大学校史馆位于同济大学四平路校区东侧，建筑面积1395平方米，通过近千张历史照片、150多件实物、模型，系统展现了同济大学自建校以来一个世纪的风 同济大学校史馆临时展览征集启事 ,1,1,0,,,,
4,3657231927580353,用户1337206902,2013-12-19 14:45:02,【“同济”最牛学科“根”在咱青岛】上海同济大学最牛的土木工程学科和青岛有什么关系？记者了解到，该学科的前身就是1908年在青岛成立的德华大学。为了丰富校史馆资料，同时为明年土木工程学院100周年院庆做准备，来自同济大学校史馆的三位研究人员前天专门来到青岛“寻根”。网页链接  ,1,0,1,,,,
5,3631877808374533,李小苏苏,2013-10-10 15:36:49,研究生阶段参与的最有意义的项目，同济大学校史馆设计，果断合影！ ,1,2,3,,,,
5,3621294820473790,爱山川的图图,2013-09-11 10:43:48,事实证明，经过youku的转码，是会有明显卡顿的。。。感觉像是从校史馆走到了大礼堂。【视频：同济大学学生会2013年秋季招新宣传视频第三波】 网页链接  ,0,2,0,,,,
5,3599712173455886,中国西部教育,2013-07-13 21:22:01,【同济大学校史馆展示学校风雨历程】馆藏近千张历史照片、150多件实物、模型，其中由同济发展历程中各个校址的泥土汇聚而成的“毋忘柱”，由船桨和软钢丝依据压杆原理连接起来象征“同舟共济，团结一心”同济精神的“空中悬浆”最受大家关注。 ,0,0,0,,,,
5,3568029419817747,飞imApril,2013-04-17 11:06:07,同济大学的校史馆是中德英三语的！@NANA小蜗牛 我在:四平路 ,0,1,0,,,,
5,3558993530649848,星空半岛岛主尘冰,2013-03-23 12:40:43,与@诗人许云龙   拜访我的湖北老乡同济大学校史馆馆长喻大翔教授，著名评论家孙琴安教授等专家学者聚会 ,3,5,0,,,,
5,3554935801114280,不靠谱小妞guoguo,2013-03-12 07:56:44,我在同济大学行政北楼：校史馆门口打太极哒阿姨和伯伯们！ 网页链接 ,0,0,0,,,,
5,3515122368197626,30年的乐佳,2012-11-22 11:12:23,细节见潜力。同济大学校史馆文字说明有中、德、英三个版本，外宣英文手册全面、精致、简洁。哎，唉。 ,0,7,0,,,,
5,3497780889123419,cathy_zhen,2012-10-05 14:43:32,嗯，各企业领导到同济大学校史馆参访,0,2,0,,,,
5,3489370630118672,上海大学博物馆,2012-09-12 09:44:09,近日，陶飞亚馆长率队一行四人参观调研上海体育学院中国武术博物馆、上海海洋大学博物馆、上海中医药大学博物馆和同济大学校史馆，取经高校博物馆建设的各项问题，收获颇丰。 ,1,0,0,,,,
6,3462229699947294,abalor,2012-06-29 12:15:46,实践第六站之同济大学本部校园自由行活动。重点参观校史馆。感受大牌校园浓郁文化和精神。 ,0,0,0,,,,
6,3447742409712330,cc_cjj,2012-05-20 12:48:29,我在同济大学校史陈列馆：校史馆的俞载道先生图片展 网页链接 ,0,0,0,,,,
6,3413021378321752,蓝筱黛荣,2012-02-14 17:19:30,手绘名家曾海鹰先生画说系列开篇之作——《建筑语绘》轻度推出，同济大学校史馆馆长倾力推荐并亲作序言！ 新书出版啦！欢迎围观！ ,0,3,2,,,,
6,3410751635215039,EdenZong,2012-02-08 11:00:21,我在同济大学。与 @发发发发条_L 在一起。这才是高校的建筑好么！毛爷爷向我们招手～拐进校史馆咯。  网页链接 ,0,0,0,,,,
6,3392316297897900,秀逸星辰,2011-12-19 14:04:54,分享课后我们由同济大学建筑系副教授左琰老师带领和我的老师同济大学工业设计系博导朱钟炎教授一起参观了同济校史馆 。 ,0,0,0,,,,
6,3367452014141732,同济土木研会,2011-10-11 23:23:07,同济大学校史馆招募志愿者解说员 网页链接 ,2,0,0,,,,
