页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4364292402243620,平安嘉定,2019-04-23 17:30:56,【嘉定区社会帮教志愿者协会开展“缅怀革命先烈、弘扬爱国精神”祭扫烈士陵园活动】 4月19日下午，嘉定区社会帮教志愿者协会开展了“缅怀革命先烈、弘扬爱国精神”青少年社区服刑人员祭扫烈士陵园活动。全区青少年社区矫正对象、社工和志愿者逾30人参加了活动。网页链接 ,0,0,0,,,,
2,4357761561179824,上海嘉定,2019-04-05 16:59:42,【为国家，且看嘉定英烈如何演绎钢铁意志与献身精神】#缅怀先烈#今年是新中国成立70周年，嘉定区深入实施“党的诞生地”发掘宣传工程。区委宣传部、区烈士陵园从741名嘉定烈士史料中遴选了18位在中国共产党领导下的各个历史时期为革命事业光荣牺牲的烈士事迹，制作成主题展览；通过珍贵图片资料和文字介绍，向社会各界展示英烈们的英勇事迹和崇高精神。缅怀先烈 | 为国家，且看嘉定英烈如何演绎钢铁意志与献身精神,2,0,1,,,,
2,4289627751384848,嘉定公安,2018-09-29 16:40:16,#传承英烈志·建功新时代# 【缅怀革命先烈，弘扬革命传统】9月29日14时30分，唐行派出所组织民警和社区辅警到嘉定区革命烈士陵园开展国家公祭日活动。其间，大家怀着无比崇敬的心情来到烈士陵园，进行祭扫活动。站在纪念碑前，向为争取民族解放而壮烈牺牲的革命先烈们敬献花圈，缅怀革命先烈的丰功伟绩，寄托对革命先烈的无限哀思，颂扬革命先烈的崇高精神。随后，在园区工作人员的带领下，大家参观了园内的区反腐倡廉教育专栏，接受廉政教育，进一步提高自律、自省意识。@警民直通车-上海,0,0,2,,,,
2,4251106609067046,四次元all,2018-06-15 09:31:01,#我们家的报国故事#上海市 嘉定区实验小学二年级小朋友在嘉定革命烈士陵园举行了入队仪式，光荣地加入了少先队。祝贺他们，愿红领巾能时刻激励他们取得一个又一个进步。                              嘉定区实验小学二（6）班 上海·菊园新区 ,0,1,1,,,,
2,4243609471429330,廉洁上海,2018-05-25 17:00:03,【上海红色之旅•嘉定区：嘉定区革命烈士陵园】嘉定区革命烈士陵园由烈士墓区、烈士史料陈列馆等组成。烈士史料陈列馆是陵园主体建筑之一。分为瞻仰大厅、烈士史料陈列室与报告厅三部分。烈士史料陈列室分为三个展室。嘉定区革命烈士陵园是上海市爱国主义教育基地。网页链接 ,2,1,1,,,,
2,4105118045196127,闵行新虹,2017-05-08 13:04:34,【革命烈士打江山，反腐倡廉保江山】 4月28日，华美路第二居民区党支部组织居民区党员、居民组长及居民代表们共计四十六名到嘉定区革命烈士陵园进行参观。在那重温领袖们的信仰和寄语；领略“民可近，不可下。民为邦本，本固邦宁”的思想和信念；更要继承和发扬清正廉洁的优良传统，保持清廉本色。 ,0,0,0,,,,
2,4025490203553373,上海嘉定,2016-09-30 19:31:57,#动态信息#【今天，他们在嘉定区烈士陵园缅怀先烈】今年的9月30日，是全国第三个烈士纪念日。嘉定区各界人士代表来到嘉定区烈士陵园，共同缅怀为中国革命和社会主义建设事业而英勇牺牲的先烈们，并向他们表达无限的哀思和崇高的敬意。马春雷、章曦、许谋赛、刘海涛、周金林等区四套班子领导出席纪念烈士活动。【政务·动态】今天，他们在嘉定区烈士陵园缅怀先烈,0,0,0,,,,
2,4009104865135735,闵行民政,2016-08-16 14:22:28,#基层动态#【区烈士陵园组织员工赴嘉定区革命烈士陵园开展学习交流】 为提升管理和服务水平，进一步做好陵园各项工作，8月12日下午，闵行区烈士陵园组织员工前往嘉定区革命烈士陵园开展了学习交流活动。双方就共同关心的问题进行了探讨并一致表示今后要加强互动学习，一同提高陵园各方面的工作水平。 ,0,0,0,,,,
3,3959805401762230,用户5879155204,2016-04-02 13:23:59,2016年4月1日启悦社区居委会组织党员、积极分子前往嘉定区烈士陵园进行“祭扫烈士陵园、缅怀革命先烈”的祭扫活动。通过这次活动，发扬了革命传统，弘扬了爱国主义精神，强调了群众路线的重要性，培养了党员们的爱国主义精神，增强了每一位党员的历史使命感和责任感。 ,0,0,0,,,,
3,3827564793906093,菊园青冈村团支部,2015-04-03 15:27:02,4月2日上午，青冈村党员干部、青年团员与共建单位（区残联、嘉邦社区）共同前往嘉定区烈士陵园进行清明祭扫活动，铭记先烈遗志，弘扬革命精神。@青春上海 @菊园共青团 @嘉定共青团 @北水湾警事 ,1,0,0,,,,
3,3793798934669189,物业招投标之唐来丰惠存,2014-12-31 11:13:34,2014年12月31日 内容：公告标题： 嘉定区革命烈士陵园门卫保安项目招标公告（第二次） 开始时间： 2014-12-31 08:32:42 截止时间： 2015-03-31 23:59:59 开标时间： 2015-01- 12 月 31 日 10:12 0 分享 评论(0) ,0,0,0,,,,
3,3743913364079881,上海港引航站引航三班,2014-08-15 19:26:07,#缅怀革命烈士#第一党支部党员在嘉定区革命烈士陵园向革命先烈敬献花圈。“革命烈士打江山，反腐倡廉保江山”，我们坚信，在党的坚强领导和全国人民的共同努力下，一定能走出一条具有中国特色的反腐倡廉道路，实现中华民族的伟大复兴！ ,1,0,1,,,,
3,3725037129252460,上海普陀教育,2014-06-24 17:18:42,#菁菁校园# 暑假的脚步声已经临近，桃浦中心小学低年级的8名学生在教师和家长的带领下，开展了祭扫嘉定区革命烈士陵园的假日小队活动。此次活动较好地配合了学校前不久举行的入队仪式，更为重要的是，它进一步加深了对队员们对革命传统教育的认识，激发了他们的爱国精神。 ,0,0,0,,,,
3,3715929919827635,用户1bz09b2l3i,2014-05-30 14:09:53,"#我爱国我骄傲#上海市爱国主义教育基地展示展评活动正在进行中。我为上海市少年儿童浏河活动营地,嘉定区革命烈士陵园,上海嘉定博物馆投上了一票。你也来参加吧！有丰厚大礼等你赢取。上海市爱国主义教育基地展示展评 ",0,0,0,,,,
3,3709419030298998,东方日记本,2014-05-12 14:57:57,"#我爱国,我骄傲#【本本小爱游历记之七十二：不能忘却的纪念】@嘉定区革命烈士陵园 褒扬着各个革命历史时期牺牲的烈士741名, 陵园的人行高架的244个踏步象征着其中244名无名烈士！和本本、小爱一起向烈士们致敬！@嘉定发布 ",2,3,7,,,,
4,3699280646248853,廉洁上海,2014-04-14 15:31:38,【嘉定区廉政教育基地落成启用】基地依托区烈士陵园，以“革命烈士打江山、反腐倡廉保江山”为主题，以坚定理想信仰为主线，展示“崇高信仰、以民为本、为官清廉、反腐倡廉”等内容。嘉定区将结合正在开展的群众路线教育实践活动，组织全区党员干部特别是领导干部分批参观学习。 网页链接 ,7,11,1,,,,
4,3697739235967161,用户5038870741,2014-04-10 09:26:37,4月10日，所组织军休干部前往嘉定区烈士陵园参观廉政教育基地，回顾了抗战历史，重温革命历程，感受颇深。 我在:金沙路 ,0,0,0,,,,
4,3571825507947026,BG7FBI,2013-04-27 22:30:23,半夜三更烈士陵园拍照片好可怕啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我在:#嘉定区革命烈士陵园# at #嘉定区革命烈士陵园# ,1,0,0,,,,
