页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4978636918883148,BRTV财经频道,2023-12-13 23:56:43,什刹海，是北京城中心一处优美的湖面，众多名人故居、古迹分布周边，孙中山先生的夫人、宋庆龄女士的故居就坐落其中。故居原是清朝醇亲王载沣的府邸花园，古树名木众多，其中，有两株海棠树独具风采，默默陪伴着宋庆龄的晚年岁月。请听《#同气连枝 北京的古树# 》第一集，随记者走进宋庆龄故居，探访这两株历经百年风霜，依然枝繁叶茂的海棠树。【同气连枝 北京的古树】第一集：海棠缤纷的怀念——宋庆龄故居里的西府海棠,0,0,0,,廊坊,河北,中国
2,4978542335232816,中铁十二局集团有限公司,2023-12-13 17:40:52,12月8日，中铁十二局集团二公司承建的孙中山故居周边路网市政配套改造工程沥青路面摊铺全面完工。该项目路线全长约7公里，按二级公路兼城市次干道功能改造，设计时速40公里。 ,0,0,0,,太原,山西,中国
2,4976687261942449,翠亨孙中山故居纪念馆,2023-12-08 14:49:28,孙中山故居纪念馆工会举办“乐享自然”亲子活动为了丰富本馆工会会员的业余生活，树立配合协作的团队精神，同时增进本馆工会会员与子女的沟通交流，拓宽孩子的活动空间，近日，本馆工会组织了“乐享自然”亲子活动。活动伊始，工会会员家庭向孙中山像献花，随后在讲解员的带领下认真参观《孙中山廉政思想及实践》展览，了解和感受孙中山先生廉洁自律的风范和品格。会员家庭还参观了农耕文化展示区，了解农作物栽培和家禽饲养的相关知识，孩子们还亲手采摘蔬菜。孩子们通过聆听讲解和动手采摘相结合的方式，更加明白粮食和蔬菜的来之不易，从而树立起勤俭节约的良好习惯。本馆工会每年都会举办亲子活动，旨在让工会会员们协调好工作和家庭的关系，以更加饱满的精神状态投入到工作中，同时让下一代对父母的工作有更加深入的了解，对孙中山文化有更加深刻的认识，激发他们的城市文化自豪感和归属感。(作者：杜佳佳 一审：金鑫 二审：麦嘉俊 三审：张道有),0,0,0,,中山,广东,中国
2,4975624311277685,虎门销烟微博,2023-12-05 16:25:41,【他山之石可以攻玉，博物馆社会教育研讨会放大招】为提升我馆社会教育水平，2023年12月1日上午，我馆举办了一场“把灯点亮——新时代博物馆社会教育工作探索”研讨会。会议由唐立鹏副馆长主持。南越王博物院、孙中山故居纪念馆、中共三大会址纪念馆、中山市博物馆、广州博物馆、广东革命历史博物馆、东莞市博物馆、广东东江纵队纪念馆和鸦片战争博物馆9家博物馆的宣教同行围绕博物馆教育工作的新要求、新趋势、新理念、新手段进行交流。他山之石可以攻玉，博物馆社会教育研讨会放大招,0,0,0,,东莞,广东,中国
2,4974151701889722,上海孙宋文管委,2023-12-01 14:54:03,11月16日至11月19日，第四届长三角国际文化产业博览会（以下简称长三角文博会）在国家会展中心（上海）举行。由上海市孙中山宋庆龄文物管理委员会、上海孙中山故居纪念馆、上海宋庆龄故居纪念馆、中华人民共和国名誉主席宋庆龄陵园管理处和上海尚平文化发展有限公司联合打造的“孙中山宋庆龄主题纪念宣传品”展区精彩亮相。@上海宋庆龄故居 @国家名誉主席宋庆龄陵园 @上海孙中山故居纪念馆  “孙中山宋庆龄主题纪念宣传品”亮相第四届长三角国际文化产业博览会,2,0,0,,上海,上海,中国
2,4973186789933258,中山发布,2023-11-28 22:59:50,#文体#【孙中山故居纪念馆科研影响力位居全国第六 】近日，《2022年度全国博物馆（展览）海外影响力评估报告》正式对外发布。在“科研影响力十强”榜单中，孙中山故居纪念馆位列第六名；在全国人物类纪念馆中排名第一。 ,0,0,0,,中山,广东,中国
2,4972991195121498,广东省社会科学院,2023-11-28 10:02:37,11月25-26日，由孙中山基金会资助，中国孙中山研究会、中山大学历史学系、广东省社会科学院历史与孙中山研究所、孙中山故居纪念馆联合主办的第六届“孙中山与近代中国研究”青年学术研讨会在广州召开。开幕式由中山大学历史学系主任安东强主持。中国孙中山研究会副会长、孙中山基金会副理事长赵立彬，广东省社会科学院党组副书记、副院长李宜航，孙中山故居纪念馆馆长吴春宁，中山大学历史学系党委书记柯伟明在研讨会开幕式上致辞。网页链接,0,0,0,,广州,广东,中国
2,4967944263043909,中山档案方志,2023-11-14 11:47:55,#档案新闻# 2023年11月12日上午，籍纪念孙中山先生诞辰157周年，由孙中山研究院（中山）、中山市档案馆、中山市人民政府地方志办公室主办，孙中山故居纪念馆承办，广东人民出版社协办的《中山文献》（第三辑）首发暨赠书仪式系列活动在孙中山故居纪念馆举行。大胆探索 勇于实践——中山市档案馆建馆以来最大规模的档案挖掘整理出版工程《中山文献》（第三辑）首发 ,1,0,0,,中山,广东,中国
2,4967601461530753,日本共同社,2023-11-13 13:05:45,【中国雕刻家捐赠的孙中山铜像在北九州市揭幕】日本北九州市户畑区的实业家安川敬一郎故居“旧安川邸”设置中国辛亥革命领袖孙中山的铜像，该市12日举行了揭幕仪式。孙中山曾于辛亥革命后的1913年到访安川邸，今年是110周年。（阅读全文网页链接） ,2,1,11,,,日本,日本
2,4967591397033935,翠亨孙中山故居纪念馆,2023-11-13 12:25:45,“孙中山与近代中国研究”优秀成果推介活动在本馆举行2023年11月12日上午，“孙中山与近代中国研究”优秀成果推介活动在孙中山故居纪念馆举行。该推介活动自去年5月发布通知，面向全国征集孙中山与近代中国研究及近代中山（香山）的优秀论文、专著，着力培育孙中山与近代中国、中山（香山）历史文化研究力量、开拓创新研究领域，受到学界的广泛关注。经组织专家评审，分别选出“孙中山与近代中国研究”优秀成果6项、“中山（香山）历史文化研究”优秀成果3项。入选“孙中山与近代中国研究”优秀成果的有：上海大学文学院历史系廖大伟教授的论文《孙中山对中国实现现代化道路的思考与选择》；中国社会科学院近代史研究所侯中军研究员的论文《“政治犯不予引渡”规则与孙中山伦敦蒙难事件的第三种解释》；湖南师范大学历史文化学院郭辉教授的论文《“满汉矛盾”记忆与辛亥革命时期的革命动员》；中山大学历史学系安东强教授的论文《辛亥革命时孙中山在国内的政治影响》; 上海社会科学院历史研究所徐涛研究员的论文《&lt;实业计划&gt;成书考》；四川大学历史文化学院周月峰教授的论文《错位的“战场”：孙中山与胡适的“新文化运动”》；入选“中山（香山）历史文化研究”优秀成果的有：广东省社会科学院历史与孙中山研究所原所长王杰研究员的著作《中国近代民族工业先驱唐廷枢》；广东历史学会副会长胡波教授的著作《中山简史》；广东省社会科学院历史与孙中山研究所张金超研究员的著作《钟荣光集》。（文字/研究室 摄影/刘小杭、王晓虹 一审/漆德红 二审/麦嘉俊 三审/张道有）,0,0,0,,中山,广东,中国
