页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4800969357396176,河北高速,2022-08-10 17:29:15,8月8日上午，工区负责人带领职工来到玉田宝山革命烈士陵园开展“永远跟党走、奋进新征程”主题教育活动，学习党的历史，坚定对党的忠诚信仰。        活动中，干部职工通过参观陈列馆中一段段的历史文字、一张张珍贵图片、一件件历史文物，追溯革命先辈足迹，学习老一代革命家奋起反抗和英勇抗争的革命精神,0,0,2,,石家庄,河北,中国
2,4773659043956091,范特西主任,2022-05-27 08:47:49,“上海回到人民手中，他们倒在黎明前。”上海解放73周年，武警官兵缅怀先烈_宝山_烈士陵园_革命 网页链接 ,0,0,1,浙江,湖州,浙江,中国
2,4761106197516224,首都老兵,2022-04-22 17:27:17,【退役军人温博：我愿用这种方式守护烈士英魂！】青山埋忠骨，热血铸英魂。怀柔区宝山镇道德坑村曾是华北地区最大的后方医院，在此牺牲的革命烈士有3000多人， 625名无名烈士长眠于道德坑弘德烈士陵园内。园内有一名退役军人讲解员-温博，他生于道德坑村，2003年入伍。选择在烈士陵园内当讲解员，他说：“我要用自己的方式守护这些烈士英魂，把他们的故事讲给更多人听！”,1,0,4,,,,
2,4755006702750110,中国军视网,2022-04-05 21:30:04,【#73岁老人给71年前抗美援朝的父亲写下回信#】清明前夕，73岁的孙宝山老人带领家人来到河北省临漳县烈士陵园纪念馆，祭奠他的父亲孙秀生。1951年3月，孙秀生所在的铁道兵团第2师前往安东，投入被炸毁的鸭绿江铁路桥抢修任务。一年后，开城保卫战打响，孙秀生在为部队传递信息时壮烈牺牲，只留下了一个文件包和一封寄给家里的书信...... @军事报道 中国军视网的微博视频,3,2,44,,,,
2,4754878348395334,成都商报,2022-04-05 13:00:01,【#阔别64年牺牲烈士终与亲人隔空相见# [小白菊]】#清明节#前夕，在四川省攀枝花市盐边县烈士陵园，举行了一场特别的“云端祭扫”活动，在这里长眠64年之久的朱仁新烈士找到了亲人，圆了烈士家属的“寻亲梦”。#为烈士寻亲#据了解，朱仁新烈士的家乡在上海市宝山区（原属于江苏省宝山县），1951年入伍后曾担任步兵0509部队二分队准尉事务长，曾获得三等功一次。1958年6月10日，在盐边县温泉乡剿匪战斗中光荣牺牲。目前朱仁新烈士安葬在盐边县烈士陵园A2区4排2号。今年4月1日，经过盐边县退役军人事务局多方查找、核实、对比，为安葬在盐边县烈士陵园的朱仁新烈士寻到了亲属。不过受疫情影响，朱仁新烈士远在上海、江苏等地的亲属不能抵达现场。在工作人员协调下，家属于4月2日通过“视频连线”远程祭扫的方式，在“云端”与朱仁新烈士相见。相隔64年后，朱仁新烈士与亲属“相见”。视频连线接通后，攀枝花市盐边县退役军人服务中心工作人员首先给朱仁新烈士的妹妹、侄儿等亲属，介绍了朱仁新安葬的烈士陵园情况。手机那头，朱仁新的家人眼角泛起了泪花，通过视频连线，他们与见到了久别的亲人，表达了朱仁新烈士的思念崇敬之情。网页链接,1,0,20,,,,
2,4752787068424649,上海宝山发布,2022-03-30 18:30:02,全面暂停现场祭扫！宝山烈士陵园网上祭扫攻略看这里→ ,0,0,0,,,,
3,4719480343627472,舵手无畏,2021-12-28 20:41:00,#退役军人当老师#无论是进校园还是在烈士陵园，都发挥着不可替代的作用在宝山烈士陵园上海解放纪念馆有这么一群退役军人，经常作为志愿者他们进校园、进社区、进军营……讲红色故事，弘扬革命精神，做新时代的传播者。#致敬中国军人# ，你们奋斗的样子真美via: 凑凑不丑的微博视频 ,2,1,2,,,,
3,4711414457437402,品质崇州,2021-12-06 14:30:03,#崇州新闻#【崇州市举行零散烈士墓迁葬入园仪式】12月1日，崇州市在烈士陵园举行零散烈士墓迁葬入园仪式，将郭兴发、陈宝山、牟涵清等9座零散烈士墓集中迁入烈士陵园。烈士亲属代表，市人武部、市检察院、市民政局，部分镇相关同志参加仪式。市退役军人局党组成员、副局长陈刚主持仪式。网页链接,3,21,12,,,,
3,4705723546604341,凑凑不丑,2021-11-20 21:36:24,#国际儿童日#宝山军娃共度不一样的“红色周末”，11月20日世界儿童日当天，宝山区双拥办组织驻区部队军人家庭带军娃赴宝山烈士陵园开启一场【寻访红色足迹、传承红色基因】之旅，共同度过一个难忘的“红色周末”。 ,6,8,17,,,,
3,4698674292327423,廉洁上海,2021-11-01 10:45:11,#上海# 【宝山：瞻仰龙华烈士陵园 追思首届中央监察委“四烈士”】为深入开展#党史学习教育#，根据市纪委监委统一部署，近日，宝山区纪委监委全体党员干部来到龙华烈士陵园追思首届中共中央监察委“四烈士”。龙华烈士陵园松柏挺立，庄严肃穆，革命烈士纪念碑熠熠生辉。全体党员干部以深深的三鞠躬向革命先烈们表达敬意，并向人民英雄敬献花篮。宝山：瞻仰龙华烈士陵园 追思首届中央监察委“四烈士”,0,0,0,,,,
3,4687224412832958,芷江西路街道,2021-09-30 20:27:27,烈士纪念日：1、芷江西路街道退役军人服务站组织区退役军人服务中心、芷江新村居民区退役军人服务站的10名代表，在宝山区烈士陵园举行庄严的烈士祭扫活动，深切缅怀革命先烈的丰功伟绩，向革命先烈表达追思和敬仰之情。2、芷江西路街道退役军人服务站在芷江新村“治立方”召开“铭记历史 缅怀先烈”党史学习教育暨烈士纪念日活动。活动由芷江新村、洪南山宅、共和新、协和、灵光等五个居民区退役军人服务站共同承办，邀请社区烈属代表、抗美援朝老兵代表、退役军人志愿者、社区共建单位国信典当有限公司和中兴路消防救援站的战士们共同参与，在这个特殊的日子里重温红色历史，缅怀英烈奉献。,0,0,0,,,,
3,4687092917996715,警民直通车-上海,2021-09-30 11:44:56,#致敬公安英烈# 【铭记历史，筑牢警魂】9月30日是国家烈士纪念日，为深切缅怀烈士，弘扬革命优良传统，宝山公安民警开展“铭记历史，筑牢警魂”主题活动，组织民警前往烈士陵园祭奠英灵，献上鲜花，寄托无限哀思；参观抗战纪念馆，牢记历史，学习烈士不屈精神，筑牢忠诚警魂。@上海宝山公安 ,74,74,79,,,,
3,4676920728096014,上海宝山发布,2021-09-02 10:04:17,【#志愿军烈士墓都插上了五星红旗#】今天，第八批#在韩志愿军烈士遗骸装殓仪式举行#。明天，祖国将以最高礼遇迎接109名英烈回家。第八批在韩志愿军烈士遗骸回国后，将安葬在沈阳抗美援朝烈士陵园。为了迎接新一批烈士回国，陵园的工作人员在每座烈士墓旁都插上了五星红旗。以国之名，致敬英烈！  央视军事的微博视频,0,1,8,,,,
