页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4790866587421213,无锡eTV全媒体,2022-07-13 20:24:27,【东林书院、薛福成故居、秦邦宪故居、顾毓琇纪念馆、钱锺书故居、张闻天旧居明日起恢复开馆】1、2022年7月14日起#六场馆恢复开放# ，场馆开放时间为9:00-17:00(16:30停止入馆)。2、场馆入口处对游客进行“门铃码”、“行程卡”、核酸报告查验，体温检测，“门铃码”、“行程码”显示为“绿码”、持有 72 小时核酸阴性证明或 24 小时核酸采样证明且体温正常的游客方可进入场馆。#无锡疫情防控#,6,7,22,,无锡,江苏,中国
2,4788269176330160,浦东发布,2022-07-06 16:23:16,【看老相机、参观银盐暗房、玩蓝晒……小布带你直击上海老相机摄影博物馆恢复开放首日】#浦东好白相# 继7月1日首批恢复开放了上海中国航海博物馆、观复博物馆、上海科技馆等后，7月5日，浦东迎来了又一波博物馆、纪念馆恢复开放小高潮。除了浦东新区文保所所属的张闻天故居、黄炎培故居、浦东开发陈列馆这3座场馆外，在北蔡镇的一座办公园区，上海老相机摄影博物馆也悄悄恢复开放了。↓,0,0,3,,上海,上海,中国
2,4716034898265026,无锡日报,2021-12-19 08:30:01,#我爱吾锡# 【自在人文线乐游3号线】“无锡红”是乐游3号线“自在人文线”的主色调。乘坐乐游3号线，沿路串联起秦邦宪、张闻天、荣氏家族等传承红色基因的无锡名人遗迹。乐游3号线班次间隔40-50分钟，每日计划班次12个，途径惠山古镇、薛福成故居、阿炳故居、钱钟书故居、崇安寺景区、小娄巷历史文化街区、南禅寺景区、古运河游船码头、南长街历史文化街区等地。 @斗山星辰,0,0,0,,,,
2,4715642438025611,斗山星辰,2021-12-18 06:30:32,#百年今锡 锡位出道# 【自在人文线乐游3号线】“无锡红”是乐游3号线“自在人文线”的主色调。乘坐乐游3号线，沿路串联起秦邦宪、张闻天、荣氏家族等传承红色基因的无锡名人遗迹。乐游3号线班次间隔40-50分钟，每日计划班次12个，途径惠山古镇、薛福成故居、阿炳故居、钱钟书故居、崇安寺景区、小娄巷历史文化街区、南禅寺景区、古运河游船码头、南长街历史文化街区等地。#遇见锡引力##我爱吾锡##行摄无锡# @无锡发布 @无锡市文广旅游局  @网信无锡@微博读城@锡山发布@无锡新吴在线@无锡滨湖发布@无锡梁溪发布,1,0,2,,,,
2,4666110261073500,上海浦东新区法院,2021-08-03 14:07:21,发布了头条文章：《参观张闻天故居 感悟革命精神》  参观张闻天故居 感悟革命精神 ,0,0,0,,,,
2,4661414901584963,松江叶榭,2021-07-21 15:09:40,7月18日，叶榭镇“两新”党组织第二片区组赴张闻天故居和召稼楼古镇开展“烙印红色回忆，追随先辈足迹”党史学习教育活动。【学党史 悟思想】烙印红色回忆 追随先辈足迹 ,0,0,0,,,,
2,4654151898759345,闵行梅陇镇,2021-07-01 14:09:04,【梅陇镇爱国村开展党史学习教育】近日，爱国村党总支组织老龄支部、下属新经济组织和新社会组织支部、预备党员、入党积极分子赴张闻天故居开展党史学习教育。伴随着讲解员深入浅出的介绍，全体人员参观了张闻天故居，从中感悟张闻天同志的生平事迹。随后，党员们观看了张闻天同志在各个历史时期为革命事业奋斗一生的影像资料，参观了张闻天生平事迹陈列馆。,11,0,13,,,,
2,4653926949324049,浦东发布,2021-06-30 23:15:13,【守护红色地标！浦东公安分局江镇派出所和故居结下不解之缘】位于浦东新区的张闻天故居，是一座始建于1892年具有江南农村特色的民宅，也是浦东新区唯一的全国重点文物保护单位。作为这座故居的“守护者”，浦东公安分局江镇派出所与这里结下了不解之缘。 浦东发布的微博视频 ,0,0,6,,,,
2,4648995219310965,上海交通,2021-06-17 08:38:17,作为本市重要红色文化地标，张闻天故居是缅怀革命先烈、开展党史学习教育的重要场所。为喜迎建党100周年，提升红色地标周边道路景观，浦东新区道运中心对张闻天故居周边道路开展精细化整治。详见下文↓ 快看！上海这个著名的地标周边道路大变样！【我为群众办实事】 ,0,0,0,,,,
3,4644404474414523,江川社情,2021-06-04 16:36:18,学史奋进|6月2日上午，博仕欣居党支部组织社区全体党员、楼组长、志愿者等共计100余人，参观了位于浦东新区川南奉公路西侧的张闻天同志故居。 ,14,11,16,,,,
