页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4992529860396752,ssxjtj,2024-01-21 08:02:18,2024年01月21日             问：老师，您好！我们有一个客户欠我们货款，之前这个老板利用其他公司转移了公司资产，至于目前这个公司是资不抵债的状态。请问我们能不能向这个老板所控制的其他公司要债？      答：感谢您的提问！根据新新《公司法》第三十二条，公司股东滥用公司法人独立地位和股东有限责任，逃避债务，严重损害公司债权人利益的，应当对公司债务承担连带责任。      股东利用其控制的两个以上公司实施前款规定行为的，各公司应当对任一公司的债务承担连带责任。      所以，如果这个老板利用其控制的两个以上公司滥用公司法人独立地位和股东有限责任，逃避债务，你是可以向其中的任一公司进行追责的。这就是新《公司法》的横向法人人格否定。,0,0,0,天津,,天津,中国
2,4991862991488141,兰州新区发布,2024-01-19 11:52:24,【拔节生长“新新”向荣 ——新区新材料产业发展走笔】德福20万吨高档铜箔、海亮15万吨高档铜箔、宝武10万吨负极材料、广东宏宇20万吨负极材料、金川公司20万吨磷酸系锂离子电池正极材料生产线建设项目……近年来，一家家头部企业投资布局新区、一个个重大项目快速落地建设，新材料产业正成为兰州新区高质量发展的又一新优势。强链补链延链 打造产业集群2023年12月29日，东方希望年产6万吨石墨电极项目点火暨年产30万立方米硅建材项目举行开工仪式，标志着新区新材料产业强链、补链、延链取得新进展。这也是继去年8月25日东方希望有机硅一体化项目成功点火试运行后，东方希望兰州新区又一重大项目点火投产。该项目规划建设工业硅、有机硅、石墨电极、固废综合利用、余热利用、新能源发电等上下游一体化循环经济产业链，属于新能源材料产业链的前端项目，也是硅基新材料产业建链补链延链的关键支撑项目。近年来，新区充分发挥省内原材料供给和要素资源成本优势，以市场需求为牵引，着力提升铝、铜等有色金属深加工能力，新材料产业聚链成群，海亮、德福、宝武、宏彬等众多知名企业集聚发展，带动一大批上下游企业加入，构筑起以龙头企业为核心的产业生态链，集群式发展态势显现。截至目前，兰州新区累计实施新材料产业项目69个、总投资614亿元。高端拳头产品远销欧美市场近年来，新区进一步优化布局、强化扶持，发挥和巩固新材料产业比较优势，在重点领域不断推出高端拳头产品，目前已涌现出甘肃德福新材料、海亮、宝武等一大批龙头企业。一期投产的车间内，一台台设备飞速运转；二期项目施工现场塔吊高耸、机械轰鸣……走进甘肃海亮新能源材料有限公司，一派生机勃发的景象扑面而来。“项目全面投产后，预计可实现产值超180亿元，税收超10亿元，将带动产业链上下游企业加速集聚，助力新区成为全球最大的高性能铜箔研发生产基地。”甘肃海亮新能源材料有限公司总经办行政经理张矅鹏说。在甘肃德福新材料有限公司生产车间，一张张锂电铜箔被分离成不同宽度的成品。别看它“薄如蝉翼”，却是制造新能源汽车动力电池重要的原材料：铜箔越薄，电池的质量就越轻，能量密度就越大，能容纳的电量越多。“新材料产业发展的背后是新技术、新理念的支撑。”甘肃德福新材料有限公司相关负责人说，从传统的铜箔工艺到如今厚度仅有头发丝十二分之一的锂电铜箔，这一技术的升级与改造经历了无数次的实践与探索。如今，甘肃德福新材料有限公司年产20万吨高性能电解铜箔三期项目已建成，产能已达7万吨。其生产出来的锂电铜箔已经广泛运用于新能源汽车、高档电子电路等下游行业，产品除在国内销售外，还远销东南亚和欧美等国际市场。产业集群初步形成 发展驶入“快车道”新区充分发挥省内原材料供给和要素资源成本优势，以市场需求为牵引，着力提升铝、铜等有色金属深加工能力，重点打造新能源新材料产业集群，目前在铜铝深加工、锂电材料、光电新材料、建材等方面已经具备了一定的产业基础。甘肃德福年产20万吨电解铜箔建设项目，已建成7万吨铜箔产能；甘肃海亮年产15万吨高性能铜箔材料项目一期5万吨、二期1.25万吨产能已投产；兰州宝航年产10万吨负极材料项目建成投产7万吨石墨化生产线；兰州宏彬年产20万吨负极材料项目建成投产5万吨石墨化生产线；兰州格瑞芬年产12万吨负极材料项目建成投产2.5万吨石墨化生产线……随着新材料产业重点项目先后投产，新材料产业呈良好发展态势。诸多新建项目达产后，新区将拥有年产60万吨负极材料（碳材料）、35万吨高性能电解铜箔、20万吨磷酸铁锂正极材料、10万吨铝箔、3万吨电解液产业集群，成为全球最大的高性能铜箔研发生产基地、百万吨级“新能源新材料储能之谷”。“随着新区围绕新能源、新材料等战略性新兴产业布局的多个千亿元、五百亿元产业链不断延展，产业延链补链、产业聚集的效应正在凸显。”新区经发局副局长陈舜栋对产业发展信心满满。一个个项目落地，一次次刷新纪录，一次次填补空白，新区以全产业链思维聚力打造新材料产业集群，全力培育产业发展沃土，初步构建起“全链条、矩阵式、集群化”的产业集群，全球最大的高性能铜箔研发生产基地正在加速形成，新区新材料产业发展驶入“快车道”，推动新材料产业向高端化、智能化、绿色化、融合化方向稳步前行。（兰州新区融媒体中心),0,0,0,,兰州,甘肃,中国
2,4989735874861590,中国移动10086,2024-01-13 15:00:00,近期，中国移动浙江公司衢州分公司联合衢州市公安局智造新城分局城东派出所、新新街道乐业社区在官庄家园举办“公益宣传进小区 美好生活暖人心”活动。活动现场，移动志愿者们为现场老年人量起了血压，介绍近期电信网络诈骗手法、秸秆焚烧和垃圾分类相关知识。世纪美林居民李奶奶询问志愿者，接到一个陌生电话，对方说推荐她加入一个理财群，声称群里有“荐股老师”，跟着老师投资能赚钱。志愿者们和李奶奶详细讲述这个是现在频发的理财类网络诈骗手段，让李奶奶擦亮眼睛，千万不要相信陌生电话，不要轻易转账，不要将银行卡、手机卡出售出借他人，提高警惕。#心级服务#,2,1,4,北京,北京,北京,中国
2,4989488545144097,金汇资讯,2024-01-12 22:37:12,#一支部一实事# 【勇当先锋，点燃“新新”之火】上海同祺医药科技有限公司党支部结合自身优势，结合“暖新加油站”轮值机制，为骑手们准备了自产的御寒养生茶，氤氲的水汽融化了冬日的凌冽，让暖意直达骑手心田，让新就业群体感受到冬日里的真情温暖。 ,0,0,0,,上海,上海,中国
2,4987306316138639,日边西,2024-01-06 22:05:48,晚上虽然没坐上合适的公交但是在地铁站看到了好看的画面 从地铁出来骑车去公司的路上虽然冻的一直流鼻涕 但是也看了一路的太阳和其他的风景 今天虽然有点冷但是太阳还是很大很好看 虽然被批但是下班路上奖励自己一根烤肠 还给小手机还有小平板都换上了新新衣服 ,0,0,0,北京,,北京,中国
2,4986896327902063,今天张艺兴发微博了么,2024-01-05 18:56:39,莲莲新🫘解读：换了新新的大公司，嘿嘿。 ,0,1,4,山东,淄博,山东,中国
2,4984782568294493,温州刑事律师13738778655,2023-12-30 22:57:20,公司法新新的 ,117,1,97,浙江,温州,浙江,中国
2,4985801240478739,月亮汤圆桃,2024-01-02 18:25:10,新新向荣！ 节后上班第一天 公司发的新便携！新公寓！ （节后不想上班的综合症被治愈了一丢丢） ,0,1,0,广东,江门,广东,中国
2,4984918130557332,国网浙江电力,2023-12-31 07:56:00,#“新新”向“龙” 盘点年度“新”实力#【贴“新”零距离 “一窗通办”服务升级】2023年，@国网嘉兴供电公司 联合南湖区政务数据局、嘉燃集团、嘉源给排水公司等部门单位，在“公用事业一窗受理平台”创新推出水、电、气线上联动办理模块“一件事一次办”。当地供电公司聚焦企业、用户用电业务和政务协同中的堵点痛点，深入挖掘政务服务和用电服务的结合点、融合点，把电力业务融入政务服务链条，实现政务“公用事业一窗受理平台”办电“一站式”服务，有效提升业务受理、流转效率以及客户体验。用户按照“一口登记、一表申请、一窗受理、一次查看、一并接入”的办理新模式，仅需填写联合申请表，即可完成包括查询、交费、开户变更、报修等多项业务申请。,202,102,602,浙江,,浙江,中国
2,4983635680429123,湖南高速公路,2023-12-27 19:00:00,【新新高速马家岭隧道右洞顺利贯通】12月26日，新新高速二标马家岭隧道右洞顺利贯通。该隧道系整个新新段第一条单洞贯通的近“千米级”隧道，标志着本项目取得突破性节点成果。#我家门口那条路# （新新张官隆回分公司） ,0,0,0,,长沙,湖南,中国
