页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4703067075250969,未完的小说2016,2021-11-13 13:40:32,#旅行真的可以治愈人生吗##宝藏旅行地# 作为魔都滨江的狂热爱好者，立志走遍滨江每一个美丽的角落。从徐汇滨江西岸出发，穿过日晖港，便是黄浦滨江，原世博会浦西园区。这里有南园滨江绿地和江南机器制造总局旧址，好玩的点非常多。 穿过卢浦大桥下面，发现这里的夕阳美不胜收，而且人少景美！！！出片棒极了，露营绝佳！ 走到区域的尽头，便是🚀🔭远望1号停泊的码头，下次一定要预约上去看一下#上海旅行# @带着微博去旅行 @新浪旅游 @微博旅游 @玩乐上海 @上海同城 上海·黄浦滨江 未完的小说2016的微博视频,0,0,2,,,,
2,4687466412379095,myyc_爱吃skittles,2021-10-01 12:29:04,百年多前这里是李鸿章洋务运动创办的江南制造总局，设立后以对抗外敌，如今旧址处立着我国退役的远望1号航天远洋测量船在黄浦滨江边安静地守护着历史。。如果说李鸿章百年前来到高楼林立的纽约满是无奈的惊叹，那真的也可以说如今的中国可以让他放心了 国庆快乐！ ,0,0,0,,,,
2,4679452065793739,上海住房城乡建设管理,2021-09-09 09:42:55,【学党史·读建筑 | 碧波涌江潮！这里不仅是红色堡垒，还创造了许多“中国第一”！】 位于黄浦江畔的江南造船厂旧址，前身是江南机器制造总局，也就是后来的江南造船所。它既是中国近代工业的发祥地，更是中国共产党领导下的工人运动的红色堡垒。 【学党史·读建筑】碧波涌江潮！这里不仅是红色堡垒，还创造了许多“中国第一”！ ,0,0,0,,,,
2,4605380807626650,释道玄空,2021-02-17 00:10:11,【魔都工业遗产】江南机器制造总局旧址。该遗址范围较大，大概东起苗江路，西至局门路，北起高雄路，南至黄浦江，最初占地72万平方米，建筑面积36万平方米，如今能看到最有历史的是建于1867年即制造局从虹口迁址时建造的翻译馆楼（图3、4），其余指挥楼、总办公楼、红楼（将军楼）等大都为辛亥革命后江南造船所时代建设。作为中国近代工业开端和中国钢铁工业诞生地之一，江南制造局旧址是非常重要的工业遗产，对普及我国近现代工业发展历史知识有着十分重要的作用与价值，然而现在我们看到的是什么呢？它们无一例外地被封在高墙、铁网之中，来来回回的保安都在告诉你：这里不对外，但你可以租通过场地的方式进来看看（指翻译馆楼）。我们想要告诉下一代的是，尽管我国的工业发展历程十分曲折，但前人在内忧外患之中仍试图通过实业振兴中国并取得了重要成就，而当时的中国也绝非“一颗铁钉都造不出来”的！可是，面对水泥墙、铁丝网的阻隔，我们拿什么去讲这些故事呢？PS:最后一张是附近的电竞馆和飞龙雕塑，路过的小朋友们似乎都对这个更感兴趣……,0,0,0,,,,
2,4420462299486768,福州发布,2019-09-25 17:30:03,#文化福州##福州美好生活#【马尾造船厂旧址点映民族工业题材电影】昨日，动画电影《江南》点映活动在马尾区有着百年历史的轮机车间举行，这是我国第一部民族工业题材的动画电影。影片以江南制造总局为原型，以甲午战争为历史背景，以具有幻想色彩的动画形式展现、歌颂了家国情怀和爱国主义精神。电影《江南》定于9月27日在全国上映。马尾造船厂旧址点映民族工业题材电影,0,0,2,,,,
2,4138422593426608,高参88,2017-08-08 10:44:57,#市级文物保护单位# 江南造船原址占地80万平方米，拥有江南机器制造总局翻译馆旧址、2号船坞、飞机库等9处上海市历史保护保留建筑及墙体和厂房结构，其中2号船坞被评为上海优秀历史建筑。这些保存完好、形态各异的军工遗址，见证了江南造船不同历史时期的变迁，是上海重要的近代工业遗产，具有保护及再利用价值。2014年新增的85处市级文保单位之一。,2,2,2,,,,
2,3956304114399373,RAFA的行摄笔记,2016-03-23 21:31:08,分享自高参88《上海市文物保护单位（黄浦区12处）下》 -    文物 保 护 单 位 名 称  街道镇乡  地         点  年代 类                     别         江南制造总局旧址  五里...  (来自 @头条博客)   上海市文物保护单位（黄浦区12处）下 ,0,0,0,,,,
2,3709414340935943,上海工业旅游促进中心,2014-05-12 14:39:19,#动态信息#上海市文物保护单位新增85处，不乏工业遗存：上海市人民政府核定并公布了一批上海市文物保护单位，其中新增市级文物保护单位共85处。至此，上海市共有市级文物保护单位238处。在这些保护单位中也不乏工业遗产，如江南制造总局旧址、上钢十厂冷轧带钢车间旧址、上海工部局宰牲场旧址等。 ,0,0,0,,,,
2,3546433012047948,上海海事发布,2013-02-16 20:49:39,【浦江巨变——江南造船厂】#航运•上海#江南造船厂被史学界称为“中国第一厂”，其前身是创建于1865年的江南制造总局，是清末洋务运动创办最早、规模最大的近代民资工业企业。在面朝浦江一个半世纪后，江南造船厂如今在长兴岛踏上新的征程，在他的旧址上坐落着各式造型新颖别致的主题展馆和企业展馆。 ,12,4,0,,,,
3,3538892596252146,越仔Derek,2013-01-27 01:26:47,翻到了去年3月在江南制造总局旧址里的照片，那个时候的我已经走起歪头style的囧风了···哇咔咔···睡觉睡觉，不然又被骂了··· ,0,9,0,,,,
3,3380350814857402,高乄姿态,2011-11-16 13:38:21,迟下应该走去轮船招商局同江南制造总局旧址睇睇 ,0,0,0,,,,
