页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4918695995900805,上海校园,2023-07-01 14:12:53,#百岁高校里有座博物馆##上海大学的博物馆# 上海大学博物馆是目前国内唯一专题展示和研究海派文化的博物馆，设有“海阔·天空：海派文艺的当代遐想”、上海方言文化展示体验等专题陈列，编辑出版《近代上海的海派文化》 等学术研究著作。校史馆和溯园全面展示1922年迄今上海大学的发展历程，钱伟长纪念馆展示了著名科学家、教育家、社会活动家、上海大学校长钱伟长先生的学术成就和教育思想。临时展厅不定期举办传统文化和当代艺术展览，其中“海阔·天空：海派文艺的当代遐想”获2019年度上海市博物馆十大陈列展览精品奖。,0,0,4,,海口,海南,中国
2,4905322031092221,Yeperic,2023-05-25 16:29:31,写论文写到烦躁便走到溯园。无意间瞥见学校的水 沟里面竟然生活着这么多红冠水鸡。这种水禽领地意识极其明显，几只斑鸠在它们旁边饮水，它便要无缘无故驱逐人家。或许是护崽的缘故吧。原本以为它们的腿应该蛮短，但一登上岸边跑起来蛮快，腿部颜色呈现一种暗绿色。这些幼鸡好像永远吃不饱，它爹妈打我在旁边观察了许久都没发现，一直在水塘边转来转去捉小鱼小虾。我数了一下大概有五只幼鸡。通体呈黑色，头顶像是红色的硬骨之类的，叫起来倒真蛮像幼鸡嗷嗷待哺的声音。像这种水禽也吃水草之类的食物。既然是杂食性的水禽，应该也少有人尝过。应该不是濒危动物。据说肉质比较柴，需要炖煮许久。远远望去大概也就一两斤的样子。可能会比鹌鹑大一点。#红冠水鸡#,0,2,4,山东,临沂,山东,中国
2,4903950346879132,风景园林杂志官方微博,2023-05-21 21:38:55,北京“最美科技工作者”朱强老师及团队三山五园研究成果展在北京农学院开幕北京“最美科技工作者”朱强老师及团队三山五园研究成果展在北京农学院开幕近日，2023年北京“最美科技工作者”名单揭晓，北京农学院向科协推荐的风景园林专业青年教师朱强当选其中，是迄今首位风景园林专业背景的获奖者。5月17日上午，“时空溯园——北农朱强三山五园工作室研究成果巡展·启动展”在北京农学院开幕，北京市科协和北京农学院领导、媒体记者及师生代表参加了活动。 杭州·浙江农林大学,1,0,1,,杭州,浙江,中国
2,4839171028419015,DOTEY_,2022-11-24 03:29:03,解封后发不完的日常之 宝山国际民间艺术博览馆 IKEA shu大菊花节 上美青年学术论坛 溯园 延长草坪的装置 淮海775 ,0,3,2,上海,上海,上海,中国
2,4835987999425717,肉肉松小贝贝,2022-11-15 08:40:50,溯园真的好美临沂大学 临沂·临沂大学 ,0,0,8,山东,临沂,山东,中国
2,4830897922642286,微临大牧野尘缘,2022-11-01 07:34:41,临沂大学 夏日已成故事，秋日已是风景，十月的临大秋高气爽、天高云淡。无论春夏还是秋冬，无论清晨还是傍晚，无论溯园还是韵园，无论羲之湖还是文心潭，临大的四季，都汇聚成一幅幅绚丽多姿的画卷，呈现出一种分外绚丽的景色。#待云开雾散，我想在临大见到你…# ,0,1,2,山东,临沂,山东,中国
2,4822639954625574,就叫橙子吧201606,2022-10-09 12:40:28,#古街古巷##临沂大学##溯园# 临沂·临沂大学 就叫橙子吧201606的微博视频 ,0,0,1,山东,临沂,山东,中国
2,4819911694094343,会飞的琼丝儿,2022-10-01 23:59:20,要在当天完成当天的微博口水账记录 1.今天得知溯园新修了个楼，还蛮气派。 2.我的情绪总容易被影响。 3.晚上得知隔壁街道确诊一个阅卷场上都沸腾了，大家纷纷戴口罩，我好像已经无感了，我觉得很平常。 ,0,6,1,四川,眉山,四川,中国
2,4818017739084325,beautiful_bloooom,2022-09-26 18:33:26,晚霞 猫咪 生活每天下午放学晚霞都特别好看 有的时候是粉红色的 有的时候是橘黄色的 甚至有时候是各种颜色交织在一起的今天遇见了一只小猫 趴在草地里一动不动 我跟🈸️回来的时候又遇见了 我们跟他/她打招呼 他/她竟然回应了 一连着喵了好几声今天又去旅游了 去了溯园 刚修剪过的草地和一株蒲公英 兰亭 还有充满时代气息的木门和石磨 还拍到了光,0,0,1,山东,临沂,山东,中国
2,4813009379923697,君临十方,2022-09-12 22:52:00,墨魂李白四首溯园的文案真的绝赞啊！把太白诗意具象又抽象化，每次看都觉整个胸腔盈满了长安的明月。就为了这份溯源希望小破魂长长久久的运营下去，好好更主线。细水长流，墨魂永伴。 ,0,4,21,上海,上海,上海,中国
3,4782927916046594,上天入地陆大头,2022-06-21 22:39:00,今晚的主题是怀念青春总会时不时想起躺在溯园看星星的夜晚泮池边推着自行车说说笑笑时吹过的那阵晚风见证了四个人撑着两把伞踩着水花去上课的那场暴雨见证了我很多青春烦恼的新世纪凉亭还是能不停的大声歌唱还是有无限时间享受停滞的月光没办法成为痛苦的苏格拉底至少不要成为痛苦的猪当一头快乐的猪从什么时候开始都不算晚,0,3,2,上海,上海,上海,中国
3,4770206814046295,长春校园,2022-05-17 20:09:53,长春校园【东北师范大学历史文化学院举办“青史论坛”线上学术活动月】近日，历史文化学院第76期“青史论坛”圆满结束。这也标志着由学院团委主办、学生会和研究生会承办、溯园杂志社协办的“青史论坛”线上学术活动月正式落下了帷幕。本次学术活动月以“战疫不停学，成长不断线”为活动目标，依托“项目交流”“史思沙龙”“青师论坛”等多元板块，先后举办了“史学文献导读会”“寒假读书分享会”“国创科研结项成果汇报会”“硕博论坛”“‘稷下对谈’读书会”“青史悦读”“《史记》论读”“‘史师杯’分站赛获奖选手代表汇报交流会”等14期青史论坛，共有77名本科生、研究生担任主讲人并参与小组互评，3名高年级本科生做国创科研项目指导性汇报，3名硕士生、2名博士生和10名专业课教师作为模拟导师和点评嘉宾全程参与指导并进行论坛评议，学院累计730余人次本科生、研究生参加了活动。活动承继青史论坛“觅创新之途、问治学之道、辩学术之理、言史学之妙”的基本旨趣，根据疫情防控现实需求，在原有基础上进一步优化设计，丰富论坛内容，不断寻求突破与创新，结合学院“双一流”学科建设和“拔尖史学人才与卓越历史教师”培养的具体要求，继续采取“高年级带低年级、研究生带本科生”的“1+1”模拟导师模式，组成“青史学术共同体”，充分发挥了优秀学生“传帮带”的正向辐射效应，积极培育本科生史学话语体系与教师基本职业素养，努力营造了良好学术氛围，有效促进了“本研一体化”共同成长。“青史论坛”是学校首个具有独立品牌和鲜明特色的学院学生专业学术论坛，是学院学风建设的重要载体之一。活动自2015年创办以来已举办76期，累计397名本硕博主讲人在论坛上做主题发言，百余名评论人参与论坛评议，1400余名各年级史苑学子和70余人次学院教师直接参与活动。论坛包括溯园论道、硕博论坛、青史悦读、史语沙龙、《史记》论读、项目汇报、访学交流、史思沙龙8个子论坛，青师论坛和青旅论坛2个专项论坛，春季和秋季学术活动月2个集中论坛，本科新生专场和高端特别专场2个专场论坛，是历史文化学院团委打造的、具有史苑特色的、定期举办的本硕博青年学子、青年教师交流互动、争鸣学术观点、展示学术进程的平台。学院团委坚守育人初心使命，力求以丰富学术活动持续激发学生科研热情，弘扬优良治学风气，以“云”上之力稳固学术之基，以科研之功助力战疫之业。@东北师范大学,0,1,0,,葫芦岛,辽宁,中国
3,4752394887893890,藏界湖18001_xk,2022-03-29 16:31:39,物料1 7227 溯园登亩湛俊矽 ,0,0,0,,,,
3,4751715440005022,银铃铛会知道,2022-03-27 19:31:46,春 夏 秋   坐标:A楼和溯园之间  第二张已经是我的壁纸了） ,0,2,3,,,,
3,4749958969825069,桃园奈奈生-Chen,2022-03-22 23:12:11,溯园 看到了很多熟悉的名字 ,0,0,1,,,,
3,4746819374155559,微临大牧野尘缘,2022-03-14 07:16:33,临沂大学 溯园的梅岭，数十株红梅娇艳欲滴。春回临大，一切皆安！#临沂大学花开四季# @临沂新鲜事 @冰冰看山东 @董立军 ,0,0,3,,,,
4,4710006380038787,多闻直谅,2021-12-02 17:14:51,时空溯园——北林三山五园学生团队研究成果展  北京市规划展览馆 ,0,0,1,,,,
4,4708492986814635,笨蛋女大学生的日常,2021-11-28 13:01:10,溯园之前： lmy:我都没兴趣拍照了 美院以后： lmy：好了没，到我了，快拍我 ,0,0,0,,,,
4,4696304694855474,海蒂的椰椰,2021-10-25 21:49:15,在meadows奔跑的狗可能是世界上最快乐的狗 meadows已经替代了延长草坪和溯园的功能，成为我的内倾时刻的重要场所。 ,0,0,2,,,,
4,4634613203340524,上海法治报社,2021-05-08 16:09:17,发布了头条文章：《从“红色学府”到“溯园”，上海这所大学从历史中走来，传承革命荣光》  从“红色学府”到“溯园”，上海这所大学从历史中走来，传承革命荣光 ,0,0,0,,,,
4,4633222850287369,晚晚玛卡巴卡,2021-05-04 20:04:31,#5.4路线# 起点:溯园↣周公馆↣渔阳里↣二大会址↣五卅纪念碑↣万国建筑群↣终点:一大国旗台 ,0,0,1,,,,
4,4632320214566516,蟑螂恶霸real,2021-05-02 08:17:46,赶鸽子成就达成 圆梦果园溯园 连碎掉的地板砖也是爱你的形状 果园的紫藤让我想起《威廉古堡》 鸽子💩 还有最后一张图片，我非常好奇的一个地方，但是我一个人不敢去 ,0,2,6,,,,
4,4623286967732710,临沂大学,2021-04-07 10:02:52,#临大身边事#  【打卡“红色地标”，弘扬沂蒙精神】 在溯园，有一群非专业表演的学生，以戏剧表演的形式打卡浮雕《水乳交融 生死与共》。传承红色基因，弘扬沂蒙精神。 回望历史，我们被无私奉献的英雄所感动。展望未来，新一代青年，应当永葆朝气，努力托起中国的未来！     临沂大学的微博视频 ,2,1,17,,,,
5,4587551086881023,大学生校园君,2020-12-29 19:21:14,"#大学生活##君君树洞#   表白今晚的天气。  很喜欢这种不是很冷却风雨不止的天 中午去参观溯园就在期待什么时候起风， 晚上骑车冲过甬路，颇有一种英雄的感觉 上午那么闷热死寂，  就是在为今晚的风暴积攒力量吧。  虽然希望风雪交加，不过大家还是记得保暖呀愈,不要冻着自己和自己喜欢的人。 ",0,8,7,,,,
5,4587199650334185,临沂校园微播报,2020-12-28 20:04:45,#临大映像# “溯园”是按照红色理念打造的校园文化景观，身临其境、潜移默化地接受革命传统教育， 追溯革命历史、传承红色基因。 ,0,0,2,,,,
5,4584616453743205,北京印迹inBeijing,2020-12-21 17:00:03,【乾隆如何过上元十二时辰？规划展览馆呈现三山五园百年变迁】主题为“时空溯园”的三山五园研究成果展，自12月13日起在北京市规划展览馆三层的历史文化名城展区正式对公众开放，观众可在70平方米的展区内，和策展团队一起“复禁苑山水盛景、考皇室居游华章”，感受文物扑面而来的文化魅力。 ,1,0,0,,,,
5,4582422437957534,海淀融媒,2020-12-15 15:41:49,#海淀知事#【“时空溯园”三山五园研究成果展开展】12月起，北京市规划展览馆特推出“城市研究成果系列展”专题，以成果展示、学术交流、话题探讨等形式向社会公众普及城市研工作的最新成果。三山五园，从通俗意义上讲是指北京西北郊的清代皇家园林群；从研究意义上讲它是以五园为核心的山-林-水-田-园-村-寺-营构成的人居环境系统，也是清代紫禁城外的政治、文化、军事中心和水利农业重地。本次展览包含“沧桑巨变”“五园重现”“园居日常”“走向国际”和“继往开来”的5个篇章的22件展品，以生动的图纸、模型及语音讲解等形式进行展现。#海淀融媒# BTV北京您早的微博视频,0,0,0,,,,
5,4581242673041440,紫禁笑笑生,2020-12-12 09:33:51,今日宜逛园～时空溯园,0,0,0,,,,
5,4581000123789679,海淀宣传,2020-12-11 17:30:03,"#海淀动态#【“三山五园研究成果系列展”之“时空溯园——北林三山五园学生团队研究成果展” 即将开幕】2020年12月12日（周六）上午9:30-11:30，“三山五园研究成果系列展”之“时空溯园——北林三山五园学生团队研究成果展”开幕仪式暨Touring the Three Hills and Five Gardens—Landscape, art and life of Chinese imperial gardens新书发布会将在北京市规划展览馆四层多媒体影厅举办。 #日新月异京津冀##京彩e品#（北京号）“三山五园研究成果系列展”之“时空溯园——北林三山五园学生团队研究成果展” 即将开幕",2,1,1,,,,
5,4568909665274840,概执执粕季嗽贝,2020-11-08 08:46:53,真正的友谊犹如人体的健康，只有当已失去时，才会意识到它的价值。——科尔顿 人无远虑，必有近忧。——孔子 3395溯园毓桥奢遁濑计槭霹贽舟拭危蚯猱哩砍拦黼匚坂燹供且延神哓麝芋氡嗤益猜姚庀 ,0,0,0,,,,
