页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4331909813135105,市民巡访,2019-01-24 08:54:05,田汉旧居亟待保护『田汉旧居亟待保护！他曾在这里创作《义勇军进行曲》-手机新民网』田汉旧居亟待保护！他曾在这里创作《义勇军进行曲》 ,0,0,0,,,,
2,4331745631091109,新民晚报新民网,2019-01-23 22:01:41,【田汉旧居亟待保护！他曾在这里创作《义勇军进行曲》】近日，有市民反映，位于山海关路274弄11号的田汉旧居，如今竟然无人管理，已是面目全非。据较为确切的考证，《义勇军进行曲》曾在这里创作。文保部门表示，该处已被列为“静安区文物保护点”，后续房管部门将加强管理。via新民晚报田汉旧居亟待保护！他曾在这里创作《义勇军进行曲》 新民晚报新民网的秒拍视频,10,7,11,,,,
2,4301678323393186,慈实素食,2018-11-01 22:44:56,上海山海关路274弄（安顺里）11号田汉旧居，是1935年在此创作《义勇军进行曲》词。山海关路274弄走到弄底回头看弄口。发觉是单排列6条双开间二层石库门，每条支弄3个门号（3个单元），支弄北立面，有后厢房、有亭子间、有晒台。支弄南立面，有三扇漆黑大门，一堂一厢房二层，一家人口设计的建筑，温馨、私密，如是大家庭就住一条支弄。,7,5,5,,,,
2,4289972703479650,娄先生-建筑,2018-09-30 15:30:59,山海关路安顺里11号确认为田汉旧居。 //【澎湃新闻：“田汉在上海”上图开展，田汉的成就是上海红色文化宝贵资源】(分享自@澎湃新闻)#我读澎湃# “田汉在上海”上图开展，田汉的成就是上海红色文化宝贵资源 ,2,1,5,,,,
2,4130418700240172,高参88,2017-07-17 08:40:20,还有山海关路274弄（安顺里）11号田汉旧居正式列为文物保护点。,7,0,3,,,,
2,4042007682448986,非马影像,2016-11-15 09:26:32,南宁麻子畲坡文化名人旧居，邕江上游江西镇老渡口南岸，建于清乾隆年间青砖瓦房。上世纪50年代，一群中国文化名人组成的“广西省土改工作团第二团”在此驻扎，田汉、胡绳、艾青、唐照明、陆地等集中在此工作、生活达半年之久。尹庆南摄影。@广西旅游发展委员会 ,0,0,1,,,,
2,3949357567295618,kamala_wu,2016-03-04 17:28:02,南锣鼓巷N次游：走了四五条胡同，细管胡同的田汉故居，门楼未过多修缮，时代感扑面而来；雨儿胡同的齐白石旧居纪念馆，太有感觉有木有；东棉花胡同，经过中戏，激动一把，有戴口罩经过一对俊男美女，露外面的眉眼都很好看；前圆恩寺胡同；北兵马司胡同有个束河人家，下次去尝尝。文宇奶酪，外带回家。 ,1,0,3,,,,
3,3578934362909714,dldymxl,2013-05-17 13:18:28,【永嘉路：小马路个味道】尽管一踏刮仔长两公里，搿条路浪历史优秀建筑交交关，名人旧居勿勿少，张澜、孔祥熙、宋子文、田汉、顾毓秀、罗玉君等侪曾辣辣此地居住，欣赏老洋房之余还可以探寻人文典故。由上海法租界公董局于1920年修筑，最早叫西爱咸斯路。@徐汇老寿 @上海黄浦  网页链接 ,0,0,1,,,,
3,3548901665547518,天蓝蓝金银花,2013-02-23 16:19:13,"街头小景。刚路过田汉旧居、杨澜工作室。我在这里:#上海市,徐汇区,永嘉路# 我在:建国西路 ",0,0,0,,,,
3,3432680743739548,招招唧唧,2012-04-08 23:18:48,#胡同游# - 细管胡同。《义勇军进行曲》词作者田汉旧居所在。现里面早被各家寻常百姓所居，且估计骚扰者众，门口里小牌警示“非开放单位谢绝参观”。紧挨田汉旧居的是北京市第五中学，每天早上的国歌声可算是对作者一种缅怀？这五中里有一个金日成班，孩子们喜欢吗？ ,1,0,0,,,,
